R_FUNC_AREA_CD,R_LIST_NUM,R_LIST_DTL_SK,R_LOB_CD,R_LIST_BEG_DT,R_LIST_BEG_VALUE,R_VOID_DT,R_LIST_END_DT,R_LIST_END_VALUE,R_LIST_SORT_NUM,L_HIBERNATE_VER_NUM,G_AUD_USER_ID,G_AUD_TS,G_AUD_ADD_USER_ID,G_AUD_ADD_TS
P1,173,50797441,MED,02-OCT-25,252,,31-DEC-99,252,,0,CR_18349,13-JAN-26 08.20.04.206268000 AM,CR_18349,13-JAN-26 08.20.04.206268000 AM
P1,173,50797442,MED,02-OCT-25,253,,31-DEC-99,253,,0,CR_18349,13-JAN-26 08.20.04.232086000 AM,CR_18349,13-JAN-26 08.20.04.232086000 AM
P1,138,50797443,MED,02-OCT-25,252,,31-DEC-99,252,,0,CR_18349,13-JAN-26 08.20.04.241086000 AM,CR_18349,13-JAN-26 08.20.04.241086000 AM
P1,138,50797444,MED,02-OCT-25,253,,31-DEC-99,253,,0,CR_18349,13-JAN-26 08.20.04.264463000 AM,CR_18349,13-JAN-26 08.20.04.264463000 AM
P1,187,50797445,MED,02-OCT-25,252,,31-DEC-99,252,,0,CR_18349,13-JAN-26 08.20.04.292845000 AM,CR_18349,13-JAN-26 08.20.04.292845000 AM
P1,187,50797446,MED,02-OCT-25,253,,31-DEC-99,253,,0,CR_18349,13-JAN-26 08.20.04.309135000 AM,CR_18349,13-JAN-26 08.20.04.309135000 AM
P1,191,50797447,MED,02-OCT-25,252,,31-DEC-99,252,,0,CR_18349,13-JAN-26 08.20.04.324385000 AM,CR_18349,13-JAN-26 08.20.04.324385000 AM
P1,191,50797448,MED,02-OCT-25,253,,31-DEC-99,253,,0,CR_18349,13-JAN-26 08.20.04.336129000 AM,CR_18349,13-JAN-26 08.20.04.336129000 AM
P1,11,50797449,MED,02-OCT-25,252,,31-DEC-99,252,,0,CR_18349,13-JAN-26 08.20.04.367953000 AM,CR_18349,13-JAN-26 08.20.04.367953000 AM
P1,11,50797450,MED,02-OCT-25,253,,31-DEC-99,253,,0,CR_18349,13-JAN-26 08.20.04.386500000 AM,CR_18349,13-JAN-26 08.20.04.386500000 AM
P1,1062,50797453,MED,02-OCT-25,252,,31-DEC-99,252,,0,CR_18349,13-JAN-26 08.20.04.446554000 AM,CR_18349,13-JAN-26 08.20.04.446554000 AM
P1,1062,50797454,MED,02-OCT-25,253,,31-DEC-99,253,,0,CR_18349,13-JAN-26 08.20.04.463125000 AM,CR_18349,13-JAN-26 08.20.04.463125000 AM
P1,1104,50797455,MED,02-OCT-25,252,,31-DEC-99,252,,0,CR_18349,13-JAN-26 08.20.04.514396000 AM,CR_18349,13-JAN-26 08.20.04.514396000 AM
P1,1104,50797456,MED,02-OCT-25,253,,31-DEC-99,253,,0,CR_18349,13-JAN-26 08.20.04.524555000 AM,CR_18349,13-JAN-26 08.20.04.524555000 AM
P1,1448,50797457,MED,02-OCT-25,252,,31-DEC-99,252,,0,CR_18349,13-JAN-26 08.20.04.544779000 AM,CR_18349,13-JAN-26 08.20.04.544779000 AM
P1,1448,50797458,MED,02-OCT-25,253,,31-DEC-99,253,,0,CR_18349,13-JAN-26 08.20.04.575597000 AM,CR_18349,13-JAN-26 08.20.04.575597000 AM
P1,1132,1010601,MED,01-JAN-01,059,,31-DEC-99,059,,0,JPRYOR,21-JAN-10 12.00.00.000000000 AM,JPRYOR,21-JAN-10 12.00.00.000000000 AM
P1,1133,1010603,MED,01-JAN-01,010,,31-DEC-99,010,,0,JPRYOR,21-JAN-10 12.00.00.000000000 AM,JPRYOR,21-JAN-10 12.00.00.000000000 AM
P1,1133,1010604,MED,01-JAN-01,012,,31-DEC-99,012,,0,JPRYOR,21-JAN-10 12.00.00.000000000 AM,JPRYOR,21-JAN-10 12.00.00.000000000 AM
P1,1133,1010605,MED,01-JAN-01,101,,31-DEC-99,101,,0,JPRYOR,21-JAN-10 12.00.00.000000000 AM,JPRYOR,21-JAN-10 12.00.00.000000000 AM
P1,1133,1010606,MED,01-JAN-01,102,,31-DEC-99,102,,0,JPRYOR,21-JAN-10 12.00.00.000000000 AM,JPRYOR,21-JAN-10 12.00.00.000000000 AM
P1,1050,1010504,MED,01-JAN-01,8:00am,,31-DEC-99,8:00am,17,0,JPRYOR,16-JUL-09 12.00.00.000000000 AM,JPRYOR,16-JUL-09 12.00.00.000000000 AM
P1,1050,1010505,MED,01-JAN-01,8:30am,,31-DEC-99,8:30am,18,0,JPRYOR,16-JUL-09 12.00.00.000000000 AM,JPRYOR,16-JUL-09 12.00.00.000000000 AM
