R_FUNC_AREA_CD,R_LIST_NUM,R_LIST_DESC,R_LIST_TY_CD,R_LIST_BUSN_NAM,G_NOTE_SET_SK,R_DOMAIN_NAM,L_HIBERNATE_VER_NUM,G_AUD_USER_ID,G_AUD_TS,G_AUD_ADD_USER_ID,G_AUD_ADD_TS
P1,55,Active P_CRED_RESP_ACTN_CD,UIS,Alert Action Codes - Active,,P_CREDNTL_RESP_ACTN_CD,0,TCR-E05-3791,18-FEB-16 03.15.58.000000000 PM,TCR-E05-3791,18-FEB-16 03.15.58.000000000 PM
P1,56,P_CREDNTL_RESP_TY_CD,UIS,Alert Action Type Codes - Active,,P_CREDNTL_RESP_TY_CD,0,TCR-E05-3791,18-FEB-16 03.15.59.000000000 PM,TCR-E05-3791,18-FEB-16 03.15.59.000000000 PM
P1,1144,P_CRED_RESP_ACTN_CD,UIS,Alert Action Codes - All,,P_CREDNTL_RESP_ACTN_CD,0,TCR-E05-3791,18-FEB-16 03.15.59.000000000 PM,TCR-E05-3791,18-FEB-16 03.15.59.000000000 PM
P1,1145,P_CREDNTL_RESP_TY_CD,UIS,Alert Action Type Codes - All,,P_CREDNTL_RESP_TY_CD,0,TCR-E05-3791,18-FEB-16 03.15.59.000000000 PM,TCR-E05-3791,18-FEB-16 03.15.59.000000000 PM
P1,1146,"FCBC Result
",UIS,FCBC Result,50480349,P_FCBC_RSLT_CD,0,SPRATT01,24-OCT-16 10.05.57.004000000 AM,SPRATT01,24-OCT-16 10.05.57.004000000 AM
P1,70,Prov Type Req Area Agency,PRC,Prov Type Req Area Agency,,P_TY_CD,0,TCR-E05-8183-CR12758,01-NOV-20 01.14.47.146059000 AM,TCR-E05-8183-CR12758,01-NOV-20 01.14.47.146059000 AM
P1,71,Prov Type Req HCBC-ECI,PRC,Prov Type Req HCBC-ECI,,P_TY_CD,0,TCR-E05-8183-CR12758,01-NOV-20 01.14.47.400603000 AM,TCR-E05-8183-CR12758,01-NOV-20 01.14.47.400603000 AM
P1,124,Specialties for Dev Svcs - Taxonomy Not Req,PRC,Specialties for Dev Svcs - Taxonomy Not Req,,P_SPECL_CD,0,TCR-E05-8183-CR12758,01-NOV-20 01.14.51.148034000 AM,TCR-E05-8183-CR12758,01-NOV-20 01.14.51.148034000 AM
P1,125,Specialties for Dev Svcs - NPI Not Req,PRC,Specialties for Dev Svcs - NPI Not Req,,P_SPECL_CD,0,TCR-E05-8183-CR12758,01-NOV-20 01.14.52.793954000 AM,TCR-E05-8183-CR12758,01-NOV-20 01.14.52.793954000 AM
P1,130,Specialties for Dev Svcs - SA Req,PRC,Specialties for Dev Svcs - SA Req,,P_SPECL_CD,0,TCR-E05-8183-CR12758,01-NOV-20 01.14.54.507345000 AM,TCR-E05-8183-CR12758,01-NOV-20 01.14.54.507345000 AM
P1,1162,Reval Statuses to cancel when provider is inactive,PRC,Reval Status Due/InProgress,,P_REVLDTN_STAT_CD,0,TCR-E05-8186,01-NOV-20 01.17.09.000000000 AM,TCR-E05-8186,01-NOV-20 01.17.09.000000000 AM
P1,200,Maintenance locked due to revalidation status,PRC,Maint Lock due to Reval,,P_REVLDTN_STAT_CD,0,TCR-E05-9173-NHCR13580,12-SEP-21 01.47.19.000000000 AM,TCR-E05-9173-NHCR13580,12-SEP-21 01.47.19.000000000 AM
P1,60,Provider IDs not to end date,UIS,Provider IDs not to end date,,P_ALT_ID_TY_CD,0,TCR-E05-5870-NHCR-10800,28-OCT-18 01.15.47.000000000 AM,TCR-E05-5870-NHCR-10800,28-OCT-18 01.15.47.000000000 AM
P1,61,Tables to not end date when provider enrollment end-dated,PRC,Tables not to end when enrol ended,,DM_TEXT_2000,0,TCR-E05-5870-NHCR-10800,28-OCT-18 01.15.47.000000000 AM,TCR-E05-5870-NHCR-10800,28-OCT-18 01.15.47.000000000 AM
P1,80,Prv Type to have True indictor for IOX displays,PRC,Prv Type Display Include for IOX,51109770,P_TY_CD,1,SPRATT01,05-JAN-23 08.40.55.844000000 AM,TCR-E05-8842,19-JUN-21 07.41.20.063920000 AM
P1,81,Provider Enrollment Type to exclude for IOX display,PRC,Prv Enrol Ty Display Exclude IOX,,P_ENROL_TY_CD,0,TCR-E05-8842,19-JUN-21 07.41.22.793616000 AM,TCR-E05-8842,19-JUN-21 07.41.22.793616000 AM
P1,131,IOX Svc Category dental,PRC,IOX Svc Category dent,,P_TY_CD,0,TCR-E05-8842,19-JUN-21 07.41.23.257658000 AM,TCR-E05-8842,19-JUN-21 07.41.23.257658000 AM
P1,132,IOX Svc Category DME Medical Supplies,PRC,IOX Svc Category dme,,P_TY_CD,0,TCR-E05-8842,19-JUN-21 07.41.24.409649000 AM,TCR-E05-8842,19-JUN-21 07.41.24.409649000 AM
P1,133,IOX Svc Category  Emergency Care,PRC,IOX Svc Category emerg,,P_TY_CD,0,TCR-E05-8842,19-JUN-21 07.41.24.867760000 AM,TCR-E05-8842,19-JUN-21 07.41.24.867760000 AM
P1,134,IOX Svc Category Medical Group,PRC,IOX Svc Category group,,P_TY_CD,0,TCR-E05-8842,19-JUN-21 07.41.25.391214000 AM,TCR-E05-8842,19-JUN-21 07.41.25.391214000 AM
P1,135,IOX Svc Category Home Health,PRC,IOX Svc Category home,,P_TY_CD,0,TCR-E05-8842,19-JUN-21 07.41.28.426858000 AM,TCR-E05-8842,19-JUN-21 07.41.28.426858000 AM
P1,136,IOX Svc Category Hospital,PRC,IOX Svc Category hosp,,P_TY_CD,0,TCR-E05-8842,19-JUN-21 07.41.30.079013000 AM,TCR-E05-8842,19-JUN-21 07.41.30.079013000 AM
P1,137,IOX Svc Category Laboratory,PRC,IOX Svc Category lab,,P_TY_CD,0,TCR-E05-8842,19-JUN-21 07.41.30.713282000 AM,TCR-E05-8842,19-JUN-21 07.41.30.713282000 AM
P1,138,IOX Svc Category other,PRC,IOX Svc Category other,51109774,P_TY_CD,1,SPRATT01,05-JAN-23 08.42.36.344000000 AM,TCR-E05-8842,19-JUN-21 07.41.31.422996000 AM
P1,139,IOX Svc Category Clinic and outpatient,PRC,IOX Svc Category outpatient,,P_TY_CD,0,TCR-E05-8842,19-JUN-21 07.41.34.342513000 AM,TCR-E05-8842,19-JUN-21 07.41.34.342513000 AM
P1,140,IOX Svc Category Medical Provider,PRC,IOX Svc Category prov,,P_TY_CD,0,TCR-E05-8842,19-JUN-21 07.41.35.666379000 AM,TCR-E05-8842,19-JUN-21 07.41.35.666379000 AM
P1,141,IOX Svc Category Pharmacy,PRC,IOX Svc Category pharm,,P_TY_CD,0,TCR-E05-8842,19-JUN-21 07.41.38.258760000 AM,TCR-E05-8842,19-JUN-21 07.41.38.258760000 AM
P1,142,IOX Svc Category Transportation,PRC,IOX Svc Category trans,,P_TY_CD,0,TCR-E05-8842,19-JUN-21 07.41.38.885528000 AM,TCR-E05-8842,19-JUN-21 07.41.38.885528000 AM
