R_FUNC_AREA_CD,R_PARAM_NUM,R_PARAM_DTL_SK,R_LOB_CD,R_PARAM_BEG_DT,R_VOID_DT,R_PARAM_END_DT,R_PARAM_VALUE_DT,R_PARAM_VALUE_TS,R_PARAM_VALUE_AMT,R_PARAM_VALUE_PCT,R_PARAM_VALUE_NUM,R_PARAM_VALUE_DATA,L_HIBERNATE_VER_NUM,G_AUD_USER_ID,G_AUD_TS,G_AUD_ADD_USER_ID,G_AUD_ADD_TS
P1,128,50002957,MED,01-JAN-20,,31-DEC-99,23-DEC-25,,,,60,,1,SPRATT01,18-NOV-24 11.59.18.316000000 AM,TCR-E05-12018,17-NOV-24 12.43.00.000000000 AM
P1,129,50002958,MED,01-JAN-20,,31-DEC-99,01-JAN-26,,,,,,14,RVL_SEL_PRCS_Art0630,29-JUN-26 03.27.01.000000000 AM,TCR-E05-12018,17-NOV-24 12.43.01.000000000 AM
P1,131,50002960,MED,01-JAN-19,,31-DEC-99,31-JUL-30,,,,,,15,RVL_SEL_PRCS_Art0630,29-JUN-26 03.27.01.000000000 AM,TCR-E05-12018,17-NOV-24 12.43.01.000000000 AM
P1,133,50003066,MED,01-DEC-24,,31-DEC-99,23-DEC-25,,,,,U,1,MHOLLIS04,05-SEP-25 03.29.41.882000000 PM,TCR-E05-12366,11-MAY-25 04.12.21.000000000 AM
P1,132,50003067,MED,01-JAN-24,,31-DEC-99,23-DEC-25,,,,15,,0,TCR-E05-12366,11-MAY-25 04.13.41.000000000 AM,TCR-E05-12366,11-MAY-25 04.13.41.000000000 AM
P1,99,50002807,MED,13-JUL-23,,31-DEC-99,23-DEC-25,,,,48,,0,TCR-E05-11580,21-APR-24 12.34.40.000000000 AM,TCR-E05-11580,21-APR-24 12.34.40.000000000 AM
P1,74,50001776,MED,12-SEP-23,,31-DEC-99,23-DEC-25,,,,,Director,0,TCR-E05-11717,30-JUN-24 02.16.20.000000000 AM,TCR-E05-11717,01-SEP-19 01.53.47.000000000 AM
P1,75,50001777,MED,12-SEP-23,,31-DEC-99,23-DEC-25,,,,,DIVISION OF MEDICAID SERVICES,0,TCR-E05-11717,30-JUN-24 02.16.21.000000000 AM,TCR-E05-11717,01-SEP-19 01.53.47.000000000 AM
P1,76,50001778,MED,01-JAN-19,,31-DEC-99,23-DEC-25,,,,,"129 PLEASANT STREET,",0,TCR-E05-6714,01-SEP-19 01.53.47.000000000 AM,TCR-E05-6714,01-SEP-19 01.53.47.000000000 AM
P1,160,50002879,MED,01-JAN-13,,31-DEC-99,23-DEC-25,,,,,1-844-ASK-DHHS (1-844-275-3447),0,TCR-E05-11878,08-SEP-24 01.02.28.000000000 AM,TCR-E05-11878,08-SEP-24 01.02.28.000000000 AM
P1,161,50002880,MED,01-JAN-13,,31-DEC-99,23-DEC-25,,,,,1-603-271-9700,0,TCR-E05-11878,08-SEP-24 01.02.28.000000000 AM,TCR-E05-11878,08-SEP-24 01.02.28.000000000 AM
P1,162,50002881,MED,01-JAN-13,,31-DEC-99,23-DEC-25,,,,,4,0,TCR-E05-11878,08-SEP-24 01.02.28.000000000 AM,TCR-E05-11878,08-SEP-24 01.02.28.000000000 AM
P1,111,50002898,MED,01-JAN-20,,31-DEC-99,23-DEC-25,,,,,NHProviderRelations@conduent.com,0,TCR-E05-11865,08-SEP-24 01.09.02.000000000 AM,TCR-E05-11865,08-SEP-24 01.09.02.000000000 AM
P1,112,50002899,MED,01-JAN-20,,31-DEC-99,23-DEC-25,,,,,866-446-3318,0,TCR-E05-11865,08-SEP-24 01.09.02.000000000 AM,TCR-E05-11865,08-SEP-24 01.09.02.000000000 AM
P1,113,50002900,MED,01-JAN-20,,31-DEC-99,23-DEC-25,,,,,8:00 a.m. to 5:00 p.m.,0,TCR-E05-11865,08-SEP-24 01.09.02.000000000 AM,TCR-E05-11865,08-SEP-24 01.09.02.000000000 AM
P1,36,612,MED,01-JAN-01,,31-DEC-99,23-DEC-25,,,,,N,0,JPRYOR,30-NOV-12 12.00.00.000000000 AM,Laura Griggs.NHCR 4199,30-NOV-12 12.00.00.000000000 AM
P1,35,613,MED,01-JAN-01,,31-DEC-99,23-DEC-25,,,,,S,0,JPRYOR,30-NOV-12 12.00.00.000000000 AM,Laura Griggs.NHCR 4199,30-NOV-12 12.00.00.000000000 AM
P1,37,614,MED,01-JAN-01,,31-DEC-99,23-DEC-25,,,,,I,0,JPRYOR,30-NOV-12 12.00.00.000000000 AM,Laura Griggs.NHCR 4199,30-NOV-12 12.00.00.000000000 AM
P1,38,615,MED,01-JAN-01,,31-DEC-99,23-DEC-25,,,,,I,0,JPRYOR,30-NOV-12 12.00.00.000000000 AM,Laura Griggs.NHCR 4199,30-NOV-12 12.00.00.000000000 AM
P1,39,616,MED,01-JAN-01,,31-DEC-99,23-DEC-25,,,,1,,0,JPRYOR,30-NOV-12 12.00.00.000000000 AM,Laura Griggs.NHCR 4199,30-NOV-12 12.00.00.000000000 AM
P1,51,343,MED,01-JAN-07,,31-DEC-99,23-DEC-25,,,,,WI,0,Initial Load,12-MAR-09 11.48.55.000000000 AM,Initial Load,12-MAR-09 11.48.55.000000000 AM
