R_FUNC_AREA_CD,R_PARAM_NUM,R_PARAM_NAM,R_PARAM_TY_CD,G_NOTE_SET_SK,L_HIBERNATE_VER_NUM,G_AUD_USER_ID,G_AUD_TS,G_AUD_ADD_USER_ID,G_AUD_ADD_TS
P1,36,Default for RA Sort Ind,T,,0,JPRYOR,30-NOV-12 12.00.00.000000000 AM,Laura Griggs.NHCR 4199,30-NOV-12 12.00.00.000000000 AM
P1,35,Default for RA Print Suspense Ind,T,,0,JPRYOR,30-NOV-12 12.00.00.000000000 AM,Laura Griggs.NHCR 4199,30-NOV-12 12.00.00.000000000 AM
P1,37,Default for Billing Medium Ind,T,,0,JPRYOR,30-NOV-12 12.00.00.000000000 AM,Laura Griggs.NHCR 4199,30-NOV-12 12.00.00.000000000 AM
P1,38,Default for Bulletin Medium Ind,T,,0,JPRYOR,30-NOV-12 12.00.00.000000000 AM,Laura Griggs.NHCR 4199,30-NOV-12 12.00.00.000000000 AM
P1,39,Default for Bulletin Copies,N,,0,JPRYOR,30-NOV-12 12.00.00.000000000 AM,Laura Griggs.NHCR 4199,30-NOV-12 12.00.00.000000000 AM
P1,8,Date new Providers may apply,D,,0,Initial Load,21-JUL-08 06.40.35.000000000 PM,Initial Load,21-JUL-08 06.40.35.000000000 PM
P1,24,Process Timestamp-Weekly,Z,,0,JPRYOR,29-JAN-10 01.11.21.000000000 PM,JPRYOR,29-JAN-10 01.11.21.000000000 PM
P1,25,Process Timestamp-Daily,Z,,0,JPRYOR,29-JAN-10 01.14.04.000000000 PM,JPRYOR,29-JAN-10 01.14.04.000000000 PM
P1,26,Process Timestamp-Annually,Z,,0,JPRYOR,29-JAN-10 01.14.55.000000000 PM,JPRYOR,29-JAN-10 01.14.55.000000000 PM
P1,27,Process Date-Annually,D,,0,JPRYOR,29-JAN-10 01.15.28.000000000 PM,JPRYOR,29-JAN-10 01.15.28.000000000 PM
P1,58,Subject for Application Web,T,,0,JPRYOR,01-MAR-11 07.27.09.000000000 PM,JPRYOR,01-MAR-11 07.27.09.000000000 PM
P1,1,Provider Min Age,N,,0,Initial Load,09-APR-07 04.59.25.000000000 PM,Initial Load,09-APR-07 04.59.25.000000000 PM
P1,5,Re-certification Due Days2,N,,0,Initial Load,09-APR-07 04.59.25.000000000 PM,Initial Load,09-APR-07 04.59.25.000000000 PM
P1,2,Provider Max Age,N,,0,Initial Load,09-APR-07 04.59.25.000000000 PM,Initial Load,09-APR-07 04.59.25.000000000 PM
P1,3,AffiL Future Date Max Days,N,,0,Initial Load,09-APR-07 04.59.25.000000000 PM,Initial Load,09-APR-07 04.59.25.000000000 PM
P1,12,Provider Relations-Security,T,,0,Initial Load,25-SEP-08 10.10.02.000000000 AM,Initial Load,25-SEP-08 10.10.02.000000000 AM
P1,13,cnt atmpt to rcl incmplt app,N,,0,Initial Load,12-MAR-09 11.04.36.000000000 AM,Initial Load,12-MAR-09 11.04.36.000000000 AM
P1,50,Work Unit for Enrollment,N,,0,Initial Load,12-MAR-09 11.41.29.000000000 AM,Initial Load,12-MAR-09 11.41.29.000000000 AM
P1,51,Default value for Crspd Source Code,T,,0,Initial Load,12-MAR-09 11.48.23.000000000 AM,Initial Load,12-MAR-09 11.48.23.000000000 AM
P1,53,Default value for Crspd Subj Code,T,,0,Initial Load,12-MAR-09 12.14.59.000000000 PM,Initial Load,12-MAR-09 12.14.59.000000000 PM
P1,52,Correspondence Category for Enrollment Package Req,N,,0,Initial Load,12-MAR-09 12.18.17.000000000 PM,Initial Load,12-MAR-09 12.18.17.000000000 PM
P1,54,Default value for Crspd Prty Code,T,,0,Initial Load,12-MAR-09 12.19.20.000000000 PM,Initial Load,12-MAR-09 12.19.20.000000000 PM
P1,55,Default value for Crspd Stat  Code,T,,0,Initial Load,12-MAR-09 12.20.11.000000000 PM,Initial Load,12-MAR-09 12.20.11.000000000 PM
P1,56,Correspondence Category for Provider Inquiry,N,,0,Initial Load,16-APR-09 04.08.48.000000000 PM,Initial Load,16-APR-09 04.08.48.000000000 PM
P1,57,Work Unit for Provider Inquiry,N,,0,Initial Load,16-APR-09 04.10.05.000000000 PM,Initial Load,16-APR-09 04.10.05.000000000 PM
P1,14,Unlock Enrollment Application,N,,0,JPRYOR,17-JUN-09 02.00.32.000000000 PM,JPRYOR,17-JUN-09 02.00.32.000000000 PM
P1,7,System Implementation Date,D,,0,Initial Load,14-AUG-07 12.48.39.000000000 PM,Initial Load,14-AUG-07 12.48.39.000000000 PM
P1,6,Re-verification Due Months,N,,0,Initial Load,18-APR-07 03.55.56.000000000 PM,Initial Load,18-APR-07 03.55.56.000000000 PM
P1,4,Re-certification Due Days1,N,,0,Initial Load,06-AUG-08 02.21.35.000000000 PM,Initial Load,06-AUG-08 02.21.35.000000000 PM
P1,9,No Claims Activity,N,,0,Initial Load,07-AUG-08 11.46.48.000000000 AM,Initial Load,07-AUG-08 11.46.48.000000000 AM
P1,60,Category for Trading Partner Enrollment,N,,0,JPRYOR,12-JUN-11 03.49.34.000000000 PM,JPRYOR,12-JUN-11 03.49.34.000000000 PM
P1,10,PreNote Days,N,50042460,1,PSMITHSU05,21-MAR-13 09.08.30.457000000 AM,JPRYOR,21-JAN-10 06.47.16.000000000 PM
P1,21,Process Date-Weekly,D,,0,JPRYOR,21-JAN-10 06.48.08.000000000 PM,JPRYOR,21-JAN-10 06.48.08.000000000 PM
P1,22,Process Date-Daily,D,,0,JPRYOR,21-JAN-10 06.48.55.000000000 PM,JPRYOR,21-JAN-10 06.48.55.000000000 PM
P1,20,Process Date-Monthly,D,,0,JPRYOR,17-JAN-10 03.26.37.000000000 PM,JPRYOR,17-JAN-10 03.26.37.000000000 PM
P1,23,Process Timestamp-Monthly,Z,,0,JPRYOR,29-JAN-10 12.32.34.000000000 PM,JPRYOR,29-JAN-10 12.32.34.000000000 PM
P1,15,PIN/Pswd ltr before go-live,D,,0,JPRYOR,25-MAR-11 09.58.11.000000000 AM,JPRYOR,25-MAR-11 09.58.11.000000000 AM
P1,59,max chars X12 upload file name,N,,0,JPRYOR,01-JUN-11 10.26.01.000000000 PM,JPRYOR,01-JUN-11 10.26.01.000000000 PM
P1,61,Days after license expiration,N,,0,JPRYOR,01-FEB-13 12.00.00.000000000 AM,Laura Griggs.NHCR 4025,21-SEP-12 12.00.00.000000000 AM
P1,11,NH First Cash Code,T,50043501,2,PSMITHSU05,28-MAR-13 02.05.36.494000000 PM,PLAMBERTSU01,18-MAR-13 06.53.18.663000000 PM
P1,73,Correspondence Category for Provider Revalidation,N,,0,TCR-E05-4781-CR9394,23-APR-17 04.09.18.000000000 AM,TCR-E05-4781-CR9394,23-APR-17 04.09.18.000000000 AM
P1,43,"Post License Expired event
",T,50076745,0,PSMITHSU05,24-JUN-13 08.35.01.365000000 AM,PSMITHSU05,24-JUN-13 08.35.01.365000000 AM
P1,44,"Post Reverification event
",T,50076748,0,PSMITHSU05,24-JUN-13 08.38.04.141000000 AM,PSMITHSU05,24-JUN-13 08.38.04.141000000 AM
P1,85,Max # months for Effective Begin Date,N,,0,TCR-E05-8389-NHCR12857,10-JAN-21 12.59.02.000000000 AM,TCR-E05-8389-NHCR12857,10-JAN-21 12.59.02.000000000 AM
P1,42,"Post License 30-day event
",T,50076742,0,PSMITHSU05,24-JUN-13 08.32.40.843000000 AM,PSMITHSU05,24-JUN-13 08.32.40.843000000 AM
P1,41,"Post License 90-day event
",T,50076740,0,PSMITHSU05,24-JUN-13 08.29.17.722000000 AM,PSMITHSU05,24-JUN-13 08.29.17.722000000 AM
P1,86,Prv IOX Last Run Date,D,,0,TCR-E05-8842,19-JUN-21 07.41.18.847571000 AM,TCR-E05-8842,19-JUN-21 07.41.18.847571000 AM
P1,87,Prv IOX Run Type,T,,0,TCR-E05-8842,19-JUN-21 07.41.19.254478000 AM,TCR-E05-8842,19-JUN-21 07.41.19.254478000 AM
P1,88,Prv IOX Initial Load Cutoff,D,,0,TCR-E05-8842,19-JUN-21 07.41.19.602052000 AM,TCR-E05-8842,19-JUN-21 07.41.19.602052000 AM
P1,28,Category for Monitor Alert CR,T,,0,TCR-E05-3791,18-FEB-16 03.15.48.000000000 PM,TCR-E05-3791,18-FEB-16 03.15.48.000000000 PM
P1,29,Subject for Monitor Alert CR,T,,0,TCR-E05-3791,18-FEB-16 03.15.49.000000000 PM,TCR-E05-3791,18-FEB-16 03.15.49.000000000 PM
P1,30,Work Unit for Monitor Alert CR,N,,0,TCR-E05-3791,18-FEB-16 03.15.49.000000000 PM,TCR-E05-3791,18-FEB-16 03.15.49.000000000 PM
P1,31,Category for Screen Alert CR,T,,0,TCR-E05-3791,18-FEB-16 03.15.49.000000000 PM,TCR-E05-3791,18-FEB-16 03.15.49.000000000 PM
P1,32,Subject for Screen Alert CR,T,,0,TCR-E05-3791,18-FEB-16 03.15.49.000000000 PM,TCR-E05-3791,18-FEB-16 03.15.49.000000000 PM
P1,33,Work Unit for Screen Alert CR,N,,0,TCR-E05-3791,18-FEB-16 03.15.49.000000000 PM,TCR-E05-3791,18-FEB-16 03.15.49.000000000 PM
P1,34,Source for Monitor/Screen CR,T,,0,TCR-E05-3791,18-FEB-16 03.15.49.000000000 PM,TCR-E05-3791,18-FEB-16 03.15.49.000000000 PM
P1,63,RV_TIMEFRAME_MONTHS,N,,0,TCR-E05-4710-CR9389,19-MAR-17 07.17.38.000000000 AM,TCR-E05-4710-CR9389,19-MAR-17 07.17.38.000000000 AM
P1,64,RV_DAYS_PRIOR_TO_RV_DUEDATE,N,,6,SPRATT01,23-AUG-23 10.50.57.633000000 AM,TCR-E05-4710-CR9389,19-MAR-17 07.17.38.000000000 AM
