"p_sys_id","p_acptnc_sk","p_acptnc_cd","p_acptnc_dt","l_hibernate_ver_num","g_aud_user_id","g_aud_ts","g_aud_add_user_id","g_aud_add_ts"
"900001","1000086","01","01-OCT-09","0","SYSTEM","28-MAR-26 09.16.22.790691000 AM","SYSTEM","08-MAR-26 02.55.31.790691000 AM"
"900002","1000087","04","31-MAR-10","0","SYSTEM","23-APR-26 11.48.36.790691000 AM","SYSTEM","13-APR-26 10.57.14.790691000 AM"
"900003","1000088","04","27-OCT-10","0","SYSTEM","30-APR-26 04.23.14.790691000 PM","SYSTEM","29-APR-26 01.02.45.790691000 PM"
"900004","1000089","04","24-JUN-10","0","SYSTEM","27-AUG-25 06.11.33.790691000 PM","SYSTEM","31-JUL-25 01.31.29.790691000 AM"
"900005","1000090","04","23-DEC-11","0","SYSTEM","23-JUN-26 09.16.52.791692000 AM","SYSTEM","19-JUN-26 01.52.16.791692000 PM"
"900006","1000091","04","16-AUG-10","0","SYSTEM","15-FEB-26 12.18.18.791692000 PM","SYSTEM","29-JAN-26 11.35.47.791692000 PM"
"900007","1000092","04","21-NOV-10","0","SYSTEM","12-JAN-26 07.17.16.791692000 AM","SYSTEM","22-DEC-25 03.57.41.791692000 AM"
"900008","1000093","04","04-NOV-09","0","SYSTEM","23-JAN-26 01.53.04.791692000 PM","SYSTEM","03-JAN-26 03.34.34.791692000 AM"
"900009","1000094","04","17-JUL-11","0","SYSTEM","21-JUN-26 12.39.27.792916000 AM","SYSTEM","11-JUN-26 10.58.04.792916000 PM"
"900010","1000095","01","23-SEP-09","0","SYSTEM","09-MAR-26 07.20.22.792916000 PM","SYSTEM","02-MAR-26 01.52.39.792916000 AM"
"900011","1000096","01","24-JUL-11","0","SYSTEM","24-JUN-26 02.09.34.792916000 PM","SYSTEM","28-MAY-26 09.41.23.792916000 PM"
"900012","1000097","04","30-MAR-10","0","SYSTEM","30-NOV-25 04.57.58.793925000 AM","SYSTEM","09-NOV-25 06.04.04.793925000 AM"
"900013","1000098","01","16-DEC-11","0","SYSTEM","10-OCT-25 04.32.09.793925000 AM","SYSTEM","07-OCT-25 08.01.40.793925000 AM"
"900014","1000099","01","16-APR-11","0","SYSTEM","17-JUN-26 07.57.55.793925000 PM","SYSTEM","12-JUN-26 03.36.23.793925000 AM"
"900015","1000100","04","16-SEP-11","0","SYSTEM","27-MAR-26 02.31.05.794925000 AM","SYSTEM","25-FEB-26 05.24.28.794925000 PM"
"900016","1000101","04","04-DEC-09","0","SYSTEM","19-MAR-26 10.55.50.794925000 PM","SYSTEM","22-FEB-26 09.15.12.794925000 PM"
"900017","1000102","01","05-APR-10","0","SYSTEM","22-AUG-25 01.49.23.794925000 PM","SYSTEM","06-AUG-25 03.08.12.794925000 AM"
"900018","1000103","04","12-MAR-10","0","SYSTEM","04-JUL-26 08.13.26.794925000 AM","SYSTEM","08-JUN-26 12.35.13.794925000 AM"
"900019","1000104","04","29-OCT-09","0","SYSTEM","19-JAN-26 03.57.02.795933000 AM","SYSTEM","21-DEC-25 07.40.20.795933000 AM"
"900020","1000105","01","10-MAR-10","0","SYSTEM","28-NOV-25 01.44.18.795933000 AM","SYSTEM","01-NOV-25 01.42.28.795933000 AM"
"900021","1000106","04","06-MAY-11","0","SYSTEM","26-MAR-26 12.51.27.796881000 AM","SYSTEM","04-MAR-26 06.13.50.796881000 AM"
"900022","1000107","04","22-JUL-11","0","SYSTEM","17-MAY-26 07.48.05.796881000 PM","SYSTEM","18-APR-26 05.16.26.796881000 AM"
"900023","1000108","01","15-FEB-10","0","SYSTEM","24-JUN-26 06.04.55.797905000 AM","SYSTEM","12-JUN-26 11.47.07.797905000 AM"
"900024","1000109","01","03-NOV-11","0","SYSTEM","03-JUN-26 09.04.52.797905000 AM","SYSTEM","07-MAY-26 04.58.52.797905000 AM"
"900025","1000110","04","16-SEP-10","0","SYSTEM","07-DEC-25 11.18.15.797905000 AM","SYSTEM","12-NOV-25 07.20.44.797905000 PM"
"900026","1000111","04","23-OCT-09","0","SYSTEM","06-MAY-26 03.52.29.798916000 AM","SYSTEM","02-MAY-26 02.08.14.798916000 AM"
"900027","1000112","01","05-MAY-11","0","SYSTEM","15-MAR-26 12.32.59.798916000 PM","SYSTEM","14-MAR-26 01.21.31.798916000 AM"
"900028","1000113","01","08-MAY-11","0","SYSTEM","23-AUG-25 12.20.50.798916000 PM","SYSTEM","08-AUG-25 03.32.42.798916000 PM"
"900029","1000114","04","03-MAR-11","0","SYSTEM","31-AUG-25 02.22.58.799924000 AM","SYSTEM","09-AUG-25 03.16.02.799924000 AM"
"900030","1000115","04","02-JUN-11","0","SYSTEM","02-APR-26 07.45.39.799924000 AM","SYSTEM","28-MAR-26 10.47.41.799924000 PM"
"900031","1000116","01","21-DEC-09","0","SYSTEM","02-AUG-26 10.08.53.799924000 PM","SYSTEM","06-JUL-26 01.18.12.799924000 AM"
"900032","1000117","01","13-JAN-10","0","SYSTEM","09-FEB-26 07.58.36.800925000 PM","SYSTEM","15-JAN-26 03.19.20.800925000 PM"
"900033","1000118","01","21-SEP-10","0","SYSTEM","10-MAR-26 08.23.48.800925000 AM","SYSTEM","09-MAR-26 08.00.49.800925000 PM"
"900034","1000119","01","30-JUN-11","0","SYSTEM","16-OCT-25 05.40.02.800925000 PM","SYSTEM","22-SEP-25 12.36.26.800925000 AM"
"900035","1000120","01","25-OCT-11","0","SYSTEM","26-MAR-26 03.55.01.801927000 AM","SYSTEM","12-MAR-26 11.14.55.801927000 AM"
"900036","1000121","04","21-MAY-11","0","SYSTEM","05-NOV-25 08.18.47.801927000 PM","SYSTEM","10-OCT-25 05.49.50.801927000 PM"
