"p_grp_sys_id","p_mbr_sys_id","p_affl_sk","p_affl_beg_dt","p_affl_ty_cd","p_affl_end_dt","l_hibernate_ver_num","g_aud_user_id","g_aud_ts","g_aud_add_user_id","g_aud_add_ts"
"900191","900154","1000089","28-JUL-63","M","24-JAN-64","7","SYSTEM","24-AUG-25 03.34.47.604405000 AM","SYSTEM","08-AUG-25 06.24.04.604405000 AM"
"900171","900179","1000090","30-DEC-70","M","14-FEB-75","7","SYSTEM","13-MAY-26 02.08.27.604405000 PM","SYSTEM","13-APR-26 08.40.45.604405000 PM"
"900178","900185","1000091","20-JUL-40","M","13-DEC-40","7","SYSTEM","13-JUL-26 02.20.50.604405000 AM","SYSTEM","13-JUN-26 01.04.13.604405000 AM"
"900190","900178","1000092","26-MAR-25","M","12-MAR-29","7","SYSTEM","22-JUL-26 07.40.53.604405000 PM","SYSTEM","19-JUL-26 06.23.42.604405000 AM"
"900170","900172","1000093","18-AUG-69","M","11-MAY-73","7","SYSTEM","22-JUN-26 02.00.01.604405000 AM","SYSTEM","05-JUN-26 10.50.19.604405000 PM"
"900177","900186","1000094","06-SEP-38","M","18-MAY-41","7","SYSTEM","12-APR-26 06.55.38.604405000 PM","SYSTEM","16-MAR-26 07.50.54.604405000 PM"
"900152","900188","1000095","09-JAN-29","M","30-MAR-33","7","SYSTEM","31-AUG-25 07.18.59.605446000 PM","SYSTEM","02-AUG-25 06.29.27.605446000 PM"
"900186","900178","1000096","25-APR-63","M","11-JUL-63","7","SYSTEM","10-MAR-26 05.01.09.605446000 AM","SYSTEM","28-FEB-26 09.41.26.605446000 AM"
"900194","900197","1000097","07-DEC-16","M","18-JUL-20","7","SYSTEM","08-MAR-26 12.36.51.605446000 PM","SYSTEM","16-FEB-26 06.45.15.605446000 AM"
"900200","900173","1000098","20-DEC-09","M","04-OCT-15","7","SYSTEM","22-MAR-26 11.01.57.605446000 PM","SYSTEM","21-FEB-26 07.44.30.605446000 AM"
"900162","900164","1000099","09-MAY-35","M","07-MAR-38","7","SYSTEM","04-SEP-25 02.50.54.605446000 AM","SYSTEM","24-AUG-25 03.35.07.605446000 PM"
"900167","900180","1000100","06-AUG-08","M","04-OCT-15","7","SYSTEM","20-OCT-25 08.53.26.605446000 AM","SYSTEM","09-OCT-25 08.16.13.605446000 AM"
"900199","900191","1000101","04-SEP-15","M","04-OCT-15","7","SYSTEM","07-OCT-25 12.25.59.605446000 AM","SYSTEM","25-SEP-25 07.10.52.605446000 PM"
"900166","900183","1000102","02-JAN-39","M","09-APR-42","7","SYSTEM","30-OCT-25 01.41.35.606499000 AM","SYSTEM","13-OCT-25 03.23.33.606499000 AM"
"900198","900174","1000103","01-AUG-17","M","17-AUG-18","7","SYSTEM","15-SEP-25 06.59.54.606499000 AM","SYSTEM","10-SEP-25 11.56.49.606499000 PM"
"900160","900188","1000104","06-AUG-51","M","29-JAN-56","7","SYSTEM","18-OCT-25 01.27.29.606499000 PM","SYSTEM","18-OCT-25 11.07.04.606499000 AM"
"900192","900200","1000105","27-MAR-47","M","30-JUN-49","7","SYSTEM","27-FEB-26 03.01.45.606499000 AM","SYSTEM","09-FEB-26 07.27.44.606499000 PM"
"900185","900196","1000106","14-JUN-57","M","18-FEB-62","7","SYSTEM","16-APR-26 07.08.51.606499000 AM","SYSTEM","03-APR-26 05.03.33.606499000 PM"
"900172","900153","1000107","09-NOV-52","M","07-JAN-57","7","SYSTEM","25-AUG-25 08.11.15.606499000 AM","SYSTEM","28-JUL-25 12.11.03.606499000 PM"
"900176","900165","1000108","22-SEP-14","M","04-OCT-15","7","SYSTEM","12-APR-26 04.55.22.607500000 PM","SYSTEM","05-APR-26 12.22.33.607500000 PM"
"900184","900170","1000109","25-JUN-70","M","22-NOV-73","7","SYSTEM","31-MAY-26 11.28.47.607500000 PM","SYSTEM","28-MAY-26 08.04.53.607500000 PM"
"900175","900156","1000110","26-MAY-47","M","28-JAN-51","7","SYSTEM","19-APR-26 07.44.53.607500000 AM","SYSTEM","17-APR-26 04.50.09.607500000 AM"
"900168","900164","1000111","07-FEB-50","M","05-NOV-51","7","SYSTEM","11-AUG-25 05.07.55.607500000 PM","SYSTEM","06-AUG-25 11.02.15.607500000 PM"
"900159","900152","1000112","23-JUL-29","M","12-MAR-31","7","SYSTEM","20-JUN-26 10.44.38.607500000 PM","SYSTEM","25-MAY-26 05.13.58.607500000 PM"
"900153","900156","1000113","19-SEP-74","M","13-DEC-74","7","SYSTEM","12-OCT-25 05.31.37.607500000 PM","SYSTEM","24-SEP-25 05.01.21.607500000 AM"
"900164","900189","1000114","16-FEB-43","M","08-DEC-44","7","SYSTEM","06-JAN-26 12.12.46.607500000 PM","SYSTEM","26-DEC-25 01.01.21.607500000 AM"
"900193","900151","1000115","19-AUG-16","M","30-JUL-19","7","SYSTEM","22-MAR-26 05.34.17.608507000 AM","SYSTEM","08-MAR-26 02.02.16.608507000 PM"
"900156","900156","1000116","05-JUN-72","M","14-FEB-77","7","SYSTEM","07-FEB-26 05.28.44.608507000 PM","SYSTEM","29-JAN-26 12.35.56.608507000 PM"
"900179","900166","1000117","12-OCT-41","M","07-MAR-45","7","SYSTEM","27-MAR-26 04.43.35.608507000 PM","SYSTEM","15-MAR-26 10.48.45.608507000 AM"
"900188","900169","1000118","06-NOV-44","M","03-AUG-47","7","SYSTEM","18-JAN-26 06.08.30.608507000 PM","SYSTEM","12-JAN-26 04.30.05.608507000 PM"
"900173","900160","1000119","06-DEC-46","M","23-JAN-50","7","SYSTEM","11-JAN-26 08.02.57.608507000 AM","SYSTEM","15-DEC-25 07.37.39.608507000 AM"
"900181","900177","1000120","25-NOV-73","M","22-JUL-77","7","SYSTEM","03-DEC-25 05.32.26.608507000 PM","SYSTEM","17-NOV-25 07.53.43.608507000 PM"
"900154","900183","1000121","10-JAN-37","M","03-NOV-41","7","SYSTEM","31-MAR-26 06.11.53.608507000 AM","SYSTEM","17-MAR-26 02.52.02.608507000 PM"
"900197","900158","1000122","29-AUG-35","M","16-MAR-38","7","SYSTEM","31-OCT-25 02.53.57.609527000 AM","SYSTEM","25-OCT-25 10.52.13.609527000 PM"
"900182","900171","1000123","27-AUG-74","M","07-SEP-76","7","SYSTEM","23-MAR-26 05.45.22.609527000 AM","SYSTEM","10-MAR-26 09.27.54.609527000 AM"
"900183","900154","1000124","14-JAN-59","M","16-NOV-61","7","SYSTEM","19-NOV-25 02.54.27.609527000 AM","SYSTEM","17-NOV-25 01.36.48.609527000 PM"
"900195","900168","1000125","19-MAR-66","M","17-JAN-69","7","SYSTEM","04-OCT-25 06.40.18.609527000 AM","SYSTEM","30-SEP-25 09.16.58.609527000 AM"
"900187","900166","1000126","12-AUG-28","M","29-OCT-32","7","SYSTEM","05-AUG-26 08.57.06.609527000 AM","SYSTEM","11-JUL-26 04.39.32.609527000 PM"
"900155","900171","1000127","19-FEB-09","M","04-OCT-15","7","SYSTEM","31-AUG-25 03.18.32.609527000 AM","SYSTEM","04-AUG-25 06.29.11.609527000 AM"
"900169","900200","1000128","29-OCT-47","M","02-NOV-51","7","SYSTEM","06-SEP-25 04.25.55.609527000 PM","SYSTEM","27-AUG-25 02.27.54.609527000 PM"
