"p_sys_id","p_appl_stat_sk","p_appl_stat_cd","p_appl_stat_dt","l_hibernate_ver_num","g_aud_user_id","g_aud_ts","g_aud_add_user_id","g_aud_add_ts"
"900189","212589","PS","04-APR-13","0","SYSTEM","01-MAY-26 06.03.46.671463000 AM","SYSTEM","11-APR-26 07.47.35.671463000 PM"
"900198","212590","IW","04-APR-13","0","SYSTEM","31-JUL-26 08.02.45.671463000 PM","SYSTEM","07-JUL-26 11.04.20.671463000 AM"
"900199","212591","IW","04-APR-13","0","SYSTEM","05-FEB-26 07.53.48.672215000 AM","SYSTEM","28-JAN-26 09.44.57.672215000 AM"
"900158","212592","PS","04-APR-13","0","SYSTEM","19-SEP-25 12.53.36.673280000 AM","SYSTEM","25-AUG-25 09.55.45.673280000 AM"
"900176","212593","PS","04-APR-13","0","SYSTEM","19-JUN-26 09.39.33.673280000 AM","SYSTEM","31-MAY-26 12.46.57.673280000 PM"
"900162","212594","IW","04-APR-13","0","SYSTEM","28-NOV-25 06.27.14.674265000 AM","SYSTEM","03-NOV-25 07.04.27.674265000 AM"
"900192","212595","IW","04-APR-13","0","SYSTEM","20-MAY-26 04.48.16.675283000 AM","SYSTEM","27-APR-26 10.20.08.675283000 AM"
"900187","212596","IW","04-APR-13","0","SYSTEM","08-AUG-25 10.25.38.676275000 PM","SYSTEM","06-AUG-25 11.19.40.676275000 AM"
"900184","212597","PS","04-APR-13","0","SYSTEM","21-FEB-26 09.14.21.677278000 AM","SYSTEM","01-FEB-26 10.04.36.677278000 AM"
"900190","212598","IW","04-APR-13","0","SYSTEM","30-NOV-25 10.36.19.677278000 PM","SYSTEM","01-NOV-25 02.28.46.677278000 AM"
"900152","212599","IW","04-APR-13","0","SYSTEM","03-MAR-26 11.48.13.678279000 AM","SYSTEM","02-FEB-26 06.02.16.678279000 PM"
"900191","212600","PS","04-APR-13","0","SYSTEM","12-DEC-25 02.00.52.679502000 AM","SYSTEM","14-NOV-25 09.43.01.679502000 PM"
"900175","212601","IW","04-APR-13","0","SYSTEM","04-APR-26 09.25.52.680545000 AM","SYSTEM","29-MAR-26 09.55.37.680545000 PM"
"900196","212602","IW","04-APR-13","0","SYSTEM","23-APR-26 05.46.29.681539000 AM","SYSTEM","12-APR-26 01.30.35.681539000 PM"
"900166","212603","IW","04-APR-13","0","SYSTEM","27-AUG-25 10.14.31.681539000 AM","SYSTEM","12-AUG-25 02.16.46.681539000 AM"
"900174","212604","PS","04-APR-13","0","SYSTEM","18-MAR-26 03.39.52.682703000 PM","SYSTEM","17-FEB-26 07.50.30.682703000 AM"
"900179","212605","PS","04-APR-13","0","SYSTEM","13-SEP-25 12.24.00.683711000 AM","SYSTEM","16-AUG-25 10.15.51.683711000 AM"
"900185","212606","PS","04-APR-13","0","SYSTEM","09-OCT-25 12.26.33.684710000 PM","SYSTEM","16-SEP-25 07.56.47.684710000 AM"
"900195","212607","PS","04-APR-13","0","SYSTEM","04-DEC-25 03.30.39.684710000 AM","SYSTEM","13-NOV-25 07.34.52.684710000 AM"
"900157","212608","PS","04-APR-13","0","SYSTEM","28-JUN-26 04.59.30.685735000 AM","SYSTEM","12-JUN-26 05.46.52.685735000 PM"
"900197","212609","IW","04-APR-13","0","SYSTEM","22-APR-26 07.44.34.687385000 AM","SYSTEM","20-APR-26 04.55.26.687385000 PM"
"900173","212610","IW","04-APR-13","0","SYSTEM","08-NOV-25 05.15.51.688456000 AM","SYSTEM","19-OCT-25 02.57.48.688456000 PM"
"900194","212611","PS","04-APR-13","0","SYSTEM","12-MAY-26 12.24.37.690446000 AM","SYSTEM","04-MAY-26 11.43.56.690446000 PM"
"900151","212612","IW","04-APR-13","0","SYSTEM","14-FEB-26 03.07.08.691447000 AM","SYSTEM","02-FEB-26 03.39.51.691447000 AM"
"900163","212613","IW","04-APR-13","0","SYSTEM","06-FEB-26 04.56.46.692450000 PM","SYSTEM","26-JAN-26 03.01.24.692450000 PM"
"900186","212614","PS","04-APR-13","0","SYSTEM","09-MAR-26 04.39.52.694792000 PM","SYSTEM","10-FEB-26 03.44.52.694792000 PM"
"900177","212615","IW","04-APR-13","0","SYSTEM","27-DEC-25 07.42.31.695744000 AM","SYSTEM","17-DEC-25 08.15.04.695744000 PM"
"900172","212616","PS","04-APR-13","0","SYSTEM","14-NOV-25 07.17.21.696809000 PM","SYSTEM","26-OCT-25 12.39.20.696809000 PM"
"900180","212617","IW","04-APR-13","0","SYSTEM","07-APR-26 02.25.59.697788000 PM","SYSTEM","12-MAR-26 10.24.58.697788000 PM"
"900182","212618","IW","04-APR-13","0","SYSTEM","29-MAR-26 01.04.08.698791000 AM","SYSTEM","15-MAR-26 10.41.35.698791000 AM"
"900153","212619","PS","04-APR-13","0","SYSTEM","22-AUG-25 02.48.13.699794000 AM","SYSTEM","22-JUL-25 08.30.18.699794000 PM"
"900165","212620","PS","04-APR-13","0","SYSTEM","03-FEB-26 07.36.13.699794000 AM","SYSTEM","31-JAN-26 08.09.17.699794000 AM"
"900181","212621","PS","04-APR-13","0","SYSTEM","22-NOV-25 05.10.25.700796000 AM","SYSTEM","11-NOV-25 06.51.15.700796000 PM"
"900168","212622","PS","04-APR-13","0","SYSTEM","31-JUL-26 12.26.46.701790000 AM","SYSTEM","11-JUL-26 06.27.16.701790000 PM"
"900154","212623","IW","04-APR-13","0","SYSTEM","08-JUL-26 03.25.06.701790000 PM","SYSTEM","13-JUN-26 02.41.08.701790000 PM"
"900159","212624","IW","04-APR-13","0","SYSTEM","01-NOV-25 05.13.20.703007000 AM","SYSTEM","01-OCT-25 07.29.36.703007000 PM"
"900164","212625","IW","04-APR-13","0","SYSTEM","02-APR-26 12.07.49.703007000 PM","SYSTEM","05-MAR-26 07.35.08.703007000 AM"
"900171","212626","IW","04-APR-13","0","SYSTEM","21-DEC-25 01.30.35.704007000 PM","SYSTEM","13-DEC-25 04.58.52.704007000 AM"
"900156","212627","PS","04-APR-13","0","SYSTEM","20-SEP-25 06.33.04.705015000 AM","SYSTEM","30-AUG-25 09.51.57.705015000 PM"
"900160","212628","PS","04-APR-13","0","SYSTEM","09-OCT-25 09.11.02.705015000 PM","SYSTEM","01-OCT-25 07.00.40.705015000 AM"
"900200","212629","PS","04-APR-13","0","SYSTEM","09-MAY-26 07.45.19.706014000 AM","SYSTEM","08-MAY-26 03.05.22.706014000 PM"
"900193","212630","PS","04-APR-13","0","SYSTEM","29-AUG-25 01.15.20.706968000 AM","SYSTEM","04-AUG-25 09.52.52.706968000 PM"
"900183","212631","IW","04-APR-13","0","SYSTEM","24-JUL-26 09.29.32.708028000 AM","SYSTEM","12-JUL-26 03.04.00.708028000 PM"
"900161","212632","PS","04-APR-13","0","SYSTEM","11-JUL-26 11.24.27.708028000 PM","SYSTEM","18-JUN-26 11.54.45.708028000 AM"
"900167","212633","IW","04-APR-13","0","SYSTEM","17-JUL-26 01.12.15.709037000 AM","SYSTEM","12-JUL-26 09.51.33.709037000 AM"
"900178","212634","IW","04-APR-13","0","SYSTEM","23-JUN-26 02.36.44.710042000 AM","SYSTEM","10-JUN-26 01.51.24.710042000 PM"
"900188","212635","IW","04-APR-13","0","SYSTEM","01-JAN-26 07.47.19.710042000 AM","SYSTEM","01-DEC-25 05.08.28.710042000 PM"
"900169","212636","IW","04-APR-13","0","SYSTEM","23-MAR-26 08.28.17.711034000 PM","SYSTEM","22-FEB-26 10.48.16.711034000 AM"
"900155","212637","PS","04-APR-13","0","SYSTEM","09-JUL-26 01.28.46.711968000 AM","SYSTEM","22-JUN-26 06.57.37.711968000 AM"
"900170","212638","PS","04-APR-13","0","SYSTEM","31-MAY-26 06.47.29.711968000 AM","SYSTEM","17-MAY-26 12.17.53.711968000 PM"
