"p_clia_num","p_clia_cert_li_num","p_clia_cert_ty_cd","p_clia_cert_beg_dt","p_clia_cert_end_dt","p_clia_lab_ty_cd","l_hibernate_ver_num","g_aud_user_id","g_aud_ts","g_aud_add_user_id","g_aud_add_ts","p_clia_cert_seq_num"
"17D8302167","1","3","26-SEP-18","04-JUL-88","2","0","SYSTEM","12-JUL-26 02.34.01.419359000 AM","SYSTEM","25-JUN-26 12.23.25.419359000 AM","1"
"11D2079361","5","4","25-APR-90","03-JAN-92","2","0","SYSTEM","27-JAN-26 08.39.34.420359000 AM","SYSTEM","09-JAN-26 01.47.28.420359000 PM","2"
"03D8466421","6","3","25-JUL-25","21-DEC-57","2","0","SYSTEM","30-SEP-25 08.48.14.420872000 PM","SYSTEM","06-SEP-25 12.22.04.420872000 PM","3"
"13D8223495","2","3","06-SEP-83","29-JAN-86","2","0","SYSTEM","18-APR-26 10.47.00.421876000 PM","SYSTEM","30-MAR-26 09.06.14.421876000 PM","4"
"45D8598589","7","4","17-OCT-21","19-AUG-30","2","0","SYSTEM","23-DEC-25 08.05.21.421876000 AM","SYSTEM","05-DEC-25 08.53.19.421876000 AM","5"
"08D3514864","8","4","23-APR-53","22-NOV-53","2","0","SYSTEM","03-OCT-25 12.17.39.423143000 AM","SYSTEM","18-SEP-25 05.53.50.423143000 AM","6"
"79D5587343","3","4","08-JAN-42","05-SEP-45","2","0","SYSTEM","23-DEC-25 07.26.37.423756000 PM","SYSTEM","14-DEC-25 10.59.00.423756000 AM","7"
"71D6636533","10","3","06-DEC-35","18-FEB-39","2","0","SYSTEM","13-SEP-25 07.55.32.423756000 PM","SYSTEM","20-AUG-25 01.11.30.423756000 PM","8"
"21D9025110","9","4","16-AUG-17","27-MAY-18","2","0","SYSTEM","19-NOV-25 04.22.09.424768000 AM","SYSTEM","19-OCT-25 09.25.44.424768000 AM","9"
"50D8785894","4","4","22-JAN-52","31-OCT-92","2","0","SYSTEM","17-JUN-26 03.04.29.425766000 AM","SYSTEM","15-JUN-26 04.22.24.425766000 AM","10"
"84D8256884","5","3","14-OCT-83","26-AUG-88","2","0","SYSTEM","22-APR-26 10.11.50.425766000 AM","SYSTEM","29-MAR-26 04.26.03.425766000 AM","11"
"01D7738042","9","4","06-NOV-21","12-MAY-65","2","0","SYSTEM","20-DEC-25 01.32.05.426767000 PM","SYSTEM","28-NOV-25 06.47.58.426767000 PM","12"
"75D1637980","6","4","18-OCT-36","02-MAY-41","2","0","SYSTEM","20-MAR-26 04.44.44.427766000 AM","SYSTEM","18-FEB-26 06.07.13.427766000 AM","13"
"75D4448710","9","3","23-FEB-47","18-DEC-51","2","0","SYSTEM","04-DEC-25 12.11.21.428766000 PM","SYSTEM","28-NOV-25 01.31.25.428766000 AM","14"
"79D9417162","6","3","11-DEC-37","01-JAN-39","2","0","SYSTEM","22-AUG-25 07.06.52.428766000 PM","SYSTEM","21-AUG-25 09.48.07.428766000 AM","15"
"02D4969119","8","4","29-NOV-32","04-FEB-42","2","0","SYSTEM","23-MAY-26 12.13.39.430271000 PM","SYSTEM","02-MAY-26 05.08.09.430271000 AM","16"
"47D6123894","4","4","19-JUN-82","06-SEP-82","2","0","SYSTEM","12-MAR-26 10.18.17.431283000 PM","SYSTEM","14-FEB-26 06.11.55.431283000 PM","17"
"42D2391647","2","3","12-FEB-46","24-FEB-49","2","0","SYSTEM","23-NOV-25 11.07.41.432281000 PM","SYSTEM","10-NOV-25 09.02.15.432281000 PM","18"
"51D7844612","10","3","15-SEP-53","05-JUL-55","2","0","SYSTEM","19-OCT-25 07.40.38.432281000 AM","SYSTEM","29-SEP-25 02.20.13.432281000 AM","19"
"50D3157366","5","4","17-AUG-81","23-MAR-90","2","0","SYSTEM","26-MAR-26 01.56.11.433569000 PM","SYSTEM","05-MAR-26 09.30.49.433569000 PM","20"
"92D7158868","6","3","30-JAN-36","21-FEB-79","2","0","SYSTEM","30-JUL-26 11.51.00.434568000 PM","SYSTEM","14-JUL-26 08.59.55.434568000 PM","21"
"81D7494572","10","4","09-APR-81","02-NOV-85","2","0","SYSTEM","16-SEP-25 01.12.45.435567000 PM","SYSTEM","04-SEP-25 10.04.16.435567000 AM","22"
"08D1021263","7","4","28-DEC-71","05-SEP-75","2","0","SYSTEM","22-JUL-26 09.20.05.436568000 PM","SYSTEM","01-JUL-26 09.51.35.436568000 PM","23"
"78D6756931","2","4","17-FEB-79","24-JAN-82","2","0","SYSTEM","20-MAY-26 11.50.23.437567000 AM","SYSTEM","06-MAY-26 10.37.27.437567000 PM","24"
"93D1905334","7","4","21-JAN-51","20-DEC-86","2","0","SYSTEM","29-OCT-25 06.54.59.437567000 PM","SYSTEM","28-OCT-25 07.26.39.437567000 PM","25"
"88D3275049","1","3","08-JAN-22","20-OCT-59","2","0","SYSTEM","19-MAR-26 05.05.40.439201000 PM","SYSTEM","23-FEB-26 03.33.53.439201000 AM","26"
