"p_clia_num","p_clia_lab_cd","p_clia_cert_beg_dt","p_clia_cert_end_dt","l_hibernate_ver_num","g_aud_user_id","g_aud_ts","g_aud_add_user_id","g_aud_add_ts"
"89D7441282","320","19-JAN-94","06-APR-94","0","SYSTEM","18-MAR-26 09.04.05.810175000 PM","SYSTEM","28-FEB-26 04.06.53.810175000 PM"
"12D5184498","310","19-JAN-94","14-OCT-95","0","SYSTEM","04-MAY-26 08.05.33.811176000 AM","SYSTEM","27-APR-26 02.39.20.811176000 PM"
"41D6751022","320","19-JAN-94","05-NOV-96","0","SYSTEM","14-SEP-25 08.57.24.811176000 PM","SYSTEM","29-AUG-25 12.14.49.811176000 PM"
"33D2027526","310","19-JAN-94","02-MAY-96","0","SYSTEM","20-JAN-26 05.37.16.812264000 AM","SYSTEM","06-JAN-26 03.42.55.812264000 PM"
"28D4115599","320","19-JAN-94","14-AUG-94","0","SYSTEM","18-JUL-26 05.57.00.812264000 PM","SYSTEM","13-JUL-26 06.18.09.812264000 AM"
"22D9033468","320","19-JAN-94","11-NOV-97","0","SYSTEM","30-SEP-25 10.50.38.812264000 AM","SYSTEM","23-SEP-25 09.05.10.812264000 PM"
"77D8523537","320","19-JAN-94","01-MAY-95","0","SYSTEM","02-MAR-26 10.09.39.813552000 PM","SYSTEM","14-FEB-26 12.42.30.813552000 PM"
"01D8316341","320","19-JAN-94","26-JAN-95","0","SYSTEM","07-APR-26 05.26.23.814564000 AM","SYSTEM","07-MAR-26 10.28.53.814564000 PM"
"32D2586041","320","19-JAN-94","08-JUN-97","0","SYSTEM","06-AUG-25 04.18.17.814564000 AM","SYSTEM","30-JUL-25 06.00.06.814564000 AM"
"90D0443195","310","19-JAN-94","15-OCT-96","0","SYSTEM","21-JAN-26 07.19.35.814564000 AM","SYSTEM","09-JAN-26 11.08.50.814564000 AM"
"29D5511888","320","19-JAN-94","01-JUL-96","0","SYSTEM","17-MAR-26 03.21.34.815545000 PM","SYSTEM","25-FEB-26 10.19.35.815545000 PM"
"26D1364081","320","19-JAN-94","21-JUN-94","0","SYSTEM","22-FEB-26 12.56.40.815545000 PM","SYSTEM","11-FEB-26 04.50.58.815545000 PM"
"22D8978843","310","19-JAN-94","07-JUL-97","0","SYSTEM","02-OCT-25 02.04.13.816546000 PM","SYSTEM","18-SEP-25 11.38.10.816546000 PM"
"76D4515559","320","19-JAN-94","14-JUN-98","0","SYSTEM","15-NOV-25 12.54.56.816546000 AM","SYSTEM","01-NOV-25 12.17.27.816546000 AM"
"49D5079345","320","19-JAN-94","23-JUL-97","0","SYSTEM","18-JUL-26 01.40.57.817545000 AM","SYSTEM","17-JUN-26 09.29.09.817545000 PM"
"80D6145609","320","19-JAN-94","05-MAY-96","0","SYSTEM","11-AUG-25 07.02.27.817545000 PM","SYSTEM","09-AUG-25 06.17.53.817545000 AM"
"82D5098755","310","19-JAN-94","20-JUL-94","0","SYSTEM","08-JAN-26 08.30.15.817545000 AM","SYSTEM","23-DEC-25 11.50.35.817545000 AM"
"51D7596835","310","19-JAN-94","20-JAN-95","0","SYSTEM","20-FEB-26 02.57.37.818541000 AM","SYSTEM","30-JAN-26 03.41.43.818541000 PM"
"97D6925748","320","19-JAN-94","17-JUN-95","0","SYSTEM","15-FEB-26 06.00.44.818541000 PM","SYSTEM","17-JAN-26 12.44.24.818541000 PM"
"61D0249438","310","19-JAN-94","10-MAY-98","0","SYSTEM","22-JAN-26 05.49.42.819541000 PM","SYSTEM","08-JAN-26 12.57.31.819541000 AM"
"01D3703072","310","19-JAN-94","06-SEP-97","0","SYSTEM","20-APR-26 08.39.43.819541000 AM","SYSTEM","02-APR-26 07.08.32.819541000 PM"
"69D9423284","310","19-JAN-94","29-APR-98","0","SYSTEM","04-JUL-26 06.24.11.820043000 AM","SYSTEM","22-JUN-26 06.59.23.820043000 AM"
"30D0510254","310","19-JAN-94","13-JAN-99","0","SYSTEM","05-MAY-26 01.33.57.820043000 PM","SYSTEM","05-MAY-26 12.59.21.820043000 AM"
"58D3397368","310","19-JAN-94","06-JUN-94","0","SYSTEM","29-APR-26 12.12.48.821046000 PM","SYSTEM","06-APR-26 01.05.27.821046000 PM"
"31D1030096","310","19-JAN-94","26-APR-95","0","SYSTEM","28-MAY-26 11.14.26.821046000 AM","SYSTEM","27-MAY-26 08.42.36.821046000 AM"
"91D9983205","320","19-JAN-94","15-FEB-98","0","SYSTEM","17-APR-26 11.27.01.822046000 PM","SYSTEM","17-APR-26 05.53.20.822046000 PM"
"49D7368039","320","19-JAN-94","02-JUN-98","0","SYSTEM","29-OCT-25 10.01.38.822046000 PM","SYSTEM","05-OCT-25 03.14.57.822046000 PM"
"25D7141089","320","19-JAN-94","11-NOV-97","0","SYSTEM","24-NOV-25 12.45.27.822046000 AM","SYSTEM","03-NOV-25 09.30.32.822046000 AM"
"13D8137482","310","19-JAN-94","26-JAN-98","0","SYSTEM","09-NOV-25 12.31.20.823358000 AM","SYSTEM","05-NOV-25 05.48.07.823358000 AM"
"27D9365967","320","19-JAN-94","03-AUG-98","0","SYSTEM","10-MAR-26 12.51.59.823358000 AM","SYSTEM","20-FEB-26 09.50.50.823358000 AM"
"54D2557620","310","19-JAN-94","07-SEP-95","0","SYSTEM","21-JAN-26 04.48.29.823358000 PM","SYSTEM","01-JAN-26 10.18.57.823358000 AM"
"53D3724304","320","19-JAN-94","01-APR-98","0","SYSTEM","31-JUL-26 11.16.25.824371000 AM","SYSTEM","14-JUL-26 10.30.59.824371000 AM"
"87D1099075","320","19-JAN-94","12-AUG-96","0","SYSTEM","10-MAR-26 10.35.40.824371000 AM","SYSTEM","13-FEB-26 09.15.19.824371000 AM"
