"p_clia_num","p_clia_lab_pay_ind","p_clia_fed_tax_id","p_clia_mcare_num","p_clia_upd_dt","p_clia_add_dt","p_clia_lab_nam","p_clia_npi_num","g_cmn_enty_sk","g_note_set_sk","l_hibernate_ver_num","g_aud_user_id","g_aud_ts","g_aud_add_user_id","g_aud_add_ts"
"94D2533169","Y","848865394","","17-DEC-15","26-NOV-13","Mayo Clinic Physicians Group","","1000001","1000001","0","SYSTEM","19-MAR-26 04.37.10.834317000 PM","SYSTEM","23-FEB-26 10.34.06.834317000 AM"
"21D9025110","Y","134676867","","07-MAR-21","26-NOV-13","Mayo Clinic Hospital","","1000002","1000002","0","SYSTEM","02-AUG-26 04.43.56.834317000 AM","SYSTEM","11-JUL-26 01.40.23.834317000 PM"
"70D7642311","Y","257465419","","26-MAR-19","26-NOV-13","Sanford Hospital","","1000003","1000003","0","SYSTEM","18-FEB-26 10.47.58.834317000 PM","SYSTEM","19-JAN-26 07.46.15.834317000 PM"
"63D6508881","Y","632651212","","29-SEP-23","26-NOV-13","Trinity Lab Services","","1000004","1000004","0","SYSTEM","11-MAY-26 04.12.12.835355000 AM","SYSTEM","28-APR-26 03.10.22.835355000 PM"
"50D3157366","Y","549344757","","08-MAR-20","26-NOV-13","Kaiser Lab Services","","1000005","1000005","0","SYSTEM","14-MAY-26 03.36.09.835355000 PM","SYSTEM","09-MAY-26 10.39.52.835355000 PM"
"88D4245155","Y","848356989","","15-MAR-16","26-NOV-13","Mercy Hospital","","1000006","1000006","0","SYSTEM","29-SEP-25 05.06.04.836365000 AM","SYSTEM","03-SEP-25 08.38.41.836365000 AM"
"32D7235980","Y","309100089","","22-NOV-16","26-NOV-13","Trinity Health System","","1000007","1000007","0","SYSTEM","02-MAY-26 07.30.12.836365000 AM","SYSTEM","01-MAY-26 11.43.46.836365000 PM"
"32D3485963","Y","114031999","","23-JAN-20","26-NOV-13","Valley Care Health System","","1000008","1000008","0","SYSTEM","10-OCT-25 07.35.41.836365000 AM","SYSTEM","04-OCT-25 02.06.08.836365000 AM"
"08D1021263","Y","623152131","","24-JAN-20","26-NOV-13","Midwest Lab Services","","1000009","1000009","0","SYSTEM","06-APR-26 01.49.59.837363000 PM","SYSTEM","15-MAR-26 03.16.49.837363000 PM"
"78D6756931","Y","425204140","","11-MAY-19","26-NOV-13","Trinity Physicians Group","","1000010","1000010","0","SYSTEM","28-APR-26 07.03.28.837363000 AM","SYSTEM","06-APR-26 07.49.58.837363000 PM"
"84D8256884","Y","089994045","","06-AUG-23","26-NOV-13","Mercy Lab Services","","1000011","1000011","0","SYSTEM","21-MAR-26 11.46.49.837363000 AM","SYSTEM","18-MAR-26 03.26.49.837363000 PM"
"26D3129180","Y","266080866","","14-MAR-23","26-NOV-13","Kaiser Specialty Clinic","","1000012","1000012","0","SYSTEM","26-FEB-26 01.45.30.838364000 AM","SYSTEM","01-FEB-26 03.11.28.838364000 AM"
"24D2033280","Y","401823462","","22-DEC-19","26-NOV-13","Midwest Specialty Clinic","","1000013","1000013","0","SYSTEM","07-MAY-26 11.08.25.838364000 PM","SYSTEM","12-APR-26 04.22.03.838364000 PM"
"54D9213185","Y","430473792","","05-SEP-19","26-NOV-13","Valley Care Medical Center","","1000014","1000014","0","SYSTEM","11-JAN-26 03.02.11.839364000 PM","SYSTEM","19-DEC-25 11.29.36.839364000 PM"
"88D3275049","Y","570988069","","03-MAR-18","26-NOV-13","St. Jude Physicians Group","","1000015","1000015","0","SYSTEM","17-APR-26 04.45.04.839364000 AM","SYSTEM","22-MAR-26 02.03.38.839364000 PM"
"42D2391647","Y","738626913","","25-JUL-19","26-NOV-13","Sanford Specialty Clinic","","1000016","1000016","0","SYSTEM","01-JAN-26 05.14.00.839364000 PM","SYSTEM","04-DEC-25 12.51.08.839364000 PM"
"11D2079361","Y","713436359","","28-JUL-16","26-NOV-13","St. Jude Hospital","","1000017","1000017","0","SYSTEM","06-NOV-25 04.09.22.840364000 PM","SYSTEM","16-OCT-25 05.50.50.840364000 PM"
"02D4969119","Y","879367765","","09-APR-16","26-NOV-13","Kaiser Physicians Group","","1000018","1000018","0","SYSTEM","21-APR-26 03.39.49.840364000 AM","SYSTEM","17-APR-26 01.39.54.840364000 PM"
"06D3371623","Y","629143886","","21-SEP-20","26-NOV-13","Methodist Dialysis Center","","1000019","1000019","0","SYSTEM","08-JAN-26 05.10.06.840364000 AM","SYSTEM","31-DEC-25 12.40.59.840364000 AM"
"45D8598589","Y","600034562","","18-OCT-16","26-NOV-13","Centura Medical Center","","1000020","1000020","0","SYSTEM","21-FEB-26 05.58.53.841367000 AM","SYSTEM","13-FEB-26 06.44.26.841367000 AM"
"71D6636533","Y","625818094","","02-MAR-20","26-NOV-13","Mercy Dialysis Center","","1000021","1000021","0","SYSTEM","13-AUG-26 10.30.29.841367000 AM","SYSTEM","16-JUL-26 01.36.50.841367000 AM"
"58D3468667","Y","307332296","","11-JUN-18","26-NOV-13","Midwest Physicians Group","","1000022","1000022","0","SYSTEM","16-MAY-26 07.30.03.841367000 AM","SYSTEM","04-MAY-26 02.21.34.841367000 PM"
"93D1905334","Y","688576755","","02-FEB-19","26-NOV-13","Centura Health System","","1000023","1000023","0","SYSTEM","04-SEP-25 03.25.44.842647000 PM","SYSTEM","17-AUG-25 03.25.36.842647000 PM"
"01D0323186","Y","172793228","","20-OCT-22","26-NOV-13","Centura Specialty Clinic","","1000024","1000024","0","SYSTEM","17-AUG-25 03.48.52.842647000 PM","SYSTEM","02-AUG-25 10.18.43.842647000 AM"
"03D8466421","Y","849383592","","25-FEB-17","26-NOV-13","Valley Care Lab Services","","1000025","1000025","0","SYSTEM","24-OCT-25 04.43.58.843643000 PM","SYSTEM","28-SEP-25 03.15.49.843643000 AM"
"50D8819703","Y","986669950","","13-AUG-17","26-NOV-13","Centura Physicians Group","","1000026","1000026","0","SYSTEM","08-MAY-26 08.05.46.843643000 AM","SYSTEM","25-APR-26 05.36.19.843643000 AM"
"55D3177109","Y","492592269","","06-JAN-16","26-NOV-13","Kaiser Health System","","1000027","1000027","0","SYSTEM","18-FEB-26 06.03.29.844650000 PM","SYSTEM","28-JAN-26 03.21.27.844650000 PM"
"75D4448710","Y","302748691","","09-JUL-16","26-NOV-13","Trinity Dialysis Center","","1000028","1000028","0","SYSTEM","14-JUL-26 05.22.13.844650000 AM","SYSTEM","04-JUL-26 02.31.57.844650000 PM"
"79D9417162","Y","448150600","","06-SEP-20","26-NOV-13","Valley Care Hospital","","1000029","1000029","0","SYSTEM","28-MAR-26 10.10.10.844650000 PM","SYSTEM","07-MAR-26 05.19.45.844650000 AM"
"51D7844612","Y","122071940","","20-FEB-16","26-NOV-13","Methodist Lab Services","","1000030","1000030","0","SYSTEM","21-AUG-25 02.45.15.845642000 PM","SYSTEM","21-JUL-25 07.14.05.845642000 PM"
"79D5587343","Y","193511998","","14-NOV-18","26-NOV-13","St. Jude Specialty Clinic","","1000031","1000031","0","SYSTEM","18-NOV-25 04.53.50.845642000 AM","SYSTEM","05-NOV-25 09.20.15.845642000 PM"
"50D8785894","Y","510737746","","11-JUL-22","26-NOV-13","Mayo Clinic Medical Center","","1000032","1000032","0","SYSTEM","17-JUL-26 08.04.39.846607000 PM","SYSTEM","30-JUN-26 04.59.36.846607000 PM"
"86D4943293","Y","073313505","","10-MAR-18","26-NOV-13","Midwest Dialysis Center","","1000033","1000033","0","SYSTEM","10-APR-26 11.41.20.846607000 AM","SYSTEM","19-MAR-26 09.52.22.846607000 PM"
"01D0590012","Y","763241087","","23-MAR-17","26-NOV-13","Mercy Medical Center","","1000034","1000034","0","SYSTEM","09-DEC-25 06.24.18.847652000 PM","SYSTEM","28-NOV-25 06.37.24.847652000 PM"
"47D6123894","Y","275458438","","14-JAN-19","26-NOV-13","Kaiser Hospital","","1000035","1000035","0","SYSTEM","21-JUN-26 02.07.52.847652000 AM","SYSTEM","29-MAY-26 02.10.50.847652000 PM"
"01D7738042","Y","655188502","","11-SEP-23","26-NOV-13","Valley Care Physicians Group","","1000036","1000036","0","SYSTEM","27-JAN-26 01.51.36.847652000 AM","SYSTEM","30-DEC-25 01.04.47.847652000 AM"
"99D1236961","Y","603240257","","16-MAY-21","26-NOV-13","Midwest Medical Center","","1000037","1000037","0","SYSTEM","21-OCT-25 01.11.14.848644000 AM","SYSTEM","16-OCT-25 02.44.22.848644000 AM"
"75D1637980","Y","072990006","","06-FEB-20","26-NOV-13","Valley Care Dialysis Center","","1000038","1000038","0","SYSTEM","08-SEP-25 12.10.03.848644000 PM","SYSTEM","20-AUG-25 05.45.29.848644000 PM"
"73D7531575","Y","102383140","","09-NOV-18","26-NOV-13","Centura Hospital","","1000039","1000039","0","SYSTEM","12-NOV-25 02.10.36.849643000 PM","SYSTEM","27-OCT-25 04.31.21.849643000 PM"
"85D6778315","Y","052950065","","26-SEP-17","26-NOV-13","Mayo Clinic Specialty Clinic","","1000040","1000040","0","SYSTEM","15-NOV-25 08.01.52.849643000 AM","SYSTEM","24-OCT-25 03.49.42.849643000 AM"
"08D3514864","Y","187933299","","17-OCT-18","26-NOV-13","Centura Dialysis Center","","1000041","1000041","0","SYSTEM","01-OCT-25 05.48.12.849643000 PM","SYSTEM","07-SEP-25 03.33.22.849643000 PM"
"07D8532179","Y","651718945","","12-NOV-21","26-NOV-13","Kaiser Dialysis Center","","1000042","1000042","0","SYSTEM","19-JAN-26 09.48.55.850653000 PM","SYSTEM","19-JAN-26 12.43.54.850653000 PM"
"81D7494572","Y","485629267","","05-AUG-22","26-NOV-13","Mercy Specialty Clinic","","1000043","1000043","0","SYSTEM","11-JUL-26 12.57.54.850653000 PM","SYSTEM","10-JUN-26 06.19.08.850653000 PM"
"92D7158868","Y","794768093","","28-OCT-23","26-NOV-13","Sanford Medical Center","","1000044","1000044","0","SYSTEM","02-DEC-25 08.49.35.851650000 AM","SYSTEM","03-NOV-25 10.09.55.851650000 PM"
"95D9863631","Y","355819138","","28-FEB-19","26-NOV-13","Methodist Medical Center","","1000045","1000045","0","SYSTEM","20-JUL-26 08.37.50.851650000 PM","SYSTEM","11-JUL-26 08.39.16.851650000 AM"
"69D0415559","Y","284749667","","09-DEC-17","26-NOV-13","Methodist Physicians Group","","1000046","1000046","0","SYSTEM","11-JUN-26 11.59.10.851650000 PM","SYSTEM","27-MAY-26 10.49.26.851650000 AM"
"73D5897402","Y","129580519","","18-MAY-19","26-NOV-13","Mercy Health System","","1000047","1000047","0","SYSTEM","10-APR-26 02.28.28.852846000 PM","SYSTEM","12-MAR-26 09.42.02.852846000 AM"
"17D8302167","Y","327684483","","07-NOV-16","26-NOV-13","Sanford Health System","","1000048","1000048","0","SYSTEM","09-NOV-25 02.55.31.852846000 PM","SYSTEM","24-OCT-25 06.25.54.852846000 PM"
"13D8223495","Y","218253978","","25-DEC-17","26-NOV-13","Methodist Health System","","1000049","1000049","0","SYSTEM","27-AUG-25 06.14.34.852846000 AM","SYSTEM","23-AUG-25 05.48.41.852846000 AM"
"17D4206597","Y","808763003","","23-JAN-18","26-NOV-13","Mayo Clinic Lab Services","","1000050","1000050","0","SYSTEM","01-APR-26 07.56.55.853854000 PM","SYSTEM","03-MAR-26 04.44.59.853854000 AM"
