"p_sys_id","p_dsh_sk","p_dsh_pct","l_hibernate_ver_num","g_aud_add_ts","g_aud_add_user_id","g_aud_ts","g_aud_user_id"
"900158","1000051","","","","SYSTEM","","SYSTEM"
"900166","1000052","","","","SYSTEM","","SYSTEM"
"900176","1000053","","","","SYSTEM","","SYSTEM"
"900151","1000054","","","","SYSTEM","","SYSTEM"
"900188","1000055","","","","SYSTEM","","SYSTEM"
"900173","1000056","","","","SYSTEM","","SYSTEM"
"900172","1000057","","","","SYSTEM","","SYSTEM"
"900189","1000058","","","","SYSTEM","","SYSTEM"
"900181","1000059","","","","SYSTEM","","SYSTEM"
"900157","1000060","","","","SYSTEM","","SYSTEM"
"900154","1000061","","","","SYSTEM","","SYSTEM"
"900197","1000062","","","","SYSTEM","","SYSTEM"
"900187","1000063","","","","SYSTEM","","SYSTEM"
"900179","1000064","","","","SYSTEM","","SYSTEM"
"900196","1000065","","","","SYSTEM","","SYSTEM"
"900174","1000066","","","","SYSTEM","","SYSTEM"
"900162","1000067","","","","SYSTEM","","SYSTEM"
"900156","1000068","","","","SYSTEM","","SYSTEM"
"900186","1000069","","","","SYSTEM","","SYSTEM"
"900180","1000070","","","","SYSTEM","","SYSTEM"
"900191","1000071","","","","SYSTEM","","SYSTEM"
"900177","1000072","","","","SYSTEM","","SYSTEM"
"900171","1000073","","","","SYSTEM","","SYSTEM"
"900152","1000074","","","","SYSTEM","","SYSTEM"
"900178","1000075","","","","SYSTEM","","SYSTEM"
"900165","1000076","","","","SYSTEM","","SYSTEM"
"900153","1000077","","","","SYSTEM","","SYSTEM"
"900194","1000078","","","","SYSTEM","","SYSTEM"
"900184","1000079","","","","SYSTEM","","SYSTEM"
"900160","1000080","","","","SYSTEM","","SYSTEM"
"900170","1000081","","","","SYSTEM","","SYSTEM"
"900183","1000082","","","","SYSTEM","","SYSTEM"
"900168","1000083","","","","SYSTEM","","SYSTEM"
"900167","1000084","","","","SYSTEM","","SYSTEM"
"900192","1000085","","","","SYSTEM","","SYSTEM"
"900164","1000086","","","","SYSTEM","","SYSTEM"
"900161","1000087","","","","SYSTEM","","SYSTEM"
"900193","1000088","","","","SYSTEM","","SYSTEM"
"900159","1000089","","","","SYSTEM","","SYSTEM"
"900169","1000090","","","","SYSTEM","","SYSTEM"
"900199","1000091","","","","SYSTEM","","SYSTEM"
"900200","1000092","","","","SYSTEM","","SYSTEM"
"900175","1000093","","","","SYSTEM","","SYSTEM"
"900185","1000094","","","","SYSTEM","","SYSTEM"
"900163","1000095","","","","SYSTEM","","SYSTEM"
"900182","1000096","","","","SYSTEM","","SYSTEM"
"900155","1000097","","","","SYSTEM","","SYSTEM"
"900190","1000098","","","","SYSTEM","","SYSTEM"
"900198","1000099","","","","SYSTEM","","SYSTEM"
"900195","1000100","","","","SYSTEM","","SYSTEM"
