"p_sys_id","p_prov_agmt_read_ind","p_pccm_agmt_read_ind","p_req_clm_subm_eff_dt","p_qsp_last_grade_completed_cd","l_hibernate_ver_num","g_aud_add_ts","g_aud_add_user_id","g_aud_ts","g_aud_user_id","p_340b_ind","p_1099_ind","p_svc_area_dstnc_cd","p_pub_prov_ind","p_tp_agmt_read_ind","p_website","p_accept_new","p_telehealth","p_other_accom"
"900163","N","N","","","1","07-AUG-25 09.37.45.778228000 AM","SYSTEM","22-AUG-25 07.59.07.778228000 AM","SYSTEM","N","Y","","N","N","","","",""
"900162","N","N","","","0","13-SEP-25 04.35.03.779826000 PM","SYSTEM","12-OCT-25 09.51.14.779826000 AM","SYSTEM","N","Y","","N","N","","","",""
"900182","N","N","","","1","02-AUG-25 03.43.59.779826000 AM","SYSTEM","25-AUG-25 08.41.42.779826000 AM","SYSTEM","N","Y","","N","N","","","",""
"900178","N","N","","","2","28-SEP-25 02.04.21.780874000 AM","SYSTEM","24-OCT-25 09.03.58.780874000 PM","SYSTEM","N","Y","","N","N","","","",""
"900160","N","N","","","4","28-MAY-26 04.01.11.780874000 PM","SYSTEM","06-JUN-26 03.00.42.780874000 PM","SYSTEM","N","Y","","N","N","","","",""
"900173","N","N","","","4","15-JUL-26 10.54.13.781500000 AM","SYSTEM","10-AUG-26 06.10.22.781500000 PM","SYSTEM","N","Y","","N","N","","","",""
"900186","N","N","","","5","02-FEB-26 07.52.27.781500000 AM","SYSTEM","05-FEB-26 11.08.29.781500000 PM","SYSTEM","N","Y","","N","N","","","",""
"900175","N","N","","","1","10-MAY-26 08.49.33.782553000 AM","SYSTEM","07-JUN-26 12.08.55.782553000 AM","SYSTEM","N","Y","","N","N","","","",""
"900185","N","N","","","3","06-JAN-26 05.57.59.782553000 PM","SYSTEM","05-FEB-26 04.39.11.782553000 PM","SYSTEM","N","Y","","N","N","","","",""
"900177","N","N","","","3","27-MAY-26 09.20.44.783739000 PM","SYSTEM","30-MAY-26 09.50.12.783739000 AM","SYSTEM","N","Y","","N","N","","","",""
"900164","N","N","","","0","02-JUL-26 01.20.44.783739000 AM","SYSTEM","26-JUL-26 04.00.05.783739000 AM","SYSTEM","N","Y","","N","N","","","",""
"900191","N","N","","","3","13-DEC-25 07.14.16.784739000 AM","SYSTEM","06-JAN-26 03.14.40.784739000 AM","SYSTEM","N","Y","","N","N","","","",""
"900165","N","N","","","5","19-MAY-26 07.12.56.784739000 PM","SYSTEM","08-JUN-26 07.33.59.784739000 AM","SYSTEM","N","Y","","N","N","","","",""
"900192","N","N","","","3","06-APR-26 12.47.52.784739000 PM","SYSTEM","07-MAY-26 04.38.38.784739000 AM","SYSTEM","N","Y","","N","N","","","",""
"900199","N","N","","","4","25-AUG-25 06.06.25.785736000 PM","SYSTEM","09-SEP-25 08.17.40.785736000 PM","SYSTEM","N","Y","","N","N","","","",""
"900151","N","N","","","3","21-JUL-25 04.10.09.785736000 PM","SYSTEM","26-JUL-25 01.28.38.785736000 PM","SYSTEM","N","Y","","N","N","","","",""
"900154","N","N","","","5","14-MAY-26 01.28.32.786737000 AM","SYSTEM","08-JUN-26 03.00.05.786737000 PM","SYSTEM","N","Y","","N","N","","","",""
"900171","N","N","","","2","24-APR-26 06.03.04.786737000 AM","SYSTEM","16-MAY-26 03.04.55.786737000 AM","SYSTEM","N","Y","","N","N","","","",""
"900158","N","N","","","3","06-DEC-25 03.50.59.787823000 PM","SYSTEM","10-DEC-25 01.46.19.787823000 AM","SYSTEM","N","Y","","N","N","","","",""
"900189","N","N","","","0","27-FEB-26 04.27.49.788183000 PM","SYSTEM","05-MAR-26 03.11.39.788183000 PM","SYSTEM","N","Y","","N","N","","","",""
"900167","N","N","","","5","01-FEB-26 02.02.02.788726000 AM","SYSTEM","14-FEB-26 03.24.35.788726000 AM","SYSTEM","N","Y","","N","N","","","",""
"900166","N","N","","","0","01-JAN-26 08.43.22.788726000 PM","SYSTEM","23-JAN-26 02.28.33.788726000 AM","SYSTEM","N","Y","","N","N","","","",""
"900157","N","N","","","2","08-JUL-26 04.30.54.789771000 AM","SYSTEM","05-AUG-26 05.26.32.789771000 PM","SYSTEM","N","Y","","N","N","","","",""
"900172","N","N","","","3","20-SEP-25 04.40.22.789771000 AM","SYSTEM","09-OCT-25 02.24.01.789771000 AM","SYSTEM","N","Y","","N","N","","","",""
"900179","N","N","","","5","06-APR-26 10.30.16.790779000 PM","SYSTEM","24-APR-26 01.52.13.790779000 PM","SYSTEM","N","Y","","N","N","","","",""
"900169","N","N","","","5","06-FEB-26 12.43.05.790779000 AM","SYSTEM","13-FEB-26 02.03.31.790779000 PM","SYSTEM","N","Y","","N","N","","","",""
"900181","N","N","","","4","12-MAR-26 08.07.50.791772000 PM","SYSTEM","13-MAR-26 08.11.28.791772000 AM","SYSTEM","N","Y","","N","N","","","",""
"900170","N","N","","","4","16-OCT-25 01.49.26.791772000 PM","SYSTEM","10-NOV-25 12.32.32.791772000 AM","SYSTEM","N","Y","","N","N","","","",""
"900200","N","N","","","4","15-MAY-26 02.16.21.791772000 AM","SYSTEM","23-MAY-26 09.07.34.791772000 AM","SYSTEM","N","Y","","N","N","","","",""
"900188","N","N","","","5","19-MAR-26 03.26.25.793007000 AM","SYSTEM","25-MAR-26 08.46.16.793007000 PM","SYSTEM","N","Y","","N","N","","","",""
"900196","N","N","","","0","03-DEC-25 04.53.26.793007000 AM","SYSTEM","16-DEC-25 02.35.28.793007000 AM","SYSTEM","N","Y","","N","N","","","",""
"900156","N","N","","","2","13-OCT-25 01.20.11.794015000 AM","SYSTEM","15-OCT-25 09.39.09.794015000 PM","SYSTEM","N","Y","","N","N","","","",""
"900153","N","N","","","2","30-OCT-25 07.26.51.794015000 PM","SYSTEM","19-NOV-25 08.08.31.794015000 PM","SYSTEM","N","Y","","N","N","","","",""
"900168","N","N","","","5","14-MAY-26 04.43.46.795014000 PM","SYSTEM","12-JUN-26 05.44.41.795014000 AM","SYSTEM","N","Y","","N","N","","","",""
"900197","N","N","","","0","17-FEB-26 01.44.52.795014000 AM","SYSTEM","23-FEB-26 04.13.07.795014000 PM","SYSTEM","N","Y","","N","N","","","",""
"900193","N","N","","","1","19-OCT-25 11.31.28.795963000 PM","SYSTEM","04-NOV-25 03.47.37.795963000 PM","SYSTEM","N","Y","","N","N","","","",""
"900159","N","N","","","0","10-FEB-26 05.15.34.795963000 PM","SYSTEM","09-MAR-26 04.58.10.795963000 AM","SYSTEM","N","Y","","N","N","","","",""
"900176","N","N","","","3","23-MAR-26 02.47.13.796964000 AM","SYSTEM","08-APR-26 01.19.14.796964000 PM","SYSTEM","N","Y","","N","N","","","",""
