"p_sys_id","p_enrol_stat_sk","p_enrol_stat_beg_dt","p_enrol_stat_end_dt","p_enrol_stat_ty_cd","p_enrol_stat_rsn_cd","p_rtrctv_elig_ind","l_hibernate_ver_num","g_aud_user_id","g_aud_ts","g_aud_add_user_id","g_aud_add_ts"
"900189","1000151","02-NOV-55","12-AUG-58","A","45","N","1","SYSTEM","25-JUN-26 12.27.38.016552000 PM","SYSTEM","23-JUN-26 08.51.04.016552000 AM"
"900191","1000152","10-APR-43","18-OCT-46","A","51","N","0","SYSTEM","22-NOV-25 03.25.25.016552000 AM","SYSTEM","30-OCT-25 02.26.13.016552000 AM"
"900185","1000153","23-JUN-76","02-NOV-76","A","45","N","1","SYSTEM","17-AUG-26 09.20.01.017596000 AM","SYSTEM","17-JUL-26 10.39.34.017596000 PM"
"900158","1000154","26-DEC-08","08-APR-11","A","45","N","1","SYSTEM","12-MAY-26 10.05.28.018600000 AM","SYSTEM","07-MAY-26 05.45.56.018600000 AM"
"900165","1000155","15-AUG-79","25-MAR-80","A","45","N","0","SYSTEM","06-AUG-25 10.02.30.019599000 AM","SYSTEM","21-JUL-25 09.18.35.019599000 AM"
"900181","1000156","25-SEP-37","07-JAN-39","A","45","N","0","SYSTEM","19-MAY-26 02.54.30.019599000 PM","SYSTEM","21-APR-26 02.21.26.019599000 AM"
"900200","1000157","05-FEB-59","09-JAN-61","A","45","N","0","SYSTEM","18-APR-26 09.27.08.019599000 AM","SYSTEM","04-APR-26 03.41.36.019599000 PM"
"900198","1000158","27-APR-70","15-MAY-72","A","51","N","1","SYSTEM","11-DEC-25 12.34.42.021165000 AM","SYSTEM","22-NOV-25 11.43.51.021165000 AM"
"900168","1000159","12-SEP-34","16-AUG-35","A","45","N","0","SYSTEM","22-AUG-25 11.52.32.022227000 PM","SYSTEM","04-AUG-25 04.13.17.022227000 PM"
"900170","1000160","23-DEC-55","18-JAN-59","A","51","N","0","SYSTEM","26-SEP-25 04.40.04.022580000 AM","SYSTEM","21-SEP-25 11.15.28.022580000 AM"
"900182","1000161","19-DEC-37","13-MAY-38","A","45","N","0","SYSTEM","26-AUG-25 04.03.41.023654000 PM","SYSTEM","26-JUL-25 07.20.45.023654000 PM"
