"p_sys_id","p_isp_ind","p_vnd_nam","p_blng_agent_nam","w_sftwr_nam","w_ver_id","w_sftwr_prtcl_cd","g_cmn_enty_sk","g_note_set_sk","l_hibernate_ver_num","g_aud_user_id","g_aud_ts","g_aud_add_user_id","g_aud_add_ts","w_txn_drctn_cd"
"900165","Y","","","","1000001","","1000151","1000150","13","SYSTEM","05-OCT-25 07.26.40.057605000 PM","SYSTEM","30-SEP-25 12.16.16.057605000 AM",""
"900181","Y","","","","1000002","","1000152","1000249","10","SYSTEM","27-MAY-26 02.54.23.057605000 AM","SYSTEM","15-MAY-26 07.20.57.057605000 AM",""
"900164","Y","","","","1000003","","1000153","1000250","11","SYSTEM","09-OCT-25 06.23.20.057605000 PM","SYSTEM","20-SEP-25 09.38.31.057605000 AM",""
"900190","Y","","","","1000004","","1000154","1000251","10","SYSTEM","05-APR-26 10.57.09.058662000 PM","SYSTEM","06-MAR-26 01.30.30.058662000 AM",""
"900172","Y","","","","1000005","","1000155","1000252","12","SYSTEM","25-MAY-26 07.26.52.058662000 PM","SYSTEM","21-MAY-26 09.51.31.058662000 PM",""
"900167","Y","","","","1000006","","1000156","1000253","11","SYSTEM","01-MAY-26 03.15.51.058662000 PM","SYSTEM","01-APR-26 07.11.21.058662000 AM",""
"900179","Y","","","","1000007","","1000157","1000254","7","SYSTEM","08-MAR-26 05.48.25.059655000 PM","SYSTEM","16-FEB-26 08.26.33.059655000 PM",""
"900177","Y","","","","1000008","","1000158","1000255","7","SYSTEM","17-NOV-25 05.03.24.059655000 PM","SYSTEM","18-OCT-25 12.40.42.059655000 AM",""
"900166","Y","","","","1000009","","1000159","1000256","12","SYSTEM","15-MAR-26 10.28.21.059655000 PM","SYSTEM","28-FEB-26 01.08.10.059655000 PM",""
"900175","Y","","","","1000010","","1000160","1000257","12","SYSTEM","15-OCT-25 05.23.13.059655000 AM","SYSTEM","30-SEP-25 12.33.54.059655000 PM",""
"900152","Y","","","","1000011","","1000161","1000258","7","SYSTEM","14-OCT-25 08.22.26.060656000 PM","SYSTEM","13-OCT-25 12.18.00.060656000 PM",""
"900197","Y","","","","1000012","","1000162","1000259","11","SYSTEM","29-DEC-25 01.53.40.060656000 AM","SYSTEM","20-DEC-25 10.46.26.060656000 PM",""
"900200","Y","","","","1000013","","1000163","1000260","13","SYSTEM","13-SEP-25 09.49.26.060656000 PM","SYSTEM","27-AUG-25 10.48.16.060656000 PM",""
"900160","Y","","","","1000014","","1000164","1000261","7","SYSTEM","23-FEB-26 04.41.34.061608000 PM","SYSTEM","31-JAN-26 10.38.22.061608000 PM",""
"900154","Y","","","","1000015","","1000165","1000262","7","SYSTEM","26-FEB-26 08.26.22.061608000 AM","SYSTEM","15-FEB-26 09.59.48.061608000 PM",""
"900196","Y","","","","1000016","","1000166","1000263","9","SYSTEM","11-JAN-26 02.28.10.061608000 PM","SYSTEM","07-JAN-26 01.26.13.061608000 PM",""
"900188","Y","","","","1000017","","1000167","1000264","12","SYSTEM","10-NOV-25 12.19.42.061608000 AM","SYSTEM","25-OCT-25 08.20.33.061608000 AM",""
"900163","Y","","","","1000018","","1000168","1000265","7","SYSTEM","06-FEB-26 04.45.49.062921000 PM","SYSTEM","18-JAN-26 03.48.33.062921000 PM",""
"900184","Y","","","","1000019","","1000169","1000266","11","SYSTEM","06-OCT-25 02.29.51.062921000 PM","SYSTEM","06-OCT-25 08.27.29.062921000 AM",""
"900199","Y","","","","1000020","","1000170","1000267","12","SYSTEM","14-JAN-26 07.50.32.062921000 PM","SYSTEM","24-DEC-25 04.01.30.062921000 PM",""
"900183","Y","","","","1000021","","1000171","1000268","9","SYSTEM","13-SEP-25 12.26.37.063912000 AM","SYSTEM","10-SEP-25 01.44.03.063912000 PM",""
"900182","Y","","","","1000022","","1000172","1000269","13","SYSTEM","12-APR-26 07.43.29.063912000 PM","SYSTEM","25-MAR-26 01.37.21.063912000 AM",""
"900185","Y","","","","1000023","","1000173","1000270","13","SYSTEM","10-APR-26 08.36.41.063912000 AM","SYSTEM","03-APR-26 08.15.53.063912000 PM",""
"900157","Y","","","","1000024","","1000174","1000271","8","SYSTEM","24-AUG-25 06.03.33.063912000 AM","SYSTEM","24-JUL-25 07.44.58.063912000 PM",""
"900156","Y","","","","1000025","","1000175","1000272","13","SYSTEM","05-JUL-26 06.00.23.064964000 AM","SYSTEM","30-JUN-26 10.03.57.064964000 AM",""
"900192","Y","","","","1000026","","1000176","1000273","13","SYSTEM","13-MAY-26 02.31.26.064964000 PM","SYSTEM","07-MAY-26 10.04.00.064964000 PM",""
"900169","Y","","","","1000027","","1000177","1000274","12","SYSTEM","28-AUG-25 07.31.57.064964000 PM","SYSTEM","10-AUG-25 10.01.55.064964000 PM",""
"900171","Y","","","","1000028","","1000178","1000275","10","SYSTEM","14-NOV-25 11.14.32.065964000 PM","SYSTEM","24-OCT-25 10.03.50.065964000 PM",""
"900193","Y","","","","1000029","","1000179","1000276","8","SYSTEM","17-MAR-26 02.36.55.065964000 AM","SYSTEM","20-FEB-26 10.54.05.065964000 AM",""
"900198","Y","","","","1000030","","1000180","1000277","7","SYSTEM","06-APR-26 05.10.11.065964000 AM","SYSTEM","13-MAR-26 04.20.15.065964000 PM",""
"900174","Y","","","","1000031","","1000181","1000278","12","SYSTEM","27-SEP-25 09.00.39.065964000 AM","SYSTEM","27-AUG-25 02.00.31.065964000 PM",""
"900180","Y","","","","1000032","","1000182","1000279","13","SYSTEM","11-DEC-25 04.37.47.066964000 AM","SYSTEM","10-NOV-25 08.28.35.066964000 PM",""
"900158","Y","","","","1000033","","1000183","1000280","7","SYSTEM","20-OCT-25 09.35.51.066964000 AM","SYSTEM","03-OCT-25 08.09.44.066964000 PM",""
"900161","Y","","","","1000034","","1000184","1000281","10","SYSTEM","17-APR-26 06.47.53.066964000 PM","SYSTEM","23-MAR-26 09.48.01.066964000 AM",""
"900176","Y","","","","1000035","","1000185","1000282","11","SYSTEM","28-JUN-26 05.48.54.067965000 AM","SYSTEM","28-MAY-26 10.29.28.067965000 AM",""
"900159","Y","","","","1000036","","1000186","1000283","9","SYSTEM","19-OCT-25 07.58.26.067965000 AM","SYSTEM","25-SEP-25 03.04.13.067965000 AM",""
"900162","Y","","","","1000037","","1000187","1000284","12","SYSTEM","22-MAR-26 03.33.15.067965000 PM","SYSTEM","21-FEB-26 06.09.18.067965000 AM",""
"900187","Y","","","","1000038","","1000188","1000285","12","SYSTEM","07-JAN-26 11.10.06.067965000 AM","SYSTEM","15-DEC-25 01.42.07.067965000 PM",""
"900195","Y","","","","1000039","","1000189","1000286","13","SYSTEM","20-MAY-26 12.15.56.068974000 AM","SYSTEM","11-MAY-26 09.01.35.068974000 AM",""
"900151","Y","","","","1000040","","1000190","1000287","7","SYSTEM","20-JAN-26 04.51.29.068974000 AM","SYSTEM","13-JAN-26 12.41.57.068974000 AM",""
"900153","Y","","","","1000041","","1000191","1000288","11","SYSTEM","02-AUG-26 05.25.04.068974000 AM","SYSTEM","11-JUL-26 07.26.30.068974000 PM",""
"900155","Y","","","","1000042","","1000192","1000289","12","SYSTEM","17-AUG-25 05.02.03.068974000 PM","SYSTEM","08-AUG-25 04.14.24.068974000 AM",""
"900191","Y","","","","1000043","","1000193","1000290","8","SYSTEM","25-FEB-26 03.29.07.069974000 AM","SYSTEM","04-FEB-26 10.48.50.069974000 AM",""
"900178","Y","","","","1000044","","1000194","1000291","13","SYSTEM","24-SEP-25 11.12.46.069974000 PM","SYSTEM","29-AUG-25 11.38.35.069974000 PM",""
"900173","Y","","","","1000045","","1000195","1000292","13","SYSTEM","11-DEC-25 02.55.51.069974000 PM","SYSTEM","05-DEC-25 11.01.04.069974000 AM",""
"900168","Y","","","","1000046","","1000196","1000293","8","SYSTEM","08-MAR-26 07.39.01.070972000 PM","SYSTEM","07-FEB-26 05.15.25.070972000 PM",""
"900170","Y","","","","1000047","","1000197","1000294","11","SYSTEM","22-APR-26 10.38.57.070972000 PM","SYSTEM","01-APR-26 08.20.21.070972000 AM",""
"900194","Y","","","","1000048","","1000198","1000295","7","SYSTEM","05-OCT-25 05.46.50.070972000 PM","SYSTEM","24-SEP-25 07.16.03.070972000 AM",""
"900189","Y","","","","1000049","","1000199","1000296","12","SYSTEM","16-JAN-26 01.48.11.070972000 AM","SYSTEM","13-JAN-26 10.46.47.070972000 PM",""
"900186","Y","","","","1000050","","1000200","1000297","8","SYSTEM","03-OCT-25 03.27.23.071975000 AM","SYSTEM","26-SEP-25 04.22.37.071975000 AM",""
