"p_sys_id","p_txn_tp_info_sk","p_txn_ty_cd","w_txn_drctn_cd","l_hibernate_ver_num","g_aud_user_id","g_aud_ts","g_aud_add_user_id","g_aud_add_ts"
"900169","673624","835","I","10","SYSTEM","18-JUN-26 06.33.16.073148000 AM","SYSTEM","11-JUN-26 01.24.12.073148000 PM"
"900188","673625","837P","O","11","SYSTEM","10-AUG-25 01.42.45.074159000 AM","SYSTEM","30-JUL-25 06.54.21.074159000 PM"
"900198","673626","837P","O","11","SYSTEM","29-MAY-26 03.04.41.075157000 PM","SYSTEM","08-MAY-26 10.14.21.075157000 AM"
"900158","673627","835","I","11","SYSTEM","18-AUG-26 01.00.59.075157000 PM","SYSTEM","19-JUL-26 05.25.27.075157000 PM"
"900153","673628","835","I","10","SYSTEM","17-MAR-26 12.07.07.076212000 AM","SYSTEM","10-MAR-26 01.58.34.076212000 PM"
"900156","673629","835","I","10","SYSTEM","30-OCT-25 09.03.36.077201000 PM","SYSTEM","02-OCT-25 06.37.12.077201000 PM"
"900175","673630","837P","O","10","SYSTEM","10-JAN-26 12.26.11.078150000 AM","SYSTEM","30-DEC-25 04.14.45.078150000 AM"
"900164","673631","835","I","11","SYSTEM","29-AUG-25 03.43.21.080191000 PM","SYSTEM","29-AUG-25 09.35.28.080191000 AM"
"900166","673632","837P","O","11","SYSTEM","22-SEP-25 08.41.51.082200000 PM","SYSTEM","01-SEP-25 02.31.32.082200000 PM"
"900155","673633","835","O","10","SYSTEM","18-JUN-26 11.00.02.084414000 PM","SYSTEM","14-JUN-26 02.59.11.084414000 PM"
"900191","673634","837P","O","11","SYSTEM","12-NOV-25 04.44.20.085412000 AM","SYSTEM","08-NOV-25 03.17.07.085412000 PM"
"900197","673635","835","O","11","SYSTEM","09-MAR-26 06.50.58.088004000 PM","SYSTEM","14-FEB-26 09.17.30.088004000 AM"
"900196","673636","835","I","10","SYSTEM","03-JAN-26 04.31.12.089012000 PM","SYSTEM","18-DEC-25 03.14.23.089012000 AM"
"900193","673637","837P","O","10","SYSTEM","25-NOV-25 10.15.57.091016000 AM","SYSTEM","12-NOV-25 09.31.17.091016000 PM"
"900162","673638","837P","I","10","SYSTEM","07-SEP-25 04.04.16.093177000 PM","SYSTEM","04-SEP-25 09.34.53.093177000 AM"
"900165","673639","837P","O","10","SYSTEM","11-APR-26 02.42.25.094783000 PM","SYSTEM","03-APR-26 04.43.33.094783000 AM"
"900186","673640","837P","I","10","SYSTEM","19-JAN-26 10.54.40.095779000 AM","SYSTEM","19-DEC-25 02.27.48.095779000 PM"
"900161","673641","835","O","10","SYSTEM","24-FEB-26 03.16.38.096779000 AM","SYSTEM","11-FEB-26 04.55.21.096779000 AM"
"900154","673642","835","O","11","SYSTEM","25-MAY-26 11.45.40.097817000 AM","SYSTEM","06-MAY-26 02.26.38.097817000 PM"
"900163","673643","837P","I","10","SYSTEM","05-JAN-26 11.02.30.098839000 PM","SYSTEM","11-DEC-25 04.39.26.098839000 AM"
"900157","673644","835","O","11","SYSTEM","16-NOV-25 10.36.12.099818000 PM","SYSTEM","10-NOV-25 08.59.04.099818000 PM"
"900160","673645","837P","O","11","SYSTEM","30-MAY-26 04.34.16.099818000 PM","SYSTEM","22-MAY-26 06.38.49.099818000 AM"
"900192","673646","837P","I","10","SYSTEM","01-MAR-26 08.19.49.100827000 PM","SYSTEM","14-FEB-26 08.27.19.100827000 PM"
"900185","673647","835","O","10","SYSTEM","07-SEP-25 09.41.41.101827000 PM","SYSTEM","10-AUG-25 01.17.07.101827000 PM"
"900152","673648","835","O","10","SYSTEM","22-AUG-25 11.37.06.102826000 PM","SYSTEM","26-JUL-25 10.53.20.102826000 AM"
"900177","673649","837P","O","10","SYSTEM","08-JAN-26 12.24.50.102826000 PM","SYSTEM","17-DEC-25 09.46.00.102826000 PM"
"900195","673650","835","I","11","SYSTEM","20-JUL-26 07.06.26.104129000 PM","SYSTEM","08-JUL-26 10.19.52.104129000 PM"
"900178","673651","837P","I","10","SYSTEM","22-DEC-25 07.49.15.105131000 AM","SYSTEM","03-DEC-25 12.09.28.105131000 PM"
"900187","673652","837P","I","10","SYSTEM","16-MAR-26 09.16.57.106128000 PM","SYSTEM","03-MAR-26 06.10.54.106128000 PM"
"900171","673653","835","I","10","SYSTEM","11-MAR-26 08.00.18.107128000 PM","SYSTEM","21-FEB-26 12.33.28.107128000 PM"
"900179","673654","837P","I","11","SYSTEM","23-DEC-25 08.23.56.107128000 PM","SYSTEM","15-DEC-25 09.50.28.107128000 AM"
"900190","673655","835","I","11","SYSTEM","26-JUN-26 08.32.23.108129000 AM","SYSTEM","17-JUN-26 09.51.44.108129000 AM"
"900174","673656","837P","O","11","SYSTEM","12-JUN-26 06.27.29.109133000 AM","SYSTEM","20-MAY-26 02.07.13.109133000 PM"
"900170","673657","835","I","10","SYSTEM","12-JUL-26 01.42.42.110177000 AM","SYSTEM","28-JUN-26 09.56.44.110177000 AM"
"900181","673658","835","I","10","SYSTEM","21-JUN-26 11.50.20.111177000 AM","SYSTEM","04-JUN-26 12.03.30.111177000 PM"
"900176","673659","837P","O","11","SYSTEM","06-AUG-26 12.19.36.112179000 PM","SYSTEM","19-JUL-26 11.28.21.112179000 AM"
"900180","673660","835","O","10","SYSTEM","27-JUL-26 04.57.44.113449000 PM","SYSTEM","16-JUL-26 03.02.55.113449000 AM"
"900200","673661","835","O","10","SYSTEM","10-MAY-26 11.14.51.113449000 AM","SYSTEM","13-APR-26 11.26.24.113449000 PM"
"900159","673662","837P","O","10","SYSTEM","08-JAN-26 10.15.36.114452000 PM","SYSTEM","20-DEC-25 03.54.14.114452000 AM"
"900194","673663","835","I","10","SYSTEM","04-FEB-26 12.42.08.115460000 PM","SYSTEM","31-JAN-26 09.24.26.115460000 AM"
"900183","673664","837P","I","10","SYSTEM","13-JUL-26 10.43.24.116459000 PM","SYSTEM","13-JUN-26 12.25.19.116459000 AM"
"900184","673665","837P","O","11","SYSTEM","12-SEP-25 12.06.06.117458000 PM","SYSTEM","04-SEP-25 11.19.05.117458000 PM"
"900168","673666","835","O","10","SYSTEM","19-MAY-26 11.45.36.117458000 AM","SYSTEM","16-MAY-26 12.58.35.117458000 AM"
"900172","673667","835","I","11","SYSTEM","05-NOV-25 02.02.26.118463000 AM","SYSTEM","11-OCT-25 11.08.32.118463000 AM"
"900199","673668","837P","O","10","SYSTEM","12-JUL-26 03.44.23.119460000 PM","SYSTEM","11-JUL-26 08.25.17.119460000 AM"
"900151","673669","835","I","11","SYSTEM","15-AUG-25 11.58.07.120461000 PM","SYSTEM","29-JUL-25 01.31.20.120461000 PM"
"900189","673670","837P","O","11","SYSTEM","15-MAY-26 03.06.55.121460000 AM","SYSTEM","24-APR-26 10.16.03.121460000 AM"
"900167","673671","837P","I","10","SYSTEM","17-DEC-25 05.56.47.121460000 PM","SYSTEM","03-DEC-25 04.19.34.121460000 PM"
"900173","673672","837P","I","11","SYSTEM","09-MAY-26 10.42.02.122716000 AM","SYSTEM","27-APR-26 05.19.16.122716000 PM"
"900182","673673","837P","I","10","SYSTEM","29-MAY-26 09.56.57.124261000 AM","SYSTEM","27-MAY-26 04.35.17.124261000 PM"
