"p_sys_id","p_event_sk","p_event_rsn_sk","p_event_rsn_cd","l_hibernate_ver_num","g_aud_user_id","g_aud_ts","g_aud_add_user_id","g_aud_add_ts"
"900189","415582","2127","9910","0","SYSTEM","12-APR-26 07.25.22.230063000 AM","SYSTEM","15-MAR-26 12.12.36.230063000 AM"
"900166","415557","2128","9903","0","SYSTEM","25-OCT-25 08.42.57.230063000 PM","SYSTEM","17-OCT-25 05.13.30.230063000 AM"
"900158","415560","2129","9910","0","SYSTEM","06-OCT-25 09.25.25.230063000 AM","SYSTEM","05-OCT-25 12.34.28.230063000 PM"
"900155","415580","2130","9910","0","SYSTEM","28-JUL-26 02.46.00.231064000 AM","SYSTEM","15-JUL-26 02.19.39.231064000 PM"
"900178","415598","2131","9910","0","SYSTEM","06-FEB-26 05.24.53.231064000 AM","SYSTEM","22-JAN-26 11.24.04.231064000 PM"
"900190","415566","2132","9910","0","SYSTEM","05-JUL-26 04.44.28.232063000 PM","SYSTEM","01-JUL-26 10.02.52.232063000 AM"
"900162","415586","2133","9910","0","SYSTEM","04-JUN-26 08.36.45.232063000 PM","SYSTEM","01-JUN-26 06.35.36.232063000 AM"
"900152","415576","2134","9910","0","SYSTEM","05-OCT-25 11.22.38.232063000 AM","SYSTEM","15-SEP-25 01.38.54.232063000 AM"
"900175","415601","2135","9903","0","SYSTEM","01-AUG-26 02.42.39.232063000 AM","SYSTEM","17-JUL-26 01.05.02.232063000 AM"
"900169","415573","2136","9903","0","SYSTEM","30-NOV-25 02.20.27.232063000 AM","SYSTEM","09-NOV-25 04.37.32.232063000 AM"
"900160","415581","2137","9910","0","SYSTEM","05-NOV-25 02.36.07.232063000 AM","SYSTEM","30-OCT-25 11.38.08.232063000 PM"
"900191","415556","2138","9910","0","SYSTEM","09-FEB-26 09.31.28.233794000 AM","SYSTEM","13-JAN-26 04.15.53.233794000 AM"
"900168","415598","2139","9903","0","SYSTEM","14-DEC-25 05.05.19.233794000 AM","SYSTEM","09-DEC-25 03.34.41.233794000 AM"
"900181","415586","2140","9910","0","SYSTEM","18-OCT-25 05.44.30.233794000 PM","SYSTEM","26-SEP-25 10.49.44.233794000 AM"
"900157","415553","2141","9910","0","SYSTEM","09-DEC-25 10.28.54.234839000 PM","SYSTEM","14-NOV-25 01.37.44.234839000 PM"
"900186","415574","2142","9903","0","SYSTEM","21-JUN-26 12.11.13.234839000 PM","SYSTEM","25-MAY-26 11.23.52.234839000 PM"
"900179","415568","2143","9910","0","SYSTEM","01-OCT-25 09.48.56.234839000 AM","SYSTEM","03-SEP-25 07.04.59.234839000 PM"
"900196","415584","2144","9903","0","SYSTEM","26-SEP-25 02.43.13.235848000 AM","SYSTEM","18-SEP-25 05.56.57.235848000 PM"
"900177","415568","2145","9910","0","SYSTEM","31-OCT-25 10.45.36.235848000 AM","SYSTEM","21-OCT-25 11.05.47.235848000 AM"
"900163","415554","2146","9903","0","SYSTEM","21-OCT-25 06.46.49.235848000 PM","SYSTEM","26-SEP-25 06.46.00.235848000 PM"
"900174","415597","2147","9903","0","SYSTEM","14-JAN-26 05.26.37.236850000 AM","SYSTEM","31-DEC-25 07.28.05.236850000 AM"
"900176","415593","2148","9910","0","SYSTEM","01-DEC-25 02.16.43.236850000 PM","SYSTEM","12-NOV-25 02.19.05.236850000 AM"
"900170","415586","2149","9903","0","SYSTEM","29-JUL-26 08.30.52.236850000 AM","SYSTEM","04-JUL-26 12.48.57.236850000 PM"
"900195","415584","2150","9910","0","SYSTEM","19-JAN-26 02.44.40.237847000 PM","SYSTEM","08-JAN-26 01.14.19.237847000 PM"
"900172","415571","2151","9910","0","SYSTEM","01-JUL-26 11.38.17.237847000 AM","SYSTEM","25-JUN-26 11.57.22.237847000 PM"
"900198","415581","2152","9903","0","SYSTEM","14-FEB-26 06.20.54.238800000 AM","SYSTEM","29-JAN-26 07.29.21.238800000 AM"
"900188","415565","2153","9910","0","SYSTEM","08-JUN-26 01.22.25.238800000 AM","SYSTEM","12-MAY-26 04.29.18.238800000 PM"
"900171","415559","2154","9903","0","SYSTEM","22-SEP-25 03.52.30.238800000 AM","SYSTEM","05-SEP-25 11.32.33.238800000 AM"
"900165","415569","2155","9910","0","SYSTEM","23-AUG-25 03.40.29.239838000 AM","SYSTEM","17-AUG-25 10.01.50.239838000 PM"
"900199","415585","2156","9910","0","SYSTEM","10-JUL-26 07.23.37.239838000 PM","SYSTEM","21-JUN-26 03.57.00.239838000 AM"
"900183","415575","2157","9910","0","SYSTEM","06-AUG-26 07.15.48.239838000 PM","SYSTEM","19-JUL-26 11.18.14.239838000 AM"
"900173","415558","2158","9903","0","SYSTEM","20-DEC-25 01.32.43.240848000 AM","SYSTEM","01-DEC-25 07.56.53.240848000 PM"
"900159","415600","2159","9903","0","SYSTEM","14-MAR-26 03.03.16.240848000 AM","SYSTEM","08-MAR-26 03.28.51.240848000 AM"
"900197","415589","2160","9910","0","SYSTEM","16-MAY-26 10.04.11.240848000 AM","SYSTEM","01-MAY-26 05.53.47.240848000 AM"
"900154","415600","2161","9910","0","SYSTEM","22-APR-26 08.51.28.241847000 PM","SYSTEM","10-APR-26 11.27.04.241847000 PM"
"900153","415563","2162","9903","0","SYSTEM","05-JUL-26 03.49.58.241847000 AM","SYSTEM","07-JUN-26 08.17.52.241847000 PM"
"900151","415576","2163","9903","0","SYSTEM","21-DEC-25 06.48.33.241847000 PM","SYSTEM","22-NOV-25 10.08.06.241847000 PM"
"900167","415581","2164","9903","0","SYSTEM","20-FEB-26 12.54.51.242847000 AM","SYSTEM","22-JAN-26 04.33.15.242847000 PM"
"900182","415564","2165","9910","0","SYSTEM","27-AUG-25 03.22.13.242847000 PM","SYSTEM","05-AUG-25 01.57.09.242847000 AM"
"900200","415576","2166","9903","0","SYSTEM","19-SEP-25 03.43.16.242847000 PM","SYSTEM","11-SEP-25 05.14.46.242847000 AM"
"900184","415593","2167","9903","0","SYSTEM","05-JUL-26 07.02.19.244021000 AM","SYSTEM","24-JUN-26 03.13.38.244021000 AM"
"900180","415557","2168","9910","0","SYSTEM","24-APR-26 09.24.30.244671000 AM","SYSTEM","24-APR-26 08.29.21.244671000 AM"
"900192","415601","2169","9903","0","SYSTEM","07-SEP-25 09.37.03.245686000 PM","SYSTEM","24-AUG-25 10.19.11.245686000 PM"
"900194","415601","2170","9910","0","SYSTEM","13-AUG-25 08.58.43.245686000 PM","SYSTEM","11-AUG-25 03.42.57.245686000 AM"
"900156","415600","2171","9903","0","SYSTEM","22-JAN-26 03.36.37.246678000 AM","SYSTEM","30-DEC-25 05.12.13.246678000 AM"
"900164","415587","2172","9910","0","SYSTEM","21-FEB-26 03.44.56.246678000 PM","SYSTEM","27-JAN-26 03.24.46.246678000 AM"
"900161","415584","2173","9910","0","SYSTEM","20-JUL-26 10.16.39.246678000 PM","SYSTEM","02-JUL-26 03.19.21.246678000 PM"
"900187","415555","2174","9903","0","SYSTEM","05-MAY-26 01.35.37.247676000 PM","SYSTEM","08-APR-26 06.34.50.247676000 AM"
"900193","415593","2175","9903","0","SYSTEM","25-JUL-26 06.21.12.247676000 AM","SYSTEM","01-JUL-26 04.09.06.247676000 PM"
"900185","415572","2176","9910","0","SYSTEM","06-OCT-25 11.24.11.247676000 PM","SYSTEM","23-SEP-25 07.30.39.247676000 AM"
