"p_sys_id","p_event_sk","p_event_ts","p_event_cd","p_event_user_id","p_event_note_text","p_event_prcs_ind","p_event_ty_cd","l_hibernate_ver_num","g_aud_user_id","g_aud_ts","g_aud_add_user_id","g_aud_add_ts"
"900192","415553","10-APR-13 10.41.00.230886000 PM","S001","SYSTEM","Centura Lab Services","Y","E","0","SYSTEM","05-APR-26 04.07.19.125901000 PM","SYSTEM","12-MAR-26 11.28.56.125901000 AM"
"900154","415554","11-APR-13 04.06.14.318181000 PM","S643","SYSTEM","Methodist Hospital","Y","E","0","SYSTEM","19-DEC-25 09.05.31.125901000 AM","SYSTEM","07-DEC-25 11.51.51.125901000 AM"
"900196","415555","10-APR-13 12.37.39.895240000 PM","S643","SYSTEM","Methodist Lab Services","Y","E","0","SYSTEM","19-MAR-26 10.08.14.126945000 PM","SYSTEM","24-FEB-26 04.59.55.126945000 PM"
"900177","415556","11-APR-13 07.14.26.843841000 AM","S643","SYSTEM","Valley Care Dialysis Center","Y","E","0","SYSTEM","09-MAY-26 01.55.42.127945000 AM","SYSTEM","27-APR-26 06.04.30.127945000 PM"
"900197","415557","11-APR-13 03.35.02.396455000 PM","S643","SYSTEM","Midwest Medical Center","Y","E","0","SYSTEM","18-FEB-26 09.20.29.128955000 AM","SYSTEM","23-JAN-26 05.41.26.128955000 PM"
"900190","415558","10-APR-13 11.56.27.180249000 AM","S001","SYSTEM","Mercy Lab Services","Y","E","0","SYSTEM","11-MAR-26 12.32.55.129919000 PM","SYSTEM","15-FEB-26 06.04.23.129919000 PM"
"900191","415559","10-APR-13 02.35.56.027220000 AM","S001","SYSTEM","Mayo Clinic Physicians Group","Y","E","0","SYSTEM","17-NOV-25 10.40.51.130932000 AM","SYSTEM","15-NOV-25 11.08.17.130932000 PM"
"900183","415560","11-APR-13 12.10.31.560410000 AM","S643","SYSTEM","Mayo Clinic Specialty Clinic","Y","E","0","SYSTEM","11-AUG-25 04.53.01.131939000 PM","SYSTEM","06-AUG-25 04.18.09.131939000 PM"
"900182","415561","10-APR-13 09.24.30.296683000 AM","S001","SYSTEM","Trinity Lab Services","Y","E","0","SYSTEM","27-DEC-25 06.55.28.133178000 PM","SYSTEM","10-DEC-25 10.31.39.133178000 PM"
"900170","415562","11-APR-13 03.03.05.384460000 PM","S001","SYSTEM","Mercy Hospital","Y","E","0","SYSTEM","22-FEB-26 09.27.41.134185000 AM","SYSTEM","07-FEB-26 02.19.10.134185000 PM"
"900193","415563","11-APR-13 07.32.12.559631000 PM","S643","SYSTEM","Centura Physicians Group","Y","E","0","SYSTEM","07-NOV-25 05.55.34.134185000 AM","SYSTEM","19-OCT-25 08.15.17.134185000 PM"
"900164","415564","11-APR-13 06.35.54.347289000 AM","S643","SYSTEM","Centura Specialty Clinic","Y","E","0","SYSTEM","28-AUG-25 06.07.44.135184000 PM","SYSTEM","22-AUG-25 11.44.57.135184000 PM"
"900163","415565","10-APR-13 02.07.45.755295000 PM","S001","SYSTEM","Trinity Hospital","Y","E","0","SYSTEM","08-JUL-26 11.52.20.136185000 PM","SYSTEM","06-JUL-26 01.07.58.136185000 PM"
"900162","415566","10-APR-13 04.39.20.187384000 AM","S643","SYSTEM","Midwest Physicians Group","Y","E","0","SYSTEM","18-NOV-25 09.27.10.137185000 AM","SYSTEM","11-NOV-25 09.52.15.137185000 PM"
"900174","415567","10-APR-13 07.43.48.686538000 PM","S643","SYSTEM","Kaiser Dialysis Center","Y","E","0","SYSTEM","10-MAY-26 02.38.29.138192000 AM","SYSTEM","01-MAY-26 12.37.06.138192000 PM"
"900187","415568","11-APR-13 07.01.30.851544000 PM","S001","SYSTEM","Mayo Clinic Health System","Y","E","0","SYSTEM","13-SEP-25 09.59.27.139186000 PM","SYSTEM","17-AUG-25 08.31.04.139186000 PM"
"900189","415569","11-APR-13 11.40.58.466046000 PM","S643","SYSTEM","St. Jude Dialysis Center","Y","E","0","SYSTEM","29-MAY-26 10.14.30.140198000 AM","SYSTEM","11-MAY-26 01.35.07.140198000 AM"
"900151","415570","10-APR-13 08.32.39.745827000 AM","S643","SYSTEM","Mercy Physicians Group","Y","E","0","SYSTEM","20-MAY-26 04.34.53.141206000 PM","SYSTEM","17-MAY-26 04.45.33.141206000 PM"
"900186","415571","11-APR-13 12.52.57.880137000 PM","S001","SYSTEM","St. Jude Medical Center","Y","E","0","SYSTEM","05-APR-26 07.27.22.142200000 AM","SYSTEM","16-MAR-26 07.52.14.142200000 AM"
"900175","415572","10-APR-13 06.05.38.995326000 PM","S001","SYSTEM","Centura Health System","Y","E","0","SYSTEM","02-OCT-25 10.14.17.142200000 AM","SYSTEM","28-SEP-25 06.32.45.142200000 AM"
"900178","415573","10-APR-13 02.12.51.362086000 PM","S643","SYSTEM","Methodist Medical Center","Y","E","0","SYSTEM","08-MAR-26 07.10.33.143392000 AM","SYSTEM","24-FEB-26 11.07.31.143392000 AM"
"900156","415574","11-APR-13 07.55.13.125594000 AM","S643","SYSTEM","Midwest Hospital","Y","E","0","SYSTEM","24-DEC-25 04.28.07.144406000 PM","SYSTEM","30-NOV-25 02.03.05.144406000 AM"
"900173","415575","10-APR-13 01.48.42.188020000 AM","S001","SYSTEM","Trinity Specialty Clinic","Y","E","0","SYSTEM","22-SEP-25 06.21.08.145336000 AM","SYSTEM","23-AUG-25 03.56.48.145336000 PM"
"900167","415576","11-APR-13 06.25.03.224253000 AM","S001","SYSTEM","Methodist Specialty Clinic","Y","E","0","SYSTEM","21-AUG-25 03.32.07.146336000 AM","SYSTEM","20-AUG-25 05.59.18.146336000 AM"
"900176","415577","11-APR-13 04.27.32.512179000 PM","S643","SYSTEM","Mayo Clinic Hospital","Y","E","0","SYSTEM","04-FEB-26 03.04.42.147379000 PM","SYSTEM","15-JAN-26 12.28.33.147379000 PM"
"900171","415578","11-APR-13 08.45.04.492616000 PM","S643","SYSTEM","Trinity Dialysis Center","Y","E","0","SYSTEM","29-JUN-26 01.42.03.148383000 PM","SYSTEM","30-MAY-26 07.10.52.148383000 PM"
"900160","415579","11-APR-13 04.52.21.939139000 PM","S643","SYSTEM","Sanford Medical Center","Y","E","0","SYSTEM","21-JUN-26 03.55.41.149386000 PM","SYSTEM","22-MAY-26 08.43.04.149386000 PM"
"900157","415580","11-APR-13 06.12.02.355050000 PM","S001","SYSTEM","Midwest Specialty Clinic","Y","E","0","SYSTEM","16-AUG-26 05.30.47.150382000 AM","SYSTEM","19-JUL-26 06.56.07.150382000 AM"
"900155","415581","10-APR-13 03.35.42.554652000 PM","S643","SYSTEM","Valley Care Lab Services","Y","E","0","SYSTEM","13-DEC-25 10.05.00.150382000 AM","SYSTEM","03-DEC-25 05.41.28.150382000 AM"
"900184","415582","11-APR-13 08.08.00.069731000 AM","S643","SYSTEM","Valley Care Medical Center","Y","E","0","SYSTEM","28-NOV-25 03.22.12.151384000 AM","SYSTEM","15-NOV-25 01.13.37.151384000 PM"
