"p_sys_id","p_endrsmnt_cd","p_endrsmnt_nam","l_hibernate_ver_num","g_aud_user_id","g_aud_ts","g_aud_add_user_id","g_aud_add_ts"
"900170","I","Centura Hospital","0","SYSTEM","13-MAY-26 10.31.48.204529000 AM","SYSTEM","13-APR-26 12.34.35.204529000 PM"
"900176","E","Mercy Dialysis Center","0","SYSTEM","20-JUL-26 10.42.12.205541000 PM","SYSTEM","13-JUL-26 01.43.41.205541000 AM"
"900169","E","St. Jude Medical Center","0","SYSTEM","23-JAN-26 07.40.37.206543000 PM","SYSTEM","14-JAN-26 04.38.34.206543000 AM"
"900155","E","St. Jude Dialysis Center","0","SYSTEM","08-MAY-26 11.50.28.206543000 AM","SYSTEM","14-APR-26 08.56.22.206543000 PM"
"900162","I","Midwest Health System","0","SYSTEM","20-APR-26 09.23.35.207551000 PM","SYSTEM","13-APR-26 02.30.40.207551000 AM"
"900192","E","Mercy Hospital","0","SYSTEM","25-MAR-26 03.44.36.208601000 PM","SYSTEM","27-FEB-26 11.59.15.208601000 AM"
"900182","E","Midwest Lab Services","0","SYSTEM","18-NOV-25 07.51.13.208601000 AM","SYSTEM","15-NOV-25 01.02.39.208601000 AM"
"900163","I","Sanford Medical Center","0","SYSTEM","03-FEB-26 11.16.50.209597000 AM","SYSTEM","23-JAN-26 04.44.08.209597000 AM"
"900199","E","St. Jude Lab Services","0","SYSTEM","12-SEP-25 09.39.13.210599000 PM","SYSTEM","22-AUG-25 08.21.59.210599000 AM"
"900173","I","Mayo Clinic Physicians Group","0","SYSTEM","26-JUN-26 09.01.05.211560000 PM","SYSTEM","27-MAY-26 12.12.18.211560000 PM"
"900154","I","Methodist Medical Center","0","SYSTEM","06-JUL-26 01.33.53.212579000 PM","SYSTEM","06-JUN-26 11.32.36.212579000 AM"
"900191","E","Trinity Specialty Clinic","0","SYSTEM","08-MAR-26 01.48.01.212579000 PM","SYSTEM","11-FEB-26 06.49.29.212579000 PM"
"900184","E","Valley Care Lab Services","0","SYSTEM","25-JAN-26 04.22.20.213814000 AM","SYSTEM","29-DEC-25 07.58.50.213814000 AM"
"900168","E","Centura Medical Center","0","SYSTEM","01-FEB-26 09.13.56.214846000 PM","SYSTEM","09-JAN-26 09.41.09.214846000 PM"
"900187","I","Mayo Clinic Specialty Clinic","0","SYSTEM","05-NOV-25 08.57.03.214846000 AM","SYSTEM","30-OCT-25 09.52.30.214846000 PM"
"900186","I","Kaiser Hospital","0","SYSTEM","26-JAN-26 04.01.53.215858000 AM","SYSTEM","27-DEC-25 03.36.05.215858000 AM"
"900152","I","Sanford Physicians Group","0","SYSTEM","25-JUN-26 02.48.12.216847000 AM","SYSTEM","31-MAY-26 10.58.34.216847000 PM"
"900165","I","Midwest Specialty Clinic","0","SYSTEM","29-NOV-25 07.28.22.216847000 AM","SYSTEM","29-OCT-25 07.09.37.216847000 PM"
"900189","E","Valley Care Health System","0","SYSTEM","07-NOV-25 12.46.37.217818000 AM","SYSTEM","12-OCT-25 08.14.50.217818000 PM"
"900172","E","Mercy Lab Services","0","SYSTEM","05-OCT-25 05.29.52.218862000 AM","SYSTEM","27-SEP-25 11.54.52.218862000 PM"
