"p_hcidea_sys_id","p_hcidea_txnmy_seq_num","p_hcidea_txnmy_cd","p_hcidea_prim_txnmy_cd","p_hcidea_txnmy_desc","p_hcidea_txnmy_co_cnt","p_hcidea_txnmy_tier_cd","p_hcidea_txnmy_vrfy_cd","p_hcidea_txnmy_vrfy_dt","l_hibernate_ver_num","g_aud_add_ts","g_aud_add_user_id","g_aud_ts","g_aud_user_id"
"1000016","1000001","","","","","","","","","","SYSTEM","","SYSTEM"
"1000029","1000002","","","","","","","","","","SYSTEM","","SYSTEM"
"1000034","1000003","","","","","","","","","","SYSTEM","","SYSTEM"
"1000042","1000004","","","","","","","","","","SYSTEM","","SYSTEM"
"1000001","1000005","","","","","","","","","","SYSTEM","","SYSTEM"
"1000006","1000006","","","","","","","","","","SYSTEM","","SYSTEM"
"1000037","1000007","","","","","","","","","","SYSTEM","","SYSTEM"
"1000003","1000008","","","","","","","","","","SYSTEM","","SYSTEM"
"1000007","1000009","","","","","","","","","","SYSTEM","","SYSTEM"
"1000046","1000010","","","","","","","","","","SYSTEM","","SYSTEM"
"1000032","1000011","","","","","","","","","","SYSTEM","","SYSTEM"
"1000028","1000012","","","","","","","","","","SYSTEM","","SYSTEM"
"1000041","1000013","","","","","","","","","","SYSTEM","","SYSTEM"
"1000005","1000014","","","","","","","","","","SYSTEM","","SYSTEM"
"1000030","1000015","","","","","","","","","","SYSTEM","","SYSTEM"
"1000050","1000016","","","","","","","","","","SYSTEM","","SYSTEM"
"1000040","1000017","","","","","","","","","","SYSTEM","","SYSTEM"
"1000008","1000018","","","","","","","","","","SYSTEM","","SYSTEM"
"1000033","1000019","","","","","","","","","","SYSTEM","","SYSTEM"
"1000039","1000020","","","","","","","","","","SYSTEM","","SYSTEM"
"1000021","1000021","","","","","","","","","","SYSTEM","","SYSTEM"
"1000047","1000022","","","","","","","","","","SYSTEM","","SYSTEM"
"1000023","1000023","","","","","","","","","","SYSTEM","","SYSTEM"
"1000002","1000024","","","","","","","","","","SYSTEM","","SYSTEM"
"1000043","1000025","","","","","","","","","","SYSTEM","","SYSTEM"
"1000031","1000026","","","","","","","","","","SYSTEM","","SYSTEM"
"1000013","1000027","","","","","","","","","","SYSTEM","","SYSTEM"
"1000018","1000028","","","","","","","","","","SYSTEM","","SYSTEM"
"1000035","1000029","","","","","","","","","","SYSTEM","","SYSTEM"
"1000045","1000030","","","","","","","","","","SYSTEM","","SYSTEM"
"1000014","1000031","","","","","","","","","","SYSTEM","","SYSTEM"
"1000038","1000032","","","","","","","","","","SYSTEM","","SYSTEM"
"1000048","1000033","","","","","","","","","","SYSTEM","","SYSTEM"
"1000044","1000034","","","","","","","","","","SYSTEM","","SYSTEM"
"1000026","1000035","","","","","","","","","","SYSTEM","","SYSTEM"
"1000017","1000036","","","","","","","","","","SYSTEM","","SYSTEM"
"1000011","1000037","","","","","","","","","","SYSTEM","","SYSTEM"
"1000025","1000038","","","","","","","","","","SYSTEM","","SYSTEM"
"1000036","1000039","","","","","","","","","","SYSTEM","","SYSTEM"
"1000004","1000040","","","","","","","","","","SYSTEM","","SYSTEM"
"1000024","1000041","","","","","","","","","","SYSTEM","","SYSTEM"
"1000020","1000042","","","","","","","","","","SYSTEM","","SYSTEM"
"1000015","1000043","","","","","","","","","","SYSTEM","","SYSTEM"
"1000022","1000044","","","","","","","","","","SYSTEM","","SYSTEM"
"1000010","1000045","","","","","","","","","","SYSTEM","","SYSTEM"
"1000019","1000046","","","","","","","","","","SYSTEM","","SYSTEM"
"1000009","1000047","","","","","","","","","","SYSTEM","","SYSTEM"
"1000049","1000048","","","","","","","","","","SYSTEM","","SYSTEM"
"1000012","1000049","","","","","","","","","","SYSTEM","","SYSTEM"
"1000027","1000050","","","","","","","","","","SYSTEM","","SYSTEM"
