"p_if_nam","p_ty_cd","p_specl_cd","g_aud_user_id","g_aud_add_ts","p_indiv_grp_cd"
"Kaiser Hea","05","012","SYSTEM","31-OCT-25 02.52.14.866035000 AM",""
"Kaiser Lab","04","011","SYSTEM","20-NOV-25 10.17.03.866035000 PM",""
"Sanford Me","05","031","SYSTEM","15-JAN-26 01.59.10.866035000 PM",""
"St. Jude L","05","041","SYSTEM","02-FEB-26 04.55.49.867035000 AM",""
"Methodist ","04","041","SYSTEM","24-APR-26 09.35.51.867035000 AM",""
"Sanford Di","05","021","SYSTEM","11-NOV-25 06.10.12.867035000 PM",""
"Mercy Heal","05","012","SYSTEM","14-OCT-25 10.11.54.867035000 AM",""
"Valley Car","05","041","SYSTEM","03-JAN-26 08.00.46.867035000 AM",""
"Trinity He","03","011","SYSTEM","15-DEC-25 12.00.18.867035000 PM",""
"Trinity Me","01","012","SYSTEM","30-JUL-25 11.11.27.867035000 AM",""
"Mercy Hosp","01","031","SYSTEM","08-JUN-26 06.43.37.867035000 AM",""
"Midwest Di","02","011","SYSTEM","21-JAN-26 03.57.44.867035000 AM",""
"St. Jude P","02","041","SYSTEM","06-OCT-25 10.55.37.867035000 AM",""
"Centura Di","02","041","SYSTEM","10-SEP-25 08.01.42.867035000 AM",""
"Centura Ph","02","012","SYSTEM","29-MAR-26 04.52.09.867035000 PM",""
"Trinity Sp","02","021","SYSTEM","09-APR-26 02.57.20.867035000 AM",""
"St. Jude D","05","012","SYSTEM","09-DEC-25 12.54.11.867035000 AM",""
"Mayo Clini","01","031","SYSTEM","14-NOV-25 12.17.46.867035000 PM",""
"Mercy Spec","02","041","SYSTEM","05-JUN-26 12.48.25.867035000 PM",""
"Mercy Phys","05","011","SYSTEM","14-MAR-26 02.18.04.867035000 AM",""
"Sanford Ho","05","021","SYSTEM","25-MAY-26 02.04.52.867035000 AM",""
"Midwest Sp","05","041","SYSTEM","20-JAN-26 02.05.42.867035000 AM",""
"Midwest He","05","012","SYSTEM","01-SEP-25 03.52.27.867035000 PM",""
"St. Jude M","03","021","SYSTEM","08-DEC-25 03.29.43.868035000 PM",""
"Sanford Sp","05","011","SYSTEM","23-JUL-25 04.43.25.868035000 PM",""
"Kaiser Dia","01","041","SYSTEM","17-MAR-26 11.03.55.868035000 PM",""
"Trinity Di","01","041","SYSTEM","27-NOV-25 08.15.46.868035000 AM",""
"Mercy Medi","04","031","SYSTEM","08-JAN-26 01.56.17.868035000 PM",""
"Sanford He","04","031","SYSTEM","19-JUL-26 02.41.34.868035000 AM",""
"St. Jude H","02","021","SYSTEM","14-MAR-26 12.18.17.868035000 AM",""
"Centura Ho","03","012","SYSTEM","19-JAN-26 01.01.24.868035000 PM",""
"Mercy Dial","01","011","SYSTEM","02-MAR-26 07.58.25.868035000 AM",""
"Centura La","05","012","SYSTEM","17-DEC-25 05.02.05.868035000 AM",""
"Centura Me","01","012","SYSTEM","19-SEP-25 07.57.19.868035000 AM",""
"Centura Sp","02","041","SYSTEM","07-FEB-26 07.12.49.868035000 PM",""
"Midwest Ho","05","041","SYSTEM","15-APR-26 12.37.54.868035000 AM",""
"Kaiser Phy","04","021","SYSTEM","29-APR-26 07.04.11.868035000 AM",""
"Trinity La","05","012","SYSTEM","10-FEB-26 09.42.14.868035000 PM",""
"Trinity Ho","01","041","SYSTEM","02-JAN-26 06.02.13.868035000 AM",""
"Kaiser Med","04","031","SYSTEM","16-AUG-25 10.50.39.868035000 PM",""
"Mercy Lab ","01","041","SYSTEM","18-AUG-25 04.22.17.868035000 PM",""
"Midwest Ph","05","041","SYSTEM","06-AUG-25 03.07.55.868035000 AM",""
"Kaiser Spe","04","031","SYSTEM","25-SEP-25 08.18.33.869035000 PM",""
"Sanford La","03","021","SYSTEM","26-SEP-25 10.49.48.869035000 PM",""
"Midwest La","04","021","SYSTEM","14-JUN-26 01.21.03.869035000 AM",""
"Sanford Ph","03","031","SYSTEM","19-AUG-25 02.24.41.869035000 AM",""
"Trinity Ph","01","011","SYSTEM","27-JUL-25 10.12.22.869035000 AM",""
"Kaiser Hos","05","041","SYSTEM","27-MAY-26 10.11.33.869035000 AM",""
"St. Jude S","02","041","SYSTEM","26-JAN-26 11.46.17.869035000 PM",""
"Valley Car","02","021","SYSTEM","26-JAN-26 07.41.44.869035000 AM",""
