"p_sys_id","p_lang_sk","p_lang_cd","p_prim_lang_ind","l_hibernate_ver_num","g_aud_user_id","g_aud_ts","g_aud_add_user_id","g_aud_add_ts"
"900172","145283","FR","Y","0","SYSTEM","07-AUG-26 03.55.12.472182000 PM","SYSTEM","08-JUL-26 03.33.19.472182000 PM"
"900184","145284","EN","Y","0","SYSTEM","01-JUL-26 10.15.39.472182000 PM","SYSTEM","23-JUN-26 01.54.10.472182000 AM"
"900163","145285","FR","Y","0","SYSTEM","14-MAR-26 11.51.49.472182000 AM","SYSTEM","26-FEB-26 06.30.51.472182000 PM"
"900189","145286","ES","Y","0","SYSTEM","06-FEB-26 09.32.00.472182000 AM","SYSTEM","28-JAN-26 12.06.04.472182000 PM"
"900179","145287","ES","Y","0","SYSTEM","06-DEC-25 04.48.59.472182000 AM","SYSTEM","17-NOV-25 03.03.49.472182000 AM"
"900192","145288","KO","Y","0","SYSTEM","07-JAN-26 11.54.04.472182000 PM","SYSTEM","23-DEC-25 05.35.44.472182000 AM"
"900196","145289","KO","Y","0","SYSTEM","21-SEP-25 10.12.43.472182000 AM","SYSTEM","12-SEP-25 06.44.02.472182000 PM"
"900165","145290","ES","Y","0","SYSTEM","19-DEC-25 12.14.03.472182000 AM","SYSTEM","19-NOV-25 06.06.38.472182000 AM"
"900181","145291","VI","Y","0","SYSTEM","04-MAY-26 06.41.03.472182000 PM","SYSTEM","25-APR-26 06.25.51.472182000 PM"
"900171","145292","AR","Y","0","SYSTEM","16-APR-26 05.51.27.472182000 AM","SYSTEM","03-APR-26 01.34.17.472182000 AM"
"900178","145293","FR","Y","0","SYSTEM","07-MAR-26 12.26.20.473529000 AM","SYSTEM","05-MAR-26 09.10.12.473529000 PM"
"900188","145294","ZH","Y","0","SYSTEM","25-JAN-26 03.07.51.473529000 PM","SYSTEM","27-DEC-25 07.18.25.473529000 PM"
"900200","145295","VI","Y","0","SYSTEM","04-JUN-26 09.06.30.473529000 AM","SYSTEM","03-JUN-26 07.40.22.473529000 AM"
"900176","145296","VI","Y","0","SYSTEM","01-AUG-25 06.47.18.473529000 AM","SYSTEM","25-JUL-25 09.03.07.473529000 AM"
"900156","145297","AR","Y","0","SYSTEM","25-NOV-25 05.40.38.473529000 PM","SYSTEM","22-NOV-25 06.18.09.473529000 PM"
"900182","145298","EN","Y","0","SYSTEM","23-DEC-25 11.32.59.473529000 PM","SYSTEM","21-DEC-25 05.13.12.473529000 AM"
"900157","145299","ES","Y","0","SYSTEM","01-JUN-26 07.12.18.473529000 AM","SYSTEM","04-MAY-26 07.00.00.473529000 AM"
"900152","145300","DE","Y","0","SYSTEM","30-APR-26 05.49.55.473529000 PM","SYSTEM","09-APR-26 01.39.40.473529000 PM"
"900186","145301","EN","Y","0","SYSTEM","15-MAR-26 09.37.00.473529000 PM","SYSTEM","07-MAR-26 09.39.47.473529000 AM"
"900198","145302","VI","Y","0","SYSTEM","02-JAN-26 03.22.58.473529000 AM","SYSTEM","10-DEC-25 05.09.40.473529000 AM"
"900175","145303","ES","Y","0","SYSTEM","12-SEP-25 10.05.13.473529000 PM","SYSTEM","20-AUG-25 06.22.15.473529000 AM"
"900160","145304","KO","Y","0","SYSTEM","23-JUL-26 01.01.25.473529000 PM","SYSTEM","30-JUN-26 01.58.03.473529000 PM"
"900153","145305","AR","Y","0","SYSTEM","08-MAR-26 08.14.20.473529000 PM","SYSTEM","26-FEB-26 11.28.41.473529000 PM"
"900159","145306","KO","Y","0","SYSTEM","11-DEC-25 04.57.01.474514000 AM","SYSTEM","16-NOV-25 07.59.01.474514000 AM"
"900164","145307","AR","Y","0","SYSTEM","15-JUN-26 02.51.53.474514000 AM","SYSTEM","25-MAY-26 11.19.30.474514000 PM"
"900190","145308","KO","Y","0","SYSTEM","20-JUN-26 11.16.07.474514000 AM","SYSTEM","27-MAY-26 10.43.53.474514000 PM"
"900167","145309","AR","Y","0","SYSTEM","14-AUG-25 05.52.29.474514000 AM","SYSTEM","06-AUG-25 07.57.41.474514000 AM"
"900161","145310","ZH","Y","0","SYSTEM","27-OCT-25 01.11.23.474514000 PM","SYSTEM","30-SEP-25 09.20.57.474514000 AM"
"900158","145311","EN","Y","0","SYSTEM","25-JUN-26 02.58.27.474514000 PM","SYSTEM","27-MAY-26 09.20.36.474514000 AM"
"900166","145312","KO","Y","0","SYSTEM","05-JUN-26 07.48.25.474514000 AM","SYSTEM","18-MAY-26 04.08.00.474514000 AM"
"900173","145313","VI","Y","0","SYSTEM","30-MAY-26 10.24.38.474514000 AM","SYSTEM","27-MAY-26 04.31.39.474514000 AM"
"900177","145314","ZH","Y","0","SYSTEM","10-AUG-25 09.18.08.474514000 AM","SYSTEM","24-JUL-25 04.05.26.474514000 AM"
"900151","145315","KO","Y","0","SYSTEM","17-MAY-26 10.40.02.474514000 AM","SYSTEM","22-APR-26 04.34.18.474514000 PM"
"900169","145316","FR","Y","0","SYSTEM","28-OCT-25 04.36.49.474514000 AM","SYSTEM","18-OCT-25 09.31.23.474514000 PM"
"900191","145317","ZH","Y","0","SYSTEM","24-JAN-26 08.13.13.474514000 PM","SYSTEM","26-DEC-25 05.52.04.474514000 PM"
"900183","145318","ES","Y","0","SYSTEM","19-SEP-25 12.47.13.474514000 PM","SYSTEM","07-SEP-25 10.10.30.474514000 AM"
"900194","145319","AR","Y","0","SYSTEM","18-JUL-26 07.40.44.475530000 AM","SYSTEM","17-JUN-26 09.09.40.475530000 PM"
"900180","145320","FR","Y","0","SYSTEM","18-JUL-26 08.09.51.475530000 AM","SYSTEM","10-JUL-26 06.19.05.475530000 AM"
"900195","145321","FR","Y","0","SYSTEM","07-JUL-26 01.15.35.475530000 PM","SYSTEM","24-JUN-26 03.02.15.475530000 PM"
"900197","145322","ZH","Y","0","SYSTEM","15-DEC-25 07.22.50.475530000 PM","SYSTEM","25-NOV-25 12.04.55.475530000 AM"
"900168","145323","AR","Y","0","SYSTEM","26-JAN-26 12.23.16.475530000 AM","SYSTEM","20-JAN-26 04.04.25.475530000 AM"
"900154","145324","ES","Y","0","SYSTEM","18-NOV-25 08.12.15.475530000 PM","SYSTEM","28-OCT-25 10.38.27.475530000 PM"
"900174","145325","ES","Y","0","SYSTEM","17-DEC-25 09.02.23.475530000 PM","SYSTEM","13-DEC-25 03.34.32.475530000 AM"
"900162","145326","AR","Y","0","SYSTEM","04-JUL-26 12.27.13.475530000 AM","SYSTEM","08-JUN-26 04.32.08.475530000 PM"
"900155","145327","FR","Y","0","SYSTEM","15-JUL-26 09.08.44.475530000 AM","SYSTEM","13-JUL-26 06.18.38.475530000 PM"
"900199","145328","EN","Y","0","SYSTEM","11-MAR-26 07.46.16.475530000 AM","SYSTEM","03-MAR-26 08.10.19.475530000 AM"
"900170","145329","AR","Y","0","SYSTEM","16-MAR-26 02.54.57.475530000 AM","SYSTEM","14-MAR-26 02.47.55.475530000 AM"
"900187","145330","ZH","Y","0","SYSTEM","08-SEP-25 11.48.50.475530000 PM","SYSTEM","20-AUG-25 10.32.56.475530000 AM"
"900193","145331","ES","Y","0","SYSTEM","01-JUN-26 03.55.03.475530000 AM","SYSTEM","30-MAY-26 10.51.00.475530000 PM"
"900185","145332","ES","Y","0","SYSTEM","06-MAY-26 06.03.02.475530000 AM","SYSTEM","19-APR-26 09.49.45.475530000 AM"
