"p_sys_id","g_cnty_cd","p_scrn_locn_cd","b_sys_id","g_aud_add_ts","g_aud_add_user_id","g_aud_ts","g_aud_user_id","l_hibernate_ver_num"
"900157","81521","Q","641693","17-MAY-26 11.38.41.637496000 AM","SYSTEM","20-MAY-26 02.46.31.637496000 PM","SYSTEM","20"
"900197","81127","Q","643572","06-APR-26 06.42.19.637496000 PM","SYSTEM","03-MAY-26 03.04.10.637496000 AM","SYSTEM","17"
"900176","59682","Q","641916","30-JAN-26 06.47.35.637496000 PM","SYSTEM","02-FEB-26 12.49.55.637496000 PM","SYSTEM","18"
"900165","77264","Q","640298","26-AUG-25 05.37.48.638523000 AM","SYSTEM","15-SEP-25 05.28.09.638523000 PM","SYSTEM","18"
"900178","14929","Q","640392","22-DEC-25 08.01.47.638523000 PM","SYSTEM","14-JAN-26 09.43.48.638523000 PM","SYSTEM","19"
"900196","73546","Q","643463","05-SEP-25 11.31.52.638523000 PM","SYSTEM","27-SEP-25 06.31.19.638523000 PM","SYSTEM","18"
"900158","71589","Q","643400","23-DEC-25 03.05.05.639525000 PM","SYSTEM","18-JAN-26 04.22.15.639525000 AM","SYSTEM","17"
"900199","80130","Q","642559","03-MAY-26 06.28.52.639525000 PM","SYSTEM","30-MAY-26 04.19.19.639525000 AM","SYSTEM","19"
"900195","46444","Q","643252","15-MAR-26 10.29.17.639525000 AM","SYSTEM","11-APR-26 05.36.23.639525000 AM","SYSTEM","17"
"900155","66109","Q","643301","18-MAY-26 02.54.14.640520000 PM","SYSTEM","29-MAY-26 05.33.10.640520000 PM","SYSTEM","18"
"900193","44881","Q","641773","06-JUL-26 08.26.05.640520000 PM","SYSTEM","10-JUL-26 02.03.36.640520000 PM","SYSTEM","20"
"900185","92940","Q","642880","20-APR-26 05.15.54.640520000 AM","SYSTEM","22-APR-26 10.56.07.640520000 AM","SYSTEM","19"
"900175","72737","Q","641929","25-SEP-25 02.38.40.641524000 AM","SYSTEM","28-SEP-25 09.42.22.641524000 AM","SYSTEM","19"
