"p_sys_id","p_ofc_hrs_sk","p_day_of_wk_cd","l_hibernate_ver_num","g_aud_user_id","g_aud_ts","g_aud_add_user_id","g_aud_add_ts","p_ofc_close_tm_text","p_ofc_open_tm_text"
"900193","6591","1","12","SYSTEM","20-DEC-25 01.34.47.693814000 AM","SYSTEM","05-DEC-25 06.06.38.693814000 PM","Mercy Medi","St. Jude M"
"900167","6592","2","12","SYSTEM","10-MAY-26 10.16.17.694817000 AM","SYSTEM","21-APR-26 06.06.00.694817000 PM","Mayo Clini","Mayo Clini"
"900159","6593","2","12","SYSTEM","14-NOV-25 02.10.58.694817000 AM","SYSTEM","30-OCT-25 02.37.30.694817000 AM","Mercy Heal","Valley Car"
"900198","6594","2","12","SYSTEM","20-MAY-26 08.10.25.694817000 PM","SYSTEM","04-MAY-26 08.21.44.694817000 AM","Sanford Me","St. Jude S"
"900154","6595","2","12","SYSTEM","03-MAR-26 06.56.07.695851000 PM","SYSTEM","27-FEB-26 01.38.08.695851000 AM","Midwest La","Mercy Phys"
"900195","6596","1","12","SYSTEM","05-DEC-25 04.57.46.695851000 PM","SYSTEM","05-NOV-25 05.08.38.695851000 PM","Methodist ","Midwest Me"
"900184","6597","1","12","SYSTEM","15-DEC-25 12.41.56.696864000 PM","SYSTEM","06-DEC-25 12.49.53.696864000 PM","Mercy Phys","Methodist "
"900199","6598","1","12","SYSTEM","19-NOV-25 08.59.15.696864000 AM","SYSTEM","03-NOV-25 02.59.03.696864000 PM","Valley Car","St. Jude L"
"900188","6599","1","12","SYSTEM","26-MAY-26 03.00.29.696864000 AM","SYSTEM","04-MAY-26 11.15.32.696864000 AM","Kaiser Hea","Mercy Lab "
"900176","6600","2","12","SYSTEM","07-JAN-26 12.09.28.697874000 AM","SYSTEM","14-DEC-25 05.44.28.697874000 AM","Kaiser Lab","Midwest Di"
"900187","6601","1","12","SYSTEM","16-SEP-25 04.52.48.697874000 PM","SYSTEM","08-SEP-25 02.18.09.697874000 PM","Midwest He","Mercy Heal"
"900182","6602","2","12","SYSTEM","09-SEP-25 04.57.33.697874000 PM","SYSTEM","02-SEP-25 11.05.28.697874000 AM","Trinity La","St. Jude H"
"900197","6603","1","12","SYSTEM","08-JUL-26 05.42.05.698874000 PM","SYSTEM","15-JUN-26 12.20.09.698874000 AM","Sanford Sp","Centura Ph"
"900163","6604","1","12","SYSTEM","07-NOV-25 09.43.16.698874000 AM","SYSTEM","31-OCT-25 08.47.39.698874000 PM","St. Jude D","Sanford Ph"
"900185","6605","1","12","SYSTEM","06-MAY-26 05.29.57.698874000 AM","SYSTEM","20-APR-26 01.08.59.698874000 AM","Sanford La","Midwest La"
"900169","6606","1","12","SYSTEM","18-JUL-26 06.26.53.699866000 PM","SYSTEM","27-JUN-26 08.56.14.699866000 AM","Trinity Me","Midwest He"
