"p_sys_id","p_oig_sk","p_oig_match_cd","l_hibernate_ver_num","g_aud_user_id","g_aud_ts","g_aud_add_user_id","g_aud_add_ts"
"900154","1000051","Y","","SYSTEM","","SYSTEM",""
"900178","1000052","Y","","SYSTEM","","SYSTEM",""
"900176","1000053","N","","SYSTEM","","SYSTEM",""
"900190","1000054","N","","SYSTEM","","SYSTEM",""
"900155","1000055","N","","SYSTEM","","SYSTEM",""
"900157","1000056","N","","SYSTEM","","SYSTEM",""
"900186","1000057","Y","","SYSTEM","","SYSTEM",""
"900185","1000058","Y","","SYSTEM","","SYSTEM",""
"900192","1000059","N","","SYSTEM","","SYSTEM",""
"900163","1000060","N","","SYSTEM","","SYSTEM",""
"900187","1000061","N","","SYSTEM","","SYSTEM",""
"900199","1000062","Y","","SYSTEM","","SYSTEM",""
"900197","1000063","Y","","SYSTEM","","SYSTEM",""
"900170","1000064","N","","SYSTEM","","SYSTEM",""
"900173","1000065","Y","","SYSTEM","","SYSTEM",""
"900180","1000066","N","","SYSTEM","","SYSTEM",""
"900158","1000067","Y","","SYSTEM","","SYSTEM",""
"900161","1000068","Y","","SYSTEM","","SYSTEM",""
"900183","1000069","Y","","SYSTEM","","SYSTEM",""
"900181","1000070","Y","","SYSTEM","","SYSTEM",""
"900179","1000071","Y","","SYSTEM","","SYSTEM",""
"900160","1000072","N","","SYSTEM","","SYSTEM",""
"900168","1000073","N","","SYSTEM","","SYSTEM",""
"900188","1000074","N","","SYSTEM","","SYSTEM",""
"900194","1000075","N","","SYSTEM","","SYSTEM",""
"900156","1000076","Y","","SYSTEM","","SYSTEM",""
"900200","1000077","N","","SYSTEM","","SYSTEM",""
"900177","1000078","Y","","SYSTEM","","SYSTEM",""
"900175","1000079","N","","SYSTEM","","SYSTEM",""
"900152","1000080","N","","SYSTEM","","SYSTEM",""
"900174","1000081","N","","SYSTEM","","SYSTEM",""
"900164","1000082","N","","SYSTEM","","SYSTEM",""
"900153","1000083","N","","SYSTEM","","SYSTEM",""
"900198","1000084","N","","SYSTEM","","SYSTEM",""
"900193","1000085","N","","SYSTEM","","SYSTEM",""
"900189","1000086","N","","SYSTEM","","SYSTEM",""
"900195","1000087","Y","","SYSTEM","","SYSTEM",""
"900196","1000088","N","","SYSTEM","","SYSTEM",""
"900169","1000089","N","","SYSTEM","","SYSTEM",""
"900162","1000090","Y","","SYSTEM","","SYSTEM",""
"900159","1000091","Y","","SYSTEM","","SYSTEM",""
"900182","1000092","N","","SYSTEM","","SYSTEM",""
"900165","1000093","N","","SYSTEM","","SYSTEM",""
"900184","1000094","Y","","SYSTEM","","SYSTEM",""
"900171","1000095","N","","SYSTEM","","SYSTEM",""
"900191","1000096","N","","SYSTEM","","SYSTEM",""
"900167","1000097","N","","SYSTEM","","SYSTEM",""
"900172","1000098","Y","","SYSTEM","","SYSTEM",""
"900151","1000099","Y","","SYSTEM","","SYSTEM",""
"900166","1000100","N","","SYSTEM","","SYSTEM",""
