"p_sys_id","p_oig_sk","l_hibernate_ver_num","g_aud_user_id","g_aud_ts","g_aud_add_user_id","g_aud_add_ts"
"900159","1000009","","SYSTEM","","SYSTEM",""
"900184","1000046","","SYSTEM","","SYSTEM",""
"900190","1000014","","SYSTEM","","SYSTEM",""
"900181","1000026","","SYSTEM","","SYSTEM",""
"900174","1000043","","SYSTEM","","SYSTEM",""
"900177","1000037","","SYSTEM","","SYSTEM",""
"900165","1000004","","SYSTEM","","SYSTEM",""
"900173","1000031","","SYSTEM","","SYSTEM",""
"900168","1000031","","SYSTEM","","SYSTEM",""
"900161","1000011","","SYSTEM","","SYSTEM",""
"900193","1000035","","SYSTEM","","SYSTEM",""
"900200","1000022","","SYSTEM","","SYSTEM",""
"900180","1000011","","SYSTEM","","SYSTEM",""
"900153","1000020","","SYSTEM","","SYSTEM",""
"900196","1000007","","SYSTEM","","SYSTEM",""
"900152","1000026","","SYSTEM","","SYSTEM",""
"900191","1000011","","SYSTEM","","SYSTEM",""
"900158","1000044","","SYSTEM","","SYSTEM",""
"900151","1000022","","SYSTEM","","SYSTEM",""
"900157","1000034","","SYSTEM","","SYSTEM",""
"900171","1000032","","SYSTEM","","SYSTEM",""
"900160","1000021","","SYSTEM","","SYSTEM",""
"900186","1000015","","SYSTEM","","SYSTEM",""
"900163","1000039","","SYSTEM","","SYSTEM",""
"900164","1000040","","SYSTEM","","SYSTEM",""
"900162","1000021","","SYSTEM","","SYSTEM",""
"900194","1000008","","SYSTEM","","SYSTEM",""
"900169","1000012","","SYSTEM","","SYSTEM",""
"900154","1000042","","SYSTEM","","SYSTEM",""
"900170","1000014","","SYSTEM","","SYSTEM",""
"900179","1000048","","SYSTEM","","SYSTEM",""
"900189","1000025","","SYSTEM","","SYSTEM",""
"900176","1000025","","SYSTEM","","SYSTEM",""
"900156","1000028","","SYSTEM","","SYSTEM",""
"900182","1000023","","SYSTEM","","SYSTEM",""
"900155","1000003","","SYSTEM","","SYSTEM",""
"900198","1000032","","SYSTEM","","SYSTEM",""
"900197","1000046","","SYSTEM","","SYSTEM",""
"900172","1000015","","SYSTEM","","SYSTEM",""
"900199","1000002","","SYSTEM","","SYSTEM",""
"900167","1000006","","SYSTEM","","SYSTEM",""
"900166","1000013","","SYSTEM","","SYSTEM",""
"900192","1000043","","SYSTEM","","SYSTEM",""
"900187","1000036","","SYSTEM","","SYSTEM",""
"900178","1000043","","SYSTEM","","SYSTEM",""
"900175","1000037","","SYSTEM","","SYSTEM",""
"900188","1000044","","SYSTEM","","SYSTEM",""
"900183","1000024","","SYSTEM","","SYSTEM",""
"900185","1000006","","SYSTEM","","SYSTEM",""
"900195","1000007","","SYSTEM","","SYSTEM",""
