"p_sys_id","g_cnty_cd","p_scrn_locn_cd","l_hibernate_ver_num","g_aud_add_ts","g_aud_add_user_id","g_aud_ts","g_aud_user_id"
"900161","55388","Q","0","26-AUG-25 02.37.06.796589000 AM","SYSTEM","05-SEP-25 08.00.19.796589000 AM","SYSTEM"
"900185","67595","S","0","15-JUN-26 06.20.40.796589000 PM","SYSTEM","16-JUL-26 05.51.56.796589000 PM","SYSTEM"
"900157","37005","S","0","12-JUL-26 01.07.07.797588000 AM","SYSTEM","08-AUG-26 04.16.26.797588000 AM","SYSTEM"
"900173","52884","Q","0","08-AUG-25 01.29.12.797588000 AM","SYSTEM","24-AUG-25 09.21.03.797588000 PM","SYSTEM"
"900191","23153","S","0","17-AUG-25 04.08.51.798598000 PM","SYSTEM","24-AUG-25 12.24.39.798598000 AM","SYSTEM"
"900158","10480","Q","0","03-APR-26 01.09.40.799590000 AM","SYSTEM","05-APR-26 04.19.37.799590000 AM","SYSTEM"
"900194","38768","Q","0","21-DEC-25 07.13.26.800610000 PM","SYSTEM","14-JAN-26 09.05.07.800610000 PM","SYSTEM"
"900175","59486","S","0","31-JAN-26 04.05.39.800610000 AM","SYSTEM","07-FEB-26 08.40.50.800610000 PM","SYSTEM"
"900197","44408","Q","0","11-APR-26 12.51.35.801924000 AM","SYSTEM","08-MAY-26 08.52.24.801924000 AM","SYSTEM"
"900155","29172","Q","0","10-JUL-26 12.05.58.801924000 PM","SYSTEM","28-JUL-26 06.42.44.801924000 AM","SYSTEM"
"900192","46743","Q","0","30-JAN-26 10.29.08.802967000 AM","SYSTEM","13-FEB-26 05.21.08.802967000 AM","SYSTEM"
"900160","98545","Q","0","20-JUL-25 02.15.39.803969000 PM","SYSTEM","24-JUL-25 03.09.24.803969000 PM","SYSTEM"
"900187","66670","S","0","19-AUG-25 11.37.48.804969000 PM","SYSTEM","26-AUG-25 02.13.10.804969000 AM","SYSTEM"
"900176","80960","S","0","27-JUN-26 02.49.13.804969000 AM","SYSTEM","09-JUL-26 05.02.17.804969000 PM","SYSTEM"
"900153","07314","Q","0","22-JUN-26 07.22.47.805983000 AM","SYSTEM","03-JUL-26 10.45.00.805983000 AM","SYSTEM"
"900163","16795","S","0","13-APR-26 03.17.24.806960000 PM","SYSTEM","16-APR-26 10.19.34.806960000 PM","SYSTEM"
"900195","17853","S","0","08-NOV-25 08.56.57.808015000 AM","SYSTEM","13-NOV-25 03.51.34.808015000 AM","SYSTEM"
"900199","33058","Q","0","18-JUL-26 09.37.26.808015000 AM","SYSTEM","27-JUL-26 03.46.17.808015000 AM","SYSTEM"
