"p_prov_hrarchy_num","p_prov_hrarchy_qlfr_cd","p_prov_hrarchy_desc","l_hibernate_ver_num","g_aud_user_id","g_aud_ts","g_aud_add_user_id","g_aud_add_ts"
"2","XX","Centura Lab Services","0","SYSTEM","28-APR-26 02.43.21.056541000 PM","SYSTEM","12-APR-26 12.49.05.056541000 PM"
"1","1D","Valley Care Lab Services","0","SYSTEM","12-SEP-25 11.16.21.057520000 PM","SYSTEM","26-AUG-25 05.41.22.057520000 AM"
"1","1D","Midwest Lab Services","0","SYSTEM","09-DEC-25 04.50.05.057520000 AM","SYSTEM","16-NOV-25 10.40.04.057520000 PM"
"1","1D","Methodist Lab Services","0","SYSTEM","09-NOV-25 05.51.07.058520000 AM","SYSTEM","29-OCT-25 11.45.14.058520000 PM"
"2","1D","Valley Care Physicians Group","0","SYSTEM","16-APR-26 06.16.15.058520000 AM","SYSTEM","31-MAR-26 06.37.14.058520000 PM"
"1","XX","Centura Physicians Group","0","SYSTEM","04-JUN-26 10.26.06.059514000 AM","SYSTEM","18-MAY-26 09.54.55.059514000 AM"
"1","XX","Mayo Clinic Health System","0","SYSTEM","21-DEC-25 10.12.30.060069000 PM","SYSTEM","16-DEC-25 04.00.56.060069000 PM"
"2","1D","St. Jude Dialysis Center","0","SYSTEM","05-JAN-26 04.38.29.060069000 PM","SYSTEM","25-DEC-25 01.09.32.060069000 PM"
"1","XX","Centura Medical Center","0","SYSTEM","22-DEC-25 01.01.43.061125000 PM","SYSTEM","21-DEC-25 06.21.44.061125000 PM"
"2","XX","Valley Care Health System","0","SYSTEM","05-FEB-26 04.10.52.062085000 AM","SYSTEM","14-JAN-26 07.39.49.062085000 PM"
"2","1D","Midwest Specialty Clinic","0","SYSTEM","21-JUL-26 08.59.46.063126000 AM","SYSTEM","04-JUL-26 02.44.30.063126000 AM"
"2","XX","Midwest Physicians Group","0","SYSTEM","04-SEP-25 11.23.11.063126000 AM","SYSTEM","08-AUG-25 08.15.20.063126000 AM"
"1","XX","Mercy Specialty Clinic","0","SYSTEM","11-JUN-26 10.14.49.064141000 PM","SYSTEM","27-MAY-26 02.19.50.064141000 PM"
"1","1D","Sanford Health System","0","SYSTEM","24-MAR-26 06.40.37.065150000 AM","SYSTEM","04-MAR-26 06.53.53.065150000 AM"
"1","XX","Valley Care Medical Center","0","SYSTEM","16-NOV-25 04.38.17.065150000 PM","SYSTEM","09-NOV-25 12.00.59.065150000 AM"
"1","1D","Methodist Hospital","0","SYSTEM","17-NOV-25 04.46.25.066146000 AM","SYSTEM","23-OCT-25 05.36.39.066146000 PM"
"2","XX","Trinity Health System","0","SYSTEM","01-APR-26 04.50.46.066146000 AM","SYSTEM","15-MAR-26 04.39.08.066146000 PM"
"2","XX","Kaiser Medical Center","0","SYSTEM","09-MAY-26 07.35.28.067156000 AM","SYSTEM","20-APR-26 09.13.29.067156000 PM"
"2","1D","St. Jude Physicians Group","0","SYSTEM","31-JAN-26 01.51.19.067156000 PM","SYSTEM","09-JAN-26 07.43.17.067156000 PM"
"2","1D","Mayo Clinic Dialysis Center","0","SYSTEM","31-MAR-26 02.56.45.068154000 AM","SYSTEM","16-MAR-26 06.11.33.068154000 PM"
"1","XX","Mayo Clinic Hospital","0","SYSTEM","13-JAN-26 04.26.42.068154000 AM","SYSTEM","25-DEC-25 12.03.46.068154000 AM"
"1","1D","Trinity Hospital","0","SYSTEM","03-JAN-26 03.50.24.069153000 PM","SYSTEM","03-DEC-25 03.55.52.069153000 PM"
"1","XX","St. Jude Lab Services","0","SYSTEM","16-JAN-26 07.11.17.069153000 AM","SYSTEM","24-DEC-25 02.21.57.069153000 AM"
"2","1D","Mercy Dialysis Center","0","SYSTEM","18-OCT-25 10.22.54.070151000 AM","SYSTEM","03-OCT-25 01.14.15.070151000 AM"
"2","1D","St. Jude Health System","0","SYSTEM","31-DEC-25 02.20.35.070151000 PM","SYSTEM","22-DEC-25 07.51.58.070151000 AM"
"1","1D","Sanford Physicians Group","0","SYSTEM","27-NOV-25 06.39.00.071151000 PM","SYSTEM","11-NOV-25 10.28.13.071151000 AM"
"1","XX","Mercy Medical Center","0","SYSTEM","29-AUG-25 02.06.07.071151000 AM","SYSTEM","14-AUG-25 12.39.47.071151000 AM"
"2","1D","Sanford Medical Center","0","SYSTEM","18-AUG-25 06.48.27.072149000 AM","SYSTEM","26-JUL-25 04.46.51.072149000 PM"
"1","1D","Methodist Medical Center","0","SYSTEM","09-DEC-25 04.36.22.072149000 PM","SYSTEM","04-DEC-25 10.03.02.072149000 AM"
"1","1D","Kaiser Health System","0","SYSTEM","28-JUN-26 10.58.35.073359000 AM","SYSTEM","24-JUN-26 06.08.15.073359000 PM"
"2","1D","St. Jude Hospital","0","SYSTEM","28-JUN-26 04.17.13.074352000 AM","SYSTEM","29-MAY-26 10.47.51.074352000 PM"
"2","1D","Sanford Specialty Clinic","0","SYSTEM","12-MAY-26 04.52.41.074352000 AM","SYSTEM","16-APR-26 07.26.53.074352000 PM"
"1","XX","Trinity Medical Center","0","SYSTEM","23-AUG-25 12.59.27.075360000 AM","SYSTEM","03-AUG-25 12.09.36.075360000 PM"
"1","XX","Mayo Clinic Medical Center","0","SYSTEM","23-DEC-25 11.16.45.075360000 PM","SYSTEM","14-DEC-25 07.06.06.075360000 AM"
"2","XX","Sanford Lab Services","0","SYSTEM","20-OCT-25 08.13.24.075360000 AM","SYSTEM","16-OCT-25 11.33.56.075360000 PM"
"1","XX","Centura Specialty Clinic","0","SYSTEM","16-SEP-25 06.22.19.076929000 AM","SYSTEM","04-SEP-25 06.48.32.076929000 PM"
"1","XX","Trinity Physicians Group","0","SYSTEM","08-AUG-26 05.22.56.077533000 AM","SYSTEM","14-JUL-26 08.19.17.077533000 PM"
"2","XX","Sanford Hospital","0","SYSTEM","16-AUG-25 06.31.30.078603000 AM","SYSTEM","01-AUG-25 02.32.01.078603000 AM"
"2","1D","St. Jude Medical Center","0","SYSTEM","07-JUN-26 09.40.31.079549000 AM","SYSTEM","12-MAY-26 01.22.37.079549000 AM"
"2","XX","Kaiser Physicians Group","0","SYSTEM","26-SEP-25 01.51.52.080539000 AM","SYSTEM","14-SEP-25 05.14.33.080539000 PM"
"1","1D","Centura Health System","0","SYSTEM","23-JUN-26 09.48.38.080539000 AM","SYSTEM","05-JUN-26 11.06.53.080539000 PM"
"1","1D","Trinity Lab Services","0","SYSTEM","07-JUN-26 01.15.30.081578000 PM","SYSTEM","09-MAY-26 12.08.46.081578000 AM"
"2","1D","Valley Care Hospital","0","SYSTEM","03-FEB-26 01.06.44.081578000 AM","SYSTEM","06-JAN-26 10.38.48.081578000 AM"
"2","1D","Sanford Dialysis Center","0","SYSTEM","22-OCT-25 04.00.37.082846000 PM","SYSTEM","28-SEP-25 10.26.01.082846000 AM"
"2","1D","Methodist Specialty Clinic","0","SYSTEM","10-NOV-25 08.12.18.082846000 AM","SYSTEM","19-OCT-25 04.50.12.082846000 PM"
"1","1D","Midwest Hospital","0","SYSTEM","01-AUG-26 12.31.37.083850000 AM","SYSTEM","17-JUL-26 10.19.15.083850000 AM"
"1","XX","Kaiser Lab Services","0","SYSTEM","13-SEP-25 01.50.01.083850000 PM","SYSTEM","23-AUG-25 08.37.21.083850000 PM"
"2","1D","Methodist Physicians Group","0","SYSTEM","22-SEP-25 04.44.16.084857000 AM","SYSTEM","15-SEP-25 11.00.52.084857000 PM"
"2","1D","Midwest Health System","0","SYSTEM","05-JAN-26 07.46.34.084857000 AM","SYSTEM","12-DEC-25 07.55.31.084857000 PM"
"1","1D","Mercy Physicians Group","0","SYSTEM","23-JUN-26 03.19.49.085849000 PM","SYSTEM","22-JUN-26 09.32.15.085849000 PM"
