"p_sys_id","p_qstnr_sect_cd","p_qstnr_seq_num","p_qstnr_responce_ind","p_qstnr_resp_text","l_hibernate_ver_num","g_aud_user_id","g_aud_ts","g_aud_add_user_id","g_aud_add_ts"
"900173","1","10","N","","5","SYSTEM","28-OCT-25 02.27.28.886755000 AM","SYSTEM","02-OCT-25 09.54.39.886755000 PM"
"900164","1","11","N","","5","SYSTEM","19-FEB-26 04.31.32.886755000 AM","SYSTEM","14-FEB-26 01.51.08.886755000 AM"
"900181","1","12","N","","5","SYSTEM","30-OCT-25 02.57.08.886755000 AM","SYSTEM","05-OCT-25 03.06.57.886755000 AM"
"900183","1","13","N","","5","SYSTEM","25-FEB-26 09.01.49.886755000 AM","SYSTEM","31-JAN-26 08.24.52.886755000 PM"
"900176","1","14","N","","5","SYSTEM","09-DEC-25 05.29.24.886755000 AM","SYSTEM","29-NOV-25 08.31.39.886755000 AM"
"900195","1","65","N","","5","SYSTEM","24-SEP-25 03.19.47.887802000 AM","SYSTEM","11-SEP-25 05.27.51.887802000 AM"
"900162","1","66","N","","5","SYSTEM","04-JUL-26 02.55.55.887802000 AM","SYSTEM","02-JUL-26 03.46.44.887802000 PM"
"900172","1","67","N","","5","SYSTEM","03-OCT-25 10.54.44.887802000 PM","SYSTEM","02-OCT-25 09.31.47.887802000 PM"
"900168","1","68","N","","5","SYSTEM","29-MAY-26 04.24.18.887802000 PM","SYSTEM","17-MAY-26 03.27.17.887802000 AM"
"900184","1","69","N","","5","SYSTEM","19-JAN-26 12.26.30.887802000 AM","SYSTEM","04-JAN-26 05.45.13.887802000 AM"
"900178","1","70","N","","5","SYSTEM","26-JAN-26 08.23.00.887802000 PM","SYSTEM","18-JAN-26 12.10.20.887802000 PM"
"900174","1","71","N","","5","SYSTEM","28-MAY-26 02.57.33.888802000 AM","SYSTEM","09-MAY-26 04.54.45.888802000 AM"
"900190","1","72","N","","5","SYSTEM","11-OCT-25 11.29.06.888802000 PM","SYSTEM","02-OCT-25 05.39.46.888802000 PM"
"900188","1","73","N","","5","SYSTEM","09-APR-26 09.59.11.888802000 PM","SYSTEM","15-MAR-26 10.48.51.888802000 PM"
"900160","1","74","N","","5","SYSTEM","21-DEC-25 08.39.23.888802000 AM","SYSTEM","21-NOV-25 05.52.39.888802000 AM"
"900155","1","75","N","","5","SYSTEM","13-NOV-25 04.50.06.888802000 AM","SYSTEM","27-OCT-25 11.22.23.888802000 AM"
"900182","1","76","N","","5","SYSTEM","11-AUG-26 05.58.50.888802000 AM","SYSTEM","13-JUL-26 03.55.08.888802000 AM"
"900159","1","77","N","","5","SYSTEM","24-DEC-25 03.09.54.888802000 AM","SYSTEM","25-NOV-25 07.47.43.888802000 AM"
"900156","1","78","N","","5","SYSTEM","01-MAR-26 04.16.03.888802000 PM","SYSTEM","28-FEB-26 07.47.12.888802000 PM"
"900197","1","79","N","","5","SYSTEM","16-NOV-25 04.00.31.889809000 AM","SYSTEM","12-NOV-25 11.48.39.889809000 PM"
"900152","1","80","N","","5","SYSTEM","03-MAR-26 01.37.57.889809000 AM","SYSTEM","27-FEB-26 03.51.25.889809000 PM"
"900169","1","81","N","","5","SYSTEM","11-AUG-25 04.36.14.889809000 PM","SYSTEM","03-AUG-25 03.04.35.889809000 AM"
"900166","1","82","N","","5","SYSTEM","15-DEC-25 05.39.46.889809000 PM","SYSTEM","14-DEC-25 03.45.32.889809000 PM"
"900154","1","83","N","","5","SYSTEM","03-DEC-25 07.37.16.889809000 PM","SYSTEM","25-NOV-25 06.15.48.889809000 AM"
"900153","1","84","N","","5","SYSTEM","21-AUG-25 05.26.42.889809000 PM","SYSTEM","29-JUL-25 06.42.12.889809000 PM"
"900175","1","85","N","","5","SYSTEM","07-JAN-26 05.09.24.889809000 PM","SYSTEM","26-DEC-25 11.03.03.889809000 AM"
"900198","1","86","N","","5","SYSTEM","28-APR-26 04.31.52.890809000 PM","SYSTEM","06-APR-26 01.54.01.890809000 AM"
"900151","1","87","N","","5","SYSTEM","11-NOV-25 05.26.42.890809000 AM","SYSTEM","31-OCT-25 06.57.46.890809000 AM"
"900163","1","88","N","","5","SYSTEM","02-AUG-25 05.03.24.890809000 AM","SYSTEM","29-JUL-25 05.10.16.890809000 AM"
"900161","1","89","N","","5","SYSTEM","21-DEC-25 10.42.03.890809000 PM","SYSTEM","16-DEC-25 03.39.18.890809000 PM"
"900177","1","90","N","","5","SYSTEM","11-NOV-25 11.21.18.890809000 PM","SYSTEM","09-NOV-25 07.05.24.890809000 PM"
"900167","1","91","N","","5","SYSTEM","21-DEC-25 05.01.11.890809000 AM","SYSTEM","10-DEC-25 02.15.58.890809000 PM"
"900192","1","92","N","","5","SYSTEM","02-JUL-26 11.43.11.890809000 PM","SYSTEM","23-JUN-26 03.14.49.890809000 AM"
"900194","1","93","N","","5","SYSTEM","16-JUL-26 01.50.59.890809000 PM","SYSTEM","18-JUN-26 10.53.09.890809000 AM"
"900193","1","94","N","","5","SYSTEM","05-APR-26 08.53.50.890809000 AM","SYSTEM","05-APR-26 05.41.31.890809000 AM"
"900185","1","95","N","","5","SYSTEM","19-DEC-25 04.36.14.891811000 PM","SYSTEM","09-DEC-25 10.58.41.891811000 PM"
"900200","1","96","N","","5","SYSTEM","19-MAY-26 08.15.13.891811000 PM","SYSTEM","18-MAY-26 07.18.15.891811000 AM"
"900157","1","97","N","","5","SYSTEM","10-MAR-26 10.48.11.891811000 AM","SYSTEM","22-FEB-26 10.36.27.891811000 AM"
"900191","1","98","N","","5","SYSTEM","14-FEB-26 07.31.17.891811000 AM","SYSTEM","10-FEB-26 02.20.41.891811000 AM"
"900199","1","99","N","","5","SYSTEM","08-OCT-25 02.52.34.891811000 PM","SYSTEM","08-OCT-25 10.40.46.891811000 AM"
"900171","1","100","N","","5","SYSTEM","07-NOV-25 01.48.23.891811000 PM","SYSTEM","27-OCT-25 10.41.02.891811000 PM"
"900158","1","101","N","","5","SYSTEM","23-JUN-26 02.00.04.891811000 PM","SYSTEM","11-JUN-26 09.42.50.891811000 AM"
"900186","1","102","N","","5","SYSTEM","19-APR-26 06.04.33.891811000 PM","SYSTEM","21-MAR-26 04.24.31.891811000 AM"
"900189","1","103","N","","5","SYSTEM","14-APR-26 05.04.28.891811000 PM","SYSTEM","19-MAR-26 11.46.54.891811000 AM"
"900187","1","104","N","","5","SYSTEM","13-APR-26 12.12.04.891811000 AM","SYSTEM","28-MAR-26 08.54.33.891811000 AM"
"900165","1","105","N","","5","SYSTEM","22-JUL-26 07.00.18.891811000 PM","SYSTEM","24-JUN-26 04.18.16.891811000 PM"
"900179","1","106","N","","5","SYSTEM","03-SEP-25 07.30.17.891811000 PM","SYSTEM","13-AUG-25 05.49.56.891811000 AM"
"900170","1","107","N","","5","SYSTEM","20-MAY-26 01.03.13.891811000 AM","SYSTEM","09-MAY-26 12.09.33.891811000 AM"
"900180","1","108","N","","5","SYSTEM","06-SEP-25 12.39.33.892809000 PM","SYSTEM","12-AUG-25 12.25.11.892809000 AM"
"900196","1","109","N","","5","SYSTEM","10-JAN-26 02.51.46.892809000 PM","SYSTEM","25-DEC-25 07.26.56.892809000 AM"
