"p_sys_id","p_qstnr_sk","p_qstnr_ty_cd","p_qstnr_occ_dt","l_hibernate_ver_num","g_aud_user_id","g_aud_ts","g_aud_add_user_id","g_aud_add_ts"
"900151","1639642","20","01-JAN-00","20","SYSTEM","27-APR-26 09.43.18.950742000 AM","SYSTEM","27-MAR-26 11.50.47.950742000 PM"
"900190","1639643","19","01-JAN-00","20","SYSTEM","30-JAN-26 09.56.28.950742000 AM","SYSTEM","10-JAN-26 01.33.21.950742000 AM"
"900185","1639644","19","01-JAN-00","20","SYSTEM","20-OCT-25 03.24.24.951795000 PM","SYSTEM","15-OCT-25 05.24.37.951795000 PM"
"900159","1639645","19","01-JAN-00","20","SYSTEM","25-MAY-26 01.10.38.951795000 PM","SYSTEM","26-APR-26 04.53.41.951795000 PM"
"900196","1639646","20","01-JAN-00","20","SYSTEM","31-MAR-26 08.07.15.953104000 PM","SYSTEM","11-MAR-26 08.02.01.953104000 AM"
"900173","1639647","19","01-JAN-00","20","SYSTEM","29-AUG-25 04.14.52.954105000 AM","SYSTEM","02-AUG-25 04.29.01.954105000 AM"
"900175","1639648","20","01-JAN-00","20","SYSTEM","28-SEP-25 07.06.54.955112000 AM","SYSTEM","12-SEP-25 09.50.31.955112000 AM"
"900172","1639649","19","01-JAN-00","20","SYSTEM","01-SEP-25 12.26.31.955112000 PM","SYSTEM","14-AUG-25 09.40.23.955112000 PM"
"900158","1639650","19","01-JAN-00","20","SYSTEM","04-JUN-26 03.33.41.956107000 AM","SYSTEM","19-MAY-26 03.23.35.956107000 PM"
"900198","1639651","19","01-JAN-00","20","SYSTEM","12-JUN-26 01.50.17.957105000 PM","SYSTEM","16-MAY-26 12.28.07.957105000 AM"
"900160","1639652","19","01-JAN-00","20","SYSTEM","21-AUG-25 02.53.21.958104000 PM","SYSTEM","12-AUG-25 07.17.51.958104000 AM"
"900183","1639653","20","01-JAN-00","20","SYSTEM","09-SEP-25 03.44.01.959104000 AM","SYSTEM","27-AUG-25 03.52.28.959104000 PM"
"900179","1639654","19","01-JAN-00","20","SYSTEM","27-OCT-25 12.23.36.959104000 AM","SYSTEM","13-OCT-25 10.03.16.959104000 AM"
"900165","1639655","20","01-JAN-00","20","SYSTEM","18-DEC-25 09.23.43.960104000 AM","SYSTEM","01-DEC-25 10.57.20.960104000 PM"
"900154","1639656","20","01-JAN-00","20","SYSTEM","12-FEB-26 04.10.50.961059000 PM","SYSTEM","27-JAN-26 02.24.07.961059000 AM"
"900164","1639657","19","01-JAN-00","20","SYSTEM","01-MAR-26 10.56.44.962115000 AM","SYSTEM","22-FEB-26 08.43.49.962115000 PM"
"900184","1639658","19","01-JAN-00","20","SYSTEM","11-APR-26 09.16.19.963106000 AM","SYSTEM","16-MAR-26 10.15.23.963106000 PM"
"900174","1639659","20","01-JAN-00","20","SYSTEM","10-FEB-26 09.46.14.963106000 PM","SYSTEM","18-JAN-26 05.34.25.963106000 AM"
"900166","1639660","19","01-JAN-00","20","SYSTEM","28-MAY-26 04.22.07.964102000 PM","SYSTEM","18-MAY-26 01.00.29.964102000 AM"
"900177","1639661","20","01-JAN-00","20","SYSTEM","29-AUG-25 06.08.36.965148000 PM","SYSTEM","11-AUG-25 01.18.17.965148000 AM"
"900152","1639662","19","01-JAN-00","20","SYSTEM","07-OCT-25 08.59.43.965148000 PM","SYSTEM","06-OCT-25 07.15.07.965148000 PM"
"900197","1639663","19","01-JAN-00","20","SYSTEM","02-APR-26 06.25.58.966170000 AM","SYSTEM","02-MAR-26 11.22.27.966170000 PM"
"900155","1639664","19","01-JAN-00","20","SYSTEM","18-JAN-26 05.52.29.966170000 PM","SYSTEM","08-JAN-26 06.02.08.966170000 PM"
"900169","1639665","19","01-JAN-00","20","SYSTEM","14-JUL-26 03.06.51.966170000 AM","SYSTEM","13-JUL-26 02.19.26.966170000 PM"
"900161","1639666","20","01-JAN-00","20","SYSTEM","17-SEP-25 04.17.02.967170000 PM","SYSTEM","05-SEP-25 10.07.59.967170000 AM"
"900194","1639667","19","01-JAN-00","20","SYSTEM","09-SEP-25 09.35.03.967170000 AM","SYSTEM","29-AUG-25 05.46.26.967170000 AM"
"900187","1639668","20","01-JAN-00","20","SYSTEM","13-JUN-26 10.57.19.968182000 AM","SYSTEM","27-MAY-26 08.26.43.968182000 AM"
"900195","1639669","20","01-JAN-00","20","SYSTEM","16-JUL-26 02.39.37.968182000 PM","SYSTEM","05-JUL-26 11.43.11.968182000 AM"
"900167","1639670","20","01-JAN-00","20","SYSTEM","11-SEP-25 02.52.25.969143000 PM","SYSTEM","17-AUG-25 02.31.08.969143000 PM"
"900191","1639671","19","01-JAN-00","20","SYSTEM","10-FEB-26 10.46.50.969143000 PM","SYSTEM","27-JAN-26 07.49.12.969143000 AM"
"900171","1639672","19","01-JAN-00","20","SYSTEM","14-FEB-26 01.01.39.969143000 AM","SYSTEM","31-JAN-26 09.47.29.969143000 AM"
"900162","1639673","19","01-JAN-00","20","SYSTEM","17-APR-26 04.24.40.970165000 AM","SYSTEM","12-APR-26 03.40.10.970165000 PM"
"900176","1639674","19","01-JAN-00","20","SYSTEM","29-JUL-26 08.35.22.970165000 PM","SYSTEM","15-JUL-26 01.35.27.970165000 AM"
"900157","1639675","20","01-JAN-00","20","SYSTEM","28-SEP-25 09.35.48.971156000 PM","SYSTEM","18-SEP-25 04.16.13.971156000 PM"
"900170","1639676","20","01-JAN-00","20","SYSTEM","14-SEP-25 03.30.40.971156000 AM","SYSTEM","10-SEP-25 05.11.35.971156000 AM"
"900168","1639677","20","01-JAN-00","20","SYSTEM","19-NOV-25 06.25.10.971156000 AM","SYSTEM","17-NOV-25 07.47.14.971156000 PM"
"900188","1639678","20","01-JAN-00","20","SYSTEM","04-AUG-25 03.12.47.972156000 PM","SYSTEM","20-JUL-25 04.59.30.972156000 AM"
"900163","1639679","20","01-JAN-00","20","SYSTEM","04-NOV-25 07.11.30.972156000 AM","SYSTEM","02-NOV-25 09.53.58.972156000 AM"
"900181","1639680","19","01-JAN-00","20","SYSTEM","12-JAN-26 11.41.50.973158000 PM","SYSTEM","12-JAN-26 12.25.39.973158000 PM"
"900178","1639681","20","01-JAN-00","20","SYSTEM","24-JUL-26 04.58.33.973158000 PM","SYSTEM","25-JUN-26 02.49.15.973158000 AM"
"900180","1639682","20","01-JAN-00","20","SYSTEM","24-NOV-25 09.00.07.973158000 AM","SYSTEM","10-NOV-25 01.31.55.973158000 AM"
"900199","1639683","19","01-JAN-00","20","SYSTEM","17-MAR-26 12.15.36.974428000 PM","SYSTEM","15-FEB-26 05.08.30.974428000 PM"
"900156","1639684","19","01-JAN-00","20","SYSTEM","15-DEC-25 08.36.41.974428000 PM","SYSTEM","08-DEC-25 01.05.41.974428000 AM"
"900193","1639685","19","01-JAN-00","20","SYSTEM","25-SEP-25 07.36.35.975441000 AM","SYSTEM","24-SEP-25 04.38.03.975441000 AM"
"900192","1639686","20","01-JAN-00","20","SYSTEM","25-JUL-26 05.47.08.975441000 PM","SYSTEM","29-JUN-26 02.58.16.975441000 AM"
"900200","1639687","19","01-JAN-00","20","SYSTEM","16-OCT-25 12.18.14.975441000 PM","SYSTEM","27-SEP-25 10.38.54.975441000 PM"
"900189","1639688","19","01-JAN-00","20","SYSTEM","02-MAY-26 08.46.42.976439000 PM","SYSTEM","06-APR-26 07.30.41.976439000 PM"
"900153","1639689","19","01-JAN-00","20","SYSTEM","10-MAR-26 04.30.46.976439000 AM","SYSTEM","03-MAR-26 11.43.24.976439000 AM"
"900182","1639690","19","01-JAN-00","20","SYSTEM","06-JUL-26 08.42.27.977388000 AM","SYSTEM","02-JUL-26 08.47.31.977388000 PM"
"900186","1639691","20","01-JAN-00","20","SYSTEM","24-MAR-26 02.45.09.977388000 PM","SYSTEM","04-MAR-26 02.06.24.977388000 PM"
