"p_sys_id","p_ra_medm_sk","p_ra_medm_cd","l_hibernate_ver_num","g_aud_user_id","g_aud_ts","g_aud_add_user_id","g_aud_add_ts"
"900164","1004067","3","0","SYSTEM","28-AUG-25 06.00.56.978391000 PM","SYSTEM","12-AUG-25 01.57.46.978391000 AM"
"900186","1004068","3","0","SYSTEM","21-JUL-26 02.20.50.978391000 AM","SYSTEM","08-JUL-26 08.53.37.978391000 AM"
"900176","1004069","3","0","SYSTEM","24-SEP-25 09.40.38.979945000 PM","SYSTEM","21-SEP-25 05.53.29.979945000 PM"
"900153","1004070","3","0","SYSTEM","26-MAY-26 09.30.00.979945000 PM","SYSTEM","08-MAY-26 09.15.24.979945000 PM"
"900154","1004071","3","0","SYSTEM","26-JUL-26 11.35.47.979945000 AM","SYSTEM","13-JUL-26 04.04.08.979945000 AM"
"900160","1004072","3","0","SYSTEM","15-MAR-26 07.01.14.979945000 PM","SYSTEM","15-FEB-26 09.54.42.979945000 PM"
"900187","1004073","3","0","SYSTEM","22-AUG-25 03.02.20.979945000 AM","SYSTEM","24-JUL-25 10.00.32.979945000 PM"
"900155","1004074","3","0","SYSTEM","17-JUN-26 08.36.46.980579000 PM","SYSTEM","29-MAY-26 10.38.25.980579000 PM"
"900183","1004075","3","0","SYSTEM","22-APR-26 08.40.49.980579000 PM","SYSTEM","19-APR-26 02.41.27.980579000 AM"
"900196","1004076","3","0","SYSTEM","10-AUG-25 07.50.14.980579000 AM","SYSTEM","26-JUL-25 11.45.21.980579000 PM"
"900171","1004077","3","0","SYSTEM","07-SEP-25 02.18.23.980579000 PM","SYSTEM","16-AUG-25 02.24.02.980579000 PM"
"900169","1004078","3","0","SYSTEM","16-FEB-26 09.38.29.980579000 PM","SYSTEM","25-JAN-26 05.24.37.980579000 AM"
"900158","1004079","3","0","SYSTEM","12-NOV-25 06.19.17.980579000 PM","SYSTEM","08-NOV-25 11.03.47.980579000 AM"
"900157","1004080","3","0","SYSTEM","05-MAR-26 02.00.40.980579000 AM","SYSTEM","16-FEB-26 09.13.48.980579000 PM"
"900198","1004081","3","0","SYSTEM","22-JAN-26 03.01.33.980579000 PM","SYSTEM","11-JAN-26 06.47.20.980579000 PM"
"900192","1004082","3","0","SYSTEM","02-JUN-26 10.02.25.980579000 PM","SYSTEM","26-MAY-26 08.48.51.980579000 PM"
"900181","1004083","3","0","SYSTEM","30-APR-26 08.56.32.980579000 AM","SYSTEM","26-APR-26 06.50.35.980579000 PM"
"900168","1004084","3","0","SYSTEM","11-FEB-26 03.57.05.980579000 AM","SYSTEM","05-FEB-26 03.41.49.980579000 PM"
"900191","1004085","3","0","SYSTEM","19-JUN-26 06.58.14.980579000 PM","SYSTEM","27-MAY-26 03.03.10.980579000 AM"
"900193","1004086","3","0","SYSTEM","07-OCT-25 12.39.56.980579000 AM","SYSTEM","26-SEP-25 02.18.26.980579000 PM"
"900174","1004087","3","0","SYSTEM","08-SEP-25 07.32.00.980579000 PM","SYSTEM","13-AUG-25 06.37.37.980579000 AM"
"900156","1004088","3","0","SYSTEM","22-OCT-25 05.56.57.981635000 PM","SYSTEM","30-SEP-25 01.41.38.981635000 PM"
"900163","1004089","3","0","SYSTEM","27-OCT-25 11.06.22.981635000 AM","SYSTEM","20-OCT-25 07.12.53.981635000 AM"
"900165","1004090","3","0","SYSTEM","06-APR-26 12.10.58.981635000 PM","SYSTEM","15-MAR-26 02.16.31.981635000 PM"
"900199","1004091","3","0","SYSTEM","11-APR-26 07.36.57.981635000 AM","SYSTEM","18-MAR-26 11.20.26.981635000 PM"
"900197","1004092","3","0","SYSTEM","01-SEP-25 08.59.02.981635000 AM","SYSTEM","14-AUG-25 04.03.56.981635000 PM"
"900170","1004093","3","0","SYSTEM","04-FEB-26 04.29.49.981635000 PM","SYSTEM","16-JAN-26 07.50.09.981635000 AM"
"900185","1004094","3","0","SYSTEM","01-SEP-25 12.54.19.981635000 PM","SYSTEM","04-AUG-25 01.34.31.981635000 PM"
"900184","1004095","3","0","SYSTEM","21-APR-26 04.12.46.981635000 AM","SYSTEM","06-APR-26 04.50.04.981635000 AM"
"900190","1004096","3","0","SYSTEM","11-JUL-26 12.45.00.981635000 PM","SYSTEM","23-JUN-26 11.56.58.981635000 AM"
"900195","1004097","3","0","SYSTEM","09-MAY-26 01.02.40.981635000 AM","SYSTEM","26-APR-26 01.12.40.981635000 PM"
"900178","1004098","3","0","SYSTEM","03-AUG-25 04.37.21.981635000 PM","SYSTEM","30-JUL-25 07.43.35.981635000 AM"
"900151","1004099","3","0","SYSTEM","25-APR-26 09.00.19.981635000 AM","SYSTEM","14-APR-26 05.13.12.981635000 AM"
"900188","1004100","3","0","SYSTEM","14-MAY-26 02.17.44.981635000 PM","SYSTEM","25-APR-26 12.01.35.981635000 PM"
