"p_sys_id","p_req_attach_sk","p_attach_ty_cd","p_attach_recd_ind","l_hibernate_ver_num","g_aud_user_id","g_aud_ts","g_aud_add_user_id","g_aud_add_ts"
"900180","15811","17","Y","0","SYSTEM","29-MAR-26 01.13.50.015706000 AM","SYSTEM","02-MAR-26 04.54.43.015706000 AM"
"900198","15812","05","Y","0","SYSTEM","07-DEC-25 09.28.10.015706000 AM","SYSTEM","27-NOV-25 01.09.08.015706000 AM"
"900163","15813","17","Y","0","SYSTEM","04-SEP-25 08.41.15.015706000 AM","SYSTEM","18-AUG-25 05.57.13.015706000 PM"
"900152","15814","05","Y","0","SYSTEM","09-DEC-25 12.41.18.015706000 AM","SYSTEM","06-DEC-25 12.41.29.015706000 PM"
"900181","15815","17","Y","0","SYSTEM","26-APR-26 01.03.31.016753000 AM","SYSTEM","17-APR-26 11.39.54.016753000 PM"
"900190","15816","05","Y","0","SYSTEM","22-DEC-25 07.06.46.016753000 PM","SYSTEM","21-DEC-25 07.52.16.016753000 AM"
"900151","15817","05","Y","0","SYSTEM","06-MAR-26 05.52.42.016753000 AM","SYSTEM","01-MAR-26 09.02.42.016753000 PM"
"900191","15818","05","Y","0","SYSTEM","31-JAN-26 12.04.41.017808000 AM","SYSTEM","28-JAN-26 04.46.18.017808000 PM"
"900165","15819","05","Y","0","SYSTEM","27-SEP-25 08.28.59.017808000 PM","SYSTEM","20-SEP-25 01.26.52.017808000 PM"
"900170","15820","05","Y","0","SYSTEM","03-AUG-26 06.02.19.017808000 PM","SYSTEM","12-JUL-26 05.07.45.017808000 PM"
"900167","15821","17","Y","0","SYSTEM","17-JAN-26 03.48.45.017808000 PM","SYSTEM","25-DEC-25 01.50.45.017808000 AM"
"900172","15822","17","Y","0","SYSTEM","21-JAN-26 09.28.20.018811000 AM","SYSTEM","03-JAN-26 10.40.33.018811000 PM"
"900154","15823","05","Y","0","SYSTEM","12-JUN-26 09.01.36.018811000 AM","SYSTEM","05-JUN-26 03.30.31.018811000 PM"
"900155","15824","17","Y","0","SYSTEM","08-JAN-26 08.49.28.018811000 PM","SYSTEM","16-DEC-25 01.16.17.018811000 AM"
"900162","15825","17","Y","0","SYSTEM","14-APR-26 04.58.45.019829000 PM","SYSTEM","13-APR-26 05.20.08.019829000 AM"
"900185","15826","17","Y","0","SYSTEM","05-JAN-26 08.30.59.019829000 PM","SYSTEM","13-DEC-25 12.55.05.019829000 PM"
"900158","15827","05","Y","0","SYSTEM","30-AUG-25 03.38.14.019829000 AM","SYSTEM","09-AUG-25 04.02.25.019829000 PM"
"900176","15828","17","Y","0","SYSTEM","18-NOV-25 02.11.16.020831000 AM","SYSTEM","07-NOV-25 10.41.01.020831000 PM"
"900157","15829","05","Y","0","SYSTEM","15-JUL-26 12.04.28.020831000 AM","SYSTEM","04-JUL-26 06.52.56.020831000 AM"
"900173","15830","05","Y","0","SYSTEM","08-SEP-25 04.49.56.020831000 PM","SYSTEM","30-AUG-25 06.39.28.020831000 AM"
"900153","15831","17","Y","0","SYSTEM","27-AUG-25 10.55.25.021824000 PM","SYSTEM","11-AUG-25 05.27.22.021824000 AM"
"900177","15832","05","Y","0","SYSTEM","12-JUL-26 05.28.46.022151000 PM","SYSTEM","06-JUL-26 11.13.32.022151000 PM"
"900183","15833","17","Y","0","SYSTEM","03-FEB-26 04.40.58.022714000 AM","SYSTEM","04-JAN-26 02.28.36.022714000 AM"
"900174","15834","05","Y","0","SYSTEM","04-OCT-25 10.05.10.022714000 PM","SYSTEM","28-SEP-25 12.19.27.022714000 AM"
"900200","15835","17","Y","0","SYSTEM","21-JUN-26 09.07.29.022714000 AM","SYSTEM","14-JUN-26 08.23.15.022714000 PM"
"900169","15836","05","Y","0","SYSTEM","08-NOV-25 06.55.31.022714000 AM","SYSTEM","08-OCT-25 08.13.27.022714000 AM"
"900186","15837","17","Y","0","SYSTEM","05-MAY-26 05.30.51.023759000 AM","SYSTEM","24-APR-26 03.47.43.023759000 PM"
"900199","15838","05","Y","0","SYSTEM","18-MAR-26 10.07.57.023759000 AM","SYSTEM","14-MAR-26 03.00.32.023759000 PM"
"900195","15839","17","Y","0","SYSTEM","28-DEC-25 06.21.24.023759000 PM","SYSTEM","19-DEC-25 10.38.03.023759000 PM"
"900161","15840","17","Y","0","SYSTEM","05-DEC-25 08.18.00.024767000 PM","SYSTEM","05-DEC-25 10.34.14.024767000 AM"
"900189","15841","17","Y","0","SYSTEM","15-SEP-25 05.47.28.024767000 PM","SYSTEM","14-SEP-25 12.47.52.024767000 PM"
"900156","15842","05","Y","0","SYSTEM","31-AUG-25 07.10.22.024767000 AM","SYSTEM","31-JUL-25 08.24.28.024767000 PM"
"900160","15843","17","Y","0","SYSTEM","28-NOV-25 05.20.48.025768000 PM","SYSTEM","07-NOV-25 02.21.33.025768000 PM"
"900192","15844","17","Y","0","SYSTEM","01-JUL-26 03.07.50.025768000 PM","SYSTEM","28-JUN-26 02.46.15.025768000 AM"
"900194","15845","05","Y","0","SYSTEM","25-JUN-26 01.16.29.026421000 AM","SYSTEM","14-JUN-26 11.32.42.026421000 AM"
"900178","15846","17","Y","0","SYSTEM","30-APR-26 07.37.55.026421000 AM","SYSTEM","19-APR-26 05.45.20.026421000 AM"
"900179","15847","17","Y","0","SYSTEM","24-MAY-26 10.54.50.026421000 PM","SYSTEM","11-MAY-26 06.49.32.026421000 AM"
"900164","15848","05","Y","0","SYSTEM","02-JUL-26 09.16.09.027445000 PM","SYSTEM","24-JUN-26 09.14.53.027445000 AM"
"900171","15849","05","Y","0","SYSTEM","20-MAR-26 12.41.32.027445000 AM","SYSTEM","24-FEB-26 06.15.59.027445000 AM"
"900188","15850","17","Y","0","SYSTEM","21-NOV-25 03.43.31.028444000 PM","SYSTEM","23-OCT-25 08.07.30.028444000 AM"
"900168","15851","05","Y","0","SYSTEM","30-AUG-25 06.43.15.028444000 PM","SYSTEM","01-AUG-25 09.59.53.028444000 AM"
"900196","15852","17","Y","0","SYSTEM","15-AUG-25 01.17.08.028444000 AM","SYSTEM","21-JUL-25 07.33.35.028444000 AM"
"900184","15853","17","Y","0","SYSTEM","26-DEC-25 12.31.30.029442000 AM","SYSTEM","25-DEC-25 07.32.19.029442000 PM"
"900159","15854","05","Y","0","SYSTEM","17-AUG-25 01.25.15.029442000 PM","SYSTEM","15-AUG-25 03.44.01.029442000 AM"
"900197","15855","05","Y","0","SYSTEM","23-AUG-25 02.03.17.029442000 PM","SYSTEM","17-AUG-25 01.36.37.029442000 AM"
"900166","15856","17","Y","0","SYSTEM","19-OCT-25 09.23.53.030441000 PM","SYSTEM","11-OCT-25 02.21.35.030441000 AM"
"900175","15857","17","Y","0","SYSTEM","31-JAN-26 04.40.55.030441000 PM","SYSTEM","23-JAN-26 07.51.52.030441000 PM"
"900193","15858","05","Y","0","SYSTEM","05-OCT-25 11.54.28.030441000 AM","SYSTEM","04-OCT-25 02.32.26.030441000 AM"
"900182","15859","17","Y","0","SYSTEM","26-JAN-26 09.23.04.031440000 PM","SYSTEM","28-DEC-25 11.17.33.031440000 AM"
"900187","15860","05","Y","0","SYSTEM","01-AUG-26 06.41.43.031440000 AM","SYSTEM","07-JUL-26 03.38.53.031440000 AM"
