"p_sys_id","p_reval_started_ind","p_general_info_stat_ind","p_name_addr_stat_ind","p_lic_spec_stat_ind","p_financial_stat_ind","p_sanctions_stat_ind","p_bankruptcy_stat_ind","p_ownership_stat_ind","p_managing_stat_ind","p_reval_stat_cd","p_reval_stat_last_dt","p_reval_comp_dt","p_reval_comp_by_nam","l_hibernate_ver_num","g_aud_add_user_id","g_aud_ts","g_aud_user_id","g_aud_add_ts"
"900158","N","N","N","N","N","N","N","N","N","TN","31-JUL-20","","","1","SYSTEM","22-JAN-26 01.20.51.032443000 PM","SYSTEM","18-JAN-26 04.47.08.032443000 PM"
"900189","N","N","N","N","N","N","N","N","N","TN","31-JUL-20","","","1","SYSTEM","15-SEP-25 07.26.15.032443000 PM","SYSTEM","11-SEP-25 07.32.28.032443000 AM"
"900180","N","N","N","N","N","N","N","N","N","TN","31-JUL-20","","","1","SYSTEM","28-DEC-25 05.37.51.032443000 AM","SYSTEM","10-DEC-25 11.27.51.032443000 PM"
"900187","N","N","N","N","N","N","N","N","N","TN","31-JUL-20","","","1","SYSTEM","13-OCT-25 10.04.03.033443000 AM","SYSTEM","02-OCT-25 01.48.08.033443000 AM"
"900184","N","N","N","N","N","N","N","N","N","TN","31-JUL-20","","","1","SYSTEM","30-APR-26 04.55.59.033443000 AM","SYSTEM","25-APR-26 10.37.35.033443000 PM"
"900156","N","N","N","N","N","N","N","N","N","TN","31-JUL-20","","","1","SYSTEM","07-APR-26 11.51.32.033443000 PM","SYSTEM","30-MAR-26 06.59.17.033443000 PM"
"900166","N","N","N","N","N","N","N","N","N","TN","31-JUL-20","","","1","SYSTEM","26-FEB-26 05.12.32.033443000 AM","SYSTEM","13-FEB-26 11.49.32.033443000 AM"
"900194","N","N","N","N","N","N","N","N","N","TN","31-JUL-20","","","1","SYSTEM","07-APR-26 09.25.53.033443000 PM","SYSTEM","18-MAR-26 07.46.51.033443000 AM"
"900195","N","N","N","N","N","N","N","N","N","TN","31-JUL-20","","","1","SYSTEM","09-JAN-26 08.31.34.033953000 PM","SYSTEM","19-DEC-25 10.43.45.033953000 AM"
"900192","N","N","N","N","N","N","N","N","N","TN","31-JUL-20","","","1","SYSTEM","09-AUG-26 01.44.56.033953000 AM","SYSTEM","19-JUL-26 10.58.39.033953000 PM"
"900172","N","N","N","N","N","N","N","N","N","TN","31-JUL-20","","","1","SYSTEM","06-DEC-25 08.13.05.033953000 AM","SYSTEM","12-NOV-25 12.00.16.033953000 AM"
"900200","N","N","N","N","N","N","N","N","N","TN","31-JUL-20","","","1","SYSTEM","20-MAY-26 07.52.08.033953000 AM","SYSTEM","14-MAY-26 01.49.36.033953000 AM"
"900168","N","N","N","N","N","N","N","N","N","TN","31-JUL-20","","","1","SYSTEM","25-APR-26 12.33.42.033953000 PM","SYSTEM","27-MAR-26 07.31.14.033953000 AM"
"900188","N","N","N","N","N","N","N","N","N","TN","31-JUL-20","","","1","SYSTEM","19-JAN-26 12.44.47.033953000 AM","SYSTEM","19-JAN-26 12.35.30.033953000 AM"
"900174","N","N","N","N","N","N","N","N","N","TN","31-JUL-20","","","1","SYSTEM","26-MAR-26 03.51.52.033953000 AM","SYSTEM","14-MAR-26 04.07.18.033953000 PM"
"900155","N","N","N","N","N","N","N","N","N","TN","31-JUL-20","","","1","SYSTEM","23-MAR-26 01.56.44.033953000 AM","SYSTEM","14-MAR-26 08.39.31.033953000 PM"
"900169","N","N","N","N","N","N","N","N","N","TN","31-JUL-20","","","1","SYSTEM","26-JUN-26 11.25.07.033953000 PM","SYSTEM","07-JUN-26 12.15.35.033953000 AM"
"900165","N","N","N","N","N","N","N","N","N","TN","31-JUL-20","","","1","SYSTEM","17-FEB-26 11.32.33.033953000 PM","SYSTEM","04-FEB-26 05.08.39.033953000 PM"
"900153","N","N","N","N","N","N","N","N","N","TN","31-JUL-20","","","1","SYSTEM","08-FEB-26 10.02.20.034963000 AM","SYSTEM","11-JAN-26 05.55.36.034963000 PM"
"900185","N","N","N","N","N","N","N","N","N","TN","31-JUL-20","","","1","SYSTEM","28-APR-26 10.36.30.034963000 AM","SYSTEM","23-APR-26 05.05.39.034963000 AM"
"900177","N","N","N","N","N","N","N","N","N","TN","31-JUL-20","","","1","SYSTEM","27-JAN-26 08.05.14.034963000 AM","SYSTEM","03-JAN-26 04.21.55.034963000 PM"
"900176","N","N","N","N","N","N","N","N","N","TN","31-JUL-20","","","1","SYSTEM","31-AUG-25 09.45.12.034963000 AM","SYSTEM","16-AUG-25 01.31.16.034963000 AM"
"900196","N","N","N","N","N","N","N","N","N","TN","31-JUL-20","","","1","SYSTEM","03-FEB-26 04.11.31.034963000 AM","SYSTEM","21-JAN-26 07.42.40.034963000 AM"
"900182","N","N","N","N","N","N","N","N","N","TN","31-JUL-20","","","1","SYSTEM","10-APR-26 06.48.53.034963000 AM","SYSTEM","03-APR-26 01.49.37.034963000 PM"
"900191","N","N","N","N","N","N","N","N","N","TN","31-JUL-20","","","1","SYSTEM","11-MAR-26 02.23.41.034963000 PM","SYSTEM","20-FEB-26 01.36.49.034963000 PM"
"900151","N","N","N","N","N","N","N","N","N","TN","31-JUL-20","","","1","SYSTEM","11-DEC-25 05.22.48.034963000 AM","SYSTEM","20-NOV-25 09.46.29.034963000 AM"
"900159","N","N","N","N","N","N","N","N","N","TN","31-JUL-20","","","1","SYSTEM","09-JUN-26 12.48.13.034963000 AM","SYSTEM","31-MAY-26 07.05.37.034963000 PM"
"900164","N","N","N","N","N","N","N","N","N","TN","31-JUL-20","","","1","SYSTEM","12-JUL-26 11.12.37.035962000 PM","SYSTEM","26-JUN-26 09.24.47.035962000 PM"
"900181","N","N","N","N","N","N","N","N","N","TN","31-JUL-20","","","1","SYSTEM","26-JAN-26 12.42.30.035962000 AM","SYSTEM","15-JAN-26 09.46.54.035962000 AM"
