"p_rpt_cms_upd_sk","p_rec_type","p_iface_prcs_dt","p_mmis_id","p_prov_nam","p_err_msg_text","l_hibernate_ver_num","g_aud_add_user_id","g_aud_add_ts"
"62","","22-SEP-25","1474527","Dr. Caitlyn Long, PA","Methodist Physicians Group","0","SYSTEM","05-JUL-26 02.11.03.089207000 PM"
"63","","22-SEP-25","1474528","Dr. Madison Saunders, MD","Sanford Medical Center","0","SYSTEM","25-JUL-25 09.41.28.089207000 PM"
"64","","22-SEP-25","1474529","Dr. Robert Jackson, NP","Centura Medical Center","0","SYSTEM","25-JUL-25 06.03.02.089207000 AM"
"65","","22-SEP-25","1474530","Dr. John Lucas, DO","Centura Lab Services","0","SYSTEM","02-OCT-25 08.26.33.089207000 AM"
"66","","22-SEP-25","1474531","Dr. Katelyn White, DO","St. Jude Hospital","0","SYSTEM","20-APR-26 01.16.48.090259000 AM"
"67","","22-SEP-25","1474532","Dr. Kara Smith, RN","Midwest Dialysis Center","0","SYSTEM","17-MAR-26 08.51.31.090259000 AM"
"68","","22-SEP-25","1474533","Dr. James Oconnor, PA","Midwest Health System","0","SYSTEM","14-JAN-26 04.56.19.090259000 AM"
"69","","22-SEP-25","1474534","Dr. Vanessa Bradley, PA","Sanford Lab Services","0","SYSTEM","28-JAN-26 01.07.01.090259000 AM"
"70","","22-SEP-25","1474535","Dr. Scott Marsh, MD","Trinity Physicians Group","0","SYSTEM","27-JUL-25 07.09.22.090259000 PM"
"71","","22-SEP-25","1474536","Dr. Dawn Cuevas, MD","Midwest Specialty Clinic","0","SYSTEM","17-JAN-26 05.16.15.091274000 PM"
"72","","22-SEP-25","1474537","Dr. Maria Young, MD","Methodist Medical Center","0","SYSTEM","28-MAY-26 06.16.52.091274000 AM"
"73","","22-SEP-25","1474538","Dr. Brianna Vaughn, PA","Methodist Lab Services","0","SYSTEM","07-FEB-26 07.59.33.091274000 AM"
"74","","22-SEP-25","1474539","Dr. Rebekah Lewis, DO","Centura Health System","0","SYSTEM","11-MAR-26 12.23.11.091274000 PM"
"75","","22-SEP-25","1474540","Dr. Sarah Cowan, RN","Mayo Clinic Medical Center","0","SYSTEM","16-AUG-25 09.58.58.091274000 PM"
"76","","22-SEP-25","1474541","Dr. Tiffany Robinson, DO","Trinity Lab Services","0","SYSTEM","21-JAN-26 09.24.45.091274000 PM"
