"p_rpt_pharm_upd_sk","p_sys_id","r_image_cd","p_alt_id","p_dea_id","p_fed_tax_id","p_npi_num","p_ncpdp_id","p_sort_nam","p_enrol_stat_beg_dt","p_enrol_stat_end_dt","p_lic_cert_num","g_line1_adr","g_line2_adr","g_city_nam","g_us_state_cd","g_zip5_cd","g_zip4_cd","g_phone_num","g_fax_num","g_adr_usg_ty_cd","l_hibernate_ver_num","g_aud_add_user_id","g_aud_add_ts"
"1000001","900176","","","","","","1000101","","","","","","","","","","","","","","","SYSTEM",""
"1000002","900161","","","","","","1000102","","","","","","","","","","","","","","","SYSTEM",""
"1000003","900157","","","","","","1000103","","","","","","","","","","","","","","","SYSTEM",""
"1000004","900170","","","","","","1000104","","","","","","","","","","","","","","","SYSTEM",""
"1000005","900167","","","","","","1000105","","","","","","","","","","","","","","","SYSTEM",""
"1000006","900171","","","","","","1000106","","","","","","","","","","","","","","","SYSTEM",""
"1000007","900190","","","","","","1000107","","","","","","","","","","","","","","","SYSTEM",""
"1000008","900194","","","","","","1000108","","","","","","","","","","","","","","","SYSTEM",""
"1000009","900183","","","","","","1000109","","","","","","","","","","","","","","","SYSTEM",""
"1000010","900192","","","","","","1000110","","","","","","","","","","","","","","","SYSTEM",""
"1000011","900187","","","","","","1000111","","","","","","","","","","","","","","","SYSTEM",""
"1000012","900169","","","","","","1000112","","","","","","","","","","","","","","","SYSTEM",""
"1000013","900182","","","","","","1000113","","","","","","","","","","","","","","","SYSTEM",""
"1000014","900156","","","","","","1000114","","","","","","","","","","","","","","","SYSTEM",""
"1000015","900164","","","","","","1000115","","","","","","","","","","","","","","","SYSTEM",""
"1000016","900188","","","","","","1000116","","","","","","","","","","","","","","","SYSTEM",""
"1000017","900154","","","","","","1000117","","","","","","","","","","","","","","","SYSTEM",""
"1000018","900191","","","","","","1000118","","","","","","","","","","","","","","","SYSTEM",""
"1000019","900177","","","","","","1000119","","","","","","","","","","","","","","","SYSTEM",""
"1000020","900196","","","","","","1000120","","","","","","","","","","","","","","","SYSTEM",""
"1000021","900174","","","","","","1000121","","","","","","","","","","","","","","","SYSTEM",""
"1000022","900184","","","","","","1000122","","","","","","","","","","","","","","","SYSTEM",""
"1000023","900162","","","","","","1000123","","","","","","","","","","","","","","","SYSTEM",""
"1000024","900153","","","","","","1000124","","","","","","","","","","","","","","","SYSTEM",""
"1000025","900168","","","","","","1000125","","","","","","","","","","","","","","","SYSTEM",""
"1000026","900163","","","","","","1000126","","","","","","","","","","","","","","","SYSTEM",""
"1000027","900159","","","","","","1000127","","","","","","","","","","","","","","","SYSTEM",""
"1000028","900195","","","","","","1000128","","","","","","","","","","","","","","","SYSTEM",""
"1000029","900198","","","","","","1000129","","","","","","","","","","","","","","","SYSTEM",""
"1000030","900175","","","","","","1000130","","","","","","","","","","","","","","","SYSTEM",""
"1000031","900155","","","","","","1000131","","","","","","","","","","","","","","","SYSTEM",""
"1000032","900200","","","","","","1000132","","","","","","","","","","","","","","","SYSTEM",""
"1000033","900165","","","","","","1000133","","","","","","","","","","","","","","","SYSTEM",""
"1000034","900189","","","","","","1000134","","","","","","","","","","","","","","","SYSTEM",""
"1000035","900185","","","","","","1000135","","","","","","","","","","","","","","","SYSTEM",""
"1000036","900152","","","","","","1000136","","","","","","","","","","","","","","","SYSTEM",""
"1000037","900180","","","","","","1000137","","","","","","","","","","","","","","","SYSTEM",""
"1000038","900181","","","","","","1000138","","","","","","","","","","","","","","","SYSTEM",""
"1000039","900151","","","","","","1000139","","","","","","","","","","","","","","","SYSTEM",""
"1000040","900179","","","","","","1000140","","","","","","","","","","","","","","","SYSTEM",""
"1000041","900172","","","","","","1000141","","","","","","","","","","","","","","","SYSTEM",""
"1000042","900173","","","","","","1000142","","","","","","","","","","","","","","","SYSTEM",""
"1000043","900160","","","","","","1000143","","","","","","","","","","","","","","","SYSTEM",""
"1000044","900197","","","","","","1000144","","","","","","","","","","","","","","","SYSTEM",""
"1000045","900158","","","","","","1000145","","","","","","","","","","","","","","","SYSTEM",""
"1000046","900186","","","","","","1000146","","","","","","","","","","","","","","","SYSTEM",""
"1000047","900193","","","","","","1000147","","","","","","","","","","","","","","","SYSTEM",""
"1000048","900199","","","","","","1000148","","","","","","","","","","","","","","","SYSTEM",""
"1000049","900178","","","","","","1000149","","","","","","","","","","","","","","","SYSTEM",""
"1000050","900166","","","","","","1000150","","","","","","","","","","","","","","","SYSTEM",""
