"p_rpt_term_lckn_lckt_sk","r_lob_cd","p_alt_id","p_alt_id_ty_cd","p_ty_cd","b_full_nam","b_alt_id","b_lckn_beg_dt","b_lckn_end_dt","b_ltc_revw_ty_cd","l_hibernate_ver_num","g_aud_add_user_id","g_aud_add_ts","g_rpt_prcs_dt"
"1000001","","","","","","","","","","","SYSTEM","",""
"1000002","","","","","","","","","","","SYSTEM","",""
"1000003","","","","","","","","","","","SYSTEM","",""
"1000004","","","","","","","","","","","SYSTEM","",""
"1000005","","","","","","","","","","","SYSTEM","",""
"1000006","","","","","","","","","","","SYSTEM","",""
"1000007","","","","","","","","","","","SYSTEM","",""
"1000008","","","","","","","","","","","SYSTEM","",""
"1000009","","","","","","","","","","","SYSTEM","",""
"1000010","","","","","","","","","","","SYSTEM","",""
"1000011","","","","","","","","","","","SYSTEM","",""
"1000012","","","","","","","","","","","SYSTEM","",""
"1000013","","","","","","","","","","","SYSTEM","",""
"1000014","","","","","","","","","","","SYSTEM","",""
"1000015","","","","","","","","","","","SYSTEM","",""
"1000016","","","","","","","","","","","SYSTEM","",""
"1000017","","","","","","","","","","","SYSTEM","",""
"1000018","","","","","","","","","","","SYSTEM","",""
"1000019","","","","","","","","","","","SYSTEM","",""
"1000020","","","","","","","","","","","SYSTEM","",""
"1000021","","","","","","","","","","","SYSTEM","",""
"1000022","","","","","","","","","","","SYSTEM","",""
"1000023","","","","","","","","","","","SYSTEM","",""
"1000024","","","","","","","","","","","SYSTEM","",""
"1000025","","","","","","","","","","","SYSTEM","",""
"1000026","","","","","","","","","","","SYSTEM","",""
"1000027","","","","","","","","","","","SYSTEM","",""
"1000028","","","","","","","","","","","SYSTEM","",""
"1000029","","","","","","","","","","","SYSTEM","",""
"1000030","","","","","","","","","","","SYSTEM","",""
"1000031","","","","","","","","","","","SYSTEM","",""
"1000032","","","","","","","","","","","SYSTEM","",""
"1000033","","","","","","","","","","","SYSTEM","",""
"1000034","","","","","","","","","","","SYSTEM","",""
"1000035","","","","","","","","","","","SYSTEM","",""
"1000036","","","","","","","","","","","SYSTEM","",""
"1000037","","","","","","","","","","","SYSTEM","",""
"1000038","","","","","","","","","","","SYSTEM","",""
"1000039","","","","","","","","","","","SYSTEM","",""
"1000040","","","","","","","","","","","SYSTEM","",""
"1000041","","","","","","","","","","","SYSTEM","",""
"1000042","","","","","","","","","","","SYSTEM","",""
"1000043","","","","","","","","","","","SYSTEM","",""
"1000044","","","","","","","","","","","SYSTEM","",""
"1000045","","","","","","","","","","","SYSTEM","",""
"1000046","","","","","","","","","","","SYSTEM","",""
"1000047","","","","","","","","","","","SYSTEM","",""
"1000048","","","","","","","","","","","SYSTEM","",""
"1000049","","","","","","","","","","","SYSTEM","",""
"1000050","","","","","","","","","","","SYSTEM","",""
