"p_sys_id","p_rsk_scrn_sk","p_rs_ty_cd","p_rs_last_date","p_rs_last_value","p_rs_source","l_hibernate_ver_num","g_aud_user_id","g_aud_ts","g_aud_add_user_id","g_aud_add_ts"
"900189","324","R","27-JUN-14","","E","0","SYSTEM","24-AUG-25 03.05.04.041557000 AM","SYSTEM","27-JUL-25 08.51.09.041557000 PM"
"900153","325","R","23-APR-14","","E","0","SYSTEM","21-MAY-26 01.45.41.041557000 PM","SYSTEM","08-MAY-26 12.13.46.041557000 AM"
"900161","326","R","14-JUN-14","","E","0","SYSTEM","12-JAN-26 11.54.05.041557000 PM","SYSTEM","14-DEC-25 07.23.33.041557000 PM"
"900182","327","R","25-MAY-14","","E","0","SYSTEM","02-NOV-25 01.50.20.042773000 AM","SYSTEM","21-OCT-25 12.52.46.042773000 PM"
"900152","328","R","02-APR-14","","E","0","SYSTEM","04-MAR-26 08.36.56.042773000 AM","SYSTEM","12-FEB-26 08.00.22.042773000 PM"
"900155","329","R","03-FEB-14","","E","0","SYSTEM","30-JUN-26 03.40.16.042773000 PM","SYSTEM","12-JUN-26 12.34.34.042773000 PM"
"900178","330","R","22-MAR-14","","E","0","SYSTEM","08-OCT-25 12.53.48.042773000 AM","SYSTEM","28-SEP-25 01.52.14.042773000 PM"
"900200","331","R","24-MAY-14","","E","0","SYSTEM","17-JAN-26 12.25.38.042773000 PM","SYSTEM","09-JAN-26 10.44.52.042773000 PM"
"900164","332","R","18-APR-14","","E","0","SYSTEM","14-JUL-26 05.40.52.042773000 PM","SYSTEM","28-JUN-26 09.27.37.042773000 AM"
"900197","333","R","18-MAY-14","","E","0","SYSTEM","27-APR-26 08.09.43.042773000 PM","SYSTEM","17-APR-26 09.55.33.042773000 AM"
"900154","334","R","19-FEB-14","","E","0","SYSTEM","06-AUG-25 12.40.39.042773000 AM","SYSTEM","22-JUL-25 04.50.16.042773000 AM"
"900193","335","R","21-MAR-14","","E","0","SYSTEM","05-APR-26 01.19.42.042773000 PM","SYSTEM","23-MAR-26 10.27.40.042773000 AM"
"900191","336","R","20-MAY-14","","E","0","SYSTEM","27-FEB-26 03.23.58.042773000 PM","SYSTEM","03-FEB-26 10.54.48.042773000 AM"
"900194","337","R","01-JUL-14","","E","0","SYSTEM","05-JUL-26 02.07.19.042773000 AM","SYSTEM","29-JUN-26 03.10.11.042773000 AM"
"900186","338","R","23-MAR-14","","E","0","SYSTEM","12-JUN-26 07.25.25.042773000 PM","SYSTEM","13-MAY-26 08.45.59.042773000 AM"
"900175","339","R","07-MAY-14","","E","0","SYSTEM","23-JUN-26 07.44.53.043833000 PM","SYSTEM","01-JUN-26 01.04.02.043833000 PM"
"900174","340","R","22-JUN-14","","E","0","SYSTEM","13-MAY-26 07.08.58.043833000 PM","SYSTEM","23-APR-26 08.03.46.043833000 PM"
"900158","341","R","05-MAY-14","","E","0","SYSTEM","27-SEP-25 04.11.39.043833000 AM","SYSTEM","01-SEP-25 07.44.42.043833000 PM"
"900156","342","R","10-JUN-14","","E","0","SYSTEM","18-FEB-26 07.20.47.043833000 PM","SYSTEM","08-FEB-26 12.51.17.043833000 PM"
"900176","343","R","30-MAY-14","","E","0","SYSTEM","01-JUL-26 11.32.31.043833000 AM","SYSTEM","03-JUN-26 04.22.48.043833000 PM"
"900199","344","R","08-JUN-14","","E","0","SYSTEM","03-MAR-26 01.16.36.043833000 AM","SYSTEM","10-FEB-26 06.27.58.043833000 AM"
"900166","345","R","02-MAR-14","","E","0","SYSTEM","26-NOV-25 02.38.21.043833000 PM","SYSTEM","05-NOV-25 10.25.01.043833000 PM"
"900171","346","R","21-JUN-14","","E","0","SYSTEM","19-MAR-26 03.08.56.043833000 PM","SYSTEM","24-FEB-26 02.02.08.043833000 PM"
"900180","347","R","01-JUN-14","","E","0","SYSTEM","06-OCT-25 12.44.19.044798000 PM","SYSTEM","18-SEP-25 10.08.01.044798000 AM"
"900157","348","R","07-APR-14","","E","0","SYSTEM","01-AUG-25 12.47.41.044798000 AM","SYSTEM","22-JUL-25 03.32.51.044798000 AM"
"900187","349","R","18-FEB-14","","E","0","SYSTEM","13-JUL-26 07.19.39.044798000 PM","SYSTEM","08-JUL-26 11.41.22.044798000 AM"
"900162","350","R","31-JAN-14","","E","0","SYSTEM","16-APR-26 08.17.19.044798000 AM","SYSTEM","03-APR-26 04.03.29.044798000 AM"
"900151","351","R","22-MAY-14","","E","0","SYSTEM","12-DEC-25 04.12.55.044798000 PM","SYSTEM","03-DEC-25 05.43.48.044798000 PM"
"900198","352","R","23-JUN-14","","E","0","SYSTEM","08-FEB-26 05.36.07.044798000 AM","SYSTEM","12-JAN-26 01.23.31.044798000 PM"
"900160","353","R","07-FEB-14","","E","0","SYSTEM","25-MAR-26 10.39.23.044798000 AM","SYSTEM","19-MAR-26 12.53.56.044798000 PM"
"900169","354","R","06-MAR-14","","E","0","SYSTEM","06-SEP-25 06.13.45.044798000 AM","SYSTEM","31-AUG-25 04.35.32.044798000 PM"
"900184","355","R","12-MAY-14","","E","0","SYSTEM","30-MAY-26 12.39.10.044798000 PM","SYSTEM","10-MAY-26 01.16.45.044798000 AM"
"900196","356","R","12-JUN-14","","E","0","SYSTEM","17-JUN-26 12.23.03.044798000 PM","SYSTEM","22-MAY-26 09.09.23.044798000 AM"
"900183","357","R","28-MAY-14","","E","0","SYSTEM","18-AUG-25 09.05.51.044798000 PM","SYSTEM","05-AUG-25 12.28.18.044798000 PM"
"900177","358","R","25-APR-14","","E","0","SYSTEM","26-SEP-25 07.56.46.045770000 AM","SYSTEM","01-SEP-25 03.27.40.045770000 AM"
"900181","359","R","24-FEB-14","","E","0","SYSTEM","21-JAN-26 03.58.23.045770000 AM","SYSTEM","21-DEC-25 11.09.23.045770000 AM"
