"p_trng_crse_id","p_trng_crse_stat_cd","p_trng_crse_title_desc","p_trng_crse_ty_cd","g_note_set_sk","l_hibernate_ver_num","g_aud_user_id","g_aud_ts","g_aud_add_user_id","g_aud_add_ts"
"1000001","","","","1000101","","SYSTEM","","SYSTEM",""
"1000002","","","","1000102","","SYSTEM","","SYSTEM",""
"1000003","","","","1000103","","SYSTEM","","SYSTEM",""
"1000004","","","","1000104","","SYSTEM","","SYSTEM",""
"1000005","","","","1000105","","SYSTEM","","SYSTEM",""
"1000006","","","","1000106","","SYSTEM","","SYSTEM",""
"1000007","","","","1000107","","SYSTEM","","SYSTEM",""
"1000008","","","","1000108","","SYSTEM","","SYSTEM",""
"1000009","","","","1000109","","SYSTEM","","SYSTEM",""
"1000010","","","","1000110","","SYSTEM","","SYSTEM",""
"1000011","","","","1000111","","SYSTEM","","SYSTEM",""
"1000012","","","","1000112","","SYSTEM","","SYSTEM",""
"1000013","","","","1000113","","SYSTEM","","SYSTEM",""
"1000014","","","","1000114","","SYSTEM","","SYSTEM",""
"1000015","","","","1000115","","SYSTEM","","SYSTEM",""
"1000016","","","","1000116","","SYSTEM","","SYSTEM",""
"1000017","","","","1000117","","SYSTEM","","SYSTEM",""
"1000018","","","","1000118","","SYSTEM","","SYSTEM",""
"1000019","","","","1000119","","SYSTEM","","SYSTEM",""
"1000020","","","","1000120","","SYSTEM","","SYSTEM",""
"1000021","","","","1000121","","SYSTEM","","SYSTEM",""
"1000022","","","","1000122","","SYSTEM","","SYSTEM",""
"1000023","","","","1000123","","SYSTEM","","SYSTEM",""
"1000024","","","","1000124","","SYSTEM","","SYSTEM",""
"1000025","","","","1000125","","SYSTEM","","SYSTEM",""
"1000026","","","","1000126","","SYSTEM","","SYSTEM",""
"1000027","","","","1000127","","SYSTEM","","SYSTEM",""
"1000028","","","","1000128","","SYSTEM","","SYSTEM",""
"1000029","","","","1000129","","SYSTEM","","SYSTEM",""
"1000030","","","","1000130","","SYSTEM","","SYSTEM",""
"1000031","","","","1000131","","SYSTEM","","SYSTEM",""
"1000032","","","","1000132","","SYSTEM","","SYSTEM",""
"1000033","","","","1000133","","SYSTEM","","SYSTEM",""
"1000034","","","","1000134","","SYSTEM","","SYSTEM",""
"1000035","","","","1000135","","SYSTEM","","SYSTEM",""
"1000036","","","","1000136","","SYSTEM","","SYSTEM",""
"1000037","","","","1000137","","SYSTEM","","SYSTEM",""
"1000038","","","","1000138","","SYSTEM","","SYSTEM",""
"1000039","","","","1000139","","SYSTEM","","SYSTEM",""
"1000040","","","","1000140","","SYSTEM","","SYSTEM",""
"1000041","","","","1000141","","SYSTEM","","SYSTEM",""
"1000042","","","","1000142","","SYSTEM","","SYSTEM",""
"1000043","","","","1000143","","SYSTEM","","SYSTEM",""
"1000044","","","","1000144","","SYSTEM","","SYSTEM",""
"1000045","","","","1000145","","SYSTEM","","SYSTEM",""
"1000046","","","","1000146","","SYSTEM","","SYSTEM",""
"1000047","","","","1000147","","SYSTEM","","SYSTEM",""
"1000048","","","","1000148","","SYSTEM","","SYSTEM",""
"1000049","","","","1000149","","SYSTEM","","SYSTEM",""
"1000050","","","","1000150","","SYSTEM","","SYSTEM",""
