"p_trng_crse_id","p_trng_sessn_id","g_prov_cmn_enty_sk","g_prov_cmn_enty_ty_cd","p_extl_enty_id","p_extl_enty_id_ty_cd","p_trng_cnfrm_num","p_trng_rgstr_num","p_trng_atndd_num","p_trng_waitg_list_ind","p_trng_stat_cd","l_hibernate_ver_num","g_aud_user_id","g_aud_ts","g_aud_add_user_id","g_aud_add_ts"
"1000045","1000057","1000001","","1000001","","","","","","","","SYSTEM","","SYSTEM",""
"1000010","1000100","1000002","","1000002","","","","","","","","SYSTEM","","SYSTEM",""
"1000027","1000092","1000003","","1000003","","","","","","","","SYSTEM","","SYSTEM",""
"1000017","1000082","1000004","","1000004","","","","","","","","SYSTEM","","SYSTEM",""
"1000031","1000084","1000005","","1000005","","","","","","","","SYSTEM","","SYSTEM",""
"1000048","1000068","1000006","","1000006","","","","","","","","SYSTEM","","SYSTEM",""
"1000020","1000072","1000007","","1000007","","","","","","","","SYSTEM","","SYSTEM",""
"1000029","1000053","1000008","","1000008","","","","","","","","SYSTEM","","SYSTEM",""
"1000003","1000099","1000009","","1000009","","","","","","","","SYSTEM","","SYSTEM",""
"1000019","1000080","1000010","","1000010","","","","","","","","SYSTEM","","SYSTEM",""
"1000026","1000085","1000011","","1000011","","","","","","","","SYSTEM","","SYSTEM",""
"1000002","1000066","1000012","","1000012","","","","","","","","SYSTEM","","SYSTEM",""
"1000014","1000093","1000013","","1000013","","","","","","","","SYSTEM","","SYSTEM",""
"1000038","1000064","1000014","","1000014","","","","","","","","SYSTEM","","SYSTEM",""
"1000034","1000074","1000015","","1000015","","","","","","","","SYSTEM","","SYSTEM",""
"1000030","1000068","1000016","","1000016","","","","","","","","SYSTEM","","SYSTEM",""
"1000035","1000097","1000017","","1000017","","","","","","","","SYSTEM","","SYSTEM",""
"1000012","1000064","1000018","","1000018","","","","","","","","SYSTEM","","SYSTEM",""
"1000022","1000079","1000019","","1000019","","","","","","","","SYSTEM","","SYSTEM",""
"1000049","1000059","1000020","","1000020","","","","","","","","SYSTEM","","SYSTEM",""
"1000043","1000078","1000021","","1000021","","","","","","","","SYSTEM","","SYSTEM",""
"1000037","1000052","1000022","","1000022","","","","","","","","SYSTEM","","SYSTEM",""
"1000009","1000066","1000023","","1000023","","","","","","","","SYSTEM","","SYSTEM",""
"1000036","1000086","1000024","","1000024","","","","","","","","SYSTEM","","SYSTEM",""
"1000023","1000086","1000025","","1000025","","","","","","","","SYSTEM","","SYSTEM",""
"1000040","1000082","1000026","","1000026","","","","","","","","SYSTEM","","SYSTEM",""
"1000001","1000056","1000027","","1000027","","","","","","","","SYSTEM","","SYSTEM",""
"1000033","1000066","1000028","","1000028","","","","","","","","SYSTEM","","SYSTEM",""
"1000041","1000051","1000029","","1000029","","","","","","","","SYSTEM","","SYSTEM",""
"1000015","1000100","1000030","","1000030","","","","","","","","SYSTEM","","SYSTEM",""
"1000044","1000080","1000031","","1000031","","","","","","","","SYSTEM","","SYSTEM",""
"1000018","1000092","1000032","","1000032","","","","","","","","SYSTEM","","SYSTEM",""
"1000008","1000068","1000033","","1000033","","","","","","","","SYSTEM","","SYSTEM",""
"1000025","1000065","1000034","","1000034","","","","","","","","SYSTEM","","SYSTEM",""
"1000007","1000085","1000035","","1000035","","","","","","","","SYSTEM","","SYSTEM",""
"1000016","1000064","1000036","","1000036","","","","","","","","SYSTEM","","SYSTEM",""
"1000004","1000057","1000037","","1000037","","","","","","","","SYSTEM","","SYSTEM",""
"1000050","1000059","1000038","","1000038","","","","","","","","SYSTEM","","SYSTEM",""
"1000011","1000058","1000039","","1000039","","","","","","","","SYSTEM","","SYSTEM",""
"1000005","1000078","1000040","","1000040","","","","","","","","SYSTEM","","SYSTEM",""
"1000013","1000078","1000041","","1000041","","","","","","","","SYSTEM","","SYSTEM",""
"1000042","1000084","1000042","","1000042","","","","","","","","SYSTEM","","SYSTEM",""
"1000028","1000072","1000043","","1000043","","","","","","","","SYSTEM","","SYSTEM",""
"1000024","1000088","1000044","","1000044","","","","","","","","SYSTEM","","SYSTEM",""
"1000006","1000100","1000045","","1000045","","","","","","","","SYSTEM","","SYSTEM",""
"1000046","1000077","1000046","","1000046","","","","","","","","SYSTEM","","SYSTEM",""
"1000021","1000082","1000047","","1000047","","","","","","","","SYSTEM","","SYSTEM",""
"1000032","1000072","1000048","","1000048","","","","","","","","SYSTEM","","SYSTEM",""
"1000039","1000075","1000049","","1000049","","","","","","","","SYSTEM","","SYSTEM",""
"1000047","1000064","1000050","","1000050","","","","","","","","SYSTEM","","SYSTEM",""
