"p_trng_crse_id","p_trng_sessn_id","p_trng_sessn_dt","p_trng_sessn_desc","p_trng_sessn_rgn_cd","p_trng_sessn_tm_frm_text","p_trng_sessn_locn_text","p_trng_sessn_max_enrol_num","p_trng_sessn_eval_recd_num","p_trng_sessn_stat_cd","p_trng_sessn_instrcr_nam","g_note_set_sk","l_hibernate_ver_num","g_aud_user_id","g_aud_ts","g_aud_add_user_id","g_aud_add_ts"
"1000026","1000051","","","","","","","","","","1000150","","SYSTEM","","SYSTEM",""
"1000041","1000052","","","","","","","","","","1000200","","SYSTEM","","SYSTEM",""
"1000047","1000053","","","","","","","","","","1000201","","SYSTEM","","SYSTEM",""
"1000029","1000054","","","","","","","","","","1000202","","SYSTEM","","SYSTEM",""
"1000042","1000055","","","","","","","","","","1000203","","SYSTEM","","SYSTEM",""
"1000035","1000056","","","","","","","","","","1000204","","SYSTEM","","SYSTEM",""
"1000050","1000057","","","","","","","","","","1000205","","SYSTEM","","SYSTEM",""
"1000020","1000058","","","","","","","","","","1000206","","SYSTEM","","SYSTEM",""
"1000012","1000059","","","","","","","","","","1000207","","SYSTEM","","SYSTEM",""
"1000007","1000060","","","","","","","","","","1000208","","SYSTEM","","SYSTEM",""
"1000008","1000061","","","","","","","","","","1000209","","SYSTEM","","SYSTEM",""
"1000030","1000062","","","","","","","","","","1000210","","SYSTEM","","SYSTEM",""
"1000034","1000063","","","","","","","","","","1000211","","SYSTEM","","SYSTEM",""
"1000023","1000064","","","","","","","","","","1000212","","SYSTEM","","SYSTEM",""
"1000038","1000065","","","","","","","","","","1000213","","SYSTEM","","SYSTEM",""
"1000017","1000066","","","","","","","","","","1000214","","SYSTEM","","SYSTEM",""
"1000046","1000067","","","","","","","","","","1000215","","SYSTEM","","SYSTEM",""
"1000005","1000068","","","","","","","","","","1000216","","SYSTEM","","SYSTEM",""
"1000009","1000069","","","","","","","","","","1000217","","SYSTEM","","SYSTEM",""
"1000037","1000070","","","","","","","","","","1000218","","SYSTEM","","SYSTEM",""
"1000006","1000071","","","","","","","","","","1000219","","SYSTEM","","SYSTEM",""
"1000049","1000072","","","","","","","","","","1000220","","SYSTEM","","SYSTEM",""
"1000022","1000073","","","","","","","","","","1000221","","SYSTEM","","SYSTEM",""
"1000002","1000074","","","","","","","","","","1000222","","SYSTEM","","SYSTEM",""
"1000024","1000075","","","","","","","","","","1000223","","SYSTEM","","SYSTEM",""
"1000015","1000076","","","","","","","","","","1000224","","SYSTEM","","SYSTEM",""
"1000028","1000077","","","","","","","","","","1000225","","SYSTEM","","SYSTEM",""
"1000048","1000078","","","","","","","","","","1000226","","SYSTEM","","SYSTEM",""
"1000019","1000079","","","","","","","","","","1000227","","SYSTEM","","SYSTEM",""
"1000014","1000080","","","","","","","","","","1000228","","SYSTEM","","SYSTEM",""
"1000010","1000081","","","","","","","","","","1000229","","SYSTEM","","SYSTEM",""
"1000004","1000082","","","","","","","","","","1000230","","SYSTEM","","SYSTEM",""
"1000016","1000083","","","","","","","","","","1000231","","SYSTEM","","SYSTEM",""
"1000033","1000084","","","","","","","","","","1000232","","SYSTEM","","SYSTEM",""
"1000032","1000085","","","","","","","","","","1000233","","SYSTEM","","SYSTEM",""
"1000031","1000086","","","","","","","","","","1000234","","SYSTEM","","SYSTEM",""
"1000001","1000087","","","","","","","","","","1000235","","SYSTEM","","SYSTEM",""
"1000003","1000088","","","","","","","","","","1000236","","SYSTEM","","SYSTEM",""
"1000013","1000089","","","","","","","","","","1000237","","SYSTEM","","SYSTEM",""
"1000011","1000090","","","","","","","","","","1000238","","SYSTEM","","SYSTEM",""
"1000027","1000091","","","","","","","","","","1000239","","SYSTEM","","SYSTEM",""
"1000036","1000092","","","","","","","","","","1000240","","SYSTEM","","SYSTEM",""
"1000021","1000093","","","","","","","","","","1000241","","SYSTEM","","SYSTEM",""
"1000043","1000094","","","","","","","","","","1000242","","SYSTEM","","SYSTEM",""
"1000025","1000095","","","","","","","","","","1000243","","SYSTEM","","SYSTEM",""
"1000044","1000096","","","","","","","","","","1000244","","SYSTEM","","SYSTEM",""
"1000040","1000097","","","","","","","","","","1000245","","SYSTEM","","SYSTEM",""
"1000018","1000098","","","","","","","","","","1000246","","SYSTEM","","SYSTEM",""
"1000039","1000099","","","","","","","","","","1000247","","SYSTEM","","SYSTEM",""
"1000045","1000100","","","","","","","","","","1000248","","SYSTEM","","SYSTEM",""
