"p_sys_id","p_txnmy_sk","p_txnmy_cd","p_txnmy_beg_dt","p_txnmy_end_dt","l_hibernate_ver_num","g_aud_user_id","g_aud_ts","g_aud_add_user_id","g_aud_add_ts"
"900189","1000002","261QR1300X","06-OCT-11","10-FEB-62","2","SYSTEM","30-NOV-25 12.47.44.161114000 PM","SYSTEM","18-NOV-25 11.39.26.161114000 PM"
"900161","1000003","282N00000X","19-AUG-09","21-AUG-35","2","SYSTEM","01-JUL-26 05.11.13.162132000 AM","SYSTEM","04-JUN-26 05.01.07.162132000 AM"
"900180","1000004","261QR1300X","09-AUG-10","17-NOV-82","2","SYSTEM","13-JUN-26 08.11.04.163392000 AM","SYSTEM","25-MAY-26 09.01.09.163392000 AM"
"900151","1000005","2084N0400X","17-APR-10","30-MAR-20","2","SYSTEM","15-JUN-26 02.40.04.164384000 PM","SYSTEM","15-MAY-26 03.41.23.164384000 PM"
"900164","1000006","282N00000X","23-DEC-10","21-JUN-73","2","SYSTEM","11-MAY-26 12.16.08.164384000 AM","SYSTEM","20-APR-26 03.59.32.164384000 PM"
"900187","1000007","207Q00000X","08-DEC-09","23-FEB-50","3","SYSTEM","12-MAY-26 04.23.58.165418000 AM","SYSTEM","03-MAY-26 01.49.55.165418000 PM"
"900172","1000008","282N00000X","07-NOV-11","09-SEP-59","3","SYSTEM","01-NOV-25 06.50.36.165418000 AM","SYSTEM","10-OCT-25 05.20.24.165418000 AM"
"900197","1000009","207RC0000X","03-FEB-11","30-JUN-66","3","SYSTEM","31-JUL-26 11.17.33.166393000 AM","SYSTEM","09-JUL-26 12.28.34.166393000 PM"
"900165","1000010","261QP2300X","05-MAY-10","06-APR-51","3","SYSTEM","13-DEC-25 12.15.29.166393000 AM","SYSTEM","24-NOV-25 08.26.14.166393000 AM"
"900171","1000011","261QP2300X","26-FEB-10","03-JUN-46","2","SYSTEM","29-JUL-25 05.17.36.167388000 PM","SYSTEM","27-JUL-25 10.44.32.167388000 AM"
"900170","1000012","261QR1300X","05-JUN-11","08-OCT-22","3","SYSTEM","14-JAN-26 10.05.30.167388000 PM","SYSTEM","20-DEC-25 10.46.05.167388000 AM"
"900185","1000013","207Q00000X","16-JUL-09","25-JUN-44","3","SYSTEM","01-JUL-26 08.28.45.168389000 AM","SYSTEM","03-JUN-26 10.02.17.168389000 PM"
"900152","1000014","2084N0400X","21-AUG-09","21-DEC-78","2","SYSTEM","03-NOV-25 04.24.48.169388000 AM","SYSTEM","21-OCT-25 10.08.32.169388000 PM"
"900198","1000015","261QP2300X","13-NOV-10","25-JUL-27","2","SYSTEM","16-AUG-25 02.32.21.169388000 AM","SYSTEM","07-AUG-25 10.59.48.169388000 AM"
"900160","1000016","207RC0000X","04-SEP-10","29-MAR-54","3","SYSTEM","10-JUN-26 01.10.55.170388000 PM","SYSTEM","14-MAY-26 10.18.31.170388000 AM"
"900174","1000017","207R00000X","28-DEC-11","04-MAR-82","3","SYSTEM","01-JUL-26 02.55.55.170388000 PM","SYSTEM","04-JUN-26 03.11.08.170388000 PM"
"900196","1000018","2084N0400X","13-OCT-11","15-APR-53","2","SYSTEM","14-AUG-26 09.29.45.171392000 PM","SYSTEM","17-JUL-26 05.38.51.171392000 PM"
"900184","1000019","261QR1300X","29-DEC-09","14-DEC-96","3","SYSTEM","04-AUG-25 03.09.55.171392000 AM","SYSTEM","28-JUL-25 04.12.37.171392000 AM"
"900154","1000020","208D00000X","26-MAR-11","18-DEC-64","2","SYSTEM","10-MAR-26 01.46.50.171392000 PM","SYSTEM","05-MAR-26 04.46.39.171392000 PM"
"900175","1000021","207R00000X","02-DEC-09","13-APR-89","3","SYSTEM","28-AUG-25 05.43.16.172534000 PM","SYSTEM","22-AUG-25 07.52.17.172534000 PM"
"900168","1000022","207R00000X","19-JUL-09","22-FEB-21","2","SYSTEM","08-SEP-25 09.23.31.173533000 AM","SYSTEM","09-AUG-25 04.50.39.173533000 AM"
