"p_indiv_grp_cd","p_ty_cd","p_specl_cd","p_txnmy_cd","l_hibernate_ver_num","g_aud_add_ts","g_aud_add_user_id","g_aud_ts","g_aud_user_id"
"I","04","012","207RC0000X","0","29-AUG-25 06.22.32.404106000 PM","SYSTEM","20-SEP-25 01.50.09.404106000 PM","SYSTEM"
"I","01","031","207RC0000X","0","26-JUN-26 03.37.19.405107000 AM","SYSTEM","17-JUL-26 02.35.47.405107000 AM","SYSTEM"
"I","01","021","261QR1300X","0","15-JAN-26 02.42.39.405107000 PM","SYSTEM","30-JAN-26 02.20.55.405107000 AM","SYSTEM"
"I","01","011","2084N0400X","0","06-NOV-25 02.26.43.405107000 AM","SYSTEM","04-DEC-25 08.36.47.405107000 AM","SYSTEM"
"I","03","012","2084N0400X","0","25-JAN-26 02.10.27.405107000 AM","SYSTEM","15-FEB-26 05.36.20.405107000 PM","SYSTEM"
"I","04","021","208D00000X","0","10-AUG-25 12.47.33.405107000 PM","SYSTEM","08-SEP-25 12.06.00.405107000 AM","SYSTEM"
"I","03","012","208D00000X","0","08-JUN-26 04.05.18.405107000 AM","SYSTEM","17-JUN-26 08.45.49.405107000 PM","SYSTEM"
"I","04","021","207RC0000X","0","26-DEC-25 08.09.37.405107000 PM","SYSTEM","03-JAN-26 09.19.43.405107000 AM","SYSTEM"
"I","04","012","282N00000X","0","22-AUG-25 04.49.42.405107000 AM","SYSTEM","21-SEP-25 12.44.03.405107000 AM","SYSTEM"
"I","01","031","207Q00000X","0","26-FEB-26 04.00.17.405107000 PM","SYSTEM","29-MAR-26 02.25.39.405107000 PM","SYSTEM"
"I","05","031","207Q00000X","0","24-DEC-25 09.13.14.405107000 AM","SYSTEM","29-DEC-25 04.32.17.405107000 AM","SYSTEM"
"I","03","012","261QP2300X","0","08-MAY-26 03.34.28.405107000 PM","SYSTEM","03-JUN-26 09.18.57.405107000 PM","SYSTEM"
"I","03","041","207Q00000X","0","06-SEP-25 06.16.32.405107000 AM","SYSTEM","01-OCT-25 05.19.32.405107000 AM","SYSTEM"
"I","02","041","282N00000X","0","03-MAY-26 01.36.00.406117000 PM","SYSTEM","03-JUN-26 07.27.17.406117000 AM","SYSTEM"
"I","01","012","207R00000X","0","28-APR-26 05.27.47.406117000 AM","SYSTEM","28-MAY-26 08.05.32.406117000 AM","SYSTEM"
"I","03","031","2084N0400X","0","26-JUN-26 09.56.47.406117000 PM","SYSTEM","27-JUN-26 03.42.14.406117000 PM","SYSTEM"
"I","04","031","261QR1300X","0","20-JUN-26 08.06.40.406117000 PM","SYSTEM","20-JUL-26 04.21.52.406117000 PM","SYSTEM"
"I","02","012","208D00000X","0","03-OCT-25 03.42.53.406117000 AM","SYSTEM","24-OCT-25 06.43.33.406117000 PM","SYSTEM"
"I","02","031","261QP2300X","0","17-SEP-25 04.07.49.406117000 PM","SYSTEM","09-OCT-25 09.34.45.406117000 PM","SYSTEM"
"I","03","041","261QR1300X","0","02-JUL-26 03.53.44.406117000 PM","SYSTEM","31-JUL-26 02.19.44.406117000 PM","SYSTEM"
"I","03","031","207R00000X","0","10-JAN-26 05.34.52.406117000 AM","SYSTEM","23-JAN-26 06.28.33.406117000 AM","SYSTEM"
"I","03","011","207Q00000X","0","05-SEP-25 01.45.07.406117000 PM","SYSTEM","09-SEP-25 03.27.58.406117000 PM","SYSTEM"
"I","04","021","261QR1300X","0","09-OCT-25 01.57.56.406117000 AM","SYSTEM","19-OCT-25 07.07.38.406117000 PM","SYSTEM"
"I","02","041","261QP2300X","0","26-JUN-26 11.54.09.406117000 AM","SYSTEM","28-JUN-26 01.42.06.406117000 AM","SYSTEM"
"I","02","011","261QR1300X","0","15-FEB-26 05.50.40.406117000 AM","SYSTEM","25-FEB-26 02.42.52.406117000 PM","SYSTEM"
"I","01","011","261QP2300X","0","23-DEC-25 02.32.02.406117000 AM","SYSTEM","26-DEC-25 03.33.59.406117000 AM","SYSTEM"
"I","03","031","282N00000X","0","10-JUL-26 04.11.52.406117000 AM","SYSTEM","19-JUL-26 11.54.28.406117000 PM","SYSTEM"
"I","03","011","207RC0000X","0","23-FEB-26 03.32.03.407117000 AM","SYSTEM","14-MAR-26 12.11.57.407117000 PM","SYSTEM"
"I","01","011","207RC0000X","0","18-APR-26 12.15.37.407117000 PM","SYSTEM","25-APR-26 11.28.33.407117000 AM","SYSTEM"
"I","03","021","208D00000X","0","23-OCT-25 03.41.55.407117000 PM","SYSTEM","12-NOV-25 12.15.36.407117000 AM","SYSTEM"
"I","02","041","282N00000X","0","12-AUG-25 12.37.38.407117000 PM","SYSTEM","06-SEP-25 03.17.44.407117000 PM","SYSTEM"
"I","02","041","282N00000X","0","20-DEC-25 06.58.46.407117000 AM","SYSTEM","12-JAN-26 05.18.38.407117000 AM","SYSTEM"
"I","05","021","261QP2300X","0","28-FEB-26 06.57.48.407117000 PM","SYSTEM","05-MAR-26 10.05.19.407117000 PM","SYSTEM"
"I","05","011","207Q00000X","0","22-DEC-25 01.52.42.407117000 AM","SYSTEM","11-JAN-26 11.05.21.407117000 AM","SYSTEM"
"I","04","021","207Q00000X","0","01-JUN-26 01.13.56.407117000 PM","SYSTEM","30-JUN-26 05.35.18.407117000 AM","SYSTEM"
"I","02","011","207Q00000X","0","09-NOV-25 08.44.27.407117000 AM","SYSTEM","01-DEC-25 11.29.28.407117000 PM","SYSTEM"
"I","01","011","207R00000X","0","10-DEC-25 09.24.56.407117000 AM","SYSTEM","15-DEC-25 10.58.01.407117000 AM","SYSTEM"
"I","03","011","261QP2300X","0","27-JUL-25 12.07.46.407117000 PM","SYSTEM","15-AUG-25 12.16.39.407117000 PM","SYSTEM"
"I","01","041","261QP2300X","0","20-JUL-25 05.47.10.407117000 PM","SYSTEM","09-AUG-25 03.54.02.407117000 PM","SYSTEM"
"I","01","012","208D00000X","0","16-JUN-26 11.46.02.407117000 AM","SYSTEM","21-JUN-26 08.41.43.407117000 AM","SYSTEM"
"I","03","041","282N00000X","0","10-MAR-26 02.33.40.408119000 AM","SYSTEM","23-MAR-26 07.44.54.408119000 PM","SYSTEM"
"I","01","011","207RC0000X","0","20-DEC-25 02.38.30.408119000 PM","SYSTEM","07-JAN-26 05.37.10.408119000 AM","SYSTEM"
"I","03","011","207Q00000X","0","07-MAR-26 05.06.31.408119000 AM","SYSTEM","15-MAR-26 02.52.02.408119000 AM","SYSTEM"
"I","02","041","282N00000X","0","16-SEP-25 04.58.01.408119000 PM","SYSTEM","02-OCT-25 02.18.00.408119000 AM","SYSTEM"
"I","03","012","261QR1300X","0","05-MAY-26 03.22.27.408119000 AM","SYSTEM","25-MAY-26 02.15.06.408119000 PM","SYSTEM"
"I","01","031","207RC0000X","0","31-JAN-26 04.41.10.408119000 AM","SYSTEM","13-FEB-26 06.11.23.408119000 PM","SYSTEM"
"I","03","012","261QR1300X","0","24-JUN-26 01.50.03.408119000 AM","SYSTEM","15-JUL-26 02.33.28.408119000 PM","SYSTEM"
"I","04","012","208D00000X","0","09-FEB-26 06.53.10.408119000 AM","SYSTEM","01-MAR-26 05.19.53.408119000 AM","SYSTEM"
"I","01","012","208D00000X","0","11-FEB-26 12.52.42.408119000 AM","SYSTEM","09-MAR-26 10.43.31.408119000 AM","SYSTEM"
"I","01","031","207R00000X","0","26-APR-26 11.37.09.408119000 PM","SYSTEM","30-APR-26 02.17.55.408119000 AM","SYSTEM"
