"p_ty_cd","p_specl_cd","l_hibernate_ver_num","g_aud_user_id","g_aud_ts","g_aud_add_user_id","g_aud_add_ts"
"01","012","0","SYSTEM","15-NOV-25 07.56.11.409119000 AM","SYSTEM","19-OCT-25 07.54.16.409119000 PM"
"03","012","0","SYSTEM","28-FEB-26 10.57.46.410122000 AM","SYSTEM","01-FEB-26 09.52.04.410122000 AM"
"03","011","0","SYSTEM","22-FEB-26 12.29.16.410122000 PM","SYSTEM","17-FEB-26 03.27.01.410122000 AM"
"02","041","0","SYSTEM","04-APR-26 06.23.37.410122000 PM","SYSTEM","25-MAR-26 08.22.23.410122000 AM"
"02","011","0","SYSTEM","04-DEC-25 11.04.17.410122000 PM","SYSTEM","14-NOV-25 05.42.53.410122000 PM"
"04","041","0","SYSTEM","29-OCT-25 10.16.21.410122000 AM","SYSTEM","30-SEP-25 01.25.35.410122000 PM"
"01","011","0","SYSTEM","06-JUN-26 09.36.43.410122000 AM","SYSTEM","10-MAY-26 06.11.29.410122000 PM"
"03","011","0","SYSTEM","29-JUN-26 09.29.05.410122000 AM","SYSTEM","29-MAY-26 07.00.30.410122000 PM"
"03","011","0","SYSTEM","27-OCT-25 11.45.58.410122000 PM","SYSTEM","30-SEP-25 10.45.14.410122000 AM"
"03","021","0","SYSTEM","11-APR-26 03.09.11.410122000 AM","SYSTEM","12-MAR-26 08.36.05.410122000 AM"
"05","012","0","SYSTEM","05-NOV-25 08.42.36.410122000 PM","SYSTEM","22-OCT-25 02.26.54.410122000 PM"
"03","011","0","SYSTEM","25-NOV-25 11.37.37.410122000 AM","SYSTEM","24-NOV-25 06.43.02.410122000 AM"
"03","021","0","SYSTEM","27-NOV-25 03.53.25.410122000 PM","SYSTEM","01-NOV-25 01.36.40.410122000 PM"
"04","011","0","SYSTEM","30-JAN-26 04.43.46.410122000 AM","SYSTEM","10-JAN-26 09.50.51.410122000 AM"
"04","031","0","SYSTEM","02-JUN-26 07.41.44.410122000 AM","SYSTEM","25-MAY-26 08.00.31.410122000 AM"
"02","012","0","SYSTEM","25-JUN-26 02.08.46.410122000 AM","SYSTEM","06-JUN-26 08.49.39.410122000 PM"
"02","041","0","SYSTEM","16-JAN-26 04.36.44.410122000 AM","SYSTEM","18-DEC-25 03.31.30.410122000 AM"
"01","021","0","SYSTEM","23-SEP-25 04.12.11.411117000 PM","SYSTEM","20-SEP-25 11.45.53.411117000 PM"
"02","031","0","SYSTEM","03-MAY-26 06.20.07.411117000 PM","SYSTEM","12-APR-26 10.00.23.411117000 AM"
"05","021","0","SYSTEM","27-MAR-26 06.01.58.411117000 AM","SYSTEM","12-MAR-26 06.02.44.411117000 PM"
"01","021","0","SYSTEM","09-FEB-26 07.41.44.411117000 AM","SYSTEM","06-FEB-26 06.27.47.411117000 AM"
"03","021","0","SYSTEM","23-APR-26 06.10.49.411117000 PM","SYSTEM","26-MAR-26 05.41.00.411117000 AM"
"04","012","0","SYSTEM","03-JAN-26 04.10.54.411117000 PM","SYSTEM","06-DEC-25 10.28.42.411117000 AM"
"01","012","0","SYSTEM","21-APR-26 06.58.46.411117000 AM","SYSTEM","31-MAR-26 02.38.11.411117000 PM"
"05","031","0","SYSTEM","18-JAN-26 04.34.10.411117000 PM","SYSTEM","24-DEC-25 10.32.25.411117000 PM"
"04","021","0","SYSTEM","28-MAR-26 05.08.29.411117000 AM","SYSTEM","27-FEB-26 04.01.56.411117000 PM"
"04","011","0","SYSTEM","12-OCT-25 07.25.37.411117000 AM","SYSTEM","11-SEP-25 01.37.29.411117000 PM"
"01","041","0","SYSTEM","07-DEC-25 09.04.06.411117000 AM","SYSTEM","29-NOV-25 12.29.59.411117000 AM"
"02","031","0","SYSTEM","20-AUG-25 02.12.24.411117000 PM","SYSTEM","27-JUL-25 09.55.15.411117000 PM"
"01","041","0","SYSTEM","24-JAN-26 08.26.18.411117000 AM","SYSTEM","16-JAN-26 05.54.54.411117000 PM"
"04","011","0","SYSTEM","22-JAN-26 11.33.10.411117000 PM","SYSTEM","16-JAN-26 08.12.09.411117000 AM"
"05","021","0","SYSTEM","26-FEB-26 06.47.29.411117000 AM","SYSTEM","03-FEB-26 04.32.21.411117000 AM"
"01","011","0","SYSTEM","31-MAY-26 01.29.00.412116000 PM","SYSTEM","08-MAY-26 02.17.19.412116000 PM"
"04","011","0","SYSTEM","26-AUG-25 05.06.45.412116000 AM","SYSTEM","16-AUG-25 11.58.46.412116000 AM"
"03","011","0","SYSTEM","13-MAR-26 08.24.01.412116000 AM","SYSTEM","11-FEB-26 09.48.57.412116000 AM"
"01","031","0","SYSTEM","03-NOV-25 12.25.56.412116000 PM","SYSTEM","10-OCT-25 03.41.41.412116000 PM"
"04","011","0","SYSTEM","11-OCT-25 11.17.07.412116000 PM","SYSTEM","01-OCT-25 03.28.53.412116000 PM"
"01","031","0","SYSTEM","11-APR-26 09.34.17.412116000 AM","SYSTEM","18-MAR-26 01.48.36.412116000 PM"
"05","011","0","SYSTEM","15-OCT-25 07.33.57.412116000 AM","SYSTEM","08-OCT-25 11.31.59.412116000 PM"
"03","021","0","SYSTEM","15-NOV-25 10.44.59.412116000 PM","SYSTEM","03-NOV-25 04.23.08.412116000 AM"
"01","012","0","SYSTEM","06-MAY-26 08.35.17.412116000 PM","SYSTEM","14-APR-26 02.10.37.412116000 PM"
"01","011","0","SYSTEM","04-SEP-25 08.35.28.412116000 PM","SYSTEM","18-AUG-25 05.26.38.412116000 PM"
"01","031","0","SYSTEM","20-NOV-25 07.32.29.412116000 AM","SYSTEM","26-OCT-25 01.25.02.412116000 AM"
"04","041","0","SYSTEM","05-OCT-25 12.41.46.412116000 AM","SYSTEM","23-SEP-25 12.26.27.412116000 PM"
"01","031","0","SYSTEM","07-MAR-26 11.12.37.413361000 PM","SYSTEM","02-MAR-26 06.48.53.413361000 PM"
"03","011","0","SYSTEM","01-APR-26 09.02.56.413361000 PM","SYSTEM","08-MAR-26 08.41.13.413361000 AM"
"02","021","0","SYSTEM","12-JUN-26 02.25.20.413361000 PM","SYSTEM","10-JUN-26 12.49.37.413361000 AM"
"04","011","0","SYSTEM","19-SEP-25 03.39.11.413361000 AM","SYSTEM","05-SEP-25 04.47.51.413361000 AM"
"05","012","0","SYSTEM","29-DEC-25 01.19.13.413361000 AM","SYSTEM","19-DEC-25 09.31.19.413361000 AM"
"01","041","0","SYSTEM","17-MAY-26 03.18.25.413361000 PM","SYSTEM","29-APR-26 04.16.48.413361000 PM"
