"p_sys_id","p_ty_sk","p_ty_cd","l_hibernate_ver_num","g_aud_user_id","g_aud_ts","g_aud_add_user_id","g_aud_add_ts"
"900193","1007920","02","0","SYSTEM","13-JUN-26 01.33.26.199900000 PM","SYSTEM","07-JUN-26 08.22.17.199900000 PM"
"900173","1007921","04","0","SYSTEM","30-MAY-26 03.19.17.199900000 PM","SYSTEM","13-MAY-26 12.00.08.199900000 AM"
"900170","1007922","04","0","SYSTEM","08-MAY-26 10.33.23.200904000 AM","SYSTEM","08-APR-26 06.30.28.200904000 PM"
"900176","1007923","03","0","SYSTEM","07-JAN-26 07.57.45.200904000 AM","SYSTEM","02-JAN-26 06.20.54.200904000 PM"
"900167","1007924","02","0","SYSTEM","23-APR-26 03.07.47.200904000 AM","SYSTEM","24-MAR-26 01.32.28.200904000 PM"
"900159","1007925","01","0","SYSTEM","17-FEB-26 09.40.07.200904000 PM","SYSTEM","31-JAN-26 06.15.56.200904000 AM"
"900151","1007926","01","0","SYSTEM","09-FEB-26 09.08.45.200904000 PM","SYSTEM","02-FEB-26 12.06.26.200904000 PM"
"900154","1007927","03","0","SYSTEM","07-AUG-26 08.54.05.200904000 PM","SYSTEM","09-JUL-26 05.46.27.200904000 PM"
"900157","1007928","04","0","SYSTEM","11-NOV-25 06.13.32.200904000 AM","SYSTEM","02-NOV-25 01.35.58.200904000 AM"
"900196","1007929","05","0","SYSTEM","12-FEB-26 11.52.04.200904000 PM","SYSTEM","07-FEB-26 06.49.58.200904000 PM"
"900163","1007930","05","0","SYSTEM","01-DEC-25 09.41.14.200904000 AM","SYSTEM","12-NOV-25 12.12.42.200904000 PM"
"900189","1007931","03","0","SYSTEM","14-JUN-26 10.22.08.201902000 AM","SYSTEM","28-MAY-26 05.29.44.201902000 AM"
"900174","1007932","02","0","SYSTEM","06-OCT-25 04.25.25.201902000 AM","SYSTEM","25-SEP-25 11.48.43.201902000 PM"
"900200","1007933","04","0","SYSTEM","28-MAR-26 07.42.41.201902000 AM","SYSTEM","28-FEB-26 04.40.59.201902000 PM"
"900164","1007934","05","0","SYSTEM","06-FEB-26 09.51.19.201902000 PM","SYSTEM","20-JAN-26 05.56.42.201902000 AM"
"900156","1007935","01","0","SYSTEM","23-NOV-25 01.13.34.202359000 AM","SYSTEM","14-NOV-25 06.57.51.202359000 AM"
"900169","1007936","02","0","SYSTEM","04-JAN-26 03.06.23.202359000 AM","SYSTEM","16-DEC-25 10.11.12.202359000 AM"
"900177","1007937","01","0","SYSTEM","12-NOV-25 02.19.06.202359000 AM","SYSTEM","01-NOV-25 02.46.45.202359000 PM"
"900165","1007938","01","0","SYSTEM","09-MAR-26 02.58.12.202359000 PM","SYSTEM","22-FEB-26 10.38.05.202359000 AM"
"900178","1007939","01","0","SYSTEM","01-APR-26 04.56.33.202359000 PM","SYSTEM","20-MAR-26 07.42.32.202359000 AM"
"900191","1007940","04","0","SYSTEM","10-OCT-25 07.11.37.202359000 PM","SYSTEM","14-SEP-25 07.47.24.202359000 AM"
"900192","1007941","02","0","SYSTEM","02-MAR-26 12.29.09.202359000 PM","SYSTEM","10-FEB-26 08.55.42.202359000 PM"
"900172","1007942","01","0","SYSTEM","25-APR-26 10.13.28.202359000 PM","SYSTEM","02-APR-26 03.59.52.202359000 AM"
"900179","1007943","02","0","SYSTEM","08-JUL-26 12.31.58.202359000 PM","SYSTEM","26-JUN-26 06.44.22.202359000 AM"
"900181","1007944","03","0","SYSTEM","04-AUG-26 05.25.58.202359000 AM","SYSTEM","11-JUL-26 08.29.08.202359000 AM"
"900183","1007945","04","0","SYSTEM","18-SEP-25 01.48.48.202359000 PM","SYSTEM","06-SEP-25 12.19.33.202359000 AM"
"900160","1007946","03","0","SYSTEM","27-JUN-26 07.45.34.203422000 AM","SYSTEM","17-JUN-26 01.18.09.203422000 PM"
"900180","1007947","01","0","SYSTEM","07-APR-26 03.56.29.203422000 PM","SYSTEM","16-MAR-26 05.44.13.203422000 AM"
"900168","1007948","01","0","SYSTEM","13-APR-26 02.30.00.203422000 PM","SYSTEM","23-MAR-26 06.30.49.203422000 PM"
"900185","1007949","03","0","SYSTEM","02-AUG-26 10.35.40.203422000 PM","SYSTEM","08-JUL-26 12.21.38.203422000 PM"
"900158","1007950","02","0","SYSTEM","21-MAR-26 03.51.00.203422000 AM","SYSTEM","01-MAR-26 09.29.29.203422000 PM"
"900195","1007951","03","0","SYSTEM","27-DEC-25 08.09.11.203422000 PM","SYSTEM","16-DEC-25 01.21.20.203422000 PM"
"900188","1007952","05","0","SYSTEM","31-AUG-25 10.55.15.203422000 AM","SYSTEM","06-AUG-25 07.04.06.203422000 PM"
"900199","1007953","03","0","SYSTEM","10-MAY-26 07.12.09.203422000 PM","SYSTEM","06-MAY-26 03.39.58.203422000 AM"
"900161","1007954","04","0","SYSTEM","28-FEB-26 04.38.18.203422000 PM","SYSTEM","24-FEB-26 02.07.08.203422000 AM"
"900155","1007955","01","0","SYSTEM","12-NOV-25 01.04.29.203422000 AM","SYSTEM","17-OCT-25 09.11.23.203422000 PM"
"900198","1007956","01","0","SYSTEM","08-OCT-25 01.58.52.203422000 AM","SYSTEM","20-SEP-25 12.30.22.203422000 PM"
"900182","1007957","01","0","SYSTEM","14-JAN-26 01.10.39.203422000 PM","SYSTEM","04-JAN-26 06.30.16.203422000 PM"
"900184","1007958","01","0","SYSTEM","27-JUN-26 03.44.17.203422000 AM","SYSTEM","20-JUN-26 01.27.05.203422000 PM"
"900190","1007959","04","0","SYSTEM","18-APR-26 02.22.23.203422000 PM","SYSTEM","10-APR-26 07.45.30.203422000 AM"
"900197","1007960","03","0","SYSTEM","10-FEB-26 11.23.01.203422000 PM","SYSTEM","29-JAN-26 02.13.25.203422000 PM"
"900171","1007961","03","0","SYSTEM","29-MAR-26 08.50.59.203422000 PM","SYSTEM","22-MAR-26 08.49.41.203422000 PM"
