"P_SYS_ID","P_ACPTNC_SK","P_ACPTNC_CD","P_ACPTNC_DT","L_HIBERNATE_VER_NUM","G_AUD_USER_ID","G_AUD_TS","G_AUD_ADD_USER_ID","G_AUD_ADD_TS"
1153874,1000084,"04",01-JAN-12,0,"Provider Conversion",28-MAR-13 03.57.50.000000000 AM,"Provider Conversion",28-MAR-13 03.57.50.000000000 AM
1153874,1000085,"01",21-SEP-09,0,"Provider Conversion",28-MAR-13 03.57.50.000000000 AM,"Provider Conversion",28-MAR-13 03.57.50.000000000 AM
1153875,1000086,"04",01-JAN-12,0,"Provider Conversion",28-MAR-13 03.57.50.000000000 AM,"Provider Conversion",28-MAR-13 03.57.50.000000000 AM
1153875,1000087,"01",06-SEP-09,0,"Provider Conversion",28-MAR-13 03.57.50.000000000 AM,"Provider Conversion",28-MAR-13 03.57.50.000000000 AM
1153876,1000088,"04",01-JAN-12,0,"Provider Conversion",28-MAR-13 03.57.50.000000000 AM,"Provider Conversion",28-MAR-13 03.57.50.000000000 AM
1153876,1000089,"01",12-JUN-09,0,"Provider Conversion",28-MAR-13 03.57.50.000000000 AM,"Provider Conversion",28-MAR-13 03.57.50.000000000 AM
1153877,1000090,"04",01-JAN-12,0,"Provider Conversion",28-MAR-13 03.57.50.000000000 AM,"Provider Conversion",28-MAR-13 03.57.50.000000000 AM
1153877,1000091,"01",05-JUL-09,0,"Provider Conversion",28-MAR-13 03.57.50.000000000 AM,"Provider Conversion",28-MAR-13 03.57.50.000000000 AM
1153878,1000092,"04",01-JAN-12,0,"Provider Conversion",28-MAR-13 03.57.50.000000000 AM,"Provider Conversion",28-MAR-13 03.57.50.000000000 AM
1153878,1000093,"01",30-SEP-09,0,"Provider Conversion",28-MAR-13 03.57.50.000000000 AM,"Provider Conversion",28-MAR-13 03.57.50.000000000 AM
1153879,1000094,"04",30-SEP-13,0,"Provider Conversion",28-MAR-13 03.57.50.000000000 AM,"Provider Conversion",28-MAR-13 03.57.50.000000000 AM
1153879,1000095,"01",01-JAN-77,0,"Provider Conversion",28-MAR-13 03.57.50.000000000 AM,"Provider Conversion",28-MAR-13 03.57.50.000000000 AM
1153880,1000096,"04",30-SEP-13,0,"Provider Conversion",28-MAR-13 03.57.50.000000000 AM,"Provider Conversion",28-MAR-13 03.57.50.000000000 AM
1153880,1000097,"01",01-DEC-08,0,"Provider Conversion",28-MAR-13 03.57.50.000000000 AM,"Provider Conversion",28-MAR-13 03.57.50.000000000 AM
1153881,1000098,"04",30-SEP-13,0,"Provider Conversion",28-MAR-13 03.57.50.000000000 AM,"Provider Conversion",28-MAR-13 03.57.50.000000000 AM
1153881,1000099,"01",01-JAN-80,0,"Provider Conversion",28-MAR-13 03.57.50.000000000 AM,"Provider Conversion",28-MAR-13 03.57.50.000000000 AM
1153882,1000100,"04",01-JAN-12,0,"Provider Conversion",28-MAR-13 03.57.50.000000000 AM,"Provider Conversion",28-MAR-13 03.57.50.000000000 AM
1153882,1000101,"01",12-APR-09,0,"Provider Conversion",28-MAR-13 03.57.50.000000000 AM,"Provider Conversion",28-MAR-13 03.57.50.000000000 AM
1153883,1000102,"04",01-JAN-12,0,"Provider Conversion",28-MAR-13 03.57.50.000000000 AM,"Provider Conversion",28-MAR-13 03.57.50.000000000 AM
1153883,1000103,"01",22-JUL-09,0,"Provider Conversion",28-MAR-13 03.57.50.000000000 AM,"Provider Conversion",28-MAR-13 03.57.50.000000000 AM
1153884,1000104,"04",30-SEP-13,0,"Provider Conversion",28-MAR-13 03.57.50.000000000 AM,"Provider Conversion",28-MAR-13 03.57.50.000000000 AM
1153884,1000105,"01",11-NOV-09,0,"Provider Conversion",28-MAR-13 03.57.50.000000000 AM,"Provider Conversion",28-MAR-13 03.57.50.000000000 AM
1153885,1000106,"04",30-SEP-13,0,"Provider Conversion",28-MAR-13 03.57.50.000000000 AM,"Provider Conversion",28-MAR-13 03.57.50.000000000 AM
1153885,1000107,"01",27-JUN-09,0,"Provider Conversion",28-MAR-13 03.57.50.000000000 AM,"Provider Conversion",28-MAR-13 03.57.50.000000000 AM
1153886,1000108,"04",01-JAN-12,0,"Provider Conversion",28-MAR-13 03.57.50.000000000 AM,"Provider Conversion",28-MAR-13 03.57.50.000000000 AM
1153886,1000109,"01",16-AUG-09,0,"Provider Conversion",28-MAR-13 03.57.50.000000000 AM,"Provider Conversion",28-MAR-13 03.57.50.000000000 AM
1153887,1000110,"04",01-JAN-12,0,"Provider Conversion",28-MAR-13 03.57.50.000000000 AM,"Provider Conversion",28-MAR-13 03.57.50.000000000 AM
1153887,1000111,"01",16-JUN-09,0,"Provider Conversion",28-MAR-13 03.57.50.000000000 AM,"Provider Conversion",28-MAR-13 03.57.50.000000000 AM
1153888,1000112,"04",01-JAN-12,0,"Provider Conversion",28-MAR-13 03.57.50.000000000 AM,"Provider Conversion",28-MAR-13 03.57.50.000000000 AM
1153888,1000113,"01",28-JUN-09,0,"Provider Conversion",28-MAR-13 03.57.50.000000000 AM,"Provider Conversion",28-MAR-13 03.57.50.000000000 AM
1153889,1000114,"04",01-JAN-12,0,"Provider Conversion",28-MAR-13 03.57.50.000000000 AM,"Provider Conversion",28-MAR-13 03.57.50.000000000 AM
1153889,1000115,"01",29-MAR-09,0,"Provider Conversion",28-MAR-13 03.57.50.000000000 AM,"Provider Conversion",28-MAR-13 03.57.50.000000000 AM
1153890,1000116,"04",01-JAN-12,0,"Provider Conversion",28-MAR-13 03.57.50.000000000 AM,"Provider Conversion",28-MAR-13 03.57.50.000000000 AM
1153890,1000117,"01",01-JAN-77,0,"Provider Conversion",28-MAR-13 03.57.50.000000000 AM,"Provider Conversion",28-MAR-13 03.57.50.000000000 AM
1153891,1000118,"04",01-JAN-12,0,"Provider Conversion",28-MAR-13 03.57.50.000000000 AM,"Provider Conversion",28-MAR-13 03.57.50.000000000 AM
1153891,1000119,"01",27-NOV-09,0,"Provider Conversion",28-MAR-13 03.57.50.000000000 AM,"Provider Conversion",28-MAR-13 03.57.50.000000000 AM
1153892,1000120,"04",01-JAN-12,0,"Provider Conversion",28-MAR-13 03.57.50.000000000 AM,"Provider Conversion",28-MAR-13 03.57.50.000000000 AM
1153892,1000121,"01",27-DEC-09,0,"Provider Conversion",28-MAR-13 03.57.50.000000000 AM,"Provider Conversion",28-MAR-13 03.57.50.000000000 AM
1153893,1000122,"04",30-SEP-13,0,"Provider Conversion",28-MAR-13 03.57.50.000000000 AM,"Provider Conversion",28-MAR-13 03.57.50.000000000 AM
1153893,1000123,"01",23-NOV-09,0,"Provider Conversion",28-MAR-13 03.57.50.000000000 AM,"Provider Conversion",28-MAR-13 03.57.50.000000000 AM
1153894,1000124,"04",30-SEP-13,0,"Provider Conversion",28-MAR-13 03.57.50.000000000 AM,"Provider Conversion",28-MAR-13 03.57.50.000000000 AM
1153894,1000125,"01",28-APR-10,0,"Provider Conversion",28-MAR-13 03.57.50.000000000 AM,"Provider Conversion",28-MAR-13 03.57.50.000000000 AM
1153895,1000126,"04",01-JAN-12,0,"Provider Conversion",28-MAR-13 03.57.50.000000000 AM,"Provider Conversion",28-MAR-13 03.57.50.000000000 AM
1153895,1000127,"01",19-DEC-09,0,"Provider Conversion",28-MAR-13 03.57.50.000000000 AM,"Provider Conversion",28-MAR-13 03.57.50.000000000 AM
1153896,1000128,"04",01-JAN-12,0,"Provider Conversion",28-MAR-13 03.57.50.000000000 AM,"Provider Conversion",28-MAR-13 03.57.50.000000000 AM
1153896,1000129,"01",13-JUN-09,0,"Provider Conversion",28-MAR-13 03.57.50.000000000 AM,"Provider Conversion",28-MAR-13 03.57.50.000000000 AM
1153897,1000130,"04",01-JAN-12,0,"Provider Conversion",28-MAR-13 03.57.50.000000000 AM,"Provider Conversion",28-MAR-13 03.57.50.000000000 AM
1153897,1000131,"01",01-OCT-09,0,"Provider Conversion",28-MAR-13 03.57.50.000000000 AM,"Provider Conversion",28-MAR-13 03.57.50.000000000 AM
1153898,1000132,"04",01-JAN-12,0,"Provider Conversion",28-MAR-13 03.57.50.000000000 AM,"Provider Conversion",28-MAR-13 03.57.50.000000000 AM
1153898,1000133,"01",09-AUG-09,0,"Provider Conversion",28-MAR-13 03.57.50.000000000 AM,"Provider Conversion",28-MAR-13 03.57.50.000000000 AM
1153899,1000134,"04",30-SEP-13,0,"Provider Conversion",28-MAR-13 03.57.50.000000000 AM,"Provider Conversion",28-MAR-13 03.57.50.000000000 AM
1153899,1000135,"01",01-JAN-95,0,"Provider Conversion",28-MAR-13 03.57.50.000000000 AM,"Provider Conversion",28-MAR-13 03.57.50.000000000 AM
1153900,1000136,"04",01-JAN-12,0,"Provider Conversion",28-MAR-13 03.57.50.000000000 AM,"Provider Conversion",28-MAR-13 03.57.50.000000000 AM
