"P_CLIA_NUM","P_CLIA_LAB_PAY_IND","P_CLIA_FED_TAX_ID","P_CLIA_MCARE_NUM","P_CLIA_UPD_DT","P_CLIA_ADD_DT","P_CLIA_LAB_NAM","P_CLIA_NPI_NUM","G_CMN_ENTY_SK","G_NOTE_SET_SK","L_HIBERNATE_VER_NUM","G_AUD_USER_ID","G_AUD_TS","G_AUD_ADD_USER_ID","G_AUD_ADD_TS"
"01D0299895","Y","630881762"," ",04-DEC-15,26-NOV-13,"ROBERT W HARGRAVES MD    "," ",11374173,,0,"B-IF-PRV-CLIA-UPD_1054767.00",18-JUL-16 02.10.08.610661000 AM,"B-IF-PRV-CLIA-UPD_8943636.00",06-FEB-14 10.41.39.324822000 AM
"01D0299900","Y","631048002"," ",28-NOV-23,26-NOV-13,"JOHN B CRIDER MD FAMILY M"," ",11374174,,0,"B-IF-PRV-CLIA-UPD_617020.00",01-DEC-23 06.24.32.341775000 PM,"B-IF-PRV-CLIA-UPD_8943636.00",06-FEB-14 10.41.39.324831000 AM
"01D0299928","Y","721608375"," ",20-AUG-25,26-NOV-13,"UAB MEDICAL WEST HOSPITAL"," ",11374175,,0,"B-IF-PRV-CLIA-UPD_1524062.00",22-AUG-25 06.34.35.110927000 PM,"B-IF-PRV-CLIA-UPD_8943636.00",06-FEB-14 10.41.39.324840000 AM
"01D0300027","Y","636005283"," ",29-SEP-25,20-NOV-13,"BIBB MEDICAL CENTER      "," ",11374176,,0,"B-IF-PRV-CLIA-UPD_1584657.00",03-OCT-25 06.33.16.537688000 PM,"B-IF-PRV-CLIA-UPD_8943636.00",06-FEB-14 10.41.39.324849000 AM
"01D0300133","Y","631165851"," ",17-JAN-25,26-NOV-13,"CULLMAN PRIMARY CARE PC  "," ",11374177,,0,"B-IF-PRV-CLIA-UPD_1221385.00",24-JAN-25 06.23.45.113745000 PM,"B-IF-PRV-CLIA-UPD_8943636.00",06-FEB-14 10.41.39.324872000 AM
"01D0300149","Y","630597037"," ",10-DEC-24,26-NOV-13,"ENT ASSOCIATES OF ALABAMA"," ",11374178,,0,"B-IF-PRV-CLIA-UPD_1161280.00",13-DEC-24 06.23.34.973396000 PM,"B-IF-PRV-CLIA-UPD_8943636.00",06-FEB-14 10.41.39.324881000 AM
"01D0300640","Y","631271462"," ",27-AUG-25,26-NOV-13,"BIRMINGHAM PEDIATRIC ASSO"," ",11374179,,0,"B-IF-PRV-CLIA-UPD_1533513.00",29-AUG-25 06.33.37.266204000 PM,"B-IF-PRV-CLIA-UPD_8943636.00",06-FEB-14 10.41.39.324889000 AM
"01D0300649","Y","630720078"," ",28-FEB-24,26-NOV-13,"CHILDREN'S MEDICAL GROUP "," ",11374180,,0,"B-IF-PRV-CLIA-UPD_748721.00",01-MAR-24 06.25.01.562744000 PM,"B-IF-PRV-CLIA-UPD_8943636.00",06-FEB-14 10.41.39.324897000 AM
"01D0300698","Y","630716499"," ",28-OCT-25,26-NOV-13,"RHEUMATOLOGY ASSOCIATES, "," ",11374181,,0,"B-IF-PRV-CLIA-UPD_1624060.00",31-OCT-25 06.33.08.571791000 PM,"B-IF-PRV-CLIA-UPD_8943636.00",06-FEB-14 10.41.39.324905000 AM
"01D0300711","Y","631185612"," ",15-JUL-24,26-NOV-13,"SOUTHVIEW MEDICAL GROUP P"," ",11374182,,0,"B-IF-PRV-CLIA-UPD_951256.00",19-JUL-24 06.23.41.921034000 PM,"B-IF-PRV-CLIA-UPD_8943636.00",06-FEB-14 10.41.39.324914000 AM
"01D0301003","Y","630825248"," ",05-NOV-24,26-NOV-13,"AMERICAN FAMILY CARE - MO"," ",11374183,,0,"B-IF-PRV-CLIA-UPD_1110663.00",08-NOV-24 06.24.42.527208000 PM,"B-IF-PRV-CLIA-UPD_8943636.00",06-FEB-14 10.41.39.324922000 AM
"01D0301022","Y","630925859"," ",27-OCT-25,26-NOV-13,"BBH SCN PRINCETON PULMONO"," ",11374184,,0,"B-IF-PRV-CLIA-UPD_1624060.00",31-OCT-25 06.33.08.571792000 PM,"B-IF-PRV-CLIA-UPD_8943636.00",06-FEB-14 10.41.39.324931000 AM
"01D0301071","Y","631245407"," ",24-JUL-24,26-NOV-13,"BIRMINGHAM INTERNAL MEDIC"," ",11374185,,0,"B-IF-PRV-CLIA-UPD_960812.00",26-JUL-24 06.23.27.469784000 PM,"B-IF-PRV-CLIA-UPD_8943636.00",06-FEB-14 10.41.39.324939000 AM
"01D0301161","Y","630599250"," ",05-DEC-16,26-NOV-13,"MONTCLAIR RHEUMATOLOGY   "," ",11374186,,0,"B-IF-PRV-CLIA-UPD_1230065.00",12-DEC-16 06.14.47.357268000 PM,"B-IF-PRV-CLIA-UPD_8943636.00",06-FEB-14 10.41.39.324947000 AM
"01D0301246","Y","630825248"," ",12-AUG-24,26-NOV-13,"AMERICAN FAMILY CARE - CE"," ",11374187,,0,"B-IF-PRV-CLIA-UPD_990049.00",16-AUG-24 06.23.33.270972000 PM,"B-IF-PRV-CLIA-UPD_8943636.00",06-FEB-14 10.41.39.324956000 AM
"01D0301577","Y","412035406"," ",12-JUN-25,26-NOV-13,"COMPLETE FAMILY HEALTH CA"," ",11374188,,0,"B-IF-PRV-CLIA-UPD_1421943.00",13-JUN-25 06.24.43.009532000 PM,"B-IF-PRV-CLIA-UPD_8943636.00",06-FEB-14 10.41.39.324964000 AM
"01D0301734","Y","630479242"," ",12-FEB-25,26-NOV-13,"TUSKALOOSA INTERNAL MEDIC"," ",11374189,,0,"B-IF-PRV-CLIA-UPD_1250958.00",14-FEB-25 06.23.25.069600000 PM,"B-IF-PRV-CLIA-UPD_8943636.00",06-FEB-14 10.41.39.324972000 AM
"01D0301985","Y","630667953"," ",06-FEB-25,26-NOV-13,"DR BILL YATES MD PC      "," ",11374190,,0,"B-IF-PRV-CLIA-UPD_1241262.00",07-FEB-25 06.24.09.453017000 PM,"B-IF-PRV-CLIA-UPD_8943636.00",06-FEB-14 10.41.39.324981000 AM
"01D0302215","Y","630754863"," ",01-OCT-25,26-NOV-13,"NEW DECATUR CLINIC LAB   "," ",11374191,,0,"B-IF-PRV-CLIA-UPD_1584657.00",03-OCT-25 06.33.16.537691000 PM,"B-IF-PRV-CLIA-UPD_8943636.00",06-FEB-14 10.41.39.324989000 AM
