"P_SYS_ID","P_PROV_AGMT_READ_IND","P_PCCM_AGMT_READ_IND","P_REQ_CLM_SUBM_EFF_DT","P_QSP_LAST_GRADE_COMPLETED_CD","L_HIBERNATE_VER_NUM","G_AUD_ADD_TS","G_AUD_ADD_USER_ID","G_AUD_TS","G_AUD_USER_ID","P_340B_IND","P_1099_IND","P_SVC_AREA_DSTNC_CD","P_PUB_PROV_IND","P_TP_AGMT_READ_IND","P_WEBSITE","P_ACCEPT_NEW","P_TELEHEALTH","P_OTHER_ACCOM"
1000344,"N","N",,"",0,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",28-MAR-13 03.52.06.000000000 AM,"Provider Conversion","N","Y","","N","N","","","",""
1000345,"N","N",,"",5,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",27-JUL-15 12.48.27.327000000 PM,"JMLAGRO","N","Y","","N","N","","","",""
1000346,"N","N",,"",0,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",28-MAR-13 03.52.06.000000000 AM,"Provider Conversion","N","Y","","N","N","","","",""
1000347,"N","N",,"",4,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",07-NOV-25 07.36.06.133000000 AM,"LWICK","N","Y","","N","N","","N","N",""
1000348,"N","N",,"",1,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",05-DEC-25 10.57.09.041000000 AM,"MLADAMS","N","Y","","N","N","","N","N",""
1000349,"N","N",,"",0,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",28-MAR-13 03.52.06.000000000 AM,"Provider Conversion","N","Y","","N","N","","","",""
1000350,"N","N",,"",3,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",15-AUG-15 10.28.41.084000000 AM,"ESTHERSHAHPAR","N","Y","","N","N","","","",""
1000351,"N","N",,"",3,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",20-JUL-15 10.27.46.320000000 AM,"JMLAGRO","N","Y","","N","N","","","",""
1000352,"N","N",,"",4,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",21-NOV-25 04.43.18.619000000 PM,"KAMELTZER","N","Y","","N","N","","N","N",""
1000353,"N","N",,"",0,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",28-MAR-13 03.52.06.000000000 AM,"Provider Conversion","N","Y","","N","N","","","",""
1000354,"N","N",,"",0,28-MAR-13 03.52.06.000000000 AM,"Provider Conversion",28-MAR-13 03.52.06.000000000 AM,"Provider Conversion","N","Y","","N","N","","","",""
