"P_SYS_ID","P_ENROL_STAT_SK","P_ENROL_STAT_BEG_DT","P_ENROL_STAT_END_DT","P_ENROL_STAT_TY_CD","P_ENROL_STAT_RSN_CD","P_RTRCTV_ELIG_IND","L_HIBERNATE_VER_NUM","G_AUD_USER_ID","G_AUD_TS","G_AUD_ADD_USER_ID","G_AUD_ADD_TS"
1000148,1000149,01-JAN-08,26-OCT-09,"A","51","N",0,"B-Term-Prov-Trigger_717958.00",02-OCT-15 06.00.45.000000000 PM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000149,1000150,01-JAN-97,30-SEP-13,"A","45","N",1,"NEERUSHARMA",24-JUL-15 08.36.43.325000000 AM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000150,1000151,12-NOV-97,21-NOV-97,"A","45","N",0,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000150,1000152,01-JAN-98,01-JUL-01,"A","51","N",0,"B-Term-Prov-Trigger_717958.00",02-OCT-15 06.00.44.000000000 PM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000151,1000153,07-JAN-98,01-JAN-02,"A","51","N",0,"B-Term-Prov-Trigger_717958.00",02-OCT-15 06.00.44.000000000 PM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000152,1000154,01-APR-98,01-MAY-04,"A","51","N",0,"B-Term-Prov-Trigger_717958.00",02-OCT-15 06.00.40.000000000 PM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000153,1000155,01-JUL-92,01-JAN-06,"A","51","N",0,"B-Term-Prov-Trigger_717958.00",02-OCT-15 06.00.47.000000000 PM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000154,1000156,01-JAN-98,01-JAN-02,"A","51","N",0,"B-Term-Prov-Trigger_717958.00",02-OCT-15 06.00.40.000000000 PM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000155,1000157,27-MAR-98,01-JAN-06,"A","51","N",0,"B-Term-Prov-Trigger_717958.00",02-OCT-15 06.00.39.000000000 PM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000156,1000158,14-AUG-98,01-JAN-02,"A","51","N",0,"B-Term-Prov-Trigger_717958.00",02-OCT-15 06.00.43.000000000 PM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000157,1000159,01-JAN-98,30-SEP-13,"A","45","N",3,"NEERUSHARMA",27-JUL-15 02.15.43.118000000 PM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000158,1000160,17-AUG-98,01-JUL-07,"A","51","N",0,"B-Term-Prov-Trigger_717958.00",02-OCT-15 06.00.41.000000000 PM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000159,1000161,01-SEP-98,31-DEC-00,"A","51","N",0,"B-Term-Prov-Trigger_717958.00",02-OCT-15 06.00.41.000000000 PM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000160,1000162,01-APR-09,30-SEP-13,"A","45","N",3,"JMLAGRO",08-JUL-15 08.25.35.181000000 AM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000161,1000163,01-JAN-98,05-APR-04,"A","51","N",0,"B-Term-Prov-Trigger_717958.00",02-OCT-15 06.00.42.000000000 PM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000162,1000164,26-MAR-99,04-OCT-15,"A","51","N",0,"B-Term-Prov-Trigger_719776.00",04-OCT-15 06.00.11.000000000 PM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000163,1000165,01-JAN-99,03-JUN-05,"A","51","N",0,"B-Term-Prov-Trigger_717958.00",02-OCT-15 06.00.40.000000000 PM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000164,1000166,12-MAR-99,31-DEC-07,"A","51","N",0,"B-Term-Prov-Trigger_717958.00",02-OCT-15 06.00.43.000000000 PM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000165,1000167,12-MAR-99,01-JAN-02,"A","51","N",0,"B-Term-Prov-Trigger_717958.00",02-OCT-15 06.00.45.000000000 PM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000166,1000168,12-MAR-99,01-JAN-02,"A","51","N",0,"B-Term-Prov-Trigger_717958.00",02-OCT-15 06.00.39.000000000 PM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000167,1000169,13-JUL-09,30-SEP-13,"A","45","N",5,"THENDERSON",14-AUG-15 10.42.53.133000000 AM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000168,1000170,12-MAR-99,17-JUN-03,"A","45","N",0,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000168,1000171,20-NOV-12,30-SEP-13,"A","45","N",0,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000169,1000172,23-JUL-99,31-DEC-01,"A","51","N",0,"B-Term-Prov-Trigger_717958.00",02-OCT-15 06.00.45.000000000 PM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000170,1000173,23-JUL-99,31-DEC-01,"A","51","N",0,"B-Term-Prov-Trigger_717958.00",02-OCT-15 06.00.46.000000000 PM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000171,1000174,23-JUL-99,01-JUL-04,"A","51","N",0,"B-Term-Prov-Trigger_717958.00",02-OCT-15 06.00.39.000000000 PM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000172,1000175,01-JUL-99,01-MAY-04,"A","51","N",0,"B-Term-Prov-Trigger_717958.00",02-OCT-15 06.00.46.000000000 PM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000173,1000176,01-JAN-99,30-SEP-13,"A","45","N",1,"USHASHA",29-JUN-15 11.28.29.570000000 AM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000174,1000177,01-JUN-99,31-DEC-07,"A","51","N",0,"B-Term-Prov-Trigger_717958.00",02-OCT-15 06.00.47.000000000 PM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
1000175,1000178,23-AUG-99,31-DEC-05,"A","51","N",0,"B-Term-Prov-Trigger_717958.00",02-OCT-15 06.00.44.000000000 PM,"Provider Conversion",28-MAR-13 03.56.49.000000000 AM
