"P_SYS_ID","P_ISP_IND","P_VND_NAM","P_BLNG_AGENT_NAM","W_SFTWR_NAM","W_VER_ID","W_SFTWR_PRTCL_CD","G_CMN_ENTY_SK","G_NOTE_SET_SK","L_HIBERNATE_VER_NUM","G_AUD_USER_ID","G_AUD_TS","G_AUD_ADD_USER_ID","G_AUD_ADD_TS","W_TXN_DRCTN_CD"
1276872,"Y","","","","","  ",11348066,,13,"GUESTUSER",17-APR-13 09.23.50.066000000 PM,"GUESTUSER",17-APR-13 07.14.21.562000000 PM,""
1277012,"Y","","","","","  ",11348707,,7,"GUESTUSER",24-SEP-14 10.36.05.105000000 AM,"GUESTUSER",25-APR-13 11.11.28.772000000 AM,""
1277041,"N","Transaction Data Systems","","RX30","3.6.1","4",11348819,,0,"GUESTUSER",25-APR-13 04.45.23.098000000 PM,"GUESTUSER",25-APR-13 04.45.23.098000000 PM,""
1277038,"Y","","","","","  ",11348807,,24,"GUESTUSER",21-OCT-13 03.22.01.177000000 PM,"GUESTUSER",26-APR-13 07.40.54.821000000 AM,""
1276791,"N","","eProvider Solutions","","","  ",11347742,,6,"GUESTUSER",26-APR-13 11.27.35.246000000 AM,"GUESTUSER",26-APR-13 10.20.36.266000000 AM,""
1277043,"Y","","","","","  ",11348832,,16,"GUESTUSER",18-JUL-13 09.19.49.355000000 AM,"GUESTUSER",26-APR-13 10.35.15.325000000 AM,""
1277044,"N","Allscripts","","PRO EHR","9.10.3","1",11348836,,1,"GUESTUSER",26-APR-13 10.50.05.865000000 AM,"GUESTUSER",26-APR-13 10.41.44.427000000 AM,""
1277071,"Y","","","","","  ",11348953,,4,"GUESTUSER",29-APR-13 10.29.11.816000000 AM,"GUESTUSER",29-APR-13 10.22.41.095000000 AM,""
1277045,"Y","","","","","  ",11348841,,7,"GUESTUSER",30-APR-13 10.44.04.933000000 AM,"GUESTUSER",26-APR-13 10.59.05.817000000 AM,""
1277050,"N","","eProvider Solutions","","","  ",11348874,,1,"GUESTUSER",26-APR-13 12.12.31.251000000 PM,"GUESTUSER",26-APR-13 12.12.14.401000000 PM,""
1276951,"N","Allscripts Payerpath","","Allscripts PM","10.3.1.17","2",11348467,,6,"GUESTUSER",30-MAY-13 03.19.11.503000000 PM,"GUESTUSER",26-APR-13 12.32.36.172000000 PM,""
1277053,"N","Allscripts","","PRO EHR","9.10.3","1",11348881,,1,"GUESTUSER",26-APR-13 01.09.52.669000000 PM,"GUESTUSER",26-APR-13 01.05.51.252000000 PM,""
1277046,"Y","","","","","  ",11348842,,0,"GUESTUSER",26-APR-13 01.22.21.379000000 PM,"GUESTUSER",26-APR-13 01.22.21.379000000 PM,""
1277072,"Y","","","","","  ",11348958,,8,"GUESTUSER",30-APR-13 11.27.36.516000000 AM,"GUESTUSER",29-APR-13 10.45.16.368000000 AM,""
1277070,"N","","Gateway","","","  ",11348950,,5,"GUESTUSER",29-APR-13 10.53.04.452000000 AM,"GUESTUSER",29-APR-13 10.52.54.889000000 AM,""
1277016,"N","","Gateway EDI Inc.","","","  ",11348717,,9,"GUESTUSER",29-APR-13 12.13.31.865000000 PM,"GUESTUSER",29-APR-13 11.59.57.849000000 AM,""
1277078,"Y","","","","","  ",11348979,,3,"GUESTUSER",29-APR-13 01.47.01.181000000 PM,"GUESTUSER",29-APR-13 01.39.15.693000000 PM,""
1277079,"Y","","","","","  ",11348984,,5,"GUESTUSER",29-APR-13 02.33.21.074000000 PM,"GUESTUSER",29-APR-13 02.28.45.234000000 PM,""
