"P_SYS_ID","P_TXN_TP_INFO_SK","P_TXN_TY_CD","W_TXN_DRCTN_CD","L_HIBERNATE_VER_NUM","G_AUD_USER_ID","G_AUD_TS","G_AUD_ADD_USER_ID","G_AUD_ADD_TS"
1277036,673622,"837P","I",10,"guestUser",02-MAY-13 05.16.20.699000000 PM,"guestUser",02-MAY-13 05.16.20.699000000 PM
1277036,673623,"835","O",11,"guestUser",02-MAY-13 05.16.20.700000000 PM,"guestUser",02-MAY-13 05.16.20.700000000 PM
1277234,673828,"837P","I",0,"guestUser",03-MAY-13 12.53.23.761000000 PM,"guestUser",03-MAY-13 12.53.23.761000000 PM
1277314,674515,"277","O",0,"guestUser",07-MAY-13 09.01.15.934000000 AM,"guestUser",07-MAY-13 09.01.15.934000000 AM
1277307,674903,"277","O",0,"guestUser",10-MAY-13 01.51.19.685000000 PM,"guestUser",10-MAY-13 01.51.19.685000000 PM
1277612,675532,"837P","I",0,"guestUser",16-MAY-13 11.52.50.807000000 AM,"guestUser",16-MAY-13 11.52.50.807000000 AM
1277314,674516,"835","I",0,"guestUser",07-MAY-13 09.01.15.934000000 AM,"guestUser",07-MAY-13 09.01.15.934000000 AM
1277345,674690,"835","O",0,"guestUser",07-MAY-13 02.48.06.342000000 PM,"guestUser",07-MAY-13 02.48.06.342000000 PM
1277345,674691,"277","O",0,"guestUser",07-MAY-13 02.48.06.343000000 PM,"guestUser",07-MAY-13 02.48.06.343000000 PM
1277345,674692,"270","I",0,"guestUser",07-MAY-13 02.48.06.343000000 PM,"guestUser",07-MAY-13 02.48.06.343000000 PM
1277345,674693,"837P","I",0,"guestUser",07-MAY-13 02.48.06.343000000 PM,"guestUser",07-MAY-13 02.48.06.343000000 PM
1277345,674694,"276","I",0,"guestUser",07-MAY-13 02.48.06.343000000 PM,"guestUser",07-MAY-13 02.48.06.343000000 PM
1277307,674904,"837I","I",0,"guestUser",10-MAY-13 01.51.19.685000000 PM,"guestUser",10-MAY-13 01.51.19.685000000 PM
1277219,673606,"835","O",0,"guestUser",02-MAY-13 04.10.13.948000000 PM,"guestUser",02-MAY-13 04.10.13.948000000 PM
1277219,673607,"834","O",0,"guestUser",02-MAY-13 04.10.13.948000000 PM,"guestUser",02-MAY-13 04.10.13.948000000 PM
1277219,673608,"820","O",0,"guestUser",02-MAY-13 04.10.13.949000000 PM,"guestUser",02-MAY-13 04.10.13.949000000 PM
1277219,673609,"278","O",0,"guestUser",02-MAY-13 04.10.13.949000000 PM,"guestUser",02-MAY-13 04.10.13.949000000 PM
1277219,673610,"277","O",0,"guestUser",02-MAY-13 04.10.13.950000000 PM,"guestUser",02-MAY-13 04.10.13.950000000 PM
1277219,673611,"271","O",0,"guestUser",02-MAY-13 04.10.13.950000000 PM,"guestUser",02-MAY-13 04.10.13.950000000 PM
1277219,673612,"837P","I",0,"guestUser",02-MAY-13 04.10.13.950000000 PM,"guestUser",02-MAY-13 04.10.13.950000000 PM
1277219,673613,"837I","I",0,"guestUser",02-MAY-13 04.10.13.950000000 PM,"guestUser",02-MAY-13 04.10.13.950000000 PM
1277219,673614,"837D","I",0,"guestUser",02-MAY-13 04.10.13.951000000 PM,"guestUser",02-MAY-13 04.10.13.951000000 PM
1277219,673615,"835","I",0,"guestUser",02-MAY-13 04.10.13.951000000 PM,"guestUser",02-MAY-13 04.10.13.951000000 PM
1277219,673616,"278","I",0,"guestUser",02-MAY-13 04.10.13.951000000 PM,"guestUser",02-MAY-13 04.10.13.951000000 PM
1277219,673617,"276","I",0,"guestUser",02-MAY-13 04.10.13.951000000 PM,"guestUser",02-MAY-13 04.10.13.951000000 PM
1277219,673618,"271","I",0,"guestUser",02-MAY-13 04.10.13.952000000 PM,"guestUser",02-MAY-13 04.10.13.952000000 PM
1277219,673619,"270","I",0,"guestUser",02-MAY-13 04.10.13.952000000 PM,"guestUser",02-MAY-13 04.10.13.952000000 PM
1277307,674905,"278","I",0,"guestUser",10-MAY-13 01.51.19.686000000 PM,"guestUser",10-MAY-13 01.51.19.686000000 PM
1277314,674517,"837I","I",0,"guestUser",07-MAY-13 09.01.15.935000000 AM,"guestUser",07-MAY-13 09.01.15.935000000 AM
1277314,674518,"837P","I",0,"guestUser",07-MAY-13 09.01.15.935000000 AM,"guestUser",07-MAY-13 09.01.15.935000000 AM
1277314,674519,"270","I",0,"guestUser",07-MAY-13 09.01.15.935000000 AM,"guestUser",07-MAY-13 09.01.15.935000000 AM
1277314,674520,"276","I",0,"guestUser",07-MAY-13 09.01.15.936000000 AM,"guestUser",07-MAY-13 09.01.15.936000000 AM
