"P_SYS_ID","P_EVENT_SK","P_EVENT_RSN_SK","P_EVENT_RSN_CD","L_HIBERNATE_VER_NUM","G_AUD_USER_ID","G_AUD_TS","G_AUD_ADD_USER_ID","G_AUD_ADD_TS"
1276762,415036,2090,"9903",0,"userID",08-APR-13 07.50.51.506000000 AM,"userID",08-APR-13 07.50.51.506000000 AM
1279324,458533,2126,"9910",0,"userID",13-SEP-13 08.13.11.638000000 AM,"userID",13-SEP-13 08.13.11.638000000 AM
1280486,464981,2147,"9902",0,"internalUser",09-OCT-13 08.20.48.365000000 AM,"internalUser",09-OCT-13 08.20.48.365000000 AM
1291912,796236,6716,"9903",0,"DMOCK",26-JAN-15 04.22.11.380000000 PM,"DMOCK",26-JAN-15 04.22.11.380000000 PM
1276882,465846,2175,"9903",0,"userID",11-OCT-13 09.53.14.656000000 AM,"userID",11-OCT-13 09.53.14.656000000 AM
1280632,465084,2151,"9902",0,"internalUser",09-OCT-13 09.35.45.043000000 AM,"internalUser",09-OCT-13 09.35.45.043000000 AM
1280633,465112,2153,"9902",0,"internalUser",09-OCT-13 09.51.14.037000000 AM,"internalUser",09-OCT-13 09.51.14.037000000 AM
1280630,465184,2165,"9902",0,"userID",09-OCT-13 10.43.09.644000000 AM,"userID",09-OCT-13 10.43.09.644000000 AM
1279005,494956,2432,"9902",0,"userID",13-JAN-14 02.49.35.546000000 PM,"userID",13-JAN-14 02.49.35.546000000 PM
1291611,794560,6749,"9903",0,"B-Prov-Letters+340692.00",27-JAN-15 09.52.59.635000000 AM,"PJHEID",27-JAN-15 09.52.59.635000000 AM
1276773,466842,2177,"9903",0,"userID",16-OCT-13 11.12.30.938000000 AM,"userID",16-OCT-13 11.12.30.938000000 AM
1280282,469640,2190,"9903",0,"userID",28-OCT-13 02.44.44.218000000 PM,"userID",28-OCT-13 02.44.44.218000000 PM
1277887,467914,2186,"9902",0,"userID",22-OCT-13 08.21.37.056000000 AM,"userID",22-OCT-13 08.21.37.056000000 AM
1278508,467915,2187,"9902",0,"userID",22-OCT-13 08.23.07.303000000 AM,"userID",22-OCT-13 08.23.07.303000000 AM
1277235,469794,2191,"9903",0,"userID",29-OCT-13 06.54.33.059000000 AM,"userID",29-OCT-13 06.54.33.059000000 AM
1278530,435553,2192,"9902",0,"B-Prov-Letters+7666394.00",29-OCT-13 08.59.46.683000000 AM,"INTERNALUSER",29-OCT-13 08.59.46.683000000 AM
1278530,469798,2193,"9902",0,"userID",29-OCT-13 09.02.04.972000000 AM,"userID",29-OCT-13 09.02.04.972000000 AM
1291299,796140,6709,"9903",0,"PJHEID",26-JAN-15 03.12.44.645000000 PM,"PJHEID",26-JAN-15 03.12.44.645000000 PM
1291764,796173,6711,"9902",0,"DMOCK",26-JAN-15 03.31.16.750000000 PM,"DMOCK",26-JAN-15 03.31.16.750000000 PM
1291742,796000,6713,"9902",0,"ESTHERSHAHPAR",26-JAN-15 03.41.38.902000000 PM,"ESTHERSHAHPAR",26-JAN-15 03.41.38.902000000 PM
1292179,796275,6718,"9902",0,"internalUser",26-JAN-15 05.14.20.660000000 PM,"internalUser",26-JAN-15 05.14.20.660000000 PM
1292181,796283,6722,"9902",0,"internalUser",26-JAN-15 05.25.13.930000000 PM,"internalUser",26-JAN-15 05.25.13.930000000 PM
1289479,796402,6725,"9903",0,"ESTHERSHAHPAR",26-JAN-15 06.52.44.348000000 PM,"ESTHERSHAHPAR",26-JAN-15 06.52.44.348000000 PM
1277213,472437,2270,"9910",0,"userID",07-NOV-13 10.46.00.343000000 AM,"userID",07-NOV-13 10.46.00.343000000 AM
1290000,797205,6780,"9902",0,"internalUser",27-JAN-15 04.36.56.729000000 PM,"internalUser",27-JAN-15 04.36.56.729000000 PM
1280483,477368,2294,"9945",0,"PJHEID",24-NOV-13 09.25.04.675000000 AM,"PJHEID",24-NOV-13 09.25.04.675000000 AM
1277580,478550,2297,"9902",0,"userID",26-NOV-13 05.30.06.312000000 PM,"userID",26-NOV-13 05.30.06.312000000 PM
