"P_SYS_ID","G_CNTY_CD","P_SCRN_LOCN_CD","B_SYS_ID","G_AUD_ADD_TS","G_AUD_ADD_USER_ID","G_AUD_TS","G_AUD_USER_ID","L_HIBERNATE_VER_NUM"
1277975,"999","Q",644581,12-JUN-13 11.57.50.030000000 AM,"guestUser",12-JUN-13 11.57.50.030000000 AM,"guestUser",17
1277638,"999","Q",640280,09-JUL-13 04.55.39.683000000 PM,"guestUser",09-JUL-13 04.55.39.683000000 PM,"guestUser",20
1278097,"999","Q",449128,16-JUL-13 07.30.04.995000000 AM,"guestUser",16-JUL-13 07.30.04.995000000 AM,"guestUser",14
1278097,"999","Q",190187,16-JUL-13 07.30.04.996000000 AM,"guestUser",16-JUL-13 07.30.04.996000000 AM,"guestUser",14
1276864,"999","Q",516251,17-APR-13 04.18.45.091000000 PM,"guestUser",17-APR-13 04.18.45.091000000 PM,"guestUser",10
1276864,"999","Q",16677,17-APR-13 04.18.45.091000000 PM,"guestUser",17-APR-13 04.18.45.091000000 PM,"guestUser",10
1276825,"999","Q",676632,28-MAY-13 02.04.55.015000000 PM,"guestUser",28-MAY-13 02.04.55.015000000 PM,"guestUser",9
1276825,"999","Q",667125,28-MAY-13 02.04.55.015000000 PM,"guestUser",28-MAY-13 02.04.55.015000000 PM,"guestUser",9
1277229,"999","Q",30637,24-JUN-13 11.44.28.443000000 AM,"guestUser",24-JUN-13 11.44.28.443000000 AM,"guestUser",26
1276986,"999","Q",108997,23-APR-13 05.06.58.835000000 PM,"guestUser",23-APR-13 05.06.58.835000000 PM,"guestUser",0
1276937,"999","Q",79708,24-APR-13 11.06.56.524000000 AM,"guestUser",24-APR-13 11.06.56.524000000 AM,"guestUser",25
1277036,"999","Q",474205,02-MAY-13 05.16.20.693000000 PM,"guestUser",02-MAY-13 05.16.20.693000000 PM,"guestUser",19
1277462,"999","Q",1932290491,13-MAY-13 09.10.31.742000000 AM,"guestUser",13-MAY-13 09.10.31.742000000 AM,"guestUser",5
1276930,"999","Q",611515,22-APR-13 10.55.35.291000000 AM,"guestUser",22-APR-13 10.55.35.291000000 AM,"guestUser",7
1277970,"999","Q",228177,11-JUN-13 07.25.39.085000000 AM,"guestUser",11-JUN-13 07.25.39.085000000 AM,"guestUser",0
1278104,"999","Q",561173,19-JUN-13 03.48.31.309000000 PM,"JMLAGRO",19-JUN-13 03.48.31.309000000 PM,"JMLAGRO",31
1278096,"999","Q",56196,19-JUN-13 03.13.28.159000000 PM,"guestUser",19-JUN-13 03.13.28.159000000 PM,"guestUser",11
1278695,"999","Q",595767,23-JUL-13 02.43.36.498000000 PM,"guestUser",23-JUL-13 02.43.36.498000000 PM,"guestUser",20
1276999,"999","Q",411858,29-APR-13 02.12.49.031000000 PM,"guestUser",29-APR-13 02.12.49.031000000 PM,"guestUser",25
1278990,"999","Q",214308,30-JUL-13 09.33.50.135000000 AM,"guestUser",30-JUL-13 09.33.50.135000000 AM,"guestUser",0
1278990,"999","Q",108840,30-JUL-13 09.33.50.135000000 AM,"guestUser",30-JUL-13 09.33.50.135000000 AM,"guestUser",0
1278990,"999","Q",112343,30-JUL-13 09.33.50.136000000 AM,"guestUser",30-JUL-13 09.33.50.136000000 AM,"guestUser",0
1278990,"999","Q",113942,30-JUL-13 09.33.50.136000000 AM,"guestUser",30-JUL-13 09.33.50.136000000 AM,"guestUser",0
1278990,"999","Q",112417,30-JUL-13 09.33.50.136000000 AM,"guestUser",30-JUL-13 09.33.50.136000000 AM,"guestUser",0
1278990,"999","Q",109793,30-JUL-13 09.33.50.136000000 AM,"guestUser",30-JUL-13 09.33.50.136000000 AM,"guestUser",0
1278990,"999","Q",113032,30-JUL-13 09.33.50.137000000 AM,"guestUser",30-JUL-13 09.33.50.137000000 AM,"guestUser",0
1278990,"999","Q",112014,30-JUL-13 09.33.50.137000000 AM,"guestUser",30-JUL-13 09.33.50.137000000 AM,"guestUser",0
1276842,"999","Q",290582,16-APR-13 11.55.36.422000000 AM,"guestUser",16-APR-13 11.55.36.422000000 AM,"guestUser",0
1278064,"002","Q",239905,19-JUN-13 01.02.51.413000000 PM,"guestUser",19-JUN-13 01.02.51.413000000 PM,"guestUser",18
1277241,"999","Q",40032,20-JUN-13 11.35.12.555000000 AM,"guestUser",20-JUN-13 11.35.12.555000000 AM,"guestUser",32
1278593,"999","Q",43278,17-JUL-13 12.52.21.495000000 PM,"guestUser",17-JUL-13 12.52.21.495000000 PM,"guestUser",0
1276841,"999","Q",326771,22-JUL-13 09.06.17.669000000 AM,"guestUser",22-JUL-13 09.06.17.669000000 AM,"guestUser",24
1276841,"999","Q",72147,22-JUL-13 09.06.17.669000000 AM,"guestUser",22-JUL-13 09.06.17.669000000 AM,"guestUser",24
1276806,"999","Q",34448,11-APR-13 10.07.26.707000000 AM,"guestUser",11-APR-13 10.07.26.707000000 AM,"guestUser",15
1276806,"999","Q",235813,11-APR-13 10.07.26.707000000 AM,"guestUser",11-APR-13 10.07.26.707000000 AM,"guestUser",15
1276872,"999","Q",370989,17-APR-13 09.23.50.052000000 PM,"guestUser",17-APR-13 09.23.50.052000000 PM,"guestUser",13
1276838,"999","Q",632383,16-APR-13 11.11.39.225000000 AM,"guestUser",16-APR-13 11.11.39.225000000 AM,"guestUser",10
1276980,"999","Q",108997,23-APR-13 05.32.15.732000000 PM,"guestUser",23-APR-13 05.32.15.732000000 PM,"guestUser",5
1277689,"999","Q",40032,21-MAY-13 11.18.28.736000000 AM,"guestUser",21-MAY-13 11.18.28.736000000 AM,"guestUser",0
1277377,"999","Q",34448,08-MAY-13 08.34.18.618000000 PM,"guestUser",08-MAY-13 08.34.18.618000000 PM,"guestUser",23
1277377,"999","Q",122030,08-MAY-13 08.34.18.618000000 PM,"guestUser",08-MAY-13 08.34.18.618000000 PM,"guestUser",23
1277377,"999","Q",235813,08-MAY-13 08.34.18.618000000 PM,"guestUser",08-MAY-13 08.34.18.618000000 PM,"guestUser",23
1277688,"999","Q",40032,21-MAY-13 11.11.14.420000000 AM,"guestUser",21-MAY-13 11.11.14.420000000 AM,"guestUser",0
1276910,"999","Q",43879,23-APR-13 02.16.23.958000000 PM,"guestUser",23-APR-13 02.16.23.958000000 PM,"guestUser",14
1277088,"999","Q",631717,30-APR-13 10.07.33.007000000 AM,"guestUser",30-APR-13 10.07.33.007000000 AM,"guestUser",0
1277016,"999","Q",89319,29-APR-13 12.13.31.847000000 PM,"guestUser",29-APR-13 12.13.31.847000000 PM,"guestUser",13
1277901,"999","Q",40032,04-JUN-13 09.17.53.418000000 AM,"guestUser",04-JUN-13 09.17.53.418000000 AM,"guestUser",0
1277089,"999","Q",631717,30-APR-13 10.11.08.317000000 AM,"guestUser",30-APR-13 10.11.08.317000000 AM,"guestUser",0
