"P_SYS_ID","P_NUM_BED_SK","P_BED_TY_CD","P_NUM_BED_BEG_DT","P_NUM_BED_END_DT","P_BED_NUM","L_HIBERNATE_VER_NUM","G_AUD_USER_ID","G_AUD_TS","G_AUD_ADD_USER_ID","G_AUD_ADD_TS"
1277716,31265,"IC",01-JAN-13,31-DEC-13,8,4,"guestUser",26-JUN-14 01.30.30.630000000 PM,"guestUser",16-MAY-13 01.43.57.233000000 PM
1277021,31655,"NF",01-OCT-13,31-DEC-99,195,9,"guestUser",30-JAN-14 11.42.20.670000000 AM,"guestUser",30-JAN-14 10.28.20.602000000 AM
1171520,31664,"SN",01-OCT-13,31-DEC-13,32,2,"JMLAGRO",24-FEB-15 08.23.27.600000000 AM,"JMLAGRO",06-FEB-14 11.39.47.504000000 AM
1283063,31681,"SN",01-SEP-11,31-OCT-15,35,15,"B-Term-Prov-Trigger_1033050.00",29-JUN-16 06.01.40.243149000 PM,"guestUser",03-MAR-14 01.42.30.916000000 PM
1276793,31235,"SN",02-OCT-95,31-DEC-99,63,36,"guestUser",23-OCT-13 01.11.40.600000000 PM,"guestUser",10-APR-13 11.26.14.757000000 AM
1277590,31263,"AC",01-MAY-79,31-DEC-99,225,12,"guestUser",13-AUG-13 02.53.29.252000000 PM,"guestUser",15-MAY-13 06.14.36.956000000 PM
1277608,31264,"AC",01-OCT-12,30-SEP-13,15,20,"guestUser",10-APR-14 01.43.00.588000000 PM,"guestUser",16-MAY-13 11.15.06.075000000 AM
1277908,31298,"AC",01-JAN-11,31-DEC-13,269,34,"guestUser",06-DEC-13 08.38.10.913000000 AM,"guestUser",04-JUN-13 04.10.29.243000000 PM
1281485,31591,"AC",25-JUL-13,31-DEC-15,25,17,"B-Term-Prov-Trigger_2359525.00",22-JAN-19 06.01.00.368478000 PM,"guestUser",13-DEC-13 09.52.29.927000000 AM
1154804,31594,"AC",01-OCT-13,31-AUG-13,16,4,"B-Term-Prov-Trigger_2957260.00",24-JAN-20 06.02.25.404200000 PM,"JMLAGRO",16-DEC-13 02.53.08.713000000 PM
1281518,31595,"AC",01-JAN-13,31-DEC-99,267,22,"guestUser",06-FEB-14 10.20.28.086000000 AM,"guestUser",17-DEC-13 11.20.57.318000000 AM
1277865,31285,"XX",01-JAN-12,02-OCT-13,15,27,"B-Term-Prov-Trigger_2957260.00",24-JAN-20 06.02.25.404200000 PM,"guestUser",29-MAY-13 02.26.20.087000000 PM
1277865,31286,"SW",01-JAN-12,02-OCT-13,15,27,"B-Term-Prov-Trigger_2957260.00",24-JAN-20 06.02.25.404200000 PM,"guestUser",29-MAY-13 02.26.20.087000000 PM
1277865,31287,"AC",01-JAN-12,02-OCT-13,15,27,"B-Term-Prov-Trigger_2957260.00",24-JAN-20 06.02.25.404200000 PM,"guestUser",29-MAY-13 02.26.20.088000000 PM
1277486,31318,"XX",01-JAN-49,31-DEC-99,25,47,"guestUser",05-MAR-14 04.48.48.323000000 PM,"guestUser",26-JUN-13 03.35.46.750000000 PM
