"P_SYS_ID","P_NW_PART_SK","R_NW_ID","P_NW_BEG_DT","P_NW_END_DT","P_NW_STAT_CD","P_NWST_RSN_CD","L_HIBERNATE_VER_NUM","G_AUD_USER_ID","G_AUD_TS","G_AUD_ADD_USER_ID","G_AUD_ADD_TS"
1000036,1000216,"ATYPICAL",19-MAR-11,04-OCT-15,"00","",0,"CR1906_SET_ENDDT_4OCT15",28-MAR-13 03.57.29.000000000 AM,"Provider Conversion",28-MAR-13 03.57.29.000000000 AM
1000036,1000217,"CSHS",19-MAR-11,04-OCT-15,"00","",0,"CR1906_SET_ENDDT_4OCT15",28-MAR-13 03.57.29.000000000 AM,"Provider Conversion",28-MAR-13 03.57.29.000000000 AM
1000036,1000218,"DDS",19-MAR-11,04-OCT-15,"00","",0,"CR1906_SET_ENDDT_4OCT15",28-MAR-13 03.57.29.000000000 AM,"Provider Conversion",28-MAR-13 03.57.29.000000000 AM
1000036,1000219,"DOCR",19-MAR-11,04-OCT-15,"00","",0,"CR1906_SET_ENDDT_4OCT15",28-MAR-13 03.57.29.000000000 AM,"Provider Conversion",28-MAR-13 03.57.29.000000000 AM
1000036,1000220,"MCAID",19-MAR-11,04-OCT-15,"00","",0,"CR1906_SET_ENDDT_4OCT15",28-MAR-13 03.57.29.000000000 AM,"Provider Conversion",28-MAR-13 03.57.29.000000000 AM
1162299,1286044,"DOCR",11-MAR-05,14-JUL-21,"00","",1,"B-Term-Prov-Trigger_3859822.00",14-JUL-21 06.03.03.309638000 PM,"JMLAGRO",17-AUG-15 02.29.22.635000000 PM
1000037,1000222,"ATYPICAL",18-OCT-10,31-DEC-11,"00","",0,"Provider Conversion",28-MAR-13 03.57.29.000000000 AM,"Provider Conversion",28-MAR-13 03.57.29.000000000 AM
1000037,1000223,"CSHS",18-OCT-10,31-DEC-11,"00","",0,"Provider Conversion",28-MAR-13 03.57.29.000000000 AM,"Provider Conversion",28-MAR-13 03.57.29.000000000 AM
1000037,1000224,"DDS",18-OCT-10,31-DEC-11,"00","",0,"Provider Conversion",28-MAR-13 03.57.29.000000000 AM,"Provider Conversion",28-MAR-13 03.57.29.000000000 AM
1000037,1000225,"DOCR",18-OCT-10,31-DEC-11,"00","",0,"Provider Conversion",28-MAR-13 03.57.29.000000000 AM,"Provider Conversion",28-MAR-13 03.57.29.000000000 AM
1000037,1000226,"MCAID",18-OCT-10,31-DEC-11,"00","",0,"Provider Conversion",28-MAR-13 03.57.29.000000000 AM,"Provider Conversion",28-MAR-13 03.57.29.000000000 AM
1162299,1286045,"CSHS",11-MAR-05,31-DEC-99,"00"," ",2,"KAMELTZER",03-OCT-21 01.03.41.835000000 PM,"JMLAGRO",17-AUG-15 02.29.22.636000000 PM
1000038,1000228,"ATYPICAL",19-OCT-10,31-JUL-13,"00","",0,"Provider Conversion",28-MAR-13 03.57.29.000000000 AM,"Provider Conversion",28-MAR-13 03.57.29.000000000 AM
