"P_SYS_ID","P_OFC_HRS_SK","P_DAY_OF_WK_CD","L_HIBERNATE_VER_NUM","G_AUD_USER_ID","G_AUD_TS","G_AUD_ADD_USER_ID","G_AUD_ADD_TS","P_OFC_CLOSE_TM_TEXT","P_OFC_OPEN_TM_TEXT"
1276994,6589,"1",12,"JMLAGRO",16-OCT-13 11.59.46.656000000 AM,"guestUser",24-APR-13 11.05.23.876000000 AM,"12:00am","12:00am"
1276994,6590,"2",12,"JMLAGRO",16-OCT-13 11.59.46.657000000 AM,"guestUser",24-APR-13 11.05.23.876000000 AM,"12:00am","12:00am"
1276840,17550,"1",11,"JMLAGRO",06-FEB-14 11.39.17.271000000 AM,"guestUser",22-MAY-13 12.35.29.665000000 PM,"12:00am","12:00am"
1276840,17551,"2",11,"JMLAGRO",06-FEB-14 11.39.17.273000000 AM,"guestUser",22-MAY-13 12.35.29.666000000 PM,"12:00am","12:00am"
1276840,17552,"3",11,"JMLAGRO",06-FEB-14 11.39.17.272000000 AM,"guestUser",22-MAY-13 12.35.29.666000000 PM,"12:00am","12:00am"
1276840,17553,"4",11,"JMLAGRO",06-FEB-14 11.39.17.272000000 AM,"guestUser",22-MAY-13 12.35.29.666000000 PM,"12:00am","12:00am"
1276994,6591,"3",12,"JMLAGRO",16-OCT-13 11.59.46.657000000 AM,"guestUser",24-APR-13 11.05.23.877000000 AM,"12:00am","12:00am"
1276994,6592,"4",12,"JMLAGRO",16-OCT-13 11.59.46.657000000 AM,"guestUser",24-APR-13 11.05.23.877000000 AM,"12:00am","12:00am"
1276994,6593,"5",12,"JMLAGRO",16-OCT-13 11.59.46.657000000 AM,"guestUser",24-APR-13 11.05.23.877000000 AM,"12:00am","12:00am"
1276994,6594,"6",12,"JMLAGRO",16-OCT-13 11.59.46.656000000 AM,"guestUser",24-APR-13 11.05.23.877000000 AM,"12:00am","12:00am"
1276994,6595,"7",12,"JMLAGRO",16-OCT-13 11.59.46.658000000 AM,"guestUser",24-APR-13 11.05.23.878000000 AM,"12:00am","12:00am"
1276840,17554,"5",11,"JMLAGRO",06-FEB-14 11.39.17.272000000 AM,"guestUser",22-MAY-13 12.35.29.666000000 PM,"12:00am","12:00am"
1277493,14498,"1",12,"PJHEID",09-FEB-14 09.44.45.134000000 PM,"guestUser",13-MAY-13 04.59.44.801000000 PM,"6:00pm","8:30am"
1277493,14499,"2",12,"PJHEID",09-FEB-14 09.44.45.137000000 PM,"guestUser",13-MAY-13 04.59.44.802000000 PM,"6:00pm","8:30am"
1277493,14500,"3",12,"PJHEID",09-FEB-14 09.44.45.136000000 PM,"guestUser",13-MAY-13 04.59.44.802000000 PM,"6:00pm","8:30am"
1277493,14501,"4",12,"PJHEID",09-FEB-14 09.44.45.136000000 PM,"guestUser",13-MAY-13 04.59.44.803000000 PM,"6:00pm","8:30am"
1277493,14502,"5",12,"PJHEID",09-FEB-14 09.44.45.135000000 PM,"guestUser",13-MAY-13 04.59.44.803000000 PM,"6:00pm","8:30am"
1277001,6765,"1",18,"JMLAGRO",16-DEC-13 11.08.27.961000000 AM,"guestUser",24-APR-13 01.39.38.804000000 PM,"5:00pm","8:00am"
1277001,6766,"2",18,"JMLAGRO",16-DEC-13 11.08.27.963000000 AM,"guestUser",24-APR-13 01.39.38.805000000 PM,"5:00pm","8:00am"
1277001,6767,"3",18,"JMLAGRO",16-DEC-13 11.08.27.963000000 AM,"guestUser",24-APR-13 01.39.38.806000000 PM,"5:00pm","8:00am"
1277001,6768,"4",18,"JMLAGRO",16-DEC-13 11.08.27.962000000 AM,"guestUser",24-APR-13 01.39.38.806000000 PM,"5:00pm","8:00am"
1277001,6769,"5",18,"JMLAGRO",16-DEC-13 11.08.27.962000000 AM,"guestUser",24-APR-13 01.39.38.806000000 PM,"5:00pm","8:00am"
1277072,10150,"1",5,"PJHEID",23-OCT-13 10.49.53.642000000 AM,"guestUser",30-APR-13 11.27.36.495000000 AM,"5:00pm","8:00am"
1277072,10151,"2",5,"PJHEID",23-OCT-13 10.49.53.641000000 AM,"guestUser",30-APR-13 11.27.36.495000000 AM,"5:00pm","8:00am"
1277072,10152,"3",5,"PJHEID",23-OCT-13 10.49.53.641000000 AM,"guestUser",30-APR-13 11.27.36.496000000 AM,"5:00pm","8:00am"
1277072,10153,"4",5,"PJHEID",23-OCT-13 10.49.53.641000000 AM,"guestUser",30-APR-13 11.27.36.496000000 AM,"5:00pm","8:00am"
1277541,22593,"1",11,"PJHEID",14-OCT-13 10.38.42.584000000 AM,"guestUser",06-JUN-13 04.07.02.872000000 PM,"5:00pm","9:00am"
1277004,6845,"1",2,"KWOODALL",01-APR-14 10.47.12.819000000 AM,"guestUser",24-APR-13 02.10.23.990000000 PM,"6:30pm","8:00am"
1277004,6846,"2",2,"KWOODALL",01-APR-14 10.47.12.819000000 AM,"guestUser",24-APR-13 02.10.23.991000000 PM,"5:00pm","8:00am"
1277004,6847,"3",2,"KWOODALL",01-APR-14 10.47.12.818000000 AM,"guestUser",24-APR-13 02.10.23.991000000 PM,"5:00pm","8:00am"
1277004,6848,"4",2,"KWOODALL",01-APR-14 10.47.12.819000000 AM,"guestUser",24-APR-13 02.10.23.991000000 PM,"5:00pm","8:00am"
1277004,6849,"5",2,"KWOODALL",01-APR-14 10.47.12.819000000 AM,"guestUser",24-APR-13 02.10.23.991000000 PM,"2:00pm","8:00am"
1276868,22545,"1",16,"JMLAGRO",26-AUG-14 02.36.53.244000000 PM,"guestUser",06-JUN-13 01.37.04.256000000 PM,"5:00pm","7:00am"
1276868,22546,"2",16,"JMLAGRO",26-AUG-14 02.36.53.244000000 PM,"guestUser",06-JUN-13 01.37.04.258000000 PM,"5:00pm","7:00am"
1276868,22547,"3",16,"JMLAGRO",26-AUG-14 02.36.53.244000000 PM,"guestUser",06-JUN-13 01.37.04.258000000 PM,"5:00pm","7:00am"
1276868,22548,"4",16,"JMLAGRO",26-AUG-14 02.36.53.243000000 PM,"guestUser",06-JUN-13 01.37.04.258000000 PM,"5:00pm","7:00am"
1276868,22549,"5",16,"JMLAGRO",26-AUG-14 02.36.53.243000000 PM,"guestUser",06-JUN-13 01.37.04.258000000 PM,"5:00pm","7:00am"
1276976,14534,"4",9,"PJHEID",06-JAN-14 11.36.09.349000000 PM,"guestUser",14-MAY-13 09.33.54.206000000 AM,"4:30pm","8:00am"
1276976,14535,"5",9,"PJHEID",06-JAN-14 11.36.09.348000000 PM,"guestUser",14-MAY-13 09.33.54.206000000 AM,"4:00pm","8:00am"
1277497,14556,"1",14,"PJHEID",09-FEB-14 04.48.29.684000000 PM,"guestUser",14-MAY-13 09.41.00.270000000 AM,"8:00pm","9:00am"
1277497,14557,"2",14,"PJHEID",09-FEB-14 04.48.29.683000000 PM,"guestUser",14-MAY-13 09.41.00.271000000 AM,"8:00pm","9:00am"
1277497,14558,"3",14,"PJHEID",09-FEB-14 04.48.29.683000000 PM,"guestUser",14-MAY-13 09.41.00.271000000 AM,"8:00pm","9:00am"
1277541,22594,"2",11,"PJHEID",14-OCT-13 10.38.42.584000000 AM,"guestUser",06-JUN-13 04.07.02.872000000 PM,"5:00pm","9:00am"
1277541,22595,"4",11,"PJHEID",14-OCT-13 10.38.42.586000000 AM,"guestUser",06-JUN-13 04.07.02.872000000 PM,"5:00pm","9:00am"
1277541,22596,"5",11,"PJHEID",14-OCT-13 10.38.42.585000000 AM,"guestUser",06-JUN-13 04.07.02.873000000 PM,"12:00pm","9:00am"
1278837,38087,"1",3,"JOYSPEZIALE",28-MAR-14 07.31.52.802000000 PM,"guestUser",25-JUL-13 11.32.20.947000000 AM,"5:00pm","7:00am"
1278837,38088,"2",3,"JOYSPEZIALE",28-MAR-14 07.31.52.802000000 PM,"guestUser",25-JUL-13 11.32.20.947000000 AM,"5:00pm","7:00am"
1278837,38089,"3",3,"JOYSPEZIALE",28-MAR-14 07.31.52.801000000 PM,"guestUser",25-JUL-13 11.32.20.947000000 AM,"5:00pm","7:00am"
1278837,38090,"4",3,"JOYSPEZIALE",28-MAR-14 07.31.52.801000000 PM,"guestUser",25-JUL-13 11.32.20.948000000 AM,"5:00pm","7:00am"
1277044,8774,"1",9,"JMLAGRO",15-OCT-13 02.37.49.763000000 PM,"guestUser",26-APR-13 10.50.05.832000000 AM,"6:00pm","7:00am"
1277044,8775,"2",9,"JMLAGRO",15-OCT-13 02.37.49.762000000 PM,"guestUser",26-APR-13 10.50.05.832000000 AM,"6:00pm","7:00am"
1277044,8776,"3",9,"JMLAGRO",15-OCT-13 02.37.49.762000000 PM,"guestUser",26-APR-13 10.50.05.834000000 AM,"6:00pm","7:00am"
1277044,8777,"4",9,"JMLAGRO",15-OCT-13 02.37.49.762000000 PM,"guestUser",26-APR-13 10.50.05.834000000 AM,"6:00pm","7:00am"
1277044,8778,"5",9,"JMLAGRO",15-OCT-13 02.37.49.762000000 PM,"guestUser",26-APR-13 10.50.05.834000000 AM,"6:00pm","7:00am"
1277002,9897,"1",33,"JMLAGRO",19-DEC-13 09.36.49.444000000 AM,"guestUser",30-APR-13 08.43.36.606000000 AM,"5:00pm","8:00am"
1277002,9898,"2",33,"JMLAGRO",19-DEC-13 09.36.49.443000000 AM,"guestUser",30-APR-13 08.43.36.606000000 AM,"5:00pm","8:00am"
1277002,9899,"3",33,"JMLAGRO",19-DEC-13 09.36.49.443000000 AM,"guestUser",30-APR-13 08.43.36.606000000 AM,"5:00pm","8:00am"
1277002,9900,"4",33,"JMLAGRO",19-DEC-13 09.36.49.442000000 AM,"guestUser",30-APR-13 08.43.36.606000000 AM,"5:00pm","8:00am"
1277002,9901,"5",33,"JMLAGRO",19-DEC-13 09.36.49.445000000 AM,"guestUser",30-APR-13 08.43.36.607000000 AM,"5:00pm","8:00am"
1276939,9695,"1",10,"JMLAGRO",13-DEC-13 01.21.48.361000000 PM,"guestUser",29-APR-13 02.55.39.370000000 PM,"8:00pm","9:00am"
1276939,9696,"2",10,"JMLAGRO",13-DEC-13 01.21.48.361000000 PM,"guestUser",29-APR-13 02.55.39.372000000 PM,"8:00pm","9:00am"
1276939,9697,"3",10,"JMLAGRO",13-DEC-13 01.21.48.363000000 PM,"guestUser",29-APR-13 02.55.39.372000000 PM,"8:00pm","9:00am"
1278383,35714,"1",21,"JMLAGRO",08-JUL-15 11.18.59.988000000 AM,"guestUser",22-JUL-13 11.13.35.955000000 AM,"5:00pm","8:00am"
1278383,35715,"2",21,"JMLAGRO",08-JUL-15 11.18.59.987000000 AM,"guestUser",22-JUL-13 11.13.35.956000000 AM,"5:00pm","8:00am"
1278383,35716,"3",21,"JMLAGRO",08-JUL-15 11.18.59.987000000 AM,"guestUser",22-JUL-13 11.13.35.956000000 AM,"5:00pm","8:00am"
1276976,14531,"1",9,"PJHEID",06-JAN-14 11.36.09.348000000 PM,"guestUser",14-MAY-13 09.33.54.204000000 AM,"4:30pm","8:00am"
1276976,14532,"2",9,"PJHEID",06-JAN-14 11.36.09.349000000 PM,"guestUser",14-MAY-13 09.33.54.204000000 AM,"4:30pm","8:00am"
1276976,14533,"3",9,"PJHEID",06-JAN-14 11.36.09.349000000 PM,"guestUser",14-MAY-13 09.33.54.206000000 AM,"4:30pm","8:00am"
1277497,14559,"4",14,"PJHEID",09-FEB-14 04.48.29.684000000 PM,"guestUser",14-MAY-13 09.41.00.271000000 AM,"8:00pm","9:00am"
1277497,14560,"5",14,"PJHEID",09-FEB-14 04.48.29.684000000 PM,"guestUser",14-MAY-13 09.41.00.272000000 AM,"8:00pm","9:00am"
1278383,35717,"4",21,"JMLAGRO",08-JUL-15 11.18.59.987000000 AM,"guestUser",22-JUL-13 11.13.35.956000000 AM,"5:00pm","8:00am"
1277072,10154,"5",5,"PJHEID",23-OCT-13 10.49.53.642000000 AM,"guestUser",30-APR-13 11.27.36.496000000 AM,"5:00pm","8:00am"
1276840,17555,"6",11,"JMLAGRO",06-FEB-14 11.39.17.271000000 AM,"guestUser",22-MAY-13 12.35.29.667000000 PM,"12:00am","12:00am"
1276840,17556,"7",11,"JMLAGRO",06-FEB-14 11.39.17.271000000 AM,"guestUser",22-MAY-13 12.35.29.667000000 PM,"12:00am","12:00am"
1277090,10176,"1",11,"JMLAGRO",09-AUG-13 09.27.20.805000000 AM,"guestUser",30-APR-13 12.41.43.449000000 PM,"12:00am","12:00am"
1277090,10177,"2",11,"JMLAGRO",09-AUG-13 09.27.20.804000000 AM,"guestUser",30-APR-13 12.41.43.449000000 PM,"12:00am","12:00am"
1278383,35718,"5",21,"JMLAGRO",08-JUL-15 11.18.59.988000000 AM,"guestUser",22-JUL-13 11.13.35.957000000 AM,"5:00pm","8:00am"
1278837,38091,"5",3,"JOYSPEZIALE",28-MAR-14 07.31.52.800000000 PM,"guestUser",25-JUL-13 11.32.20.949000000 AM,"4:00pm","7:00am"
1278654,35749,"1",19,"JOYSPEZIALE",05-MAR-14 04.30.46.031000000 PM,"guestUser",22-JUL-13 02.02.10.597000000 PM,"5:00pm","8:00am"
1278654,35750,"2",19,"JOYSPEZIALE",05-MAR-14 04.30.46.031000000 PM,"guestUser",22-JUL-13 02.02.10.598000000 PM,"5:00pm","8:00am"
1278654,35751,"3",19,"JOYSPEZIALE",05-MAR-14 04.30.46.032000000 PM,"guestUser",22-JUL-13 02.02.10.600000000 PM,"5:00pm","8:00am"
1278654,35752,"4",19,"JOYSPEZIALE",05-MAR-14 04.30.46.032000000 PM,"guestUser",22-JUL-13 02.02.10.601000000 PM,"5:00pm","8:00am"
1276939,9698,"4",10,"JMLAGRO",13-DEC-13 01.21.48.362000000 PM,"guestUser",29-APR-13 02.55.39.372000000 PM,"8:00pm","9:00am"
1276939,9699,"5",10,"JMLAGRO",13-DEC-13 01.21.48.362000000 PM,"guestUser",29-APR-13 02.55.39.373000000 PM,"8:00pm","9:00am"
1276939,9700,"6",10,"JMLAGRO",13-DEC-13 01.21.48.361000000 PM,"guestUser",29-APR-13 02.55.39.373000000 PM,"5:00pm","9:00am"
