"P_SYS_ID","G_CNTY_CD","P_SCRN_LOCN_CD","L_HIBERNATE_VER_NUM","G_AUD_ADD_TS","G_AUD_ADD_USER_ID","G_AUD_TS","G_AUD_USER_ID"
1279960,"008","S",0,21-JAN-14 11.00.38.811000000 AM,"PJHEID",21-JAN-14 11.00.38.811000000 AM,"PJHEID"
1286426,"008","Q",0,14-MAY-14 11.18.44.698000000 AM,"KRBACKMAN",14-MAY-14 11.18.44.698000000 AM,"KRBACKMAN"
1282325,"999","Q",0,27-JAN-14 03.35.08.890000000 PM,"KRBACKMAN",27-JAN-14 03.35.08.890000000 PM,"KRBACKMAN"
1281793,"051","Q",0,09-JAN-14 03.37.53.108000000 PM,"SLSCHAAF",09-JAN-14 03.37.53.108000000 PM,"SLSCHAAF"
1286426,"030","Q",0,14-MAY-14 11.18.44.699000000 AM,"KRBACKMAN",14-MAY-14 11.18.44.699000000 AM,"KRBACKMAN"
1281804,"024","Q",0,09-JAN-14 04.43.05.084000000 PM,"KRBACKMAN",09-JAN-14 04.43.05.084000000 PM,"KRBACKMAN"
1281804,"026","Q",0,09-JAN-14 04.43.05.084000000 PM,"KRBACKMAN",09-JAN-14 04.43.05.084000000 PM,"KRBACKMAN"
1285420,"028","S",0,14-MAY-14 11.38.07.048000000 AM,"KWOODALL",14-MAY-14 11.38.07.048000000 AM,"KWOODALL"
1282361,"009","Q",0,28-JAN-14 12.09.09.309000000 PM,"KRBACKMAN",28-JAN-14 12.09.09.309000000 PM,"KRBACKMAN"
1286424,"008","Q",0,14-MAY-14 11.32.13.223000000 AM,"KRBACKMAN",14-MAY-14 11.32.13.223000000 AM,"KRBACKMAN"
1279657,"036","S",0,14-MAY-14 01.01.06.586000000 PM,"JLWILKE",14-MAY-14 01.01.06.586000000 PM,"JLWILKE"
1279657,"050","S",0,14-MAY-14 01.01.06.580000000 PM,"JLWILKE",14-MAY-14 01.01.06.580000000 PM,"JLWILKE"
1279657,"049","S",0,14-MAY-14 01.01.06.581000000 PM,"JLWILKE",14-MAY-14 01.01.06.581000000 PM,"JLWILKE"
1279657,"005","S",0,14-MAY-14 01.01.06.581000000 PM,"JLWILKE",14-MAY-14 01.01.06.581000000 PM,"JLWILKE"
1279960,"033","S",0,21-JAN-14 11.00.38.812000000 AM,"PJHEID",21-JAN-14 11.00.38.812000000 AM,"PJHEID"
1282384,"030","Q",0,28-JAN-14 03.25.46.541000000 PM,"KRBACKMAN",28-JAN-14 03.25.46.541000000 PM,"KRBACKMAN"
1279657,"015","S",0,14-MAY-14 01.01.06.582000000 PM,"JLWILKE",14-MAY-14 01.01.06.582000000 PM,"JLWILKE"
1279657,"025","S",0,14-MAY-14 01.01.06.582000000 PM,"JLWILKE",14-MAY-14 01.01.06.582000000 PM,"JLWILKE"
1279657,"035","S",0,14-MAY-14 01.01.06.583000000 PM,"JLWILKE",14-MAY-14 01.01.06.583000000 PM,"JLWILKE"
1285420,"033","S",0,14-MAY-14 11.38.07.048000000 AM,"KWOODALL",14-MAY-14 11.38.07.048000000 AM,"KWOODALL"
1285420,"008","S",0,14-MAY-14 11.38.07.049000000 AM,"KWOODALL",14-MAY-14 11.38.07.049000000 AM,"KWOODALL"
1285420,"019","S",0,14-MAY-14 11.38.07.049000000 AM,"KWOODALL",14-MAY-14 11.38.07.049000000 AM,"KWOODALL"
1285420,"030","S",0,14-MAY-14 11.38.07.049000000 AM,"KWOODALL",14-MAY-14 11.38.07.049000000 AM,"KWOODALL"
1285420,"013","S",0,14-MAY-14 11.38.07.049000000 AM,"KWOODALL",14-MAY-14 11.38.07.049000000 AM,"KWOODALL"
1285420,"029","S",0,14-MAY-14 11.38.07.050000000 AM,"KWOODALL",14-MAY-14 11.38.07.050000000 AM,"KWOODALL"
1279657,"045","S",0,14-MAY-14 01.01.06.583000000 PM,"JLWILKE",14-MAY-14 01.01.06.583000000 PM,"JLWILKE"
1279657,"001","S",0,14-MAY-14 01.01.06.583000000 PM,"JLWILKE",14-MAY-14 01.01.06.583000000 PM,"JLWILKE"
1279657,"011","S",0,14-MAY-14 01.01.06.584000000 PM,"JLWILKE",14-MAY-14 01.01.06.584000000 PM,"JLWILKE"
1279657,"021","S",0,14-MAY-14 01.01.06.584000000 PM,"JLWILKE",14-MAY-14 01.01.06.584000000 PM,"JLWILKE"
1279657,"031","S",0,14-MAY-14 01.01.06.584000000 PM,"JLWILKE",14-MAY-14 01.01.06.584000000 PM,"JLWILKE"
1282362,"999","Q",0,28-JAN-14 12.18.38.757000000 PM,"KRBACKMAN",28-JAN-14 12.18.38.757000000 PM,"KRBACKMAN"
