"P_PROV_HRARCHY_NUM","P_PROV_HRARCHY_QLFR_CD","P_PROV_HRARCHY_DESC","L_HIBERNATE_VER_NUM","G_AUD_USER_ID","G_AUD_TS","G_AUD_ADD_USER_ID","G_AUD_ADD_TS"
1,"1D","Medicaid Provider Number",0,"wf_ND_MC_PRV_HRARCHYV1",05-MAY-15 04.56.38.000000000 AM,"wf_ND_MC_PRV_HRARCHYV1",05-MAY-15 04.56.38.000000000 AM
2,"XX","NPI",0,"wf_ND_MC_PRV_HRARCHYV1",05-MAY-15 04.56.38.000000000 AM,"wf_ND_MC_PRV_HRARCHYV1",05-MAY-15 04.56.38.000000000 AM
3,"1C","Medicare Provider Number",0,"wf_ND_MC_PRV_HRARCHYV1",05-MAY-15 04.56.38.000000000 AM,"wf_ND_MC_PRV_HRARCHYV1",05-MAY-15 04.56.38.000000000 AM
4,"TJ","Federal Taxpayer's Identification Number",0,"wf_ND_MC_PRV_HRARCHYV1",05-MAY-15 04.56.38.000000000 AM,"wf_ND_MC_PRV_HRARCHYV1",05-MAY-15 04.56.38.000000000 AM
5,"07","NCPDP",0,"wf_ND_MC_PRV_HRARCHYV1",05-MAY-15 04.56.38.000000000 AM,"wf_ND_MC_PRV_HRARCHYV1",05-MAY-15 04.56.38.000000000 AM
6,"1G","Provider UPIN Number",0,"wf_ND_MC_PRV_HRARCHYV1",05-MAY-15 04.56.38.000000000 AM,"wf_ND_MC_PRV_HRARCHYV1",05-MAY-15 04.56.38.000000000 AM
7,"1A","Blue Cross Provider Number",0,"wf_ND_MC_PRV_HRARCHYV1",05-MAY-15 04.56.38.000000000 AM,"wf_ND_MC_PRV_HRARCHYV1",05-MAY-15 04.56.38.000000000 AM
8,"1B","Blue Shield Provider Number",0,"wf_ND_MC_PRV_HRARCHYV1",05-MAY-15 04.56.38.000000000 AM,"wf_ND_MC_PRV_HRARCHYV1",05-MAY-15 04.56.38.000000000 AM
9,"1H","CHAMPUS Identification Number",0,"wf_ND_MC_PRV_HRARCHYV1",05-MAY-15 04.56.38.000000000 AM,"wf_ND_MC_PRV_HRARCHYV1",05-MAY-15 04.56.38.000000000 AM
10,"FH","Clinic Number",0,"wf_ND_MC_PRV_HRARCHYV1",05-MAY-15 04.56.38.000000000 AM,"wf_ND_MC_PRV_HRARCHYV1",05-MAY-15 04.56.38.000000000 AM
11,"12","DEA",0,"wf_ND_MC_PRV_HRARCHYV1",05-MAY-15 04.56.38.000000000 AM,"wf_ND_MC_PRV_HRARCHYV1",05-MAY-15 04.56.38.000000000 AM
12,"1E","Dentist License Number",0,"wf_ND_MC_PRV_HRARCHYV1",05-MAY-15 04.56.38.000000000 AM,"wf_ND_MC_PRV_HRARCHYV1",05-MAY-15 04.56.38.000000000 AM
13,"EI","Employer's Identification Number",0,"wf_ND_MC_PRV_HRARCHYV1",05-MAY-15 04.56.38.000000000 AM,"wf_ND_MC_PRV_HRARCHYV1",05-MAY-15 04.56.38.000000000 AM
15,"1J","Facility ID Number",0,"wf_ND_MC_PRV_HRARCHYV1",05-MAY-15 04.56.38.000000000 AM,"wf_ND_MC_PRV_HRARCHYV1",05-MAY-15 04.56.38.000000000 AM
16,"BQ","Health Maintenance Organization Code Num",0,"wf_ND_MC_PRV_HRARCHYV1",05-MAY-15 04.56.38.000000000 AM,"wf_ND_MC_PRV_HRARCHYV1",05-MAY-15 04.56.38.000000000 AM
