"P_SYS_ID","P_QSTNR_SECT_CD","P_QSTNR_SEQ_NUM","P_QSP_QSTNR_INITIALS_TEXT","G_AUD_USER_ID","G_AUD_TS","G_AUD_ADD_USER_ID","G_AUD_ADD_TS","L_HIBERNATE_VER_NUM"
1276787,"1",9,"MA","KRBACKMAN",05-DEC-13 09.18.48.394000000 AM,"guestUser",10-APR-13 10.31.03.970000000 AM,5
1276787,"1",14,"MA","KRBACKMAN",05-DEC-13 09.18.48.394000000 AM,"guestUser",10-APR-13 10.31.03.970000000 AM,5
1276787,"1",8,"MA","KRBACKMAN",05-DEC-13 09.18.48.395000000 AM,"guestUser",10-APR-13 10.31.03.970000000 AM,5
1276787,"1",13,"MA","KRBACKMAN",05-DEC-13 09.18.48.395000000 AM,"guestUser",10-APR-13 10.31.03.971000000 AM,5
1276787,"1",7,"MA","KRBACKMAN",05-DEC-13 09.18.48.395000000 AM,"guestUser",10-APR-13 10.31.03.971000000 AM,5
1276787,"1",12,"MA","KRBACKMAN",05-DEC-13 09.18.48.395000000 AM,"guestUser",10-APR-13 10.31.03.971000000 AM,5
1276787,"1",6,"MA","KRBACKMAN",05-DEC-13 09.18.48.395000000 AM,"guestUser",10-APR-13 10.31.03.971000000 AM,5
1276787,"1",11,"MA","KRBACKMAN",05-DEC-13 09.18.48.395000000 AM,"guestUser",10-APR-13 10.31.03.972000000 AM,5
1276787,"1",5,"MA","KRBACKMAN",05-DEC-13 09.18.48.395000000 AM,"guestUser",10-APR-13 10.31.03.972000000 AM,5
1276787,"1",10,"MA","KRBACKMAN",05-DEC-13 09.18.48.395000000 AM,"guestUser",10-APR-13 10.31.03.972000000 AM,5
1276787,"1",4,"MA","KRBACKMAN",05-DEC-13 09.18.48.395000000 AM,"guestUser",10-APR-13 10.31.03.972000000 AM,5
1276787,"1",3,"MA","KRBACKMAN",05-DEC-13 09.18.48.395000000 AM,"guestUser",10-APR-13 10.31.03.972000000 AM,5
1276787,"1",2,"MA","KRBACKMAN",05-DEC-13 09.18.48.395000000 AM,"guestUser",10-APR-13 10.31.03.973000000 AM,5
1276787,"1",1,"MA","KRBACKMAN",05-DEC-13 09.18.48.395000000 AM,"guestUser",10-APR-13 10.31.03.973000000 AM,5
1276787,"1",15,"MA","KRBACKMAN",05-DEC-13 09.18.48.395000000 AM,"guestUser",10-APR-13 10.31.03.973000000 AM,5
1276795,"2",9,"KA","NMAIER",10-APR-13 03.11.49.817000000 PM,"guestUser",10-APR-13 11.39.11.408000000 AM,4
1276795,"2",8,"KA","NMAIER",10-APR-13 03.11.49.817000000 PM,"guestUser",10-APR-13 11.39.11.408000000 AM,4
1276795,"2",13,"KA","NMAIER",10-APR-13 03.11.49.817000000 PM,"guestUser",10-APR-13 11.39.11.408000000 AM,4
1276795,"2",7,"KA","NMAIER",10-APR-13 03.11.49.817000000 PM,"guestUser",10-APR-13 11.39.11.409000000 AM,4
1276795,"2",12,"KA","NMAIER",10-APR-13 03.11.49.817000000 PM,"guestUser",10-APR-13 11.39.11.409000000 AM,4
1276795,"2",6,"KA","NMAIER",10-APR-13 03.11.49.817000000 PM,"guestUser",10-APR-13 11.39.11.409000000 AM,4
1276795,"2",11,"KA","NMAIER",10-APR-13 03.11.49.817000000 PM,"guestUser",10-APR-13 11.39.11.409000000 AM,4
1276795,"2",5,"KA","NMAIER",10-APR-13 03.11.49.817000000 PM,"guestUser",10-APR-13 11.39.11.410000000 AM,4
1276795,"2",10,"KA","NMAIER",10-APR-13 03.11.49.817000000 PM,"guestUser",10-APR-13 11.39.11.410000000 AM,4
1276795,"2",4,"KA","NMAIER",10-APR-13 03.11.49.817000000 PM,"guestUser",10-APR-13 11.39.11.410000000 AM,4
1276795,"2",3,"KA","NMAIER",10-APR-13 03.11.49.817000000 PM,"guestUser",10-APR-13 11.39.11.410000000 AM,4
1276795,"2",2,"KA","NMAIER",10-APR-13 03.11.49.817000000 PM,"guestUser",10-APR-13 11.39.11.411000000 AM,4
1276795,"2",1,"KA","NMAIER",10-APR-13 03.11.49.817000000 PM,"guestUser",10-APR-13 11.39.11.411000000 AM,4
1276797,"1",15,"VA","NMAIER",10-APR-13 02.30.43.210000000 PM,"guestUser",10-APR-13 01.36.35.162000000 PM,4
1276797,"1",9,"VA","NMAIER",10-APR-13 02.30.43.210000000 PM,"guestUser",10-APR-13 01.36.35.162000000 PM,4
1276797,"1",14,"VA","NMAIER",10-APR-13 02.30.43.210000000 PM,"guestUser",10-APR-13 01.36.35.162000000 PM,4
1276797,"1",8,"VA","NMAIER",10-APR-13 02.30.43.210000000 PM,"guestUser",10-APR-13 01.36.35.162000000 PM,4
1276797,"1",13,"VA","NMAIER",10-APR-13 02.30.43.210000000 PM,"guestUser",10-APR-13 01.36.35.163000000 PM,4
1276797,"1",7,"VA","NMAIER",10-APR-13 02.30.43.211000000 PM,"guestUser",10-APR-13 01.36.35.163000000 PM,4
1276797,"1",12,"VA","NMAIER",10-APR-13 02.30.43.211000000 PM,"guestUser",10-APR-13 01.36.35.163000000 PM,4
1276797,"1",6,"VA","NMAIER",10-APR-13 02.30.43.211000000 PM,"guestUser",10-APR-13 01.36.35.163000000 PM,4
1276797,"1",11,"VA","NMAIER",10-APR-13 02.30.43.211000000 PM,"guestUser",10-APR-13 01.36.35.163000000 PM,4
1276797,"1",5,"VA","NMAIER",10-APR-13 02.30.43.211000000 PM,"guestUser",10-APR-13 01.36.35.164000000 PM,4
1276797,"1",10,"VA","NMAIER",10-APR-13 02.30.43.211000000 PM,"guestUser",10-APR-13 01.36.35.164000000 PM,4
1276797,"1",4,"VA","NMAIER",10-APR-13 02.30.43.211000000 PM,"guestUser",10-APR-13 01.36.35.164000000 PM,4
1276797,"1",3,"VA","NMAIER",10-APR-13 02.30.43.211000000 PM,"guestUser",10-APR-13 01.36.35.164000000 PM,4
1276797,"1",2,"VA","NMAIER",10-APR-13 02.30.43.211000000 PM,"guestUser",10-APR-13 01.36.35.165000000 PM,4
1276797,"1",1,"VA","NMAIER",10-APR-13 02.30.43.211000000 PM,"guestUser",10-APR-13 01.36.35.165000000 PM,4
1276798,"2",8,"RA","NMAIER",10-APR-13 02.46.33.899000000 PM,"guestUser",10-APR-13 01.49.47.062000000 PM,10
1276798,"2",13,"RA","NMAIER",10-APR-13 02.46.33.899000000 PM,"guestUser",10-APR-13 01.49.47.062000000 PM,10
1276798,"2",7,"RA","NMAIER",10-APR-13 02.46.33.899000000 PM,"guestUser",10-APR-13 01.49.47.062000000 PM,10
1276798,"2",12,"RA","NMAIER",10-APR-13 02.46.33.899000000 PM,"guestUser",10-APR-13 01.49.47.063000000 PM,10
1276798,"2",6,"RA","NMAIER",10-APR-13 02.46.33.899000000 PM,"guestUser",10-APR-13 01.49.47.063000000 PM,10
1276798,"2",11,"RA","NMAIER",10-APR-13 02.46.33.899000000 PM,"guestUser",10-APR-13 01.49.47.063000000 PM,10
