"P_SYS_ID","P_QSTNR_SECT_CD","P_QSTNR_SEQ_NUM","P_QSTNR_RESPONCE_IND","P_QSTNR_RESP_TEXT","L_HIBERNATE_VER_NUM","G_AUD_USER_ID","G_AUD_TS","G_AUD_ADD_USER_ID","G_AUD_ADD_TS"
1276787,"1",9,"N","",5,"KRBACKMAN",05-DEC-13 09.18.48.394000000 AM,"guestUser",10-APR-13 10.31.03.967000000 AM
1276787,"1",3,"N","",5,"KRBACKMAN",05-DEC-13 09.18.48.394000000 AM,"guestUser",10-APR-13 10.31.03.967000000 AM
1276787,"1",8,"Y","",5,"KRBACKMAN",05-DEC-13 09.18.48.394000000 AM,"guestUser",10-APR-13 10.31.03.968000000 AM
1276787,"1",2,"N","",5,"KRBACKMAN",05-DEC-13 09.18.48.394000000 AM,"guestUser",10-APR-13 10.31.03.968000000 AM
1276787,"1",7,"","-",3,"guestUser",10-APR-13 10.34.17.755000000 AM,"guestUser",10-APR-13 10.31.03.968000000 AM
1276787,"1",1,"N","",5,"KRBACKMAN",05-DEC-13 09.18.48.394000000 AM,"guestUser",10-APR-13 10.31.03.968000000 AM
1276787,"1",6,"N","",5,"KRBACKMAN",05-DEC-13 09.18.48.394000000 AM,"guestUser",10-APR-13 10.31.03.969000000 AM
1276787,"1",5,"Y","",5,"KRBACKMAN",05-DEC-13 09.18.48.394000000 AM,"guestUser",10-APR-13 10.31.03.969000000 AM
1276787,"1",10,"Y","",5,"KRBACKMAN",05-DEC-13 09.18.48.394000000 AM,"guestUser",10-APR-13 10.31.03.969000000 AM
1276787,"1",4,"N","",5,"KRBACKMAN",05-DEC-13 09.18.48.394000000 AM,"guestUser",10-APR-13 10.31.03.969000000 AM
1276795,"2",3,"N","",4,"NMAIER",10-APR-13 03.11.49.817000000 PM,"guestUser",10-APR-13 11.39.11.405000000 AM
1276795,"2",5,"N","",4,"NMAIER",10-APR-13 03.11.49.817000000 PM,"guestUser",10-APR-13 11.39.11.405000000 AM
1276795,"2",2,"N","",4,"NMAIER",10-APR-13 03.11.49.817000000 PM,"guestUser",10-APR-13 11.39.11.405000000 AM
1276795,"2",4,"N","",4,"NMAIER",10-APR-13 03.11.49.817000000 PM,"guestUser",10-APR-13 11.39.11.405000000 AM
1276795,"2",1,"N","",4,"NMAIER",10-APR-13 03.11.49.817000000 PM,"guestUser",10-APR-13 11.39.11.406000000 AM
1276797,"1",10,"Y","",4,"NMAIER",10-APR-13 02.30.43.210000000 PM,"guestUser",10-APR-13 01.36.35.159000000 PM
1276797,"1",4,"N","",4,"NMAIER",10-APR-13 02.30.43.210000000 PM,"guestUser",10-APR-13 01.36.35.159000000 PM
1276797,"1",9,"N","",4,"NMAIER",10-APR-13 02.30.43.210000000 PM,"guestUser",10-APR-13 01.36.35.159000000 PM
1276797,"1",3,"Y","SAME OFFENSE AS ABOVE",4,"NMAIER",10-APR-13 02.30.43.210000000 PM,"guestUser",10-APR-13 01.36.35.160000000 PM
1276797,"1",8,"Y","",4,"NMAIER",10-APR-13 02.30.43.210000000 PM,"guestUser",10-APR-13 01.36.35.160000000 PM
1276797,"1",2,"N","",4,"NMAIER",10-APR-13 02.30.43.210000000 PM,"guestUser",10-APR-13 01.36.35.160000000 PM
1276797,"1",7,"","-",3,"guestUser",10-APR-13 01.40.06.722000000 PM,"guestUser",10-APR-13 01.36.35.160000000 PM
1276797,"1",1,"Y","TAKING STOLEN PROPERTY FROM A RETAIL STORE",4,"NMAIER",10-APR-13 02.30.43.210000000 PM,"guestUser",10-APR-13 01.36.35.161000000 PM
1276797,"1",6,"N","",4,"NMAIER",10-APR-13 02.30.43.210000000 PM,"guestUser",10-APR-13 01.36.35.161000000 PM
1276797,"1",5,"Y","",4,"NMAIER",10-APR-13 02.30.43.210000000 PM,"guestUser",10-APR-13 01.36.35.161000000 PM
1276798,"2",5,"N","",10,"NMAIER",10-APR-13 02.46.33.899000000 PM,"guestUser",10-APR-13 01.49.47.060000000 PM
1276798,"2",2,"N","",10,"NMAIER",10-APR-13 02.46.33.899000000 PM,"guestUser",10-APR-13 01.49.47.060000000 PM
1276798,"2",4,"N","",10,"NMAIER",10-APR-13 02.46.33.899000000 PM,"guestUser",10-APR-13 01.49.47.060000000 PM
1276798,"2",1,"N","",10,"NMAIER",10-APR-13 02.46.33.899000000 PM,"guestUser",10-APR-13 01.49.47.061000000 PM
1276798,"2",3,"N","",10,"NMAIER",10-APR-13 02.46.33.899000000 PM,"guestUser",10-APR-13 01.49.47.061000000 PM
1276808,"1",10,"Y","",8,"NMAIER",16-JUN-15 11.29.36.164000000 AM,"guestUser",11-APR-13 11.58.30.205000000 AM
1276808,"1",4,"N","",8,"NMAIER",16-JUN-15 11.29.36.164000000 AM,"guestUser",11-APR-13 11.58.30.206000000 AM
1276808,"1",9,"N","",8,"NMAIER",16-JUN-15 11.29.36.164000000 AM,"guestUser",11-APR-13 11.58.30.206000000 AM
1276808,"1",3,"N","",8,"NMAIER",16-JUN-15 11.29.36.164000000 AM,"guestUser",11-APR-13 11.58.30.206000000 AM
1276808,"1",8,"Y","",8,"NMAIER",16-JUN-15 11.29.36.164000000 AM,"guestUser",11-APR-13 11.58.30.206000000 AM
1276808,"1",2,"N","",8,"NMAIER",16-JUN-15 11.29.36.164000000 AM,"guestUser",11-APR-13 11.58.30.207000000 AM
1276808,"1",7,"","-",6,"guestUser",11-APR-13 12.35.12.104000000 PM,"guestUser",11-APR-13 11.58.30.207000000 AM
1276808,"1",1,"N","",8,"NMAIER",16-JUN-15 11.29.36.164000000 AM,"guestUser",11-APR-13 11.58.30.208000000 AM
1276808,"1",6,"N","",8,"NMAIER",16-JUN-15 11.29.36.164000000 AM,"guestUser",11-APR-13 11.58.30.208000000 AM
1276808,"1",5,"Y","",8,"NMAIER",16-JUN-15 11.29.36.164000000 AM,"guestUser",11-APR-13 11.58.30.208000000 AM
1276820,"1",9,"N","",3,"guestUser",12-APR-13 09.55.22.224000000 AM,"guestUser",12-APR-13 09.51.56.950000000 AM
1276820,"1",3,"N","",3,"guestUser",12-APR-13 09.55.22.224000000 AM,"guestUser",12-APR-13 09.51.56.950000000 AM
1276820,"1",8,"Y","",3,"guestUser",12-APR-13 09.55.22.224000000 AM,"guestUser",12-APR-13 09.51.56.950000000 AM
1276820,"1",2,"N","",3,"guestUser",12-APR-13 09.55.22.224000000 AM,"guestUser",12-APR-13 09.51.56.950000000 AM
1276820,"1",7,"","-",3,"guestUser",12-APR-13 09.55.22.224000000 AM,"guestUser",12-APR-13 09.51.56.951000000 AM
1276820,"1",1,"N","",3,"guestUser",12-APR-13 09.55.22.224000000 AM,"guestUser",12-APR-13 09.51.56.951000000 AM
1276820,"1",6,"N","",3,"guestUser",12-APR-13 09.55.22.224000000 AM,"guestUser",12-APR-13 09.51.56.951000000 AM
1276820,"1",5,"Y","",3,"guestUser",12-APR-13 09.55.22.224000000 AM,"guestUser",12-APR-13 09.51.56.951000000 AM
1276820,"1",10,"Y","",3,"guestUser",12-APR-13 09.55.22.224000000 AM,"guestUser",12-APR-13 09.51.56.952000000 AM
1276820,"1",4,"N","",3,"guestUser",12-APR-13 09.55.22.224000000 AM,"guestUser",12-APR-13 09.51.56.952000000 AM
1278219,"1",7,"","-",3,"guestUser",26-JUN-13 03.18.32.620000000 PM,"guestUser",26-JUN-13 03.17.06.782000000 PM
1278219,"1",1,"N","",5,"NMAIER",26-JUN-13 03.28.03.094000000 PM,"guestUser",26-JUN-13 03.17.06.783000000 PM
1278219,"1",6,"N","",5,"NMAIER",26-JUN-13 03.28.03.094000000 PM,"guestUser",26-JUN-13 03.17.06.783000000 PM
1278219,"1",5,"Y","",5,"NMAIER",26-JUN-13 03.28.03.094000000 PM,"guestUser",26-JUN-13 03.17.06.783000000 PM
1278219,"1",10,"Y","",5,"NMAIER",26-JUN-13 03.28.03.094000000 PM,"guestUser",26-JUN-13 03.17.06.784000000 PM
1278219,"1",4,"N","",5,"NMAIER",26-JUN-13 03.28.03.094000000 PM,"guestUser",26-JUN-13 03.17.06.784000000 PM
1278219,"1",9,"N","",5,"NMAIER",26-JUN-13 03.28.03.094000000 PM,"guestUser",26-JUN-13 03.17.06.784000000 PM
1278219,"1",3,"N","",5,"NMAIER",26-JUN-13 03.28.03.094000000 PM,"guestUser",26-JUN-13 03.17.06.784000000 PM
1278219,"1",8,"Y","",5,"NMAIER",26-JUN-13 03.28.03.094000000 PM,"guestUser",26-JUN-13 03.17.06.785000000 PM
1278219,"1",2,"N","",5,"NMAIER",26-JUN-13 03.28.03.094000000 PM,"guestUser",26-JUN-13 03.17.06.785000000 PM
1278317,"1",10,"Y","",2,"guestUser",06-JUL-13 12.39.19.519000000 AM,"guestUser",05-JUL-13 01.34.10.223000000 AM
1278317,"1",4,"N","",2,"guestUser",06-JUL-13 12.39.19.519000000 AM,"guestUser",05-JUL-13 01.34.10.223000000 AM
1278317,"1",9,"N","",2,"guestUser",06-JUL-13 12.39.19.519000000 AM,"guestUser",05-JUL-13 01.34.10.223000000 AM
1278317,"1",3,"N","",2,"guestUser",06-JUL-13 12.39.19.519000000 AM,"guestUser",05-JUL-13 01.34.10.224000000 AM
1278317,"1",8,"Y","",2,"guestUser",06-JUL-13 12.39.19.518000000 AM,"guestUser",05-JUL-13 01.34.10.224000000 AM
1278317,"1",2,"N","",2,"guestUser",06-JUL-13 12.39.19.519000000 AM,"guestUser",05-JUL-13 01.34.10.225000000 AM
1278317,"1",7,"","-",2,"guestUser",06-JUL-13 12.39.19.519000000 AM,"guestUser",05-JUL-13 01.34.10.225000000 AM
1278317,"1",1,"N","",2,"guestUser",06-JUL-13 12.39.19.519000000 AM,"guestUser",05-JUL-13 01.34.10.226000000 AM
