"P_SYS_ID","P_QSTNR_SK","P_QSTNR_TY_CD","P_QSTNR_OCC_DT","L_HIBERNATE_VER_NUM","G_AUD_USER_ID","G_AUD_TS","G_AUD_ADD_USER_ID","G_AUD_ADD_TS"
1276772,1639640,"19",01-JAN-00,20,"guestUser",27-DEC-13 08.41.26.053000000 AM,"guestUser",09-APR-13 12.35.37.595000000 PM
1276772,1639641,"20",01-JAN-00,20,"guestUser",27-DEC-13 08.41.26.057000000 AM,"guestUser",09-APR-13 12.35.37.595000000 PM
1276772,1639642,"21",01-JAN-00,20,"guestUser",27-DEC-13 08.41.26.056000000 AM,"guestUser",09-APR-13 12.35.37.595000000 PM
1276772,1639643,"22",01-JAN-00,20,"guestUser",27-DEC-13 08.41.26.056000000 AM,"guestUser",09-APR-13 12.35.37.596000000 PM
1276772,1639644,"23",01-JAN-00,20,"guestUser",27-DEC-13 08.41.26.055000000 AM,"guestUser",09-APR-13 12.35.37.596000000 PM
1276772,1639645,"24",01-JAN-00,20,"guestUser",27-DEC-13 08.41.26.055000000 AM,"guestUser",09-APR-13 12.35.37.596000000 PM
1276773,1639668,"40",31-DEC-99,17,"guestUser",09-APR-13 02.11.00.920000000 PM,"guestUser",09-APR-13 01.00.12.122000000 PM
1276774,1639669,"38",01-JAN-00,17,"guestUser",11-APR-13 04.05.10.789000000 PM,"guestUser",09-APR-13 01.12.52.873000000 PM
1276774,1639670,"40",01-JAN-00,17,"guestUser",11-APR-13 04.05.10.788000000 PM,"guestUser",09-APR-13 01.12.52.874000000 PM
1276774,1639671,"28",31-DEC-99,15,"GUESTUSER",11-APR-13 04.05.10.787000000 PM,"GUESTUSER",09-APR-13 01.41.43.430000000 PM
1276768,1639772,"35",01-JAN-00,11,"GUESTUSER",11-APR-13 04.01.18.397000000 PM,"GUESTUSER",10-APR-13 08.14.46.652000000 AM
1276768,1639773,"34",01-JAN-00,11,"GUESTUSER",11-APR-13 04.01.18.401000000 PM,"GUESTUSER",10-APR-13 08.14.46.653000000 AM
1276768,1639774,"27",01-JAN-00,34,"GUESTUSER",23-JAN-14 12.38.14.487000000 PM,"GUESTUSER",10-APR-13 08.14.46.653000000 AM
1276774,1639794,"29",31-DEC-99,9,"GUESTUSER",11-APR-13 04.05.10.784000000 PM,"GUESTUSER",10-APR-13 08.39.29.541000000 AM
1276774,1639795,"30",01-JAN-00,9,"GUESTUSER",11-APR-13 04.05.10.783000000 PM,"GUESTUSER",10-APR-13 08.39.29.541000000 AM
1276774,1639796,"31",01-JAN-00,9,"GUESTUSER",11-APR-13 04.05.10.782000000 PM,"GUESTUSER",10-APR-13 08.39.29.541000000 AM
1276774,1639797,"32",01-JAN-00,9,"GUESTUSER",11-APR-13 04.05.10.791000000 PM,"GUESTUSER",10-APR-13 08.39.29.542000000 AM
1276782,1639798,"38",01-JAN-00,7,"guestUser",10-APR-13 09.06.17.462000000 AM,"guestUser",10-APR-13 08.41.22.350000000 AM
1276782,1639799,"40",01-JAN-00,7,"guestUser",10-APR-13 09.06.17.461000000 AM,"guestUser",10-APR-13 08.41.22.350000000 AM
1276776,1639856,"29",01-JAN-00,11,"GUESTUSER",17-APR-13 08.12.06.665000000 AM,"GUESTUSER",10-APR-13 09.13.01.426000000 AM
1276776,1639857,"30",01-JAN-00,11,"GUESTUSER",17-APR-13 08.12.06.664000000 AM,"GUESTUSER",10-APR-13 09.13.01.426000000 AM
1276776,1639858,"31",01-JAN-00,11,"GUESTUSER",17-APR-13 08.12.06.664000000 AM,"GUESTUSER",10-APR-13 09.13.01.426000000 AM
1276776,1639859,"32",01-JAN-00,11,"GUESTUSER",17-APR-13 08.12.06.663000000 AM,"GUESTUSER",10-APR-13 09.13.01.427000000 AM
1181390,1639860,"02",01-JAN-00,0,"NMAIER",10-APR-13 09.13.31.307000000 AM,"NMAIER",10-APR-13 09.13.31.307000000 AM
1181390,1639861,"28",31-DEC-99,0,"NMAIER",10-APR-13 09.13.31.308000000 AM,"NMAIER",10-APR-13 09.13.31.308000000 AM
1181390,1639862,"16",01-JAN-00,0,"NMAIER",10-APR-13 09.13.31.309000000 AM,"NMAIER",10-APR-13 09.13.31.309000000 AM
1181390,1639863,"17",01-JAN-00,0,"NMAIER",10-APR-13 09.13.31.309000000 AM,"NMAIER",10-APR-13 09.13.31.309000000 AM
1181390,1639864,"32",01-JAN-00,0,"NMAIER",10-APR-13 09.13.31.310000000 AM,"NMAIER",10-APR-13 09.13.31.310000000 AM
1181390,1639865,"18",01-JAN-00,0,"NMAIER",10-APR-13 09.13.31.310000000 AM,"NMAIER",10-APR-13 09.13.31.310000000 AM
1181390,1639866,"31",01-JAN-00,0,"NMAIER",10-APR-13 09.13.31.310000000 AM,"NMAIER",10-APR-13 09.13.31.310000000 AM
1181390,1639867,"06",01-JAN-00,0,"NMAIER",10-APR-13 09.13.31.310000000 AM,"NMAIER",10-APR-13 09.13.31.310000000 AM
1181390,1639868,"19",01-JAN-00,0,"NMAIER",10-APR-13 09.13.31.310000000 AM,"NMAIER",10-APR-13 09.13.31.310000000 AM
1181390,1639869,"24",01-JAN-00,0,"NMAIER",10-APR-13 09.13.31.311000000 AM,"NMAIER",10-APR-13 09.13.31.311000000 AM
1181390,1639870,"25",01-JAN-00,0,"NMAIER",10-APR-13 09.13.31.311000000 AM,"NMAIER",10-APR-13 09.13.31.311000000 AM
1181390,1639871,"23",01-JAN-00,0,"NMAIER",10-APR-13 09.13.31.311000000 AM,"NMAIER",10-APR-13 09.13.31.311000000 AM
1181390,1639872,"40",01-JAN-00,0,"NMAIER",10-APR-13 09.13.31.312000000 AM,"NMAIER",10-APR-13 09.13.31.312000000 AM
1181390,1639873,"26",01-JAN-00,0,"NMAIER",10-APR-13 09.13.31.312000000 AM,"NMAIER",10-APR-13 09.13.31.312000000 AM
1181390,1639874,"22",01-JAN-00,0,"NMAIER",10-APR-13 09.13.31.312000000 AM,"NMAIER",10-APR-13 09.13.31.312000000 AM
1181390,1639875,"38",01-JAN-00,0,"NMAIER",10-APR-13 09.13.31.312000000 AM,"NMAIER",10-APR-13 09.13.31.312000000 AM
1181390,1639876,"08",01-JAN-00,0,"NMAIER",10-APR-13 09.13.31.312000000 AM,"NMAIER",10-APR-13 09.13.31.312000000 AM
1181390,1639877,"21",01-JAN-00,0,"NMAIER",10-APR-13 09.13.31.313000000 AM,"NMAIER",10-APR-13 09.13.31.313000000 AM
1181390,1639878,"07",01-JAN-00,0,"NMAIER",10-APR-13 09.13.31.313000000 AM,"NMAIER",10-APR-13 09.13.31.313000000 AM
