"P_SYS_ID","P_RA_MEDM_SK","P_RA_MEDM_CD","L_HIBERNATE_VER_NUM","G_AUD_USER_ID","G_AUD_TS","G_AUD_ADD_USER_ID","G_AUD_ADD_TS"
1000000,1004065,"3",0,"CR_ESPRD01310019_DATAFIX",24-APR-23 05.42.03.000000000 PM,"Provider Conversion",28-MAR-13 03.56.57.000000000 AM
1000001,1004066,"3",0,"CR_ESPRD01310019_DATAFIX",24-APR-23 05.42.02.000000000 PM,"Provider Conversion",28-MAR-13 03.56.57.000000000 AM
1000002,1004069,"3",0,"CR_ESPRD01310019_DATAFIX",24-APR-23 05.42.03.000000000 PM,"Provider Conversion",28-MAR-13 03.56.57.000000000 AM
1153802,1954142,"3",0,"RRUD",08-SEP-22 09.41.54.572000000 AM,"RRUD",08-SEP-22 09.41.54.572000000 AM
1000005,1004072,"3",0,"CR_ESPRD01310019_DATAFIX",24-APR-23 05.42.02.000000000 PM,"Provider Conversion",28-MAR-13 03.56.57.000000000 AM
1154000,1954146,"3",0,"RRUD",08-SEP-22 10.24.13.671000000 AM,"RRUD",08-SEP-22 10.24.13.671000000 AM
1000009,1004076,"3",0,"CR_ESPRD01310019_DATAFIX",24-APR-23 05.42.02.000000000 PM,"Provider Conversion",28-MAR-13 03.56.57.000000000 AM
1000010,1004077,"3",0,"CR_ESPRD01310019_DATAFIX",24-APR-23 05.42.02.000000000 PM,"Provider Conversion",28-MAR-13 03.56.57.000000000 AM
1000011,1004078,"3",0,"CR_ESPRD01310019_DATAFIX",24-APR-23 05.42.02.000000000 PM,"Provider Conversion",28-MAR-13 03.56.57.000000000 AM
1000012,1004079,"3",0,"CR_ESPRD01310019_DATAFIX",24-APR-23 05.42.01.000000000 PM,"Provider Conversion",28-MAR-13 03.56.57.000000000 AM
1000013,1004080,"3",0,"CR_ESPRD01310019_DATAFIX",24-APR-23 05.42.01.000000000 PM,"Provider Conversion",28-MAR-13 03.56.57.000000000 AM
1000014,1004081,"3",0,"CR_ESPRD01310019_DATAFIX",24-APR-23 05.42.02.000000000 PM,"Provider Conversion",28-MAR-13 03.56.57.000000000 AM
