"P_SYS_ID","P_REQ_ATTACH_SK","P_ATTACH_TY_CD","P_ATTACH_RECD_IND","L_HIBERNATE_VER_NUM","G_AUD_USER_ID","G_AUD_TS","G_AUD_ADD_USER_ID","G_AUD_ADD_TS"
1276782,15809,"05","Y",0,"NMAIER",10-APR-13 09.08.06.235000000 AM,"NMAIER",10-APR-13 09.08.06.235000000 AM
1276782,15810,"17","Y",0,"NMAIER",10-APR-13 09.08.06.236000000 AM,"NMAIER",10-APR-13 09.08.06.236000000 AM
1276782,15811,"30","Y",0,"NMAIER",10-APR-13 09.08.06.236000000 AM,"NMAIER",10-APR-13 09.08.06.236000000 AM
1276782,15812,"47","Y",0,"NMAIER",10-APR-13 09.08.06.236000000 AM,"NMAIER",10-APR-13 09.08.06.236000000 AM
1276782,15813,"48","Y",0,"NMAIER",10-APR-13 09.08.06.236000000 AM,"NMAIER",10-APR-13 09.08.06.236000000 AM
1276782,15814,"58","Y",0,"NMAIER",10-APR-13 09.08.06.238000000 AM,"NMAIER",10-APR-13 09.08.06.238000000 AM
1181390,15815,"17","Y",0,"NMAIER",10-APR-13 09.13.31.314000000 AM,"NMAIER",10-APR-13 09.13.31.314000000 AM
1181390,15816,"48","Y",0,"NMAIER",10-APR-13 09.13.31.314000000 AM,"NMAIER",10-APR-13 09.13.31.314000000 AM
1181390,15817,"30","Y",0,"NMAIER",10-APR-13 09.13.31.315000000 AM,"NMAIER",10-APR-13 09.13.31.315000000 AM
1181390,15818,"58","Y",0,"NMAIER",10-APR-13 09.13.31.315000000 AM,"NMAIER",10-APR-13 09.13.31.315000000 AM
1181390,15819,"47","Y",0,"NMAIER",10-APR-13 09.13.31.315000000 AM,"NMAIER",10-APR-13 09.13.31.315000000 AM
1181390,15820,"05","Y",0,"NMAIER",10-APR-13 09.13.31.315000000 AM,"NMAIER",10-APR-13 09.13.31.315000000 AM
1276795,15821,"58","Y",0,"NMAIER",10-APR-13 11.47.45.642000000 AM,"NMAIER",10-APR-13 11.47.45.642000000 AM
1276795,15822,"17","Y",0,"NMAIER",10-APR-13 11.47.45.642000000 AM,"NMAIER",10-APR-13 11.47.45.642000000 AM
1180394,15830,"58","Y",0,"NMAIER",10-APR-13 02.52.42.117000000 PM,"NMAIER",10-APR-13 02.52.42.117000000 PM
1180394,15831,"17","Y",0,"NMAIER",10-APR-13 02.52.42.118000000 PM,"NMAIER",10-APR-13 02.52.42.118000000 PM
1173037,15832,"17","Y",0,"NMAIER",10-APR-13 03.05.34.168000000 PM,"NMAIER",10-APR-13 03.05.34.168000000 PM
1173037,15833,"48","Y",0,"NMAIER",10-APR-13 03.05.34.168000000 PM,"NMAIER",10-APR-13 03.05.34.168000000 PM
1173037,15834,"30","Y",0,"NMAIER",10-APR-13 03.05.34.169000000 PM,"NMAIER",10-APR-13 03.05.34.169000000 PM
1173037,15835,"58","Y",0,"NMAIER",10-APR-13 03.05.34.169000000 PM,"NMAIER",10-APR-13 03.05.34.169000000 PM
1173037,15836,"47","Y",0,"NMAIER",10-APR-13 03.05.34.169000000 PM,"NMAIER",10-APR-13 03.05.34.169000000 PM
1172249,15837,"58","Y",0,"NMAIER",10-APR-13 03.12.30.025000000 PM,"NMAIER",10-APR-13 03.12.30.025000000 PM
1172249,15838,"17","Y",0,"NMAIER",10-APR-13 03.12.30.025000000 PM,"NMAIER",10-APR-13 03.12.30.025000000 PM
1276808,15839,"05","Y",0,"NMAIER",11-APR-13 12.48.10.850000000 PM,"NMAIER",11-APR-13 12.48.10.850000000 PM
1276808,15840,"17","Y",0,"NMAIER",11-APR-13 12.48.10.850000000 PM,"NMAIER",11-APR-13 12.48.10.850000000 PM
1276808,15841,"58","Y",0,"NMAIER",11-APR-13 12.48.10.850000000 PM,"NMAIER",11-APR-13 12.48.10.850000000 PM
1174624,15844,"17","Y",0,"KRBACKMAN",12-APR-13 10.01.46.536000000 AM,"KRBACKMAN",12-APR-13 10.01.46.536000000 AM
1174624,15845,"58","Y",0,"KRBACKMAN",12-APR-13 10.01.46.537000000 AM,"KRBACKMAN",12-APR-13 10.01.46.537000000 AM
1276998,15857,"05","Y",1,"PJHEID",03-DEC-13 07.34.19.886000000 PM,"PJHEID",16-MAY-13 03.51.02.045000000 PM
1276998,15858,"27","Y",0,"PJHEID",16-MAY-13 03.51.02.045000000 PM,"PJHEID",16-MAY-13 03.51.02.045000000 PM
1276998,15859,"58","Y",0,"PJHEID",16-MAY-13 03.51.02.045000000 PM,"PJHEID",16-MAY-13 03.51.02.045000000 PM
1277345,15864,"05","Y",1,"PJHEID",30-MAY-13 12.43.24.251000000 PM,"PJHEID",24-MAY-13 01.26.52.919000000 PM
1277345,15865,"27","Y",0,"PJHEID",24-MAY-13 01.26.52.920000000 PM,"PJHEID",24-MAY-13 01.26.52.920000000 PM
1277345,15866,"58","Y",1,"PJHEID",30-MAY-13 04.03.06.773000000 PM,"PJHEID",24-MAY-13 01.26.52.920000000 PM
1277894,15881,"58","Y",1,"PJHEID",28-AUG-13 12.33.22.422000000 PM,"PJHEID",12-JUN-13 01.50.12.632000000 PM
1277894,15882,"27","Y",0,"PJHEID",12-JUN-13 01.50.12.632000000 PM,"PJHEID",12-JUN-13 01.50.12.632000000 PM
1003722,15883,"58","Y",0,"PJHEID",17-JUN-13 11.33.27.107000000 AM,"PJHEID",17-JUN-13 11.33.27.107000000 AM
1003722,15884,"27","Y",0,"PJHEID",17-JUN-13 11.33.27.108000000 AM,"PJHEID",17-JUN-13 11.33.27.108000000 AM
1278104,15892,"58","Y",0,"JMLAGRO",19-JUN-13 03.48.20.180000000 PM,"JMLAGRO",19-JUN-13 03.48.20.180000000 PM
1278104,15893,"47","Y",0,"JMLAGRO",19-JUN-13 03.48.20.181000000 PM,"JMLAGRO",19-JUN-13 03.48.20.181000000 PM
1278104,15894,"31","Y",0,"JMLAGRO",19-JUN-13 03.48.20.182000000 PM,"JMLAGRO",19-JUN-13 03.48.20.182000000 PM
1278104,15895,"27","Y",0,"JMLAGRO",19-JUN-13 03.48.20.182000000 PM,"JMLAGRO",19-JUN-13 03.48.20.182000000 PM
1277928,15912,"05","Y",0,"JMLAGRO",24-JUN-13 08.09.52.096000000 AM,"JMLAGRO",24-JUN-13 08.09.52.096000000 AM
1277928,15913,"27","Y",0,"JMLAGRO",24-JUN-13 08.09.52.096000000 AM,"JMLAGRO",24-JUN-13 08.09.52.096000000 AM
1277928,15914,"58","Y",0,"JMLAGRO",24-JUN-13 08.09.52.097000000 AM,"JMLAGRO",24-JUN-13 08.09.52.097000000 AM
1278151,15915,"05","Y",0,"JMLAGRO",24-JUN-13 10.39.03.596000000 AM,"JMLAGRO",24-JUN-13 10.39.03.596000000 AM
1278151,15916,"27","Y",0,"JMLAGRO",24-JUN-13 10.39.03.597000000 AM,"JMLAGRO",24-JUN-13 10.39.03.597000000 AM
1278151,15917,"58","Y",0,"JMLAGRO",24-JUN-13 10.39.03.597000000 AM,"JMLAGRO",24-JUN-13 10.39.03.597000000 AM
1278214,15925,"05","Y",0,"PJHEID",26-JUN-13 01.14.50.904000000 PM,"PJHEID",26-JUN-13 01.14.50.904000000 PM
1278214,15926,"27","Y",0,"PJHEID",26-JUN-13 01.14.50.904000000 PM,"PJHEID",26-JUN-13 01.14.50.904000000 PM
1278214,15927,"58","Y",0,"PJHEID",26-JUN-13 01.14.50.904000000 PM,"PJHEID",26-JUN-13 01.14.50.904000000 PM
1277939,15956,"58","Y",0,"JMLAGRO",02-JUL-13 01.35.30.573000000 PM,"JMLAGRO",02-JUL-13 01.35.30.573000000 PM
1277939,15957,"27","Y",0,"JMLAGRO",02-JUL-13 01.35.30.573000000 PM,"JMLAGRO",02-JUL-13 01.35.30.573000000 PM
1277949,15958,"58","Y",0,"JMLAGRO",02-JUL-13 01.43.55.251000000 PM,"JMLAGRO",02-JUL-13 01.43.55.251000000 PM
1277949,15959,"27","Y",0,"JMLAGRO",02-JUL-13 01.43.55.252000000 PM,"JMLAGRO",02-JUL-13 01.43.55.252000000 PM
1277995,15960,"05","Y",0,"PJHEID",02-JUL-13 02.06.48.583000000 PM,"PJHEID",02-JUL-13 02.06.48.583000000 PM
1277995,15961,"27","Y",0,"PJHEID",02-JUL-13 02.06.48.583000000 PM,"PJHEID",02-JUL-13 02.06.48.583000000 PM
1277995,15962,"58","Y",0,"PJHEID",02-JUL-13 02.06.48.583000000 PM,"PJHEID",02-JUL-13 02.06.48.583000000 PM
1276763,15967,"58","Y",0,"PJHEID",03-JUL-13 01.37.25.984000000 PM,"PJHEID",03-JUL-13 01.37.25.984000000 PM
1276763,15968,"27","Y",0,"PJHEID",03-JUL-13 01.37.25.985000000 PM,"PJHEID",03-JUL-13 01.37.25.985000000 PM
1277140,15977,"05","Y",0,"PJHEID",05-JUL-13 11.33.47.258000000 AM,"PJHEID",05-JUL-13 11.33.47.258000000 AM
1277140,15978,"27","Y",0,"PJHEID",05-JUL-13 11.33.47.258000000 AM,"PJHEID",05-JUL-13 11.33.47.258000000 AM
1277140,15979,"58","Y",0,"PJHEID",05-JUL-13 11.33.47.259000000 AM,"PJHEID",05-JUL-13 11.33.47.259000000 AM
1003549,15990,"27","Y",0,"TBRABANDT",10-JUL-13 02.43.47.409000000 PM,"TBRABANDT",10-JUL-13 02.43.47.409000000 PM
1003549,15991,"58","Y",0,"TBRABANDT",10-JUL-13 02.43.47.409000000 PM,"TBRABANDT",10-JUL-13 02.43.47.409000000 PM
1278483,15999,"58","Y",0,"PJHEID",15-JUL-13 11.15.44.070000000 AM,"PJHEID",15-JUL-13 11.15.44.070000000 AM
1278483,16000,"27","Y",0,"PJHEID",15-JUL-13 11.15.44.072000000 AM,"PJHEID",15-JUL-13 11.15.44.072000000 AM
1278508,16013,"05","Y",1,"PJHEID",16-JUL-13 04.07.51.189000000 PM,"PJHEID",16-JUL-13 04.06.01.797000000 PM
1278508,16014,"27","Y",0,"PJHEID",16-JUL-13 04.06.01.798000000 PM,"PJHEID",16-JUL-13 04.06.01.798000000 PM
1278508,16015,"58","Y",0,"PJHEID",16-JUL-13 04.06.01.798000000 PM,"PJHEID",16-JUL-13 04.06.01.798000000 PM
1278245,16022,"05","Y",0,"JMLAGRO",17-JUL-13 02.11.11.857000000 PM,"JMLAGRO",17-JUL-13 02.11.11.857000000 PM
1278245,16023,"27","Y",0,"JMLAGRO",17-JUL-13 02.11.11.857000000 PM,"JMLAGRO",17-JUL-13 02.11.11.857000000 PM
1278245,16024,"58","Y",0,"JMLAGRO",17-JUL-13 02.11.11.857000000 PM,"JMLAGRO",17-JUL-13 02.11.11.857000000 PM
1277735,16025,"58","Y",0,"JMLAGRO",17-JUL-13 02.54.20.025000000 PM,"JMLAGRO",17-JUL-13 02.54.20.025000000 PM
1277735,16026,"27","Y",0,"JMLAGRO",17-JUL-13 02.54.20.025000000 PM,"JMLAGRO",17-JUL-13 02.54.20.025000000 PM
1279089,16039,"05","Y",0,"JMLAGRO",01-AUG-13 10.39.12.683000000 AM,"JMLAGRO",01-AUG-13 10.39.12.683000000 AM
1278008,16036,"05","Y",0,"PJHEID",31-JUL-13 01.52.10.592000000 PM,"PJHEID",31-JUL-13 01.52.10.592000000 PM
1278008,16037,"27","Y",0,"PJHEID",31-JUL-13 01.52.10.593000000 PM,"PJHEID",31-JUL-13 01.52.10.593000000 PM
1278008,16038,"58","Y",0,"PJHEID",31-JUL-13 01.52.10.593000000 PM,"PJHEID",31-JUL-13 01.52.10.593000000 PM
1279089,16040,"27","Y",0,"JMLAGRO",01-AUG-13 10.39.12.685000000 AM,"JMLAGRO",01-AUG-13 10.39.12.685000000 AM
1279089,16041,"58","Y",0,"JMLAGRO",01-AUG-13 10.39.12.685000000 AM,"JMLAGRO",01-AUG-13 10.39.12.685000000 AM
1278973,16042,"05","Y",0,"PJHEID",02-AUG-13 10.42.58.143000000 AM,"PJHEID",02-AUG-13 10.42.58.143000000 AM
1278973,16043,"27","Y",0,"PJHEID",02-AUG-13 10.42.58.143000000 AM,"PJHEID",02-AUG-13 10.42.58.143000000 AM
1278973,16044,"58","Y",0,"PJHEID",02-AUG-13 10.42.58.143000000 AM,"PJHEID",02-AUG-13 10.42.58.143000000 AM
1279145,16045,"05","Y",0,"JMLAGRO",05-AUG-13 12.30.18.994000000 PM,"JMLAGRO",05-AUG-13 12.30.18.994000000 PM
1279145,16046,"27","Y",0,"JMLAGRO",05-AUG-13 12.30.18.994000000 PM,"JMLAGRO",05-AUG-13 12.30.18.994000000 PM
1279145,16047,"31","Y",0,"JMLAGRO",05-AUG-13 12.30.18.994000000 PM,"JMLAGRO",05-AUG-13 12.30.18.994000000 PM
1279145,16048,"47","Y",0,"JMLAGRO",05-AUG-13 12.30.18.995000000 PM,"JMLAGRO",05-AUG-13 12.30.18.995000000 PM
1279145,16049,"58","Y",0,"JMLAGRO",05-AUG-13 12.30.18.995000000 PM,"JMLAGRO",05-AUG-13 12.30.18.995000000 PM
1277771,16050,"05","Y",0,"PJHEID",06-AUG-13 08.23.39.635000000 AM,"PJHEID",06-AUG-13 08.23.39.635000000 AM
1277771,16051,"27","Y",0,"PJHEID",06-AUG-13 08.23.39.635000000 AM,"PJHEID",06-AUG-13 08.23.39.635000000 AM
1277771,16052,"58","Y",0,"PJHEID",06-AUG-13 08.23.39.635000000 AM,"PJHEID",06-AUG-13 08.23.39.635000000 AM
1279175,16059,"58","Y",0,"JMLAGRO",09-AUG-13 08.13.53.001000000 AM,"JMLAGRO",09-AUG-13 08.13.53.001000000 AM
1279175,16060,"27","Y",0,"JMLAGRO",09-AUG-13 08.13.53.003000000 AM,"JMLAGRO",09-AUG-13 08.13.53.003000000 AM
1002544,16074,"17","Y",0,"NMAIER",09-AUG-13 02.11.53.381000000 PM,"NMAIER",09-AUG-13 02.11.53.381000000 PM
1002544,16075,"58","Y",0,"NMAIER",09-AUG-13 02.11.53.381000000 PM,"NMAIER",09-AUG-13 02.11.53.381000000 PM
1277175,16096,"05","Y",1,"JOYSPEZIALE",24-JAN-14 06.33.07.006000000 PM,"JMLAGRO",16-AUG-13 01.10.25.909000000 PM
1277175,16097,"27","Y",0,"JMLAGRO",16-AUG-13 01.10.25.909000000 PM,"JMLAGRO",16-AUG-13 01.10.25.909000000 PM
1277175,16098,"58","Y",0,"JMLAGRO",16-AUG-13 01.10.25.910000000 PM,"JMLAGRO",16-AUG-13 01.10.25.910000000 PM
1277185,16108,"05","Y",1,"JUDITHSZEGEDI",17-JAN-14 12.28.27.143000000 PM,"JMLAGRO",16-AUG-13 01.16.48.248000000 PM
1277185,16109,"27","Y",0,"JMLAGRO",16-AUG-13 01.16.48.248000000 PM,"JMLAGRO",16-AUG-13 01.16.48.248000000 PM
1277185,16110,"58","Y",0,"JMLAGRO",16-AUG-13 01.16.48.250000000 PM,"JMLAGRO",16-AUG-13 01.16.48.250000000 PM
1276759,15805,"58","Y",0,"RRUD",04-APR-13 11.41.42.550000000 AM,"RRUD",04-APR-13 11.41.42.550000000 AM
1276759,15806,"27","Y",0,"RRUD",04-APR-13 11.41.42.551000000 AM,"RRUD",04-APR-13 11.41.42.551000000 AM
1276797,15823,"17","Y",0,"NMAIER",10-APR-13 02.02.58.525000000 PM,"NMAIER",10-APR-13 02.02.58.525000000 PM
1276797,15824,"30","Y",0,"NMAIER",10-APR-13 02.02.58.526000000 PM,"NMAIER",10-APR-13 02.02.58.526000000 PM
1276797,15825,"47","Y",0,"NMAIER",10-APR-13 02.02.58.526000000 PM,"NMAIER",10-APR-13 02.02.58.526000000 PM
1276797,15826,"48","Y",0,"NMAIER",10-APR-13 02.02.58.527000000 PM,"NMAIER",10-APR-13 02.02.58.527000000 PM
1276797,15827,"58","Y",0,"NMAIER",10-APR-13 02.02.58.527000000 PM,"NMAIER",10-APR-13 02.02.58.527000000 PM
1276798,15828,"58","Y",0,"NMAIER",10-APR-13 02.41.38.840000000 PM,"NMAIER",10-APR-13 02.41.38.840000000 PM
1276798,15829,"17","Y",0,"NMAIER",10-APR-13 02.41.38.840000000 PM,"NMAIER",10-APR-13 02.41.38.840000000 PM
1276820,15842,"58","Y",0,"KRBACKMAN",12-APR-13 09.57.54.382000000 AM,"KRBACKMAN",12-APR-13 09.57.54.382000000 AM
1276820,15843,"17","Y",0,"KRBACKMAN",12-APR-13 09.57.54.382000000 AM,"KRBACKMAN",12-APR-13 09.57.54.382000000 AM
1276823,15846,"58","Y",0,"KRBACKMAN",12-APR-13 10.54.48.600000000 AM,"KRBACKMAN",12-APR-13 10.54.48.600000000 AM
1276823,15847,"17","Y",0,"KRBACKMAN",12-APR-13 10.54.48.600000000 AM,"KRBACKMAN",12-APR-13 10.54.48.600000000 AM
1177532,15848,"58","Y",0,"KRBACKMAN",12-APR-13 11.04.45.246000000 AM,"KRBACKMAN",12-APR-13 11.04.45.246000000 AM
1177532,15849,"17","Y",0,"KRBACKMAN",12-APR-13 11.04.45.246000000 AM,"KRBACKMAN",12-APR-13 11.04.45.246000000 AM
1276873,15873,"05","Y",1,"PJHEID",27-SEP-13 08.31.51.470000000 AM,"PJHEID",29-MAY-13 03.08.46.836000000 PM
1276873,15874,"27","Y",0,"PJHEID",29-MAY-13 03.08.46.838000000 PM,"PJHEID",29-MAY-13 03.08.46.838000000 PM
1276873,15875,"58","Y",0,"PJHEID",29-MAY-13 03.08.46.838000000 PM,"PJHEID",29-MAY-13 03.08.46.838000000 PM
1277929,15879,"58","Y",1,"PJHEID",17-JUN-13 11.29.42.542000000 AM,"PJHEID",07-JUN-13 10.51.39.636000000 AM
1277929,15880,"27","Y",1,"PJHEID",07-JUN-13 10.52.53.293000000 AM,"PJHEID",07-JUN-13 10.51.39.636000000 AM
1190833,15896,"58","Y",0,"JMLAGRO",19-JUN-13 03.49.42.581000000 PM,"JMLAGRO",19-JUN-13 03.49.42.581000000 PM
1190833,15897,"27","Y",0,"JMLAGRO",19-JUN-13 03.49.42.582000000 PM,"JMLAGRO",19-JUN-13 03.49.42.582000000 PM
1190833,15898,"47","Y",0,"JMLAGRO",19-JUN-13 03.49.42.582000000 PM,"JMLAGRO",19-JUN-13 03.49.42.582000000 PM
1190833,15899,"31","Y",0,"JMLAGRO",19-JUN-13 03.49.42.582000000 PM,"JMLAGRO",19-JUN-13 03.49.42.582000000 PM
1278142,15906,"05","Y",0,"JMLAGRO",21-JUN-13 01.42.12.926000000 PM,"JMLAGRO",21-JUN-13 01.42.12.926000000 PM
1278142,15907,"27","Y",0,"JMLAGRO",21-JUN-13 01.42.12.926000000 PM,"JMLAGRO",21-JUN-13 01.42.12.926000000 PM
1278142,15908,"58","Y",0,"JMLAGRO",21-JUN-13 01.42.12.926000000 PM,"JMLAGRO",21-JUN-13 01.42.12.926000000 PM
1278143,15909,"05","Y",0,"JMLAGRO",21-JUN-13 03.20.21.564000000 PM,"JMLAGRO",21-JUN-13 03.20.21.564000000 PM
1278143,15910,"27","Y",0,"JMLAGRO",21-JUN-13 03.20.21.564000000 PM,"JMLAGRO",21-JUN-13 03.20.21.564000000 PM
1278143,15911,"58","Y",0,"JMLAGRO",21-JUN-13 03.20.21.565000000 PM,"JMLAGRO",21-JUN-13 03.20.21.565000000 PM
1278163,15918,"58","Y",0,"NMAIER",24-JUN-13 01.45.18.749000000 PM,"NMAIER",24-JUN-13 01.45.18.749000000 PM
1278163,15919,"17","Y",0,"NMAIER",24-JUN-13 01.45.18.749000000 PM,"NMAIER",24-JUN-13 01.45.18.749000000 PM
1002788,15920,"17","Y",0,"NMAIER",24-JUN-13 02.00.47.235000000 PM,"NMAIER",24-JUN-13 02.00.47.235000000 PM
1002788,15921,"58","Y",0,"NMAIER",24-JUN-13 02.00.47.236000000 PM,"NMAIER",24-JUN-13 02.00.47.236000000 PM
1279438,16166,"58","Y",0,"JMLAGRO",19-AUG-13 03.27.28.168000000 PM,"JMLAGRO",19-AUG-13 03.27.28.168000000 PM
1279438,16167,"27","Y",0,"JMLAGRO",19-AUG-13 03.27.28.168000000 PM,"JMLAGRO",19-AUG-13 03.27.28.168000000 PM
1278020,16111,"05","Y",0,"PJHEID",16-AUG-13 01.19.15.240000000 PM,"PJHEID",16-AUG-13 01.19.15.240000000 PM
1277129,15937,"05","Y",0,"PJHEID",28-JUN-13 03.26.34.511000000 PM,"PJHEID",28-JUN-13 03.26.34.511000000 PM
1277129,15938,"27","Y",0,"PJHEID",28-JUN-13 03.26.34.511000000 PM,"PJHEID",28-JUN-13 03.26.34.511000000 PM
1277129,15939,"58","Y",0,"PJHEID",28-JUN-13 03.26.34.511000000 PM,"PJHEID",28-JUN-13 03.26.34.511000000 PM
1277907,15943,"58","Y",0,"PJHEID",01-JUL-13 10.32.19.819000000 AM,"PJHEID",01-JUL-13 10.32.19.819000000 AM
1277907,15944,"27","Y",0,"PJHEID",01-JUL-13 10.32.19.820000000 AM,"PJHEID",01-JUL-13 10.32.19.820000000 AM
