"P_SYS_ID","P_REVAL_STARTED_IND","P_GENERAL_INFO_STAT_IND","P_NAME_ADDR_STAT_IND","P_LIC_SPEC_STAT_IND","P_FINANCIAL_STAT_IND","P_SANCTIONS_STAT_IND","P_BANKRUPTCY_STAT_IND","P_OWNERSHIP_STAT_IND","P_MANAGING_STAT_IND","P_REVAL_STAT_CD","P_REVAL_STAT_LAST_DT","P_REVAL_COMP_DT","P_REVAL_COMP_BY_NAM","L_HIBERNATE_VER_NUM","G_AUD_ADD_USER_ID","G_AUD_TS","G_AUD_USER_ID","G_AUD_ADD_TS"
1279370,"N","N","N","N","N","N","N","N","N","TN",31-JUL-20,," ",1,"B-Term-Prov-Trigger_3250759.00",17-JUL-20 06.01.22.000000000 PM,"B-Term-Prov-Trigger_3250759.00",17-JUL-20 06.01.22.000000000 PM
1279290,"N","N","N","N","N","N","N","N","N","TN",31-JUL-20,," ",1,"B-Term-Prov-Trigger_3250759.00",17-JUL-20 06.01.22.000000000 PM,"B-Term-Prov-Trigger_3250759.00",17-JUL-20 06.01.22.000000000 PM
1279741,"N","N","N","N","N","N","N","N","N","TN",31-JUL-20,," ",1,"B-Term-Prov-Trigger_3250759.00",17-JUL-20 06.01.22.000000000 PM,"B-Term-Prov-Trigger_3250759.00",17-JUL-20 06.01.22.000000000 PM
1289537,"N","N","N","N","N","N","N","N","N","TN",31-JUL-20,," ",1,"B-Term-Prov-Trigger_3250759.00",17-JUL-20 06.01.22.000000000 PM,"B-Term-Prov-Trigger_3250759.00",17-JUL-20 06.01.22.000000000 PM
1292013,"N","N","N","N","N","N","N","N","N","TN",30-JUL-20,," ",1,"B-Term-Prov-Trigger_3250759.00",17-JUL-20 06.01.22.000000000 PM,"B-Term-Prov-Trigger_3250759.00",17-JUL-20 06.01.22.000000000 PM
1293808,"N","N","N","N","N","N","N","N","N","TN",27-JUL-20,," ",1,"B-Term-Prov-Trigger_3250759.00",17-JUL-20 06.01.22.000000000 PM,"B-Term-Prov-Trigger_3250759.00",17-JUL-20 06.01.22.000000000 PM
1293819,"Y","Y","Y","N","Y","","Y","Y","N","SS",14-JUN-21,," ",3,"B-Term-Prov-Trigger_3250759.00",14-JUN-21 09.09.00.702000000 AM,"DMATZELLE",17-JUL-20 06.01.22.000000000 PM
1293790,"N","N","N","N","N","N","N","N","N","TN",28-JUL-20,," ",1,"B-Term-Prov-Trigger_3250759.00",17-JUL-20 06.01.22.000000000 PM,"B-Term-Prov-Trigger_3250759.00",17-JUL-20 06.01.22.000000000 PM
1293821,"N","N","N","N","N","N","N","N","N","TN",23-JUL-20,," ",1,"B-Term-Prov-Trigger_3250759.00",17-JUL-20 06.01.22.000000000 PM,"B-Term-Prov-Trigger_3250759.00",17-JUL-20 06.01.22.000000000 PM
1292771,"N","N","N","N","N","N","N","N","N","TN",28-JUL-20,," ",1,"B-Term-Prov-Trigger_3250759.00",17-JUL-20 06.01.22.000000000 PM,"B-Term-Prov-Trigger_3250759.00",17-JUL-20 06.01.22.000000000 PM
1293768,"N","N","N","N","N","N","N","N","N","TN",20-JUL-20,," ",1,"B-Term-Prov-Trigger_3250759.00",17-JUL-20 06.01.22.000000000 PM,"B-Term-Prov-Trigger_3250759.00",17-JUL-20 06.01.22.000000000 PM
1294037,"N","N","N","N","N","N","N","N","N","TN",28-JUL-20,," ",1,"B-Term-Prov-Trigger_3250759.00",17-JUL-20 06.01.22.000000000 PM,"B-Term-Prov-Trigger_3250759.00",17-JUL-20 06.01.22.000000000 PM
1294102,"N","N","N","N","N","N","N","N","N","TN",28-JUL-20,," ",1,"B-Term-Prov-Trigger_3250759.00",17-JUL-20 06.01.22.000000000 PM,"B-Term-Prov-Trigger_3250759.00",17-JUL-20 06.01.22.000000000 PM
1293699,"N","N","N","N","N","N","N","N","N","TN",28-JUL-20,," ",1,"B-Term-Prov-Trigger_3250759.00",17-JUL-20 06.01.22.000000000 PM,"B-Term-Prov-Trigger_3250759.00",17-JUL-20 06.01.22.000000000 PM
1293247,"N","N","N","N","N","N","N","N","N","TN",28-JUL-20,," ",1,"B-Term-Prov-Trigger_3250759.00",17-JUL-20 06.01.22.000000000 PM,"B-Term-Prov-Trigger_3250759.00",17-JUL-20 06.01.22.000000000 PM
1294305,"N","N","N","N","N","N","N","N","N","TN",30-JUL-25,," ",0,"B-Term-Prov-Trigger_3250759.00",30-JUL-25 06.01.31.000000000 PM,"B-Term-Prov-Trigger_1490271.00",17-JUL-20 06.01.22.000000000 PM
1294341,"N","N","N","N","N","N","N","N","N","TN",01-SEP-25,," ",0,"B-Term-Prov-Trigger_3250759.00",01-SEP-25 06.01.25.000000000 PM,"B-Term-Prov-Trigger_1538574.00",17-JUL-20 06.01.22.000000000 PM
1294508,"N","N","N","N","N","N","N","N","N","SN",17-JUL-20,," ",0,"B-Term-Prov-Trigger_3250759.00",17-JUL-20 06.01.22.000000000 PM,"B-Term-Prov-Trigger_3250759.00",17-JUL-20 06.01.22.000000000 PM
1294358,"N","N","N","N","N","N","N","N","N","TN",23-JUL-20,," ",1,"B-Term-Prov-Trigger_3250759.00",17-JUL-20 06.01.22.000000000 PM,"B-Term-Prov-Trigger_3250759.00",17-JUL-20 06.01.22.000000000 PM
