"P_RPT_CMS_UPD_SK","P_REC_TYPE","P_IFACE_PRCS_DT","P_MMIS_ID","P_PROV_NAM","P_ERR_MSG_TEXT","L_HIBERNATE_VER_NUM","G_AUD_ADD_USER_ID","G_AUD_ADD_TS"
60," ",22-SEP-25,"1474526","Chad G Kelly","ND-MSG-02-8610-Revalidation DT Updated",0,"B-IF-CMS-RVL_IB_1568478.00",22-SEP-25 08.03.07.559157000 PM
61," ",22-SEP-25,"1452294","Lutheran Charity Association","ND-MSG-02-8610-Revalidation DT Updated",0,"B-IF-CMS-RVL_IB_1568478.00",22-SEP-25 08.03.07.559157000 PM
62," ",22-SEP-25,"1459892","Trinity Hospitals","ND-MSG-02-8610-Revalidation DT Updated",0,"B-IF-CMS-RVL_IB_1568478.00",22-SEP-25 08.03.07.559157000 PM
63," ",22-SEP-25,"1456759","CHI Health Connect at Home Fargo","ND-MSG-02-8610-Revalidation DT Updated",0,"B-IF-CMS-RVL_IB_1568478.00",22-SEP-25 08.03.07.559157000 PM
64," ",22-SEP-25,"1467429","William R Noyes","ND-MSG-02-8610-Revalidation DT Updated",0,"B-IF-CMS-RVL_IB_1568478.00",22-SEP-25 08.03.07.559157000 PM
65," ",22-SEP-25,"1490372","Robert H Jones","ND-MSG-02-8610-Revalidation DT Updated",0,"B-IF-CMS-RVL_IB_1568478.00",22-SEP-25 08.03.07.559157000 PM
66," ",22-SEP-25,"1478265","Lawrence Rothenberg","ND-MSG-02-8610-Revalidation DT Updated",0,"B-IF-CMS-RVL_IB_1568478.00",22-SEP-25 08.03.07.559157000 PM
67," ",22-SEP-25,"1468714","Peter Zimb a","ND-MSG-02-8610-Revalidation DT Updated",0,"B-IF-CMS-RVL_IB_1568478.00",22-SEP-25 08.03.07.559157000 PM
68," ",22-SEP-25,"1451069","David J Hanson","ND-MSG-02-8610-Revalidation DT Updated",0,"B-IF-CMS-RVL_IB_1568478.00",22-SEP-25 08.03.07.559157000 PM
69," ",22-SEP-25,"1459085","John V Vinych","ND-MSG-02-8610-Revalidation DT Updated",0,"B-IF-CMS-RVL_IB_1568478.00",22-SEP-25 08.03.07.559157000 PM
70," ",22-SEP-25,"1470479","Kelly Doolittle","ND-MSG-02-8610-Revalidation DT Updated",0,"B-IF-CMS-RVL_IB_1568478.00",22-SEP-25 08.03.07.559157000 PM
71," ",22-SEP-25,"1469133","Jason M Woodbury","ND-MSG-02-8610-Revalidation DT Updated",0,"B-IF-CMS-RVL_IB_1568478.00",22-SEP-25 08.03.07.559157000 PM
72," ",22-SEP-25,"1480361","Carl T Wilson","ND-MSG-02-8610-Revalidation DT Updated",0,"B-IF-CMS-RVL_IB_1568478.00",22-SEP-25 08.03.07.559157000 PM
73," ",22-SEP-25,"1481059","Brendan T Wanta","ND-MSG-02-8610-Revalidation DT Updated",0,"B-IF-CMS-RVL_IB_1568478.00",22-SEP-25 08.03.07.559157000 PM
74," ",22-SEP-25,"1471489","David S Beebe","ND-MSG-02-8610-Revalidation DT Updated",0,"B-IF-CMS-RVL_IB_1568478.00",22-SEP-25 08.03.07.559157000 PM
75," ",22-SEP-25,"1457645","Mayo Foundation for Medical Education and Research","ND-MSG-02-8610-Revalidation DT Updated",0,"B-IF-CMS-RVL_IB_1568478.00",22-SEP-25 08.03.07.559157000 PM
76," ",22-SEP-25,"1457385","Sanford Clinic North","ND-MSG-02-8610-Revalidation DT Updated",0,"B-IF-CMS-RVL_IB_1568478.00",22-SEP-25 08.03.07.559157000 PM
77," ",22-SEP-25,"1457653","Mayo Foundation for Medical Education and Research","ND-MSG-02-8610-Revalidation DT Updated",0,"B-IF-CMS-RVL_IB_1568478.00",22-SEP-25 08.03.07.559157000 PM
78," ",22-SEP-25,"1457656","Mayo Foundation for Medical Education and Research","ND-MSG-02-8610-Revalidation DT Updated",0,"B-IF-CMS-RVL_IB_1568478.00",22-SEP-25 08.03.07.559157000 PM
79," ",22-SEP-25,"1456278","North Dakota State University","ND-MSG-02-8610-Revalidation DT Updated",0,"B-IF-CMS-RVL_IB_1568478.00",22-SEP-25 08.03.07.559157000 PM
80," ",22-SEP-25,"1457813","North Dakota State University","ND-MSG-02-8610-Revalidation DT Updated",0,"B-IF-CMS-RVL_IB_1568478.00",22-SEP-25 08.03.07.559157000 PM
81," ",22-SEP-25,"1475078","North Dakota State University","ND-MSG-02-8610-Revalidation DT Updated",0,"B-IF-CMS-RVL_IB_1568478.00",22-SEP-25 08.03.07.559157000 PM
82," ",22-SEP-25,"1459766","Robert A Vennerstrom","ND-MSG-02-8610-Revalidation DT Updated",0,"B-IF-CMS-RVL_IB_1568478.00",22-SEP-25 08.03.07.559157000 PM
83," ",22-SEP-25,"1473768","Tomasz Lis P","ND-MSG-02-8610-Revalidation DT Updated",0,"B-IF-CMS-RVL_IB_1568478.00",22-SEP-25 08.03.07.559157000 PM
84," ",22-SEP-25,"1481384","Elizabeth R Kohn","ND-MSG-02-8610-Revalidation DT Updated",0,"B-IF-CMS-RVL_IB_1568478.00",22-SEP-25 08.03.07.559157000 PM
85," ",22-SEP-25,"1480733","Tricia R Brein","ND-MSG-02-8610-Revalidation DT Updated",0,"B-IF-CMS-RVL_IB_1568478.00",22-SEP-25 08.03.07.559157000 PM
86," ",22-SEP-25,"1492549","Edward Wolske","ND-MSG-02-8610-Revalidation DT Updated",0,"B-IF-CMS-RVL_IB_1568478.00",22-SEP-25 08.03.07.559157000 PM
87," ",22-SEP-25,"1482059","David M Chess","ND-MSG-02-8610-Revalidation DT Updated",0,"B-IF-CMS-RVL_IB_1568478.00",22-SEP-25 08.03.07.559157000 PM
88," ",22-SEP-25,"1462596","Matthew S Massmann","ND-MSG-02-8610-Revalidation DT Updated",0,"B-IF-CMS-RVL_IB_1568478.00",22-SEP-25 08.03.07.559157000 PM
89," ",22-SEP-25,"1465684","Emily N Spangler","ND-MSG-02-8610-Revalidation DT Updated",0,"B-IF-CMS-RVL_IB_1568478.00",22-SEP-25 08.03.07.559157000 PM
90," ",22-SEP-25,"1470876","Julie A Skiba","ND-MSG-02-8610-Revalidation DT Updated",0,"B-IF-CMS-RVL_IB_1568478.00",22-SEP-25 08.03.07.559157000 PM
91," ",22-SEP-25,"1469425","Sarah Havlik","ND-MSG-02-8610-Revalidation DT Updated",0,"B-IF-CMS-RVL_IB_1568478.00",22-SEP-25 08.03.07.559157000 PM
92," ",22-SEP-25,"1469487","Sandra Oberembt","ND-MSG-02-8610-Revalidation DT Updated",0,"B-IF-CMS-RVL_IB_1568478.00",22-SEP-25 08.03.07.559157000 PM
93," ",22-SEP-25,"1469870","Leah Wojciechowshi","ND-MSG-02-8610-Revalidation DT Updated",0,"B-IF-CMS-RVL_IB_1568478.00",22-SEP-25 08.03.07.559157000 PM
94," ",22-SEP-25,"1475144","Kailey L Potratz","ND-MSG-02-8610-Revalidation DT Updated",0,"B-IF-CMS-RVL_IB_1568478.00",22-SEP-25 08.03.07.559157000 PM
