"P_SYS_ID","P_RSK_SCRN_SK","P_RS_TY_CD","P_RS_LAST_DATE","P_RS_LAST_VALUE","P_RS_SOURCE","L_HIBERNATE_VER_NUM","G_AUD_USER_ID","G_AUD_TS","G_AUD_ADD_USER_ID","G_AUD_ADD_TS"
1000736,322,"R",03-JUL-14,"","E",0,"DataFix_ESPRD01213970",05-APR-18 07.38.28.000000000 PM,"DataFix_ESPRD01213970",05-APR-18 07.38.28.000000000 PM
1000737,323,"R",27-JAN-14,"","E",0,"DataFix_ESPRD01213970",05-APR-18 07.38.28.000000000 PM,"DataFix_ESPRD01213970",05-APR-18 07.38.28.000000000 PM
1306575,58682,"C",14-JUN-18,"L","E",1,"ANNDOLL",14-JUN-18 10.26.15.029000000 AM,"ANNDOLL",14-JUN-18 10.26.07.469000000 AM
1305294,58709,"R",14-JUN-18,"","E",0,"ANNDOLL",14-JUN-18 11.16.09.484000000 AM,"ANNDOLL",14-JUN-18 11.16.09.484000000 AM
1305294,58710,"I",14-JUN-18,"","E",1,"ANNDOLL",14-JUN-18 11.16.09.874000000 AM,"ANNDOLL",14-JUN-18 11.16.09.496000000 AM
1000758,327,"R",03-APR-14,"","E",0,"DataFix_ESPRD01213970",05-APR-18 07.38.28.000000000 PM,"DataFix_ESPRD01213970",05-APR-18 07.38.28.000000000 PM
1000759,328,"R",03-MAY-14,"","E",0,"DataFix_ESPRD01213970",05-APR-18 07.38.28.000000000 PM,"DataFix_ESPRD01213970",05-APR-18 07.38.28.000000000 PM
1000760,329,"R",24-APR-15,"","E",0,"DataFix_ESPRD01213970",05-APR-18 07.38.28.000000000 PM,"DataFix_ESPRD01213970",05-APR-18 07.38.28.000000000 PM
1000761,330,"R",18-JUL-14,"","E",0,"DataFix_ESPRD01213970",05-APR-18 07.38.28.000000000 PM,"DataFix_ESPRD01213970",05-APR-18 07.38.28.000000000 PM
1306396,58768,"C",15-JUN-18,"L","E",1,"AYARBROUGH",15-JUN-18 01.38.06.490000000 PM,"AYARBROUGH",15-JUN-18 01.38.04.100000000 PM
1000764,332,"R",10-FEB-14,"","E",0,"DataFix_ESPRD01213970",05-APR-18 07.38.28.000000000 PM,"DataFix_ESPRD01213970",05-APR-18 07.38.28.000000000 PM
1000765,333,"R",13-DEC-16,"","E",0,"DataFix_ESPRD01213970",05-APR-18 07.38.28.000000000 PM,"DataFix_ESPRD01213970",05-APR-18 07.38.28.000000000 PM
1000766,334,"R",06-AUG-15,"","E",0,"DataFix_ESPRD01213970",05-APR-18 07.38.28.000000000 PM,"DataFix_ESPRD01213970",05-APR-18 07.38.28.000000000 PM
1000767,335,"R",11-JUL-14,"","E",0,"DataFix_ESPRD01213970",05-APR-18 07.38.28.000000000 PM,"DataFix_ESPRD01213970",05-APR-18 07.38.28.000000000 PM
1000768,336,"R",07-DEC-13,"","E",0,"DataFix_ESPRD01213970",05-APR-18 07.38.28.000000000 PM,"DataFix_ESPRD01213970",05-APR-18 07.38.28.000000000 PM
1000769,337,"R",01-MAR-14,"","E",0,"DataFix_ESPRD01213970",05-APR-18 07.38.28.000000000 PM,"DataFix_ESPRD01213970",05-APR-18 07.38.28.000000000 PM
1306856,58822,"C",18-JUN-18,"L","E",1,"SLSCHAAF",18-JUN-18 01.27.55.434000000 PM,"SLSCHAAF",18-JUN-18 01.27.50.334000000 PM
1000771,339,"R",20-AUG-14,"","E",0,"DataFix_ESPRD01213970",05-APR-18 07.38.28.000000000 PM,"DataFix_ESPRD01213970",05-APR-18 07.38.28.000000000 PM
1000772,340,"R",05-FEB-15,"","E",0,"DataFix_ESPRD01213970",05-APR-18 07.38.28.000000000 PM,"DataFix_ESPRD01213970",05-APR-18 07.38.28.000000000 PM
1000775,341,"R",12-MAY-14,"","E",0,"DataFix_ESPRD01213970",05-APR-18 07.38.28.000000000 PM,"DataFix_ESPRD01213970",05-APR-18 07.38.28.000000000 PM
1000776,342,"R",19-JUN-14,"","E",0,"DataFix_ESPRD01213970",05-APR-18 07.38.28.000000000 PM,"DataFix_ESPRD01213970",05-APR-18 07.38.28.000000000 PM
1306670,58888,"R",19-JUN-18,"","E",0,"ANNDOLL",19-JUN-18 09.38.44.089000000 AM,"ANNDOLL",19-JUN-18 09.38.44.089000000 AM
1000778,344,"R",15-NOV-13,"","E",0,"DataFix_ESPRD01213970",05-APR-18 07.38.28.000000000 PM,"DataFix_ESPRD01213970",05-APR-18 07.38.28.000000000 PM
1000779,345,"R",02-JUN-15,"","E",0,"DataFix_ESPRD01213970",05-APR-18 07.38.28.000000000 PM,"DataFix_ESPRD01213970",05-APR-18 07.38.28.000000000 PM
1000783,346,"R",27-JUN-14,"","E",0,"DataFix_ESPRD01213970",05-APR-18 07.38.28.000000000 PM,"DataFix_ESPRD01213970",05-APR-18 07.38.28.000000000 PM
1000784,347,"R",20-JUN-14,"","E",0,"DataFix_ESPRD01213970",05-APR-18 07.38.28.000000000 PM,"DataFix_ESPRD01213970",05-APR-18 07.38.28.000000000 PM
1000785,348,"R",30-MAY-14,"","E",0,"DataFix_ESPRD01213970",05-APR-18 07.38.28.000000000 PM,"DataFix_ESPRD01213970",05-APR-18 07.38.28.000000000 PM
1000787,349,"R",04-JUN-14,"","E",0,"DataFix_ESPRD01213970",05-APR-18 07.38.28.000000000 PM,"DataFix_ESPRD01213970",05-APR-18 07.38.28.000000000 PM
1000790,350,"R",27-JUN-14,"","E",0,"DataFix_ESPRD01213970",05-APR-18 07.38.28.000000000 PM,"DataFix_ESPRD01213970",05-APR-18 07.38.28.000000000 PM
